Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.02607,$0.02611,$0.02568,$0.02596,"$25,589,699","$25,589,699"
"Sep 15, 2022",$0.02651,$0.02709,$0.02587,$0.02606,"$49,919,950","$49,919,950"
"Sep 14, 2022",$0.02615,$0.02653,$0.02604,$0.02651,"$48,524,456","$48,524,456"
"Sep 13, 2022",$0.02823,$0.02857,$0.02605,$0.02622,"$37,674,830","$37,674,830"
"Sep 12, 2022",$0.0283,$0.02884,$0.02774,$0.02822,"$41,465,844","$41,465,844"
"Sep 11, 2022",$0.02827,$0.02855,$0.02789,$0.0283,"$33,813,064","$33,813,064"
"Sep 10, 2022",$0.02786,$0.02845,$0.02754,$0.02827,"$43,398,134","$43,398,134"
"Sep 09, 2022",$0.02677,$0.02792,$0.02675,$0.02787,"$53,685,276","$53,685,276"
"Sep 08, 2022",$0.026,$0.02677,$0.02563,$0.02677,"$59,039,325","$59,039,325"
"Sep 07, 2022",$0.02537,$0.0261,$0.02486,$0.02601,"$38,287,351","$38,287,351"
"Sep 06, 2022",$0.02753,$0.0279,$0.02537,$0.02537,"$49,294,407","$49,294,407"
"Sep 05, 2022",$0.0278,$0.02789,$0.0269,$0.02753,"$43,923,247","$43,923,247"
"Sep 04, 2022",$0.02734,$0.02784,$0.02705,$0.0278,"$40,988,008","$40,988,008"
"Sep 03, 2022",$0.0273,$0.02746,$0.027,$0.02734,"$29,960,808","$29,960,808"
"Sep 02, 2022",$0.02752,$0.02786,$0.02705,$0.0273,"$29,657,905","$29,657,905"
"Sep 01, 2022",$0.02788,$0.02791,$0.02696,$0.02751,"$29,941,416","$29,941,416"
"Aug 31, 2022",$0.0279,$0.02857,$0.02773,$0.02788,"$29,521,365","$29,521,365"
"Aug 30, 2022",$0.02861,$0.02992,$0.02754,$0.0279,"$54,809,761","$54,809,761"
"Aug 29, 2022",$0.027,$0.02863,$0.02674,$0.02861,"$35,419,371","$35,419,371"
"Aug 28, 2022",$0.02768,$0.0286,$0.027,$0.027,"$35,010,864","$35,010,864"
"Aug 27, 2022",$0.02752,$0.02797,$0.02695,$0.02768,"$40,282,223","$40,282,223"
"Aug 26, 2022",$0.0299,$0.0299,$0.0275,$0.02752,"$50,222,900","$50,222,900"
"Aug 25, 2022",$0.02948,$0.03031,$0.02948,$0.0299,"$35,308,041","$35,308,041"
"Aug 24, 2022",$0.03036,$0.03036,$0.02927,$0.02948,"$37,009,704","$37,009,704"
"Aug 23, 2022",$0.02891,$0.03096,$0.02888,$0.03036,"$100,994,657","$100,994,657"
"Aug 22, 2022",$0.02931,$0.02934,$0.02812,$0.02891,"$41,227,452","$41,227,452"
"Aug 21, 2022",$0.02861,$0.02963,$0.02843,$0.02932,"$27,958,313","$27,958,313"
"Aug 20, 2022",$0.02872,$0.02939,$0.02825,$0.02862,"$38,781,018","$38,781,018"
"Aug 19, 2022",$0.03245,$0.03245,$0.02866,$0.02873,"$61,806,164","$61,806,164"
