Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$5.34,$5.50,$5.31,$5.38,"$4,939,863","$4,939,863"
"Sep 24, 2022",$5.70,$5.70,$5.30,$5.34,"$5,998,832","$5,998,832"
"Sep 23, 2022",$5.27,$5.74,$5.27,$5.71,"$15,445,401","$15,445,401"
"Sep 22, 2022",$4.94,$5.28,$4.94,$5.27,"$6,013,990","$6,013,990"
"Sep 21, 2022",$4.93,$5.22,$4.80,$4.94,"$5,722,016","$5,722,016"
"Sep 20, 2022",$5.14,$5.20,$4.92,$4.93,"$4,426,535","$4,426,535"
"Sep 19, 2022",$5.21,$5.38,$4.81,$5.14,"$7,692,965","$7,692,965"
"Sep 18, 2022",$5.40,$5.68,$5.19,$5.20,"$7,303,634","$7,303,634"
"Sep 17, 2022",$5.32,$5.45,$5.30,$5.40,"$3,958,666","$3,958,666"
"Sep 16, 2022",$5.19,$5.60,$5.15,$5.32,"$10,173,026","$10,173,026"
"Sep 15, 2022",$5.36,$5.38,$5.06,$5.19,"$8,332,943","$8,332,943"
"Sep 14, 2022",$5.71,$6.18,$5.31,$5.36,"$17,334,724","$17,334,724"
"Sep 13, 2022",$5.35,$6.51,$5.24,$5.94,"$34,547,970","$34,547,970"
"Sep 12, 2022",$5.43,$5.45,$5.27,$5.35,"$3,285,576","$3,285,576"
"Sep 11, 2022",$5.41,$5.67,$5.36,$5.43,"$5,355,134","$5,355,134"
"Sep 10, 2022",$5.39,$5.45,$5.34,$5.41,"$3,536,476","$3,536,476"
"Sep 09, 2022",$5.32,$5.53,$5.31,$5.39,"$5,320,028","$5,320,028"
"Sep 08, 2022",$5.34,$5.44,$5.21,$5.32,"$3,920,608","$3,920,608"
"Sep 07, 2022",$5.22,$5.40,$5.16,$5.34,"$5,683,596","$5,683,596"
"Sep 06, 2022",$5.71,$5.87,$5.19,$5.22,"$6,055,248","$6,055,248"
"Sep 05, 2022",$5.80,$6.07,$5.67,$5.71,"$6,751,836","$6,751,836"
"Sep 04, 2022",$5.80,$5.86,$5.63,$5.80,"$3,813,765","$3,813,765"
"Sep 03, 2022",$5.96,$6.13,$5.77,$5.80,"$8,135,385","$8,135,385"
"Sep 02, 2022",$5.81,$5.95,$5.65,$5.95,"$9,396,080","$9,396,080"
"Sep 01, 2022",$5.60,$6.04,$5.56,$5.81,"$15,062,170","$15,062,170"
"Aug 31, 2022",$5.21,$6.21,$5.20,$5.60,"$27,444,324","$27,444,324"
"Aug 30, 2022",$5.34,$5.40,$5.09,$5.21,"$5,089,519","$5,089,519"
"Aug 29, 2022",$5.18,$5.37,$5.10,$5.35,"$4,820,687","$4,820,687"
"Aug 28, 2022",$5.30,$5.80,$5.18,$5.18,"$9,735,463","$9,735,463"
"Aug 27, 2022",$5.24,$5.35,$4.96,$5.30,"$6,052,969","$6,052,969"
"Aug 26, 2022",$5.86,$5.88,$5.24,$5.25,"$7,199,989","$7,199,989"
"Aug 25, 2022",$6.11,$6.19,$5.80,$5.86,"$6,763,378","$6,763,378"
"Aug 24, 2022",$6.41,$6.47,$6.04,$6.11,"$7,206,779","$7,206,779"
"Aug 23, 2022",$6.52,$6.75,$6.25,$6.41,"$10,250,886","$10,250,886"
"Aug 22, 2022",$5.96,$6.68,$5.93,$6.53,"$30,009,416","$30,009,416"
"Aug 21, 2022",$5.85,$6.27,$5.83,$5.96,"$12,542,032","$12,542,032"
"Aug 20, 2022",$6.25,$6.68,$5.73,$5.84,"$18,150,171","$18,150,171"
"Aug 19, 2022",$6.13,$6.86,$5.73,$6.24,"$60,155,310","$60,155,310"
"Aug 18, 2022",$5.52,$7.01,$5.47,$6.13,"$73,477,568","$73,477,568"
"Aug 17, 2022",$5.48,$5.74,$5.40,$5.52,"$16,434,795","$16,434,795"
"Aug 16, 2022",$5.46,$5.80,$5.39,$5.48,"$15,724,080","$15,724,080"
"Aug 15, 2022",$5.42,$5.54,$5.31,$5.46,"$11,414,286","$11,414,286"
"Aug 14, 2022",$5.42,$5.68,$5.26,$5.42,"$14,137,225","$14,137,225"
"Aug 13, 2022",$5.54,$5.61,$5.39,$5.42,"$8,929,327","$8,929,327"
"Aug 12, 2022",$5.29,$5.56,$5.24,$5.53,"$7,955,763","$7,955,763"
"Aug 11, 2022",$5.44,$5.47,$5.27,$5.29,"$6,079,518","$6,079,518"
"Aug 10, 2022",$5.30,$5.48,$5.13,$5.44,"$6,885,459","$6,885,459"
"Aug 09, 2022",$5.61,$5.67,$5.26,$5.30,"$6,062,111","$6,062,111"
"Aug 08, 2022",$5.66,$5.73,$5.59,$5.59,"$7,618,492","$7,618,492"
"Aug 07, 2022",$5.66,$6.10,$5.57,$5.66,"$11,644,267","$11,644,267"
"Aug 06, 2022",$5.68,$5.75,$5.61,$5.66,"$6,007,354","$6,007,354"
"Aug 05, 2022",$5.65,$5.82,$5.60,$5.70,"$7,998,640","$7,998,640"
"Aug 04, 2022",$6.05,$6.24,$5.42,$5.65,"$20,505,969","$20,505,969"
"Aug 03, 2022",$6.23,$6.54,$5.87,$6.05,"$9,942,142","$9,942,142"
"Aug 02, 2022",$6.58,$7.67,$5.94,$6.22,"$35,644,153","$35,644,153"
"Aug 01, 2022",$5.76,$6.73,$5.73,$6.59,"$16,742,845","$16,742,845"
"Jul 31, 2022",$5.59,$6.16,$5.58,$5.76,"$14,924,275","$14,924,275"
"Jul 30, 2022",$5.55,$6.82,$5.53,$5.60,"$26,446,830","$26,446,830"
"Jul 29, 2022",$5.28,$5.78,$5.25,$5.55,"$14,709,872","$14,709,872"
"Jul 28, 2022",$5.13,$5.66,$4.98,$5.29,"$24,534,551","$24,534,551"
"Jul 27, 2022",$4.64,$5.92,$4.53,$5.14,"$45,370,594","$45,370,594"
"Jul 26, 2022",$4.39,$4.94,$4.16,$4.65,"$19,064,851","$19,064,851"
"Jul 25, 2022",$4.26,$4.92,$4.23,$4.39,"$25,876,594","$25,876,594"
"Jul 24, 2022",$4.00,$5.04,$3.98,$4.24,"$30,486,406","$30,486,406"
"Jul 23, 2022",$3.99,$4.05,$3.95,$4.00,"$6,097,660","$6,097,660"
"Jul 22, 2022",$3.98,$4.06,$3.95,$3.99,"$10,378,237","$10,378,237"
"Jul 21, 2022",$3.83,$4.03,$3.83,$3.98,"$8,059,692","$8,059,692"
"Jul 20, 2022",$4.07,$4.19,$3.81,$3.83,"$6,090,348","$6,090,348"
"Jul 19, 2022",$4.12,$4.16,$4.00,$4.07,"$8,309,794","$8,309,794"
"Jul 18, 2022",$3.92,$4.13,$3.89,$4.12,"$10,872,927","$10,872,927"
"Jul 17, 2022",$3.89,$3.96,$3.82,$3.91,"$6,592,871","$6,592,871"
"Jul 16, 2022",$3.91,$4.28,$3.82,$3.89,"$12,692,708","$12,692,708"
"Jul 15, 2022",$3.63,$4.24,$3.60,$3.91,"$17,959,007","$17,959,007"
"Jul 14, 2022",$3.54,$3.69,$3.44,$3.63,"$6,171,363","$6,171,363"
"Jul 13, 2022",$3.45,$3.55,$3.37,$3.54,"$3,935,687","$3,935,687"
"Jul 12, 2022",$3.60,$3.63,$3.45,$3.45,"$5,600,906","$5,600,906"
"Jul 11, 2022",$3.74,$3.84,$3.59,$3.61,"$4,721,223","$4,721,223"
"Jul 10, 2022",$3.82,$3.83,$3.72,$3.74,"$4,650,680","$4,650,680"
"Jul 09, 2022",$3.77,$3.84,$3.72,$3.82,"$3,201,109","$3,201,109"
"Jul 08, 2022",$3.84,$3.86,$3.74,$3.77,"$4,677,104","$4,677,104"
"Jul 07, 2022",$3.85,$3.90,$3.75,$3.84,"$6,208,529","$6,208,529"
"Jul 06, 2022",$3.71,$4.19,$3.71,$3.85,"$9,478,631","$9,478,631"
"Jul 05, 2022",$3.66,$4.16,$3.64,$3.71,"$10,431,635","$10,431,635"
"Jul 04, 2022",$3.59,$3.68,$3.56,$3.66,"$4,452,563","$4,452,563"
"Jul 03, 2022",$3.64,$3.65,$3.55,$3.59,"$3,262,343","$3,262,343"
"Jul 02, 2022",$3.56,$3.68,$3.52,$3.64,"$4,597,399","$4,597,399"
"Jul 01, 2022",$3.60,$3.70,$3.55,$3.56,"$4,818,006","$4,818,006"
"Jun 30, 2022",$3.75,$3.78,$3.44,$3.59,"$5,442,308","$5,442,308"
"Jun 29, 2022",$3.65,$3.97,$3.61,$3.75,"$6,932,448","$6,932,448"
"Jun 28, 2022",$3.76,$3.83,$3.64,$3.65,"$4,555,177","$4,555,177"
"Jun 27, 2022",$3.73,$3.89,$3.66,$3.76,"$4,105,129","$4,105,129"
"Jun 26, 2022",$4.02,$4.03,$3.72,$3.72,"$4,085,192","$4,085,192"
"Jun 25, 2022",$3.95,$4.15,$3.89,$4.01,"$7,843,165","$7,843,165"
"Jun 24, 2022",$3.81,$4.29,$3.79,$3.94,"$11,932,969","$11,932,969"
"Jun 23, 2022",$3.55,$4.01,$3.54,$3.81,"$9,314,232","$9,314,232"
"Jun 22, 2022",$3.59,$3.77,$3.48,$3.55,"$7,003,470","$7,003,470"
"Jun 21, 2022",$3.63,$3.72,$3.58,$3.59,"$6,524,793","$6,524,793"
"Jun 20, 2022",$3.54,$3.71,$3.40,$3.63,"$6,403,751","$6,403,751"
"Jun 19, 2022",$3.40,$3.59,$3.26,$3.54,"$4,457,987","$4,457,987"
"Jun 18, 2022",$3.68,$3.72,$3.21,$3.41,"$4,748,262","$4,748,262"
"Jun 17, 2022",$3.59,$3.78,$3.54,$3.68,"$3,474,976","$3,474,976"
"Jun 16, 2022",$3.99,$4.02,$3.56,$3.59,"$5,958,719","$5,958,719"
"Jun 15, 2022",$3.95,$4.03,$3.51,$3.97,"$7,095,901","$7,095,901"
"Jun 14, 2022",$4.15,$4.34,$3.85,$3.96,"$12,075,222","$12,075,222"
"Jun 13, 2022",$3.84,$4.52,$3.68,$4.14,"$19,423,380","$19,423,380"
"Jun 12, 2022",$4.17,$4.26,$3.77,$3.84,"$5,497,535","$5,497,535"
"Jun 11, 2022",$4.61,$4.67,$4.06,$4.17,"$6,186,645","$6,186,645"
"Jun 10, 2022",$4.88,$5.04,$4.44,$4.61,"$9,111,644","$9,111,644"
"Jun 09, 2022",$4.71,$5.44,$4.68,$4.89,"$24,127,417","$24,127,417"
"Jun 08, 2022",$4.38,$5.34,$4.35,$4.73,"$23,562,734","$23,562,734"
"Jun 07, 2022",$4.21,$4.80,$4.15,$4.38,"$22,955,595","$22,955,595"
"Jun 06, 2022",$4.13,$4.51,$4.11,$4.21,"$8,747,612","$8,747,612"
"Jun 05, 2022",$4.21,$4.35,$4.04,$4.13,"$9,770,441","$9,770,441"
"Jun 04, 2022",$3.97,$4.67,$3.97,$4.21,"$15,090,880","$15,090,880"
"Jun 03, 2022",$4.06,$4.12,$3.92,$3.98,"$5,694,723","$5,694,723"
"Jun 02, 2022",$4.02,$4.27,$3.95,$4.06,"$7,826,530","$7,826,530"
"Jun 01, 2022",$4.18,$4.30,$3.80,$4.03,"$10,748,502","$10,748,502"
"May 31, 2022",$4.34,$4.40,$4.07,$4.18,"$7,651,981","$7,651,981"
"May 30, 2022",$4.27,$4.61,$4.26,$4.34,"$11,326,163","$11,326,163"
"May 29, 2022",$4.81,$4.94,$4.02,$4.28,"$14,577,550","$14,577,550"
"May 28, 2022",$4.82,$5.70,$4.26,$4.83,"$35,991,310","$35,991,310"
"May 27, 2022",$3.69,$4.78,$3.47,$4.28,"$23,231,945","$23,231,945"
"May 26, 2022",$4.06,$4.27,$3.57,$3.69,"$8,329,812","$8,329,812"
"May 25, 2022",$3.67,$4.77,$3.63,$4.07,"$26,913,827","$26,913,827"
"May 24, 2022",$3.57,$4.11,$3.46,$3.67,"$10,079,372","$10,079,372"
"May 23, 2022",$3.46,$4.65,$3.37,$3.57,"$16,202,881","$16,202,881"
"May 22, 2022",$3.70,$3.71,$3.39,$3.46,"$5,990,480","$5,990,480"
"May 21, 2022",$3.94,$4.08,$3.65,$3.71,"$8,443,173","$8,443,173"
"May 20, 2022",$3.68,$4.46,$3.67,$3.94,"$21,691,749","$21,691,749"
"May 19, 2022",$3.62,$5.68,$3.25,$3.67,"$34,894,549","$34,894,549"
"May 18, 2022",$2.86,$4.79,$2.85,$3.61,"$37,982,297","$37,982,297"
"May 17, 2022",$2.54,$3.14,$2.54,$2.86,"$5,541,338","$5,541,338"
"May 16, 2022",$2.75,$2.75,$2.52,$2.54,"$3,394,569","$3,394,569"
"May 15, 2022",$2.58,$2.76,$2.52,$2.75,"$3,865,302","$3,865,302"
"May 14, 2022",$2.40,$2.58,$2.32,$2.58,"$2,785,170","$2,785,170"
"May 13, 2022",$2.19,$2.67,$2.17,$2.40,"$4,702,897","$4,702,897"
"May 12, 2022",$2.27,$2.40,$1.85,$2.19,"$4,180,550","$4,180,550"
"May 11, 2022",$3.64,$3.71,$2.19,$2.28,"$5,213,170","$5,213,170"
"May 10, 2022",$3.73,$3.93,$3.53,$3.64,"$4,233,830","$4,233,830"
"May 09, 2022",$4.35,$4.42,$3.72,$3.72,"$5,223,807","$5,223,807"
"May 08, 2022",$4.47,$4.72,$4.35,$4.35,"$4,346,726","$4,346,726"
"May 07, 2022",$4.54,$4.57,$4.41,$4.47,"$3,616,160","$3,616,160"
"May 06, 2022",$4.63,$4.67,$4.49,$4.54,"$4,583,889","$4,583,889"
"May 05, 2022",$4.92,$4.97,$4.56,$4.63,"$4,167,444","$4,167,444"
"May 04, 2022",$4.74,$4.96,$4.69,$4.92,"$6,618,821","$6,618,821"
"May 03, 2022",$4.67,$5.15,$4.61,$4.75,"$6,645,291","$6,645,291"
"May 02, 2022",$4.69,$4.73,$4.58,$4.67,"$4,405,303","$4,405,303"
"May 01, 2022",$4.56,$5.34,$4.44,$4.69,"$8,884,570","$8,884,570"
"Apr 30, 2022",$4.89,$5.09,$4.53,$4.56,"$5,772,286","$5,772,286"
"Apr 29, 2022",$5.07,$5.11,$4.88,$4.89,"$6,132,060","$6,132,060"
"Apr 28, 2022",$5.18,$5.37,$5.07,$5.07,"$7,570,732","$7,570,732"
"Apr 27, 2022",$4.80,$5.25,$4.80,$5.19,"$5,090,551","$5,090,551"
"Apr 26, 2022",$5.19,$5.35,$4.77,$4.80,"$3,780,445","$3,780,445"
"Apr 25, 2022",$5.25,$5.35,$4.89,$5.19,"$6,167,113","$6,167,113"
"Apr 24, 2022",$5.45,$5.49,$5.25,$5.25,"$3,688,399","$3,688,399"
"Apr 23, 2022",$5.58,$5.61,$5.43,$5.45,"$3,710,712","$3,710,712"
"Apr 22, 2022",$5.68,$5.74,$5.49,$5.58,"$4,252,264","$4,252,264"
"Apr 21, 2022",$5.71,$5.90,$5.59,$5.68,"$4,934,388","$4,934,388"
"Apr 20, 2022",$5.74,$5.82,$5.66,$5.71,"$6,025,807","$6,025,807"
"Apr 19, 2022",$5.70,$5.79,$5.61,$5.74,"$4,011,141","$4,011,141"
"Apr 18, 2022",$5.69,$5.74,$5.46,$5.70,"$3,545,614","$3,545,614"
"Apr 17, 2022",$5.84,$5.93,$5.69,$5.69,"$4,101,566","$4,101,566"
"Apr 16, 2022",$5.87,$6.25,$5.82,$5.84,"$5,830,074","$5,830,074"
"Apr 15, 2022",$5.87,$5.95,$5.82,$5.87,"$4,232,952","$4,232,952"
"Apr 14, 2022",$5.96,$6.00,$5.77,$5.87,"$4,728,166","$4,728,166"
"Apr 13, 2022",$5.89,$6.03,$5.86,$5.95,"$4,212,407","$4,212,407"
"Apr 12, 2022",$5.85,$6.02,$5.81,$5.89,"$4,372,441","$4,372,441"
"Apr 11, 2022",$6.28,$6.31,$5.85,$5.85,"$6,021,179","$6,021,179"
"Apr 10, 2022",$6.14,$6.37,$6.07,$6.30,"$5,424,425","$5,424,425"
"Apr 09, 2022",$6.11,$6.20,$6.03,$6.14,"$4,722,351","$4,722,351"
"Apr 08, 2022",$6.23,$6.32,$6.08,$6.11,"$5,763,208","$5,763,208"
"Apr 07, 2022",$6.13,$6.68,$6.05,$6.22,"$10,328,471","$10,328,471"
"Apr 06, 2022",$6.52,$6.54,$6.13,$6.13,"$7,965,699","$7,965,699"
"Apr 05, 2022",$6.60,$6.69,$6.45,$6.52,"$6,982,325","$6,982,325"
"Apr 04, 2022",$6.66,$6.75,$6.46,$6.59,"$9,327,289","$9,327,289"
"Apr 03, 2022",$6.73,$7.04,$6.57,$6.66,"$9,700,430","$9,700,430"
"Apr 02, 2022",$6.68,$6.88,$6.66,$6.73,"$9,617,433","$9,617,433"
"Apr 01, 2022",$6.55,$6.75,$6.46,$6.68,"$7,032,547","$7,032,547"
"Mar 31, 2022",$6.67,$6.90,$6.40,$6.55,"$8,339,168","$8,339,168"
"Mar 30, 2022",$6.80,$6.80,$6.55,$6.67,"$6,877,456","$6,877,456"
"Mar 29, 2022",$6.42,$6.89,$6.41,$6.80,"$9,670,580","$9,670,580"
"Mar 28, 2022",$6.47,$6.61,$6.41,$6.41,"$7,805,738","$7,805,738"
"Mar 27, 2022",$6.44,$6.50,$6.34,$6.47,"$5,797,575","$5,797,575"
"Mar 26, 2022",$6.49,$6.61,$6.41,$6.44,"$6,079,825","$6,079,825"
"Mar 25, 2022",$6.50,$6.59,$6.43,$6.50,"$11,031,513","$11,031,513"
"Mar 24, 2022",$6.49,$6.63,$6.40,$6.49,"$10,174,180","$10,174,180"
"Mar 23, 2022",$6.43,$7.33,$6.33,$6.52,"$22,705,741","$22,705,741"
"Mar 22, 2022",$6.20,$7.13,$6.19,$6.43,"$15,956,447","$15,956,447"
"Mar 21, 2022",$6.15,$6.27,$6.12,$6.20,"$4,995,228","$4,995,228"
"Mar 20, 2022",$6.41,$6.48,$6.15,$6.15,"$6,245,152","$6,245,152"
"Mar 19, 2022",$6.36,$6.42,$6.28,$6.41,"$7,985,472","$7,985,472"
"Mar 18, 2022",$6.38,$6.42,$6.15,$6.36,"$6,082,672","$6,082,672"
"Mar 17, 2022",$6.49,$6.54,$6.32,$6.38,"$9,844,946","$9,844,946"
"Mar 16, 2022",$6.86,$7.16,$6.32,$6.51,"$15,982,922","$15,982,922"
"Mar 15, 2022",$6.86,$7.25,$6.59,$6.86,"$17,952,649","$17,952,649"
"Mar 14, 2022",$6.59,$7.55,$6.44,$6.86,"$18,388,663","$18,388,663"
"Mar 13, 2022",$6.57,$8.34,$6.46,$6.57,"$38,022,031","$38,022,031"
"Mar 12, 2022",$6.32,$7.28,$6.22,$6.54,"$18,265,075","$18,265,075"
"Mar 11, 2022",$6.07,$6.47,$5.99,$6.32,"$7,186,335","$7,186,335"
"Mar 10, 2022",$6.12,$6.26,$5.87,$6.07,"$4,776,570","$4,776,570"
"Mar 09, 2022",$5.94,$6.24,$5.92,$6.12,"$3,594,260","$3,594,260"
"Mar 08, 2022",$5.96,$6.06,$5.90,$5.94,"$2,225,677","$2,225,677"
"Mar 07, 2022",$6.01,$6.18,$5.82,$5.96,"$3,102,090","$3,102,090"
"Mar 06, 2022",$6.30,$6.36,$6.00,$6.00,"$3,765,212","$3,765,212"
"Mar 05, 2022",$6.30,$6.44,$6.20,$6.30,"$4,162,598","$4,162,598"
