Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.008084,$0.008487,$0.007878,$0.00846,"$1,576,236","$1,576,236"
"Sep 18, 2022",$0.008385,$0.008385,$0.007995,$0.008081,"$2,013,472","$2,013,472"
"Sep 17, 2022",$0.008275,$0.008403,$0.008224,$0.00837,"$1,164,927","$1,164,927"
"Sep 16, 2022",$0.008305,$0.008442,$0.008146,$0.008274,"$1,853,889","$1,853,889"
"Sep 15, 2022",$0.00838,$0.008439,$0.008203,$0.008304,"$1,357,182","$1,357,182"
"Sep 14, 2022",$0.008574,$0.008662,$0.008255,$0.008382,"$1,438,032","$1,438,032"
"Sep 13, 2022",$0.008651,$0.009081,$0.00841,$0.008611,"$2,114,886","$2,114,886"
"Sep 12, 2022",$0.009018,$0.009092,$0.008587,$0.008639,"$1,635,770","$1,635,770"
"Sep 11, 2022",$0.008893,$0.009111,$0.008558,$0.009022,"$2,441,092","$2,441,092"
"Sep 10, 2022",$0.008392,$0.009096,$0.00832,$0.008899,"$1,574,921","$1,574,921"
"Sep 09, 2022",$0.008286,$0.008841,$0.00803,$0.008391,"$2,066,423","$2,066,423"
"Sep 08, 2022",$0.008344,$0.008562,$0.007683,$0.008508,"$1,388,220","$1,388,220"
"Sep 07, 2022",$0.008265,$0.008495,$0.007935,$0.008349,"$1,411,989","$1,411,989"
"Sep 06, 2022",$0.008185,$0.008666,$0.008115,$0.008277,"$1,280,487","$1,280,487"
"Sep 05, 2022",$0.00833,$0.008756,$0.008118,$0.008174,"$1,573,076","$1,573,076"
"Sep 04, 2022",$0.008217,$0.008848,$0.008126,$0.008325,"$1,568,007","$1,568,007"
"Sep 03, 2022",$0.008283,$0.008866,$0.008095,$0.008217,"$925,441","$925,441"
"Sep 02, 2022",$0.008888,$0.008951,$0.008164,$0.008275,"$1,345,860","$1,345,860"
"Sep 01, 2022",$0.009013,$0.009184,$0.008299,$0.008889,"$2,216,553","$2,216,553"
"Aug 31, 2022",$0.009128,$0.009638,$0.00849,$0.009014,"$1,697,175","$1,697,175"
"Aug 30, 2022",$0.009276,$0.009407,$0.008877,$0.009137,"$1,495,080","$1,495,080"
