Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.1496,$0.1548,$0.1475,$0.1521,"$582,557","$582,557"
"Sep 15, 2022",$0.1546,$0.1549,$0.1484,$0.1496,"$331,926","$331,926"
"Sep 14, 2022",$0.1529,$0.1562,$0.1522,$0.1546,"$224,048","$224,048"
"Sep 13, 2022",$0.1655,$0.1664,$0.1522,$0.153,"$493,485","$493,485"
"Sep 12, 2022",$0.1726,$0.1746,$0.1653,$0.1654,"$580,159","$580,159"
"Sep 11, 2022",$0.1677,$0.1829,$0.1677,$0.1726,"$2,136,520","$2,136,520"
"Sep 10, 2022",$0.1625,$0.1792,$0.1614,$0.1677,"$2,444,538","$2,444,538"
"Sep 09, 2022",$0.156,$0.1626,$0.1558,$0.1618,"$1,068,028","$1,068,028"
"Sep 08, 2022",$0.1533,$0.1818,$0.151,$0.156,"$2,290,012","$2,290,012"
"Sep 07, 2022",$0.1493,$0.1614,$0.1466,$0.1533,"$2,995,025","$2,995,025"
"Sep 06, 2022",$0.155,$0.1567,$0.1491,$0.1493,"$405,007","$405,007"
"Sep 05, 2022",$0.1558,$0.1559,$0.1535,$0.1547,"$326,263","$326,263"
"Sep 04, 2022",$0.1544,$0.1579,$0.1535,$0.1557,"$744,775","$744,775"
"Sep 03, 2022",$0.1543,$0.156,$0.1537,$0.1542,"$324,959","$324,959"
"Sep 02, 2022",$0.154,$0.1607,$0.1532,$0.1543,"$446,989","$446,989"
"Sep 01, 2022",$0.1566,$0.1569,$0.1518,$0.154,"$238,690","$238,690"
"Aug 31, 2022",$0.1539,$0.1786,$0.1534,$0.1569,"$1,105,040","$1,105,040"
"Aug 30, 2022",$0.1579,$0.1599,$0.1528,$0.1539,"$404,818","$404,818"
"Aug 29, 2022",$0.1542,$0.1607,$0.1527,$0.1579,"$426,145","$426,145"
"Aug 28, 2022",$0.1576,$0.159,$0.154,$0.1541,"$223,602","$223,602"
"Aug 27, 2022",$0.1588,$0.16,$0.1554,$0.1578,"$319,418","$319,418"
"Aug 26, 2022",$0.1695,$0.17,$0.1586,$0.1589,"$422,413","$422,413"
"Aug 25, 2022",$0.1674,$0.1715,$0.1672,$0.1698,"$483,377","$483,377"
"Aug 24, 2022",$0.167,$0.1705,$0.1639,$0.1674,"$742,253","$742,253"
"Aug 23, 2022",$0.1675,$0.1705,$0.1651,$0.167,"$502,357","$502,357"
"Aug 22, 2022",$0.172,$0.1725,$0.1628,$0.1674,"$343,165","$343,165"
"Aug 21, 2022",$0.1646,$0.1728,$0.1645,$0.172,"$351,292","$351,292"
"Aug 20, 2022",$0.1655,$0.1702,$0.1636,$0.1647,"$507,649","$507,649"
"Aug 19, 2022",$0.1867,$0.187,$0.1653,$0.1655,"$819,629","$819,629"
"Aug 18, 2022",$0.1873,$0.1923,$0.1861,$0.1869,"$1,623,631","$1,623,631"
"Aug 17, 2022",$0.1948,$0.1979,$0.187,$0.1873,"$916,486","$916,486"
"Aug 16, 2022",$0.1996,$0.2012,$0.1944,$0.1949,"$403,871","$403,871"
"Aug 15, 2022",$0.2018,$0.2048,$0.198,$0.1996,"$661,678","$661,678"
"Aug 14, 2022",$0.204,$0.2109,$0.2004,$0.2016,"$904,049","$904,049"
"Aug 13, 2022",$0.2035,$0.2097,$0.2026,$0.204,"$1,206,795","$1,206,795"
"Aug 12, 2022",$0.1963,$0.2422,$0.1961,$0.2035,"$6,202,146","$6,202,146"
"Aug 11, 2022",$0.1922,$0.2112,$0.1922,$0.1966,"$1,444,304","$1,444,304"
"Aug 10, 2022",$0.1847,$0.1936,$0.1832,$0.1922,"$388,860","$388,860"
"Aug 09, 2022",$0.1941,$0.1951,$0.184,$0.1847,"$362,426","$362,426"
"Aug 08, 2022",$0.1938,$0.1966,$0.1908,$0.1941,"$712,202","$712,202"
"Aug 07, 2022",$0.191,$0.1954,$0.1874,$0.1938,"$676,212","$676,212"
"Aug 06, 2022",$0.1903,$0.2006,$0.189,$0.191,"$1,016,061","$1,016,061"
"Aug 05, 2022",$0.187,$0.1927,$0.1837,$0.1903,"$2,118,369","$2,118,369"
"Aug 04, 2022",$0.1806,$0.2761,$0.1806,$0.1871,"$6,489,232","$6,489,232"
"Aug 03, 2022",$0.1809,$0.1844,$0.1769,$0.1805,"$438,655","$438,655"
"Aug 02, 2022",$0.1899,$0.192,$0.1766,$0.1809,"$790,747","$790,747"
"Aug 01, 2022",$0.184,$0.1917,$0.1838,$0.1898,"$2,076,148","$2,076,148"
"Jul 31, 2022",$0.1847,$0.1979,$0.1833,$0.184,"$1,129,106","$1,129,106"
"Jul 30, 2022",$0.1818,$0.1948,$0.1804,$0.1847,"$928,729","$928,729"
"Jul 29, 2022",$0.1828,$0.1888,$0.178,$0.1817,"$1,040,641","$1,040,641"
"Jul 28, 2022",$0.1767,$0.185,$0.1745,$0.1828,"$1,194,002","$1,194,002"
"Jul 27, 2022",$0.1677,$0.1774,$0.1677,$0.1767,"$794,300","$794,300"
"Jul 26, 2022",$0.171,$0.171,$0.165,$0.1677,"$476,636","$476,636"
"Jul 25, 2022",$0.1797,$0.1799,$0.1704,$0.171,"$428,718","$428,718"
"Jul 24, 2022",$0.1797,$0.1867,$0.1797,$0.1797,"$424,390","$424,390"
"Jul 23, 2022",$0.1767,$0.1815,$0.1742,$0.1797,"$456,659","$456,659"
"Jul 22, 2022",$0.1832,$0.1889,$0.174,$0.1767,"$673,425","$673,425"
"Jul 21, 2022",$0.1818,$0.1838,$0.1738,$0.1832,"$805,593","$805,593"
"Jul 20, 2022",$0.1942,$0.2034,$0.1801,$0.1815,"$2,007,154","$2,007,154"
"Jul 19, 2022",$0.184,$0.1954,$0.183,$0.1942,"$1,948,385","$1,948,385"
"Jul 18, 2022",$0.1792,$0.1864,$0.1786,$0.184,"$1,348,445","$1,348,445"
"Jul 17, 2022",$0.179,$0.1831,$0.1781,$0.1792,"$863,429","$863,429"
"Jul 16, 2022",$0.1823,$0.1833,$0.1759,$0.179,"$1,236,835","$1,236,835"
"Jul 15, 2022",$0.174,$0.1835,$0.1677,$0.1823,"$1,579,923","$1,579,923"
"Jul 14, 2022",$0.1694,$0.1754,$0.1677,$0.174,"$803,972","$803,972"
"Jul 13, 2022",$0.1677,$0.1727,$0.166,$0.1694,"$560,363","$560,363"
"Jul 12, 2022",$0.1801,$0.1805,$0.1619,$0.1678,"$615,041","$615,041"
"Jul 11, 2022",$0.1839,$0.1848,$0.1775,$0.1801,"$490,140","$490,140"
"Jul 10, 2022",$0.1889,$0.1898,$0.181,$0.1839,"$810,194","$810,194"
"Jul 09, 2022",$0.1866,$0.1934,$0.1863,$0.1889,"$1,414,588","$1,414,588"
"Jul 08, 2022",$0.1911,$0.1933,$0.1765,$0.187,"$970,990","$970,990"
"Jul 07, 2022",$0.1784,$0.1969,$0.1779,$0.1911,"$1,795,633","$1,795,633"
"Jul 06, 2022",$0.1858,$0.1901,$0.1784,$0.1784,"$990,776","$990,776"
"Jul 05, 2022",$0.1906,$0.1906,$0.1752,$0.1858,"$1,317,774","$1,317,774"
"Jul 04, 2022",$0.1845,$0.1941,$0.1841,$0.1906,"$1,301,165","$1,301,165"
"Jul 03, 2022",$0.1799,$0.2109,$0.1772,$0.1843,"$1,941,212","$1,941,212"
"Jul 02, 2022",$0.1826,$0.1847,$0.1699,$0.1798,"$1,366,865","$1,366,865"
"Jul 01, 2022",$0.1817,$0.189,$0.1749,$0.1825,"$1,611,590","$1,611,590"
"Jun 30, 2022",$0.1934,$0.1945,$0.1743,$0.1816,"$970,386","$970,386"
"Jun 29, 2022",$0.2004,$0.2062,$0.1849,$0.1933,"$921,701","$921,701"
"Jun 28, 2022",$0.2142,$0.2163,$0.198,$0.1998,"$1,502,007","$1,502,007"
"Jun 27, 2022",$0.2063,$0.2407,$0.1985,$0.2143,"$4,204,637","$4,204,637"
"Jun 26, 2022",$0.1972,$0.2569,$0.1815,$0.2063,"$11,078,306","$11,078,306"
"Jun 25, 2022",$0.1769,$0.2357,$0.1725,$0.1981,"$3,274,125","$3,274,125"
"Jun 24, 2022",$0.1678,$0.1781,$0.1672,$0.1778,"$609,515","$609,515"
"Jun 23, 2022",$0.1669,$0.175,$0.1649,$0.1679,"$636,552","$636,552"
"Jun 22, 2022",$0.1735,$0.1835,$0.1638,$0.1669,"$611,536","$611,536"
"Jun 21, 2022",$0.1688,$0.1779,$0.1661,$0.1732,"$1,707,928","$1,707,928"
"Jun 20, 2022",$0.1676,$0.1694,$0.1589,$0.1689,"$784,826","$784,826"
"Jun 19, 2022",$0.1571,$0.1678,$0.1485,$0.1674,"$613,087","$613,087"
"Jun 18, 2022",$0.17,$0.1723,$0.1453,$0.157,"$1,773,706","$1,773,706"
"Jun 17, 2022",$0.1609,$0.1718,$0.1582,$0.1691,"$929,677","$929,677"
"Jun 16, 2022",$0.1764,$0.179,$0.1588,$0.161,"$2,073,339","$2,073,339"
"Jun 15, 2022",$0.1685,$0.1764,$0.147,$0.1764,"$3,199,532","$3,199,532"
"Jun 14, 2022",$0.1691,$0.1732,$0.1509,$0.1685,"$2,965,135","$2,965,135"
"Jun 13, 2022",$0.2021,$0.2033,$0.1638,$0.1693,"$1,618,261","$1,618,261"
"Jun 12, 2022",$0.2094,$0.2391,$0.2026,$0.2026,"$1,795,438","$1,795,438"
"Jun 11, 2022",$0.2262,$0.2357,$0.2054,$0.2093,"$1,543,350","$1,543,350"
"Jun 10, 2022",$0.2449,$0.2456,$0.2247,$0.2272,"$1,698,637","$1,698,637"
"Jun 09, 2022",$0.2485,$0.2486,$0.2402,$0.2456,"$1,255,105","$1,255,105"
"Jun 08, 2022",$0.2424,$0.2742,$0.2424,$0.2485,"$1,930,741","$1,930,741"
"Jun 07, 2022",$0.2548,$0.2553,$0.2314,$0.2424,"$1,543,558","$1,543,558"
"Jun 06, 2022",$0.251,$0.2621,$0.2428,$0.2548,"$2,146,940","$2,146,940"
"Jun 05, 2022",$0.2379,$0.286,$0.2379,$0.251,"$2,234,428","$2,234,428"
"Jun 04, 2022",$0.2449,$0.2497,$0.2308,$0.2374,"$1,856,277","$1,856,277"
"Jun 03, 2022",$0.2353,$0.2682,$0.2352,$0.2454,"$2,216,988","$2,216,988"
"Jun 02, 2022",$0.2556,$0.2556,$0.231,$0.2359,"$1,881,038","$1,881,038"
"Jun 01, 2022",$0.2207,$0.3674,$0.2207,$0.2554,"$11,293,138","$11,293,138"
"May 31, 2022",$0.2245,$0.2334,$0.2175,$0.2209,"$2,931,523","$2,931,523"
"May 30, 2022",$0.2064,$0.2253,$0.2064,$0.2248,"$2,188,299","$2,188,299"
"May 29, 2022",$0.2036,$0.2074,$0.1995,$0.2074,"$1,245,355","$1,245,355"
"May 28, 2022",$0.2031,$0.218,$0.1962,$0.2034,"$1,184,378","$1,184,378"
"May 27, 2022",$0.2068,$0.2216,$0.1965,$0.1965,"$2,738,047","$2,738,047"
"May 26, 2022",$0.2313,$0.2486,$0.204,$0.2061,"$6,062,460","$6,062,460"
"May 25, 2022",$0.2238,$0.2314,$0.2218,$0.2314,"$808,290","$808,290"
"May 24, 2022",$0.2248,$0.2296,$0.2131,$0.2238,"$772,400","$772,400"
"May 23, 2022",$0.2403,$0.2481,$0.2241,$0.2248,"$2,378,239","$2,378,239"
"May 22, 2022",$0.234,$0.2424,$0.2311,$0.2404,"$5,031,888","$5,031,888"
"May 21, 2022",$0.2369,$0.2371,$0.2293,$0.2339,"$2,512,579","$2,512,579"
"May 20, 2022",$0.245,$0.2567,$0.229,$0.2369,"$1,663,677","$1,663,677"
"May 19, 2022",$0.2296,$0.2908,$0.225,$0.245,"$7,790,240","$7,790,240"
"May 18, 2022",$0.2412,$0.2451,$0.2268,$0.2297,"$2,786,231","$2,786,231"
"May 17, 2022",$0.2363,$0.2427,$0.2334,$0.2413,"$2,665,564","$2,665,564"
"May 16, 2022",$0.2356,$0.2421,$0.2203,$0.2363,"$4,907,695","$4,907,695"
"May 15, 2022",$0.2224,$0.2372,$0.2165,$0.2357,"$1,359,045","$1,359,045"
"May 14, 2022",$0.22,$0.2271,$0.2058,$0.2219,"$2,653,414","$2,653,414"
"May 13, 2022",$0.1951,$0.2307,$0.1922,$0.22,"$2,917,615","$2,917,615"
"May 12, 2022",$0.2269,$0.2351,$0.1691,$0.1951,"$3,576,280","$3,576,280"
"May 11, 2022",$0.2981,$0.3011,$0.2236,$0.2272,"$3,172,988","$3,172,988"
"May 10, 2022",$0.2937,$0.3217,$0.2797,$0.2983,"$1,480,767","$1,480,767"
"May 09, 2022",$0.355,$0.3577,$0.2924,$0.2939,"$1,838,712","$1,838,712"
"May 08, 2022",$0.3737,$0.3743,$0.3523,$0.3547,"$624,360","$624,360"
"May 07, 2022",$0.3823,$0.387,$0.3661,$0.3737,"$945,814","$945,814"
"May 06, 2022",$0.3938,$0.3941,$0.3756,$0.3825,"$840,098","$840,098"
"May 05, 2022",$0.4307,$0.4343,$0.3875,$0.3938,"$1,594,430","$1,594,430"
"May 04, 2022",$0.4019,$0.4312,$0.4019,$0.4307,"$4,222,934","$4,222,934"
"May 03, 2022",$0.4064,$0.41,$0.3952,$0.4016,"$2,507,107","$2,507,107"
"May 02, 2022",$0.4178,$0.4202,$0.4016,$0.4064,"$578,064","$578,064"
"May 01, 2022",$0.4151,$0.4193,$0.4025,$0.4178,"$849,927","$849,927"
"Apr 30, 2022",$0.453,$0.4635,$0.4137,$0.4147,"$803,253","$803,253"
"Apr 29, 2022",$0.4847,$0.492,$0.4519,$0.453,"$1,137,616","$1,137,616"
"Apr 28, 2022",$0.4622,$0.5087,$0.4537,$0.4847,"$2,864,531","$2,864,531"
"Apr 27, 2022",$0.4587,$0.468,$0.4553,$0.4612,"$1,132,136","$1,132,136"
"Apr 26, 2022",$0.4995,$0.5006,$0.4568,$0.4576,"$854,394","$854,394"
"Apr 25, 2022",$0.5179,$0.5183,$0.4751,$0.499,"$2,196,855","$2,196,855"
"Apr 24, 2022",$0.5161,$0.5371,$0.5112,$0.5178,"$2,279,545","$2,279,545"
"Apr 23, 2022",$0.5168,$0.5403,$0.5136,$0.5164,"$2,215,160","$2,215,160"
"Apr 22, 2022",$0.5198,$0.5289,$0.5158,$0.5169,"$1,714,512","$1,714,512"
"Apr 21, 2022",$0.5302,$0.5418,$0.5197,$0.5198,"$1,951,178","$1,951,178"
"Apr 20, 2022",$0.5395,$0.5421,$0.5236,$0.5294,"$2,151,960","$2,151,960"
"Apr 19, 2022",$0.529,$0.5514,$0.5165,$0.5384,"$3,931,398","$3,931,398"
"Apr 18, 2022",$0.5357,$0.5391,$0.5039,$0.5291,"$3,238,207","$3,238,207"
"Apr 17, 2022",$0.5405,$0.5767,$0.5356,$0.5356,"$1,867,452","$1,867,452"
"Apr 16, 2022",$0.5422,$0.5942,$0.5355,$0.5405,"$2,366,339","$2,366,339"
"Apr 15, 2022",$0.547,$0.5509,$0.5413,$0.5419,"$1,452,903","$1,452,903"
"Apr 14, 2022",$0.5791,$0.5894,$0.5436,$0.5469,"$1,931,327","$1,931,327"
"Apr 13, 2022",$0.54,$0.5839,$0.5385,$0.579,"$2,984,314","$2,984,314"
"Apr 12, 2022",$0.531,$0.5848,$0.5299,$0.54,"$2,428,502","$2,428,502"
"Apr 11, 2022",$0.6094,$0.6108,$0.5298,$0.5313,"$3,210,915","$3,210,915"
"Apr 10, 2022",$0.6087,$0.6178,$0.6087,$0.6094,"$2,227,550","$2,227,550"
"Apr 09, 2022",$0.5963,$0.6127,$0.5963,$0.6086,"$2,738,550","$2,738,550"
"Apr 08, 2022",$0.6143,$0.6332,$0.5959,$0.5964,"$4,587,693","$4,587,693"
"Apr 07, 2022",$0.6119,$0.6175,$0.6054,$0.6142,"$3,458,173","$3,458,173"
"Apr 06, 2022",$0.6563,$0.6563,$0.6042,$0.6119,"$3,092,485","$3,092,485"
"Apr 05, 2022",$0.6659,$0.6828,$0.6542,$0.6557,"$2,726,183","$2,726,183"
"Apr 04, 2022",$0.6961,$0.7083,$0.6583,$0.6659,"$3,725,405","$3,725,405"
"Apr 03, 2022",$0.6467,$0.7429,$0.6467,$0.6961,"$17,290,498","$17,290,498"
"Apr 02, 2022",$0.6406,$0.6675,$0.6396,$0.6468,"$2,629,167","$2,629,167"
"Apr 01, 2022",$0.6493,$0.6696,$0.6239,$0.6406,"$3,511,365","$3,511,365"
"Mar 31, 2022",$0.6495,$0.6665,$0.6463,$0.6493,"$3,584,451","$3,584,451"
"Mar 30, 2022",$0.6409,$0.6585,$0.6404,$0.6495,"$3,086,639","$3,086,639"
