Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$104.24,$109.68,$100.30,$100.36,"$11,996,434","$11,996,434"
"Sep 17, 2022",$99.96,$104.54,$99.96,$104.23,"$3,100,035","$3,100,035"
"Sep 16, 2022",$101.88,$103.08,$98.51,$99.93,"$3,061,748","$3,061,748"
"Sep 15, 2022",$105.35,$107.81,$101.40,$101.87,"$5,310,783","$5,310,783"
"Sep 14, 2022",$105.13,$106.39,$103.02,$105.32,"$3,600,470","$3,600,470"
"Sep 13, 2022",$114.15,$114.38,$104.71,$105.63,"$4,869,149","$4,869,149"
"Sep 12, 2022",$114.36,$115.96,$111.51,$114.12,"$4,389,931","$4,389,931"
"Sep 11, 2022",$115.79,$117.53,$113.43,$114.36,"$4,069,055","$4,069,055"
"Sep 10, 2022",$116.37,$117.08,$113.43,$115.80,"$4,629,612","$4,629,612"
"Sep 09, 2022",$113.65,$119.12,$112.59,$116.37,"$9,093,726","$9,093,726"
"Sep 08, 2022",$108.26,$124.42,$105.25,$113.66,"$32,131,140","$32,131,140"
"Sep 07, 2022",$107.17,$109.95,$102.54,$108.25,"$6,567,336","$6,567,336"
"Sep 06, 2022",$114.16,$116.67,$107.27,$107.27,"$5,410,170","$5,410,170"
"Sep 05, 2022",$117.31,$118.10,$112.84,$114.14,"$3,250,072","$3,250,072"
"Sep 04, 2022",$113.80,$117.85,$113.14,$117.32,"$2,781,538","$2,781,538"
"Sep 03, 2022",$115.70,$115.95,$112.88,$113.80,"$2,218,559","$2,218,559"
"Sep 02, 2022",$116.31,$119.26,$114.33,$115.71,"$3,401,015","$3,401,015"
"Sep 01, 2022",$114.15,$117.92,$113.25,$116.33,"$3,373,050","$3,373,050"
"Aug 31, 2022",$116.30,$120.47,$113.76,$114.12,"$3,445,407","$3,445,407"
"Aug 30, 2022",$120.30,$123.52,$113.99,$116.32,"$3,734,519","$3,734,519"
"Aug 29, 2022",$113.13,$120.33,$112.55,$120.33,"$2,966,346","$2,966,346"
"Aug 28, 2022",$114.98,$118.27,$113.11,$113.11,"$2,389,334","$2,389,334"
"Aug 27, 2022",$117.40,$118.48,$113.04,$114.99,"$3,039,490","$3,039,490"
"Aug 26, 2022",$128.64,$128.64,$117.16,$117.40,"$5,209,774","$5,209,774"
"Aug 25, 2022",$127.73,$134.70,$127.66,$128.65,"$5,082,865","$5,082,865"
"Aug 24, 2022",$127.20,$130.86,$124.19,$127.76,"$4,534,386","$4,534,386"
"Aug 23, 2022",$124.98,$127.85,$122.28,$127.18,"$3,419,155","$3,419,155"
"Aug 22, 2022",$130.45,$130.52,$120.85,$125.01,"$4,586,922","$4,586,922"
"Aug 21, 2022",$122.67,$131.25,$122.00,$130.48,"$7,798,386","$7,798,386"
"Aug 20, 2022",$121.26,$128.58,$119.26,$122.63,"$6,146,768","$6,146,768"
"Aug 19, 2022",$136.30,$136.33,$120.66,$121.21,"$7,191,001","$7,191,001"
"Aug 18, 2022",$138.88,$140.55,$136.22,$136.36,"$3,953,866","$3,953,866"
