Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$30.67,$30.83,$28.01,$28.53,"$103,988","$103,988"
"Sep 20, 2022",$33.98,$34.07,$30.61,$30.65,"$321,232","$321,232"
"Sep 19, 2022",$33.16,$34.14,$32.25,$34.02,"$117,540","$117,540"
"Sep 18, 2022",$35.12,$35.36,$32.96,$33.15,"$146,189","$146,189"
"Sep 17, 2022",$34.67,$35.48,$34.52,$35.12,"$160,753","$160,753"
"Sep 16, 2022",$35.68,$35.83,$34.30,$34.64,"$113,558","$113,558"
"Sep 15, 2022",$38.44,$38.68,$35.51,$35.67,"$127,960","$127,960"
"Sep 14, 2022",$38.70,$39.24,$37.55,$38.42,"$234,837","$234,837"
"Sep 13, 2022",$40.38,$40.72,$38.18,$38.45,"$195,543","$195,543"
"Sep 12, 2022",$43.65,$43.67,$40.31,$40.37,"$389,580","$389,580"
"Sep 11, 2022",$44.32,$44.41,$43.26,$43.67,"$118,710","$118,710"
"Sep 10, 2022",$44.66,$44.93,$44.18,$44.32,"$151,721","$151,721"
"Sep 09, 2022",$44.31,$45.59,$44.10,$44.69,"$569,344","$569,344"
"Sep 08, 2022",$43.99,$44.42,$43.16,$44.32,"$504,401","$504,401"
"Sep 07, 2022",$42.78,$44.06,$41.14,$44.00,"$321,623","$321,623"
"Sep 06, 2022",$47.89,$48.68,$42.68,$42.77,"$393,632","$393,632"
"Sep 05, 2022",$46.55,$48.33,$46.32,$47.90,"$714,145","$714,145"
"Sep 04, 2022",$46.30,$46.86,$45.67,$46.56,"$556,773","$556,773"
"Sep 03, 2022",$45.85,$46.68,$45.72,$46.32,"$498,844","$498,844"
"Sep 02, 2022",$46.88,$49.34,$45.80,$45.85,"$709,065","$709,065"
"Sep 01, 2022",$44.64,$47.02,$43.39,$46.88,"$724,843","$724,843"
"Aug 31, 2022",$42.88,$51.44,$42.87,$44.62,"$1,783,634","$1,783,634"
"Aug 30, 2022",$36.99,$42.86,$36.55,$42.86,"$522,378","$522,378"
"Aug 29, 2022",$35.02,$37.02,$34.62,$37.00,"$266,356","$266,356"
"Aug 28, 2022",$34.84,$35.72,$34.38,$35.05,"$104,725","$104,725"
"Aug 27, 2022",$35.50,$35.52,$34.48,$34.81,"$79,788","$79,788"
"Aug 26, 2022",$38.41,$38.64,$35.42,$35.50,"$249,738","$249,738"
"Aug 25, 2022",$36.94,$38.71,$36.86,$38.39,"$185,074","$185,074"
"Aug 24, 2022",$37.21,$37.36,$34.87,$36.94,"$248,180","$248,180"
"Aug 23, 2022",$35.31,$37.31,$33.83,$37.22,"$154,509","$154,509"
"Aug 22, 2022",$35.28,$35.33,$32.72,$35.32,"$243,050","$243,050"
"Aug 21, 2022",$34.64,$35.71,$33.60,$35.28,"$135,356","$135,356"
"Aug 20, 2022",$32.81,$34.72,$32.25,$34.60,"$159,504","$159,504"
"Aug 19, 2022",$39.00,$39.07,$32.77,$32.81,"$236,284","$236,284"
"Aug 18, 2022",$38.31,$40.12,$38.22,$39.02,"$164,293","$164,293"
"Aug 17, 2022",$38.87,$40.60,$37.52,$38.30,"$162,097","$162,097"
"Aug 16, 2022",$39.89,$40.00,$37.97,$38.84,"$236,876","$236,876"
"Aug 15, 2022",$40.85,$42.18,$39.78,$39.90,"$239,935","$239,935"
"Aug 14, 2022",$43.22,$43.47,$40.49,$40.86,"$174,532","$174,532"
"Aug 13, 2022",$43.10,$44.45,$42.98,$43.26,"$171,820","$171,820"
"Aug 12, 2022",$42.51,$43.34,$42.19,$43.05,"$130,374","$130,374"
"Aug 11, 2022",$42.08,$43.35,$42.00,$42.26,"$130,910","$130,910"
"Aug 10, 2022",$40.46,$42.56,$39.77,$42.10,"$109,918","$109,918"
"Aug 09, 2022",$42.93,$43.27,$40.17,$40.50,"$178,311","$178,311"
"Aug 08, 2022",$40.58,$43.90,$40.52,$42.90,"$187,258","$187,258"
"Aug 07, 2022",$40.57,$40.57,$39.71,$40.53,"$90,884","$90,884"
"Aug 06, 2022",$40.04,$41.20,$40.02,$40.57,"$145,343","$145,343"
"Aug 05, 2022",$37.86,$40.51,$37.86,$40.08,"$105,178","$105,178"
"Aug 04, 2022",$38.26,$39.24,$37.32,$37.85,"$132,145","$132,145"
"Aug 03, 2022",$37.51,$38.25,$36.67,$38.24,"$188,581","$188,581"
"Aug 02, 2022",$38.15,$38.24,$35.14,$37.51,"$246,299","$246,299"
