Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.661,$0.6727,$0.6217,$0.6234,"$112,469","$112,469"
"Sep 18, 2022",$0.6668,$0.673,$0.6567,$0.6611,"$49,707","$49,707"
"Sep 17, 2022",$0.6682,$0.6857,$0.6614,$0.6668,"$52,169","$52,169"
"Sep 16, 2022",$0.6713,$0.6738,$0.6481,$0.6682,"$67,416","$67,416"
"Sep 15, 2022",$0.6689,$0.6992,$0.648,$0.6713,"$131,479","$131,479"
"Sep 14, 2022",$0.6946,$0.705,$0.6563,$0.6689,"$102,930","$102,930"
"Sep 13, 2022",$0.758,$0.7751,$0.6937,$0.7006,"$126,882","$126,882"
"Sep 12, 2022",$0.7084,$0.7758,$0.7001,$0.758,"$178,591","$178,591"
"Sep 11, 2022",$0.6949,$0.7276,$0.6948,$0.7119,"$75,259","$75,259"
"Sep 10, 2022",$0.6853,$0.7147,$0.6809,$0.699,"$63,760","$63,760"
"Sep 09, 2022",$0.6629,$0.7091,$0.6517,$0.6853,"$114,985","$114,985"
"Sep 08, 2022",$0.6332,$0.6695,$0.6179,$0.6629,"$89,474","$89,474"
"Sep 07, 2022",$0.6292,$0.6485,$0.6206,$0.6334,"$54,853","$54,853"
"Sep 06, 2022",$0.6181,$0.669,$0.6133,$0.6292,"$163,294","$163,294"
"Sep 05, 2022",$0.6369,$0.6455,$0.6096,$0.6181,"$45,883","$45,883"
"Sep 04, 2022",$0.6303,$0.6478,$0.6264,$0.6369,"$42,529","$42,529"
"Sep 03, 2022",$0.6527,$0.6615,$0.6252,$0.6303,"$75,839","$75,839"
"Sep 02, 2022",$0.6605,$0.6952,$0.6448,$0.6521,"$67,299","$67,299"
"Sep 01, 2022",$0.6594,$0.6749,$0.6464,$0.6605,"$69,031","$69,031"
"Aug 31, 2022",$0.69,$0.7277,$0.6303,$0.6594,"$140,198","$140,198"
"Aug 30, 2022",$0.6739,$0.7539,$0.6733,$0.69,"$123,005","$123,005"
"Aug 29, 2022",$0.7234,$0.7758,$0.6703,$0.6739,"$150,460","$150,460"
"Aug 28, 2022",$0.6626,$0.744,$0.6595,$0.7234,"$112,110","$112,110"
"Aug 27, 2022",$0.7009,$0.7141,$0.6584,$0.6631,"$70,171","$70,171"
"Aug 26, 2022",$0.8007,$0.826,$0.6575,$0.7009,"$221,534","$221,534"
