Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.00001175,$0.00001201,$0.00001155,$0.00001197,"$393,842","$393,842"
"Sep 18, 2022",$0.00001194,$0.00001201,$0.00001167,$0.00001175,"$364,551","$364,551"
"Sep 17, 2022",$0.00001197,$0.00001204,$0.00001169,$0.00001194,"$342,656","$342,656"
"Sep 16, 2022",$0.00001188,$0.00001201,$0.00001185,$0.00001196,"$456,813","$456,813"
"Sep 15, 2022",$0.00001193,$0.00001196,$0.00001164,$0.00001188,"$695,476","$695,476"
"Sep 14, 2022",$0.00001178,$0.00001196,$0.00001144,$0.00001193,"$590,992","$590,992"
"Sep 13, 2022",$0.00001197,$0.0000121,$0.00001147,$0.0000115,"$604,014","$604,014"
"Sep 12, 2022",$0.00001198,$0.00001206,$0.00001181,$0.00001197,"$530,524","$530,524"
"Sep 11, 2022",$0.00001175,$0.00001202,$0.00001175,$0.00001198,"$521,015","$521,015"
"Sep 10, 2022",$0.00001182,$0.0000119,$0.00001158,$0.00001172,"$713,743","$713,743"
"Sep 09, 2022",$0.00001185,$0.00001216,$0.00001166,$0.00001182,"$822,094","$822,094"
"Sep 08, 2022",$0.00001159,$0.000012,$0.00001155,$0.00001185,"$1,226,368","$1,226,368"
"Sep 07, 2022",$0.00001147,$0.00001188,$0.00001141,$0.00001159,"$756,433","$756,433"
"Sep 06, 2022",$0.00001152,$0.00001173,$0.00001139,$0.00001147,"$544,435","$544,435"
"Sep 05, 2022",$0.0000115,$0.0000116,$0.00001141,$0.00001152,"$333,550","$333,550"
"Sep 04, 2022",$0.00001162,$0.00001172,$0.00001134,$0.0000115,"$300,053","$300,053"
"Sep 03, 2022",$0.00001167,$0.00001168,$0.00001127,$0.00001162,"$252,145","$252,145"
"Sep 02, 2022",$0.00001181,$0.00001185,$0.00001159,$0.00001167,"$331,627","$331,627"
"Sep 01, 2022",$0.00001179,$0.00001215,$0.00001133,$0.00001181,"$463,793","$463,793"
"Aug 31, 2022",$0.00001185,$0.00001217,$0.00001173,$0.00001179,"$825,876","$825,876"
"Aug 30, 2022",$0.00001174,$0.00001199,$0.0000116,$0.00001185,"$719,959","$719,959"
"Aug 29, 2022",$0.00001145,$0.00001215,$0.00001134,$0.00001174,"$563,853","$563,853"
"Aug 28, 2022",$0.00001156,$0.00001184,$0.0000114,$0.0000114,"$307,484","$307,484"
"Aug 27, 2022",$0.00001182,$0.00001184,$0.00001137,$0.00001156,"$285,006","$285,006"
"Aug 26, 2022",$0.0000121,$0.00001235,$0.00001164,$0.00001182,"$504,683","$504,683"
"Aug 25, 2022",$0.00001189,$0.00001242,$0.00001171,$0.0000121,"$328,171","$328,171"
"Aug 24, 2022",$0.00001198,$0.00001246,$0.00001164,$0.00001189,"$515,249","$515,249"
"Aug 23, 2022",$0.00001198,$0.00001201,$0.00001171,$0.00001198,"$311,533","$311,533"
"Aug 22, 2022",$0.00001189,$0.00001202,$0.00001173,$0.00001198,"$337,745","$337,745"
"Aug 21, 2022",$0.00001195,$0.00001207,$0.00001184,$0.00001189,"$305,686","$305,686"
"Aug 20, 2022",$0.00001205,$0.00001217,$0.00001189,$0.00001196,"$337,699","$337,699"
"Aug 19, 2022",$0.00001221,$0.00001225,$0.00001191,$0.00001206,"$497,257","$497,257"
"Aug 18, 2022",$0.00001233,$0.00001244,$0.0000122,$0.00001221,"$423,724","$423,724"
"Aug 17, 2022",$0.00001273,$0.00001287,$0.00001229,$0.00001233,"$308,940","$308,940"
"Aug 16, 2022",$0.00001269,$0.00001278,$0.00001243,$0.00001273,"$250,617","$250,617"
"Aug 15, 2022",$0.00001285,$0.00001306,$0.0000125,$0.00001269,"$373,959","$373,959"
"Aug 14, 2022",$0.00001268,$0.00001321,$0.00001268,$0.00001285,"$423,889","$423,889"
"Aug 13, 2022",$0.00001263,$0.00001309,$0.0000126,$0.00001268,"$505,982","$505,982"
"Aug 12, 2022",$0.00001269,$0.00001296,$0.00001256,$0.00001263,"$510,097","$510,097"
"Aug 11, 2022",$0.0000117,$0.00001276,$0.00001153,$0.0000127,"$803,938","$803,938"
"Aug 10, 2022",$0.00001156,$0.00001173,$0.0000115,$0.0000117,"$425,848","$425,848"
"Aug 09, 2022",$0.00001177,$0.00001181,$0.00001156,$0.00001156,"$287,143","$287,143"
"Aug 08, 2022",$0.00001166,$0.00001181,$0.0000116,$0.00001177,"$334,164","$334,164"
"Aug 07, 2022",$0.00001165,$0.00001167,$0.00001155,$0.00001166,"$250,561","$250,561"
"Aug 06, 2022",$0.00001162,$0.00001171,$0.00001157,$0.00001165,"$274,227","$274,227"
"Aug 05, 2022",$0.00001169,$0.00001172,$0.00001154,$0.00001161,"$297,670","$297,670"
"Aug 04, 2022",$0.00001171,$0.00001189,$0.00001164,$0.00001169,"$277,268","$277,268"
"Aug 03, 2022",$0.00001199,$0.00001201,$0.00001164,$0.00001171,"$393,635","$393,635"
"Aug 02, 2022",$0.00001219,$0.00001221,$0.00001188,$0.00001199,"$401,823","$401,823"
"Aug 01, 2022",$0.00001218,$0.00001219,$0.00001202,$0.00001218,"$426,752","$426,752"
"Jul 31, 2022",$0.00001206,$0.00001227,$0.00001206,$0.00001218,"$366,937","$366,937"
"Jul 30, 2022",$0.00001205,$0.00001228,$0.00001197,$0.00001206,"$460,357","$460,357"
