Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.262,$0.262,$0.2453,$0.2573,"$1,308,409","$1,308,409"
"Sep 18, 2022",$0.2727,$0.2727,$0.2602,$0.262,"$961,117","$961,117"
"Sep 17, 2022",$0.2784,$0.2835,$0.2697,$0.2728,"$1,453,956","$1,453,956"
"Sep 16, 2022",$0.2678,$0.2849,$0.2631,$0.2784,"$2,412,129","$2,412,129"
"Sep 15, 2022",$0.2816,$0.2911,$0.2615,$0.2676,"$4,140,291","$4,140,291"
"Sep 14, 2022",$0.2595,$0.2917,$0.259,$0.2821,"$5,656,831","$5,656,831"
"Sep 13, 2022",$0.2811,$0.3063,$0.2586,$0.2604,"$4,004,599","$4,004,599"
"Sep 12, 2022",$0.2756,$0.2894,$0.2718,$0.2811,"$1,490,816","$1,490,816"
"Sep 11, 2022",$0.2751,$0.2793,$0.271,$0.2757,"$1,306,667","$1,306,667"
"Sep 10, 2022",$0.2742,$0.277,$0.2697,$0.275,"$1,226,172","$1,226,172"
"Sep 09, 2022",$0.2588,$0.2744,$0.2588,$0.2741,"$1,687,000","$1,687,000"
"Sep 08, 2022",$0.2607,$0.2649,$0.2577,$0.259,"$2,011,947","$2,011,947"
"Sep 07, 2022",$0.2538,$0.2636,$0.2487,$0.2607,"$2,393,979","$2,393,979"
"Sep 06, 2022",$0.2644,$0.2874,$0.2539,$0.2539,"$4,947,254","$4,947,254"
"Sep 05, 2022",$0.2621,$0.2686,$0.2582,$0.2642,"$1,411,990","$1,411,990"
"Sep 04, 2022",$0.2567,$0.2657,$0.2561,$0.2623,"$955,379","$955,379"
"Sep 03, 2022",$0.2655,$0.2661,$0.2556,$0.2566,"$729,402","$729,402"
"Sep 02, 2022",$0.259,$0.2741,$0.2544,$0.2654,"$2,946,308","$2,946,308"
"Sep 01, 2022",$0.2578,$0.2599,$0.2503,$0.259,"$1,173,610","$1,173,610"
"Aug 31, 2022",$0.2578,$0.269,$0.2564,$0.2579,"$1,899,266","$1,899,266"
"Aug 30, 2022",$0.2769,$0.2793,$0.2531,$0.2579,"$3,383,522","$3,383,522"
"Aug 29, 2022",$0.2581,$0.2941,$0.2541,$0.2769,"$6,719,737","$6,719,737"
"Aug 28, 2022",$0.2776,$0.2835,$0.2562,$0.2581,"$4,424,276","$4,424,276"
"Aug 27, 2022",$0.368,$0.3841,$0.2762,$0.2776,"$16,923,410","$16,923,410"
"Aug 26, 2022",$0.2662,$0.4067,$0.2613,$0.3679,"$58,539,303","$58,539,303"
"Aug 25, 2022",$0.2569,$0.297,$0.2564,$0.2663,"$5,654,054","$5,654,054"
"Aug 24, 2022",$0.257,$0.2738,$0.2525,$0.2569,"$1,288,656","$1,288,656"
"Aug 23, 2022",$0.2563,$0.2587,$0.252,$0.2569,"$669,095","$669,095"
"Aug 22, 2022",$0.266,$0.266,$0.2474,$0.2563,"$778,109","$778,109"
"Aug 21, 2022",$0.2653,$0.2715,$0.2596,$0.266,"$796,123","$796,123"
"Aug 20, 2022",$0.2513,$0.2718,$0.2499,$0.2653,"$1,244,357","$1,244,357"
"Aug 19, 2022",$0.2822,$0.2822,$0.2511,$0.2513,"$1,252,415","$1,252,415"
"Aug 18, 2022",$0.2935,$0.2957,$0.2821,$0.2821,"$631,184","$631,184"
"Aug 17, 2022",$0.3076,$0.3129,$0.2906,$0.2935,"$1,024,465","$1,024,465"
"Aug 16, 2022",$0.3112,$0.3132,$0.3055,$0.3079,"$688,913","$688,913"
"Aug 15, 2022",$0.3101,$0.3197,$0.3059,$0.3114,"$1,568,697","$1,568,697"
"Aug 14, 2022",$0.3256,$0.3296,$0.3071,$0.3102,"$1,469,858","$1,469,858"
"Aug 13, 2022",$0.3183,$0.3383,$0.3173,$0.3256,"$2,965,199","$2,965,199"
"Aug 12, 2022",$0.3139,$0.3194,$0.3119,$0.3183,"$1,325,994","$1,325,994"
"Aug 11, 2022",$0.3181,$0.3234,$0.3123,$0.3139,"$2,597,029","$2,597,029"
"Aug 10, 2022",$0.3118,$0.3207,$0.3052,$0.3171,"$1,199,059","$1,199,059"
"Aug 09, 2022",$0.3216,$0.3254,$0.3068,$0.3118,"$1,140,608","$1,140,608"
"Aug 08, 2022",$0.316,$0.3255,$0.3159,$0.3214,"$1,406,489","$1,406,489"
"Aug 07, 2022",$0.3211,$0.3211,$0.3118,$0.3161,"$1,793,603","$1,793,603"
"Aug 06, 2022",$0.3055,$0.328,$0.3045,$0.3209,"$3,789,918","$3,789,918"
