Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.03258,$0.03258,$0.03172,$0.03187,"$2,034,754","$2,034,754"
"Sep 18, 2022",$0.03485,$0.03485,$0.03236,$0.03258,"$2,190,504","$2,190,504"
"Sep 17, 2022",$0.03516,$0.03549,$0.03451,$0.03486,"$2,111,598","$2,111,598"
"Sep 16, 2022",$0.03623,$0.03629,$0.03506,$0.03516,"$2,087,877","$2,087,877"
"Sep 15, 2022",$0.03739,$0.03742,$0.03618,$0.03623,"$2,496,904","$2,496,904"
"Sep 14, 2022",$0.03887,$0.03894,$0.03733,$0.03739,"$2,101,950","$2,101,950"
"Sep 13, 2022",$0.04047,$0.04055,$0.0387,$0.03883,"$2,280,368","$2,280,368"
"Sep 12, 2022",$0.0418,$0.04207,$0.04029,$0.04047,"$2,226,273","$2,226,273"
"Sep 11, 2022",$0.04203,$0.04232,$0.0417,$0.0418,"$2,215,433","$2,215,433"
"Sep 10, 2022",$0.04102,$0.04226,$0.04099,$0.04203,"$2,327,670","$2,327,670"
"Sep 09, 2022",$0.0407,$0.04177,$0.04051,$0.04102,"$2,692,961","$2,692,961"
"Sep 08, 2022",$0.04061,$0.0411,$0.04054,$0.0407,"$2,820,570","$2,820,570"
"Sep 07, 2022",$0.04278,$0.0429,$0.04047,$0.04061,"$2,217,668","$2,217,668"
"Sep 06, 2022",$0.04309,$0.04355,$0.04277,$0.04278,"$2,458,369","$2,458,369"
"Sep 05, 2022",$0.04277,$0.04327,$0.04264,$0.04309,"$2,346,048","$2,346,048"
"Sep 04, 2022",$0.04256,$0.04295,$0.04228,$0.04277,"$2,343,872","$2,343,872"
"Sep 03, 2022",$0.04298,$0.04326,$0.04253,$0.04256,"$2,411,928","$2,411,928"
"Sep 02, 2022",$0.04284,$0.04319,$0.04268,$0.04298,"$2,323,263","$2,323,263"
"Sep 01, 2022",$0.04298,$0.04344,$0.04275,$0.04284,"$2,894,857","$2,894,857"
"Aug 31, 2022",$0.0472,$0.04732,$0.04298,$0.04299,"$3,107,631","$3,107,631"
"Aug 30, 2022",$0.05155,$0.05167,$0.04711,$0.0472,"$3,967,302","$3,967,302"
"Aug 29, 2022",$0.05475,$0.05478,$0.05139,$0.05155,"$4,262,963","$4,262,963"
"Aug 28, 2022",$0.0539,$0.05503,$0.05347,$0.05475,"$4,329,502","$4,329,502"
"Aug 27, 2022",$0.06759,$0.06798,$0.05175,$0.0539,"$4,338,540","$4,338,540"
"Aug 26, 2022",$0.07282,$0.07309,$0.06737,$0.06759,"$5,539,422","$5,539,422"
"Aug 25, 2022",$0.07674,$0.0768,$0.07272,$0.07282,"$5,924,953","$5,924,953"
"Aug 24, 2022",$0.07559,$0.07854,$0.07546,$0.07674,"$5,720,223","$5,720,223"
"Aug 23, 2022",$0.07532,$0.07615,$0.07501,$0.07559,"$5,135,964","$5,135,964"
"Aug 22, 2022",$0.07559,$0.07759,$0.07524,$0.07532,"$4,397,422","$4,397,422"
"Aug 21, 2022",$0.07686,$0.07714,$0.07458,$0.07559,"$5,042,348","$5,042,348"
"Aug 20, 2022",$0.07911,$0.07911,$0.07667,$0.07686,"$6,200,567","$6,200,567"
"Aug 19, 2022",$0.08455,$0.08456,$0.07886,$0.07911,"$3,990,205","$3,990,205"
"Aug 18, 2022",$0.08444,$0.08547,$0.08395,$0.08456,"$6,125,775","$6,125,775"
"Aug 17, 2022",$0.08475,$0.08853,$0.08428,$0.08444,"$6,453,393","$6,453,393"
"Aug 16, 2022",$0.08411,$0.08493,$0.08376,$0.08476,"$6,661,370","$6,661,370"
"Aug 15, 2022",$0.08423,$0.08444,$0.08344,$0.0841,"$7,541,129","$7,541,129"
"Aug 14, 2022",$0.08665,$0.08679,$0.08404,$0.08423,"$6,663,395","$6,663,395"
"Aug 13, 2022",$0.0887,$0.08888,$0.0866,$0.08665,"$6,824,604","$6,824,604"
"Aug 12, 2022",$0.08866,$0.0893,$0.08816,$0.0887,"$7,118,951","$7,118,951"
"Aug 11, 2022",$0.09011,$0.09086,$0.08809,$0.08866,"$8,442,635","$8,442,635"
"Aug 10, 2022",$0.09169,$0.09169,$0.08908,$0.09011,"$7,418,781","$7,418,781"
"Aug 09, 2022",$0.09339,$0.09412,$0.09121,$0.09169,"$7,725,567","$7,725,567"
"Aug 08, 2022",$0.09442,$0.09489,$0.09276,$0.09339,"$8,488,999","$8,488,999"
"Aug 07, 2022",$0.09487,$0.0951,$0.09391,$0.09442,"$7,779,449","$7,779,449"
"Aug 06, 2022",$0.09719,$0.09745,$0.09429,$0.09487,"$7,651,650","$7,651,650"
"Aug 05, 2022",$0.09807,$0.09956,$0.09632,$0.09719,"$7,838,255","$7,838,255"
"Aug 04, 2022",$0.09301,$0.1012,$0.09189,$0.09807,"$7,570,669","$7,570,669"
"Aug 03, 2022",$0.09257,$0.09609,$0.09155,$0.093,"$8,103,764","$8,103,764"
"Aug 02, 2022",$0.09058,$0.09616,$0.08776,$0.09257,"$6,664,768","$6,664,768"
"Aug 01, 2022",$0.09467,$0.09485,$0.0901,$0.09058,"$8,734,521","$8,734,521"
"Jul 31, 2022",$0.0961,$0.09659,$0.09397,$0.09467,"$5,161,054","$5,161,054"
"Jul 30, 2022",$0.09537,$0.0967,$0.09465,$0.0961,"$5,366,223","$5,366,223"
"Jul 29, 2022",$0.0967,$0.09672,$0.09343,$0.09537,"$5,155,211","$5,155,211"
"Jul 28, 2022",$0.09343,$0.09689,$0.09286,$0.0967,"$5,378,917","$5,378,917"
"Jul 27, 2022",$0.09404,$0.09464,$0.09204,$0.09343,"$5,526,758","$5,526,758"
"Jul 26, 2022",$0.09965,$0.0997,$0.09363,$0.09404,"$5,552,077","$5,552,077"
"Jul 25, 2022",$0.1028,$0.103,$0.09772,$0.09967,"$5,624,443","$5,624,443"
"Jul 24, 2022",$0.1023,$0.1047,$0.1017,$0.1028,"$5,797,821","$5,797,821"
"Jul 23, 2022",$0.1052,$0.1055,$0.1016,$0.1023,"$5,786,513","$5,786,513"
"Jul 22, 2022",$0.1083,$0.1091,$0.1047,$0.1052,"$6,352,036","$6,352,036"
"Jul 21, 2022",$0.1138,$0.1138,$0.1074,$0.1083,"$6,724,472","$6,724,472"
"Jul 20, 2022",$0.1168,$0.1228,$0.1122,$0.1138,"$8,675,771","$8,675,771"
"Jul 19, 2022",$0.1107,$0.1223,$0.1076,$0.1168,"$10,506,005","$10,506,005"
"Jul 18, 2022",$0.1074,$0.113,$0.1062,$0.1107,"$9,929,658","$9,929,658"
"Jul 17, 2022",$0.1072,$0.1083,$0.1065,$0.1074,"$9,858,429","$9,858,429"
"Jul 16, 2022",$0.1027,$0.1121,$0.1018,$0.1072,"$9,668,688","$9,668,688"
"Jul 15, 2022",$0.1009,$0.1052,$0.1005,$0.1027,"$8,856,486","$8,856,486"
"Jul 14, 2022",$0.1012,$0.1021,$0.1002,$0.1009,"$9,316,240","$9,316,240"
"Jul 13, 2022",$0.1038,$0.1048,$0.09854,$0.1012,"$9,620,993","$9,620,993"
"Jul 12, 2022",$0.1058,$0.1063,$0.103,$0.1038,"$9,960,948","$9,960,948"
"Jul 11, 2022",$0.1077,$0.1083,$0.1054,$0.1058,"$10,094,868","$10,094,868"
"Jul 10, 2022",$0.1057,$0.1095,$0.1056,$0.1077,"$9,723,070","$9,723,070"
"Jul 09, 2022",$0.114,$0.1162,$0.1055,$0.1058,"$10,544,781","$10,544,781"
"Jul 08, 2022",$0.103,$0.1174,$0.1028,$0.114,"$10,371,566","$10,371,566"
"Jul 07, 2022",$0.1032,$0.1037,$0.1027,$0.103,"$8,806,609","$8,806,609"
"Jul 06, 2022",$0.1029,$0.1037,$0.1021,$0.1032,"$7,577,274","$7,577,274"
"Jul 05, 2022",$0.1046,$0.1054,$0.1026,$0.1029,"$8,901,254","$8,901,254"
"Jul 04, 2022",$0.1051,$0.1055,$0.104,$0.1046,"$7,395,586","$7,395,586"
"Jul 03, 2022",$0.1061,$0.1062,$0.1042,$0.1051,"$6,238,932","$6,238,932"
"Jul 02, 2022",$0.1068,$0.1072,$0.1038,$0.1061,"$6,364,183","$6,364,183"
"Jul 01, 2022",$0.1066,$0.1074,$0.1057,$0.1068,"$6,500,438","$6,500,438"
"Jun 30, 2022",$0.1097,$0.1102,$0.1063,$0.1066,"$6,314,290","$6,314,290"
"Jun 29, 2022",$0.1126,$0.1131,$0.1095,$0.1097,"$6,661,841","$6,661,841"
"Jun 28, 2022",$0.1158,$0.1159,$0.112,$0.1126,"$6,646,123","$6,646,123"
"Jun 27, 2022",$0.118,$0.1187,$0.1156,$0.1158,"$6,295,163","$6,295,163"
"Jun 26, 2022",$0.1182,$0.1192,$0.1175,$0.118,"$6,324,071","$6,324,071"
"Jun 25, 2022",$0.1202,$0.1261,$0.1177,$0.1182,"$6,567,626","$6,567,626"
"Jun 24, 2022",$0.1172,$0.1237,$0.1167,$0.1202,"$6,355,887","$6,355,887"
"Jun 23, 2022",$0.1174,$0.1187,$0.1166,$0.1172,"$6,329,034","$6,329,034"
"Jun 22, 2022",$0.1203,$0.1212,$0.1167,$0.1174,"$6,328,174","$6,328,174"
"Jun 21, 2022",$0.1165,$0.1219,$0.1165,$0.1203,"$5,505,651","$5,505,651"
"Jun 20, 2022",$0.1172,$0.1183,$0.1154,$0.1165,"$6,912,750","$6,912,750"
"Jun 19, 2022",$0.1157,$0.1195,$0.1153,$0.1172,"$6,362,226","$6,362,226"
"Jun 18, 2022",$0.1301,$0.1305,$0.1149,$0.1157,"$7,284,807","$7,284,807"
"Jun 17, 2022",$0.1138,$0.1397,$0.1133,$0.1301,"$9,483,250","$9,483,250"
"Jun 16, 2022",$0.1132,$0.1423,$0.1044,$0.1138,"$7,536,296","$7,536,296"
"Jun 15, 2022",$0.1186,$0.1199,$0.1088,$0.1132,"$6,432,921","$6,432,921"
"Jun 14, 2022",$0.1223,$0.1229,$0.1182,$0.1186,"$7,053,946","$7,053,946"
"Jun 13, 2022",$0.1471,$0.1473,$0.1191,$0.1224,"$8,388,870","$8,388,870"
"Jun 12, 2022",$0.1579,$0.1582,$0.1433,$0.1471,"$10,383,618","$10,383,618"
"Jun 11, 2022",$0.1587,$0.1624,$0.1508,$0.1579,"$11,402,668","$11,402,668"
"Jun 10, 2022",$0.1467,$0.1598,$0.1427,$0.1587,"$11,343,310","$11,343,310"
"Jun 09, 2022",$0.1626,$0.1644,$0.1467,$0.1467,"$11,362,864","$11,362,864"
"Jun 08, 2022",$0.1486,$0.1645,$0.148,$0.1626,"$8,454,716","$8,454,716"
"Jun 07, 2022",$0.1579,$0.1582,$0.1483,$0.1486,"$8,535,674","$8,535,674"
"Jun 06, 2022",$0.1614,$0.1622,$0.1579,$0.1579,"$9,378,931","$9,378,931"
