Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.07173,$0.07173,$0.06806,$0.06968,"$64,354","$64,354"
"Sep 18, 2022",$0.07199,$0.07348,$0.06756,$0.07173,"$16,148","$16,148"
"Sep 17, 2022",$0.07054,$0.07199,$0.06999,$0.07199,"$15,745","$15,745"
"Sep 16, 2022",$0.07152,$0.07152,$0.06771,$0.07054,"$7,594","$7,594"
"Sep 15, 2022",$0.07193,$0.07199,$0.06504,$0.07152,"$692,122","$692,122"
"Sep 14, 2022",$0.07354,$0.07372,$0.06849,$0.07193,"$1,575,027","$1,575,027"
"Sep 13, 2022",$0.07409,$0.07487,$0.06879,$0.07354,"$698,693","$698,693"
"Sep 12, 2022",$0.07442,$0.07492,$0.07369,$0.0741,"$455,078","$455,078"
"Sep 11, 2022",$0.07544,$0.07633,$0.07367,$0.07442,"$483,419","$483,419"
"Sep 10, 2022",$0.07583,$0.0761,$0.07279,$0.07544,"$132,553","$132,553"
"Sep 09, 2022",$0.07333,$0.07645,$0.0719,$0.07583,"$1,170,400","$1,170,400"
"Sep 08, 2022",$0.07591,$0.07886,$0.07262,$0.07333,"$1,145,223","$1,145,223"
"Sep 07, 2022",$0.07389,$0.08001,$0.07078,$0.07591,"$500,726","$500,726"
"Sep 06, 2022",$0.07503,$0.07744,$0.07205,$0.07389,"$913,146","$913,146"
"Sep 05, 2022",$0.07557,$0.07853,$0.07503,$0.07503,"$485,194","$485,194"
"Sep 04, 2022",$0.0778,$0.08025,$0.07493,$0.07557,"$143,217","$143,217"
"Sep 03, 2022",$0.07869,$0.08082,$0.07546,$0.0778,"$496,319","$496,319"
"Sep 02, 2022",$0.07965,$0.08063,$0.07763,$0.07869,"$527,888","$527,888"
"Sep 01, 2022",$0.08125,$0.08206,$0.07766,$0.07965,"$15,418","$15,418"
"Aug 31, 2022",$0.0791,$0.08326,$0.07786,$0.08125,"$1,463,862","$1,463,862"
"Aug 30, 2022",$0.0829,$0.08435,$0.0741,$0.0791,"$661,146","$661,146"
"Aug 29, 2022",$0.08401,$0.08472,$0.0795,$0.0829,"$353,652","$353,652"
"Aug 28, 2022",$0.08553,$0.08759,$0.08284,$0.08401,"$521,456","$521,456"
"Aug 27, 2022",$0.08776,$0.08878,$0.08126,$0.08553,"$490,503","$490,503"
"Aug 26, 2022",$0.08872,$0.08923,$0.08678,$0.08776,"$1,501,653","$1,501,653"
"Aug 25, 2022",$0.08939,$0.1048,$0.08869,$0.08872,"$898,564","$898,564"
"Aug 24, 2022",$0.08989,$0.09136,$0.08931,$0.08939,"$1,469,109","$1,469,109"
"Aug 23, 2022",$0.08858,$0.09324,$0.08844,$0.08989,"$1,001,759","$1,001,759"
"Aug 22, 2022",$0.09206,$0.09344,$0.08841,$0.08858,"$1,078,772","$1,078,772"
"Aug 21, 2022",$0.08952,$0.09396,$0.08766,$0.09206,"$546,317","$546,317"
"Aug 20, 2022",$0.09023,$0.0932,$0.08671,$0.08953,"$104,809","$104,809"
"Aug 19, 2022",$0.08817,$0.09359,$0.08264,$0.09023,"$112,422","$112,422"
"Aug 18, 2022",$0.0896,$0.09226,$0.08779,$0.08817,"$92,367","$92,367"
"Aug 17, 2022",$0.09081,$0.09236,$0.08793,$0.0896,"$104,598","$104,598"
"Aug 16, 2022",$0.08918,$0.09642,$0.08711,$0.09081,"$102,303","$102,303"
"Aug 15, 2022",$0.1012,$0.1065,$0.0824,$0.08918,"$40,620","$40,620"
"Aug 14, 2022",$0.1035,$0.1067,$0.09283,$0.1012,"$55,357","$55,357"
"Aug 13, 2022",$0.07968,$0.104,$0.07829,$0.1035,"$109,746","$109,746"
"Aug 12, 2022",$0.07503,$0.07968,$0.07455,$0.07968,"$60,772","$60,772"
"Aug 11, 2022",$0.07336,$0.07609,$0.07002,$0.07504,"$38,624","$38,624"
"Aug 10, 2022",$0.0723,$0.07346,$0.06966,$0.07336,"$75,087","$75,087"
"Aug 09, 2022",$0.07164,$0.07414,$0.06958,$0.0723,"$61,539","$61,539"
"Aug 08, 2022",$0.07332,$0.07657,$0.07044,$0.07164,"$35,726","$35,726"
"Aug 07, 2022",$0.07327,$0.07635,$0.07098,$0.07332,"$35,548","$35,548"
"Aug 06, 2022",$0.07397,$0.0821,$0.07249,$0.07327,"$34,410","$34,410"
"Aug 05, 2022",$0.07419,$0.07916,$0.07225,$0.07397,"$42,728","$42,728"
"Aug 04, 2022",$0.07483,$0.07592,$0.07157,$0.07419,"$37,847","$37,847"
"Aug 03, 2022",$0.07697,$0.07808,$0.07413,$0.07483,"$28,915","$28,915"
"Aug 02, 2022",$0.07625,$0.08302,$0.07227,$0.07697,"$7,332","$7,332"
"Aug 01, 2022",$0.07228,$0.07781,$0.07089,$0.07625,"$10,250","$10,250"
"Jul 31, 2022",$0.07373,$0.07693,$0.0699,$0.07228,"$5,337","$5,337"
"Jul 30, 2022",$0.06959,$0.07553,$0.06947,$0.07373,"$4,004","$4,004"
"Jul 29, 2022",$0.07131,$0.07237,$0.06653,$0.06959,"$7,190","$7,190"
"Jul 28, 2022",$0.07201,$0.07235,$0.06537,$0.07131,"$9,537","$9,537"
"Jul 27, 2022",$0.05993,$0.0757,$0.058,$0.07201,"$8,654","$8,654"
"Jul 26, 2022",$0.0793,$0.0793,$0.0595,$0.05993,"$6,892","$6,892"
"Jul 25, 2022",$0.07996,$0.08504,$0.0681,$0.0793,"$12,601","$12,601"
"Jul 24, 2022",$0.07197,$0.08002,$0.07114,$0.07996,"$12,479","$12,479"
"Jul 23, 2022",$0.0669,$0.07197,$0.06444,$0.07197,"$3,867","$3,867"
"Jul 22, 2022",$0.06751,$0.0709,$0.0635,$0.0669,"$9,266","$9,266"
"Jul 21, 2022",$0.07014,$0.07261,$0.06094,$0.06751,"$10,110","$10,110"
"Jul 20, 2022",$0.06622,$0.0715,$0.06359,$0.07014,"$9,026","$9,026"
"Jul 19, 2022",$0.07036,$0.07192,$0.0638,$0.06622,"$7,412","$7,412"
"Jul 18, 2022",$0.0693,$0.0777,$0.06404,$0.07036,"$8,120","$8,120"
"Jul 17, 2022",$0.06699,$0.07001,$0.06551,$0.0693,"$1,571","$1,571"
"Jul 16, 2022",$0.0662,$0.07238,$0.0643,$0.06699,"$2,915","$2,915"
"Jul 15, 2022",$0.06916,$0.0712,$0.06268,$0.0662,"$16,228","$16,228"
"Jul 14, 2022",$0.05565,$0.07379,$0.05376,$0.06916,"$9,551","$9,551"
"Jul 13, 2022",$0.05575,$0.05747,$0.05449,$0.05565,"$19,099","$19,099"
"Jul 12, 2022",$0.04506,$0.06099,$0.04415,$0.05575,"$37,394","$37,394"
"Jul 11, 2022",$0.05289,$0.05398,$0.04122,$0.04506,"$67,003","$67,003"
"Jul 10, 2022",$0.05417,$0.05501,$0.05239,$0.0529,"$24,561","$24,561"
"Jul 09, 2022",$0.05331,$0.05423,$0.05234,$0.05417,"$35,167","$35,167"
"Jul 08, 2022",$0.05509,$0.05568,$0.05236,$0.05332,"$341,355","$341,355"
"Jul 07, 2022",$0.05383,$0.05636,$0.05185,$0.05509,"$27,843","$27,843"
"Jul 06, 2022",$0.05029,$0.05387,$0.04833,$0.05383,"$55,134","$55,134"
"Jul 05, 2022",$0.05284,$0.05295,$0.04979,$0.05029,"$4,199","$4,199"
"Jul 04, 2022",$0.05136,$0.05373,$0.05031,$0.05285,"$200,120","$200,120"
"Jul 03, 2022",$0.05082,$0.05285,$0.04914,$0.05136,"$136,030","$136,030"
"Jul 02, 2022",$0.05207,$0.05376,$0.04919,$0.05083,"$79,469","$79,469"
"Jul 01, 2022",$0.04935,$0.05337,$0.0486,$0.05207,"$731,403","$731,403"
"Jun 30, 2022",$0.0549,$0.05512,$0.04923,$0.04934,"$508,846","$508,846"
"Jun 29, 2022",$0.05388,$0.0569,$0.05289,$0.0549,"$687,193","$687,193"
"Jun 28, 2022",$0.06031,$0.06704,$0.05139,$0.05388,"$147,062","$147,062"
"Jun 27, 2022",$0.06102,$0.06915,$0.05128,$0.06031,"$21,252","$21,252"
"Jun 26, 2022",$0.06125,$0.06207,$0.0571,$0.06102,"$5,099","$5,099"
"Jun 25, 2022",$0.064,$0.06727,$0.05444,$0.06125,"$14,535","$14,535"
