Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$6.19,$6.44,$5.87,$6.05,"$26,276,553","$26,276,553"
"Sep 17, 2022",$5.96,$6.19,$5.91,$6.19,"$13,031,426","$13,031,426"
"Sep 16, 2022",$6.18,$6.61,$5.79,$5.96,"$40,138,901","$40,138,901"
"Sep 15, 2022",$6.04,$6.64,$5.33,$6.18,"$53,139,730","$53,139,730"
"Sep 14, 2022",$7.25,$7.27,$5.82,$6.04,"$31,646,721","$31,646,721"
"Sep 13, 2022",$7.66,$7.86,$7.09,$7.13,"$34,359,487","$34,359,487"
"Sep 12, 2022",$7.61,$7.89,$7.31,$7.66,"$24,085,373","$24,085,373"
"Sep 11, 2022",$7.41,$8.35,$7.34,$7.61,"$48,985,277","$48,985,277"
"Sep 10, 2022",$7.50,$7.66,$7.33,$7.41,"$16,210,570","$16,210,570"
"Sep 09, 2022",$7.69,$7.95,$7.46,$7.50,"$27,299,237","$27,299,237"
"Sep 08, 2022",$7.59,$7.90,$7.41,$7.69,"$28,053,117","$28,053,117"
"Sep 07, 2022",$7.21,$8.40,$7.21,$7.59,"$76,987,803","$76,987,803"
"Sep 06, 2022",$7.38,$7.47,$6.57,$7.21,"$24,674,878","$24,674,878"
"Sep 05, 2022",$7.41,$7.81,$7.18,$7.38,"$31,184,286","$31,184,286"
"Sep 04, 2022",$7.59,$7.78,$7.23,$7.41,"$19,215,130","$19,215,130"
"Sep 03, 2022",$7.95,$8.21,$7.51,$7.59,"$37,861,764","$37,861,764"
"Sep 02, 2022",$7.80,$8.18,$7.45,$7.95,"$59,283,906","$59,283,906"
"Sep 01, 2022",$7.81,$9.07,$7.21,$7.81,"$118,532,920","$118,532,920"
"Aug 31, 2022",$5.99,$8.36,$5.89,$7.81,"$170,629,654","$170,629,654"
"Aug 30, 2022",$6.11,$6.42,$5.55,$5.98,"$49,557,785","$49,557,785"
"Aug 29, 2022",$5.43,$6.18,$5.35,$6.13,"$29,250,926","$29,250,926"
"Aug 28, 2022",$5.10,$6.47,$5.01,$5.43,"$94,049,787","$94,049,787"
"Aug 27, 2022",$4.79,$5.14,$4.37,$5.11,"$20,910,028","$20,910,028"
"Aug 26, 2022",$5.58,$5.68,$4.75,$4.79,"$23,463,940","$23,463,940"
"Aug 25, 2022",$5.65,$5.92,$5.47,$5.58,"$26,143,170","$26,143,170"
"Aug 24, 2022",$5.91,$5.91,$5.33,$5.65,"$24,713,380","$24,713,380"
"Aug 23, 2022",$6.17,$6.32,$5.81,$5.90,"$42,878,608","$42,878,608"
"Aug 22, 2022",$4.96,$6.76,$4.95,$6.18,"$120,957,431","$120,957,431"
"Aug 21, 2022",$4.35,$5.35,$4.33,$4.95,"$48,349,655","$48,349,655"
"Aug 20, 2022",$5.03,$5.22,$4.17,$4.35,"$35,658,124","$35,658,124"
"Aug 19, 2022",$4.04,$5.70,$4.04,$5.03,"$151,579,302","$151,579,302"
