Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.5146,$0.5367,$0.5106,$0.5325,"$4,908,554","$4,908,554"
"Sep 21, 2022",$0.5225,$0.54,$0.5005,$0.5147,"$6,854,677","$6,854,677"
"Sep 20, 2022",$0.5417,$0.5435,$0.5192,$0.5226,"$4,227,955","$4,227,955"
"Sep 19, 2022",$0.5428,$0.5478,$0.5263,$0.5418,"$4,482,174","$4,482,174"
"Sep 18, 2022",$0.583,$0.5947,$0.5417,$0.5428,"$5,243,544","$5,243,544"
"Sep 17, 2022",$0.5644,$0.5953,$0.5644,$0.5832,"$5,249,078","$5,249,078"
"Sep 16, 2022",$0.5828,$0.6091,$0.5558,$0.5643,"$9,327,907","$9,327,907"
"Sep 15, 2022",$0.574,$0.6272,$0.5629,$0.5829,"$14,477,449","$14,477,449"
"Sep 14, 2022",$0.5851,$0.5875,$0.5632,$0.574,"$6,226,064","$6,226,064"
"Sep 13, 2022",$0.6182,$0.6199,$0.5797,$0.5809,"$7,407,014","$7,407,014"
"Sep 12, 2022",$0.6281,$0.6405,$0.6072,$0.618,"$6,305,946","$6,305,946"
"Sep 11, 2022",$0.6278,$0.6558,$0.6144,$0.6279,"$9,705,053","$9,705,053"
"Sep 10, 2022",$0.6435,$0.6808,$0.6211,$0.6278,"$13,210,723","$13,210,723"
"Sep 09, 2022",$0.5616,$0.774,$0.5615,$0.6434,"$53,284,998","$53,284,998"
"Sep 08, 2022",$0.5907,$0.5927,$0.5617,$0.5617,"$7,548,121","$7,548,121"
"Sep 07, 2022",$0.5593,$0.5935,$0.5385,$0.5906,"$18,028,936","$18,028,936"
"Sep 06, 2022",$0.5807,$0.6163,$0.5593,$0.5594,"$13,965,265","$13,965,265"
"Sep 05, 2022",$0.5727,$0.6582,$0.5669,$0.5805,"$26,779,036","$26,779,036"
"Sep 04, 2022",$0.5698,$0.5788,$0.556,$0.5725,"$4,620,014","$4,620,014"
