Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.02217,$0.02617,$0.02217,$0.0237,"$83,296","$83,296"
"Sep 20, 2022",$0.0221,$0.02246,$0.02159,$0.02233,"$49,548","$49,548"
"Sep 19, 2022",$0.02398,$0.02406,$0.02159,$0.02212,"$44,084","$44,084"
"Sep 18, 2022",$0.02559,$0.02709,$0.02378,$0.02398,"$156,851","$156,851"
"Sep 17, 2022",$0.02422,$0.02812,$0.02416,$0.02557,"$197,485","$197,485"
"Sep 16, 2022",$0.02195,$0.02503,$0.0219,$0.02421,"$133,295","$133,295"
"Sep 15, 2022",$0.01992,$0.02245,$0.01951,$0.02193,"$84,743","$84,743"
"Sep 14, 2022",$0.01905,$0.02045,$0.01838,$0.01992,"$67,000","$67,000"
"Sep 13, 2022",$0.01875,$0.0195,$0.01834,$0.01858,"$56,302","$56,302"
"Sep 12, 2022",$0.01797,$0.01884,$0.01785,$0.01873,"$26,937","$26,937"
"Sep 11, 2022",$0.01761,$0.01804,$0.01746,$0.01797,"$20,891","$20,891"
"Sep 10, 2022",$0.01738,$0.01819,$0.01715,$0.01762,"$24,954","$24,954"
"Sep 09, 2022",$0.01593,$0.01754,$0.0158,$0.01739,"$18,592","$18,592"
"Sep 08, 2022",$0.01571,$0.01626,$0.01553,$0.01581,"$27,482","$27,482"
"Sep 07, 2022",$0.01601,$0.01601,$0.01519,$0.01573,"$19,944","$19,944"
"Sep 06, 2022",$0.01611,$0.01635,$0.01568,$0.01601,"$27,077","$27,077"
"Sep 05, 2022",$0.01718,$0.01727,$0.01599,$0.01608,"$19,245","$19,245"
"Sep 04, 2022",$0.01728,$0.01728,$0.01663,$0.01719,"$13,010","$13,010"
"Sep 03, 2022",$0.01711,$0.01737,$0.01694,$0.01704,"$9,661","$9,661"
"Sep 02, 2022",$0.0176,$0.01776,$0.01708,$0.01711,"$14,545","$14,545"
"Sep 01, 2022",$0.01752,$0.01773,$0.01717,$0.0176,"$18,675","$18,675"
"Aug 31, 2022",$0.01778,$0.01808,$0.01752,$0.01755,"$15,114","$15,114"
"Aug 30, 2022",$0.01799,$0.0186,$0.01758,$0.01776,"$20,162","$20,162"
"Aug 29, 2022",$0.01751,$0.01811,$0.01747,$0.01805,"$14,638","$14,638"
"Aug 28, 2022",$0.0177,$0.01793,$0.01751,$0.01751,"$13,615","$13,615"
"Aug 27, 2022",$0.01805,$0.01814,$0.01732,$0.01769,"$11,128","$11,128"
"Aug 26, 2022",$0.01871,$0.01934,$0.01796,$0.01803,"$25,275","$25,275"
"Aug 25, 2022",$0.01935,$0.01991,$0.01863,$0.01871,"$28,901","$28,901"
"Aug 24, 2022",$0.01912,$0.01985,$0.01889,$0.01935,"$17,786","$17,786"
"Aug 23, 2022",$0.01881,$0.01938,$0.01859,$0.0191,"$20,920","$20,920"
"Aug 22, 2022",$0.01875,$0.01891,$0.01789,$0.01881,"$24,846","$24,846"
"Aug 21, 2022",$0.01837,$0.01893,$0.01832,$0.01878,"$16,180","$16,180"
"Aug 20, 2022",$0.01809,$0.01851,$0.01798,$0.01837,"$15,884","$15,884"
"Aug 19, 2022",$0.01986,$0.01992,$0.01808,$0.0181,"$25,694","$25,694"
