Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.003968,$0.004158,$0.003915,$0.003986,"$4,115","$4,115"
"Sep 24, 2022",$0.004109,$0.004163,$0.003959,$0.003968,"$4,382","$4,382"
"Sep 23, 2022",$0.004286,$0.004369,$0.003957,$0.004109,"$5,492","$5,492"
"Sep 22, 2022",$0.004011,$0.004348,$0.003988,$0.004287,"$4,824","$4,824"
"Sep 21, 2022",$0.00418,$0.004399,$0.00392,$0.004012,"$7,510","$7,510"
"Sep 20, 2022",$0.004687,$0.004688,$0.00418,$0.00418,"$4,349","$4,349"
"Sep 19, 2022",$0.004581,$0.004781,$0.004494,$0.004687,"$4,047","$4,047"
"Sep 18, 2022",$0.00504,$0.00504,$0.004579,$0.004581,"$4,147","$4,147"
"Sep 17, 2022",$0.005086,$0.005162,$0.004976,$0.005041,"$5,246","$5,246"
"Sep 16, 2022",$0.004698,$0.00509,$0.004665,$0.005084,"$6,533","$6,533"
"Sep 15, 2022",$0.004531,$0.004845,$0.004368,$0.004698,"$5,847","$5,847"
"Sep 14, 2022",$0.004424,$0.004592,$0.004392,$0.004531,"$4,579","$4,579"
"Sep 13, 2022",$0.004876,$0.005009,$0.004367,$0.004498,"$5,426","$5,426"
"Sep 12, 2022",$0.004909,$0.0051,$0.004757,$0.004876,"$3,141","$3,141"
"Sep 11, 2022",$0.005083,$0.005085,$0.004814,$0.004908,"$4,548","$4,548"
"Sep 10, 2022",$0.005114,$0.005156,$0.004971,$0.005085,"$4,136","$4,136"
"Sep 09, 2022",$0.004729,$0.005384,$0.004711,$0.005113,"$9,824","$9,824"
"Sep 08, 2022",$0.004455,$0.004775,$0.00438,$0.00473,"$4,302","$4,302"
"Sep 07, 2022",$0.004126,$0.004515,$0.004058,$0.004455,"$8,908","$8,908"
"Sep 06, 2022",$0.004378,$0.004461,$0.004127,$0.004127,"$2,367","$2,367"
"Sep 05, 2022",$0.004752,$0.004831,$0.004347,$0.004377,"$13,923","$13,923"
"Sep 04, 2022",$0.004627,$0.004751,$0.00457,$0.004751,"$1,775","$1,775"
"Sep 03, 2022",$0.004683,$0.004741,$0.004511,$0.004627,"$1,528","$1,528"
"Sep 02, 2022",$0.004748,$0.004838,$0.00461,$0.004683,"$1,251","$1,251"
"Sep 01, 2022",$0.00451,$0.004763,$0.004425,$0.004748,"$2,979","$2,979"
"Aug 31, 2022",$0.004544,$0.004641,$0.004462,$0.00451,"$3,064","$3,064"
"Aug 30, 2022",$0.004563,$0.00468,$0.004364,$0.004543,"$6,025","$6,025"
"Aug 29, 2022",$0.004324,$0.00461,$0.004232,$0.004563,"$9,619","$9,619"
"Aug 28, 2022",$0.004583,$0.004609,$0.004323,$0.004324,"$1,653","$1,653"
"Aug 27, 2022",$0.004744,$0.004751,$0.004433,$0.004584,"$3,609","$3,609"
"Aug 26, 2022",$0.005853,$0.005853,$0.00473,$0.004744,"$24,371","$24,371"
"Aug 25, 2022",$0.005989,$0.006025,$0.005786,$0.005853,"$8,842","$8,842"
"Aug 24, 2022",$0.005881,$0.0063,$0.005729,$0.005989,"$24,448","$24,448"
"Aug 23, 2022",$0.005215,$0.005905,$0.005213,$0.005881,"$15,054","$15,054"
"Aug 22, 2022",$0.005195,$0.005216,$0.004829,$0.005215,"$10,771","$10,771"
"Aug 21, 2022",$0.004838,$0.005239,$0.004836,$0.005195,"$7,365","$7,365"
"Aug 20, 2022",$0.003903,$0.004854,$0.003899,$0.004838,"$52,046","$52,046"
"Aug 19, 2022",$0.003974,$0.003982,$0.003549,$0.003904,"$25,021","$25,021"
"Aug 18, 2022",$0.003746,$0.004065,$0.003608,$0.003974,"$18,465","$18,465"
"Aug 17, 2022",$0.003601,$0.003797,$0.003418,$0.003746,"$14,365","$14,365"
"Aug 16, 2022",$0.003481,$0.003615,$0.003386,$0.003602,"$8,374","$8,374"
"Aug 15, 2022",$0.00353,$0.003604,$0.003402,$0.003479,"$3,423","$3,423"
"Aug 14, 2022",$0.003577,$0.003733,$0.00313,$0.003531,"$26,032","$26,032"
"Aug 13, 2022",$0.00336,$0.003671,$0.003107,$0.003577,"$33,824","$33,824"
"Aug 12, 2022",$0.0027,$0.00336,$0.002653,$0.00336,"$28,538","$28,538"
"Aug 11, 2022",$0.002704,$0.00274,$0.002551,$0.0027,"$11,862","$11,862"
"Aug 10, 2022",$0.002386,$0.002712,$0.002177,$0.002704,"$13,280","$13,280"
"Aug 09, 2022",$0.002273,$0.002556,$0.002244,$0.002386,"$16,751","$16,751"
"Aug 08, 2022",$0.002226,$0.002336,$0.002207,$0.002273,"$6,234","$6,234"
"Aug 07, 2022",$0.002186,$0.002257,$0.002039,$0.002226,"$13,534","$13,534"
"Aug 06, 2022",$0.001929,$0.002197,$0.001801,$0.002186,"$2,651","$2,651"
"Aug 05, 2022",$0.001793,$0.001929,$0.001792,$0.001929,"$2,227","$2,227"
"Aug 04, 2022",$0.001947,$0.001997,$0.001736,$0.001793,"$65,277","$65,277"
"Aug 03, 2022",$0.001918,$0.002408,$0.001675,$0.001947,"$15,494","$15,494"
"Aug 02, 2022",$0.002321,$0.002321,$0.001696,$0.001918,"$10,491","$10,491"
"Aug 01, 2022",$0.001874,$0.002343,$0.00169,$0.002321,"$9,898","$9,898"
"Jul 31, 2022",$0.001878,$0.002435,$0.001736,$0.001874,"$10,126","$10,126"
"Jul 30, 2022",$0.001938,$0.001958,$0.001764,$0.001878,"$8,151","$8,151"
"Jul 29, 2022",$0.001889,$0.002012,$0.001766,$0.001938,"$6,831","$6,831"
"Jul 28, 2022",$0.001856,$0.00196,$0.001614,$0.001889,"$14,836","$14,836"
"Jul 27, 2022",$0.0017,$0.001856,$0.001597,$0.001856,"$9,067","$9,067"
"Jul 26, 2022",$0.001883,$0.001961,$0.001558,$0.0017,"$12,523","$12,523"
"Jul 25, 2022",$0.001978,$0.002245,$0.001814,$0.001883,"$5,680","$5,680"
"Jul 24, 2022",$0.002052,$0.002337,$0.001877,$0.001978,"$5,711","$5,711"
"Jul 23, 2022",$0.002085,$0.002261,$0.001905,$0.002052,"$4,644","$4,644"
"Jul 22, 2022",$0.002026,$0.002101,$0.001911,$0.002086,"$6,087","$6,087"
"Jul 21, 2022",$0.001812,$0.002095,$0.001806,$0.002026,"$6,336","$6,336"
"Jul 20, 2022",$0.002036,$0.002039,$0.001798,$0.001812,"$6,578","$6,578"
"Jul 19, 2022",$0.00194,$0.00211,$0.001772,$0.002036,"$3,843","$3,843"
"Jul 18, 2022",$0.00179,$0.001985,$0.00179,$0.001936,"$3,595","$3,595"
"Jul 17, 2022",$0.001831,$0.001997,$0.001723,$0.00179,"$4,928","$4,928"
"Jul 16, 2022",$0.001815,$0.001949,$0.00173,$0.001831,"$1,396","$1,396"
"Jul 15, 2022",$0.001767,$0.00193,$0.001763,$0.001815,"$1,244","$1,244"
"Jul 14, 2022",$0.001817,$0.001848,$0.00166,$0.001767,"$5,361","$5,361"
"Jul 13, 2022",$0.001627,$0.001817,$0.001583,$0.001817,"$2,024","$2,024"
"Jul 12, 2022",$0.001747,$0.001801,$0.001567,$0.001627,"$7,620","$7,620"
"Jul 11, 2022",$0.001942,$0.00198,$0.001747,$0.001747,"$5,665","$5,665"
"Jul 10, 2022",$0.001887,$0.001987,$0.001775,$0.001943,"$2,322","$2,322"
"Jul 09, 2022",$0.001819,$0.00204,$0.001805,$0.001887,"$4,866","$4,866"
"Jul 08, 2022",$0.001963,$0.002012,$0.001813,$0.001819,"$2,378","$2,378"
"Jul 07, 2022",$0.001907,$0.001982,$0.001862,$0.001963,"$2,813","$2,813"
"Jul 06, 2022",$0.00185,$0.001943,$0.001838,$0.001907,"$3,206","$3,206"
"Jul 05, 2022",$0.001902,$0.001961,$0.001745,$0.00185,"$5,265","$5,265"
"Jul 04, 2022",$0.001831,$0.00196,$0.001819,$0.001905,"$6,992","$6,992"
"Jul 03, 2022",$0.00191,$0.001942,$0.001809,$0.001809,"$1,632","$1,632"
"Jul 02, 2022",$0.001877,$0.002023,$0.001858,$0.00191,"$2,910","$2,910"
"Jul 01, 2022",$0.001785,$0.001929,$0.001749,$0.001877,"$2,384","$2,384"
"Jun 30, 2022",$0.001868,$0.001879,$0.001684,$0.001784,"$1,587","$1,587"
"Jun 29, 2022",$0.001925,$0.002023,$0.001745,$0.001868,"$1,431","$1,431"
"Jun 28, 2022",$0.002108,$0.002183,$0.001876,$0.001925,"$8,996","$8,996"
"Jun 27, 2022",$0.002053,$0.002215,$0.002037,$0.002108,"$2,565","$2,565"
