Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.8226,$0.8226,$0.7639,$0.7784,"$755,948","$755,948"
"Sep 17, 2022",$0.8282,$0.8297,$0.8022,$0.8225,"$879,212","$879,212"
"Sep 16, 2022",$0.8262,$0.8711,$0.8096,$0.8282,"$1,528,346","$1,528,346"
"Sep 15, 2022",$0.8574,$0.8742,$0.8226,$0.8261,"$741,075","$741,075"
"Sep 14, 2022",$0.8418,$0.8635,$0.8338,$0.8574,"$638,094","$638,094"
"Sep 13, 2022",$0.8776,$0.8869,$0.8338,$0.8425,"$790,247","$790,247"
"Sep 12, 2022",$0.9219,$0.9339,$0.8749,$0.8783,"$504,329","$504,329"
"Sep 11, 2022",$0.9047,$0.9229,$0.9005,$0.9219,"$443,703","$443,703"
"Sep 10, 2022",$0.8975,$0.9081,$0.8927,$0.9046,"$411,785","$411,785"
"Sep 09, 2022",$0.8833,$0.9052,$0.882,$0.8975,"$490,349","$490,349"
"Sep 08, 2022",$0.8876,$0.8887,$0.8683,$0.8824,"$393,768","$393,768"
"Sep 07, 2022",$0.886,$0.9121,$0.8645,$0.8876,"$1,065,578","$1,065,578"
"Sep 06, 2022",$0.8923,$0.9142,$0.8805,$0.886,"$869,377","$869,377"
"Sep 05, 2022",$0.9151,$0.9151,$0.8695,$0.8923,"$1,096,951","$1,096,951"
"Sep 04, 2022",$0.913,$0.9163,$0.9091,$0.9151,"$404,197","$404,197"
"Sep 03, 2022",$0.9181,$0.9193,$0.9088,$0.913,"$415,641","$415,641"
"Sep 02, 2022",$0.9153,$0.9517,$0.9091,$0.9182,"$672,471","$672,471"
"Sep 01, 2022",$0.9165,$0.9232,$0.9027,$0.9153,"$559,485","$559,485"
"Aug 31, 2022",$0.9247,$0.9593,$0.9141,$0.9153,"$595,657","$595,657"
"Aug 30, 2022",$0.9477,$0.9536,$0.9125,$0.9244,"$537,378","$537,378"
"Aug 29, 2022",$0.9355,$0.9546,$0.9247,$0.9477,"$529,953","$529,953"
"Aug 28, 2022",$0.9539,$0.9582,$0.9338,$0.9339,"$398,992","$398,992"
"Aug 27, 2022",$0.9501,$1.03,$0.9484,$0.9539,"$813,361","$813,361"
"Aug 26, 2022",$0.9977,$1.04,$0.9491,$0.9501,"$951,836","$951,836"
"Aug 25, 2022",$0.9814,$1.08,$0.947,$0.9977,"$1,169,828","$1,169,828"
"Aug 24, 2022",$0.9314,$1.02,$0.9079,$0.9815,"$1,391,490","$1,391,490"
"Aug 23, 2022",$0.9092,$0.9325,$0.8953,$0.9313,"$652,347","$652,347"
"Aug 22, 2022",$0.9067,$0.9423,$0.8824,$0.9093,"$2,425,921","$2,425,921"
"Aug 21, 2022",$0.9057,$0.9297,$0.8957,$0.9067,"$1,934,071","$1,934,071"
"Aug 20, 2022",$0.9182,$0.9376,$0.8775,$0.9057,"$2,773,933","$2,773,933"
"Aug 19, 2022",$1.03,$1.03,$0.9175,$0.9192,"$2,079,362","$2,079,362"
"Aug 18, 2022",$1.02,$1.04,$1.02,$1.03,"$1,254,204","$1,254,204"
"Aug 17, 2022",$1.02,$1.05,$1.01,$1.02,"$1,609,494","$1,609,494"
"Aug 16, 2022",$1.04,$1.06,$1.02,$1.02,"$1,308,338","$1,308,338"
"Aug 15, 2022",$1.07,$1.14,$1.04,$1.04,"$1,076,868","$1,076,868"
"Aug 14, 2022",$1.15,$1.15,$1.00,$1.07,"$1,887,257","$1,887,257"
