Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.009263,$0.01008,$0.009022,$0.009327,"$964,552","$964,552"
"Sep 20, 2022",$0.0107,$0.01077,$0.009215,$0.009269,"$760,365","$760,365"
"Sep 19, 2022",$0.01104,$0.01106,$0.0103,$0.0107,"$868,201","$868,201"
"Sep 18, 2022",$0.01071,$0.01129,$0.0106,$0.01104,"$375,228","$375,228"
"Sep 17, 2022",$0.01068,$0.01079,$0.01042,$0.01071,"$680,460","$680,460"
"Sep 16, 2022",$0.01026,$0.01098,$0.01024,$0.01068,"$858,873","$858,873"
"Sep 15, 2022",$0.01109,$0.0111,$0.01004,$0.01026,"$1,034,611","$1,034,611"
"Sep 14, 2022",$0.01148,$0.01175,$0.01094,$0.01109,"$1,318,945","$1,318,945"
"Sep 13, 2022",$0.01187,$0.01199,$0.01041,$0.01155,"$1,158,222","$1,158,222"
"Sep 12, 2022",$0.0122,$0.01239,$0.01183,$0.01187,"$398,587","$398,587"
"Sep 11, 2022",$0.01209,$0.01223,$0.01174,$0.0122,"$597,442","$597,442"
"Sep 10, 2022",$0.01234,$0.01294,$0.01207,$0.01209,"$549,657","$549,657"
"Sep 09, 2022",$0.01247,$0.01315,$0.01232,$0.01234,"$1,096,251","$1,096,251"
"Sep 08, 2022",$0.01236,$0.0128,$0.01221,$0.01247,"$2,912,385","$2,912,385"
"Sep 07, 2022",$0.01232,$0.01247,$0.01166,$0.01236,"$2,682,499","$2,682,499"
"Sep 06, 2022",$0.01372,$0.01719,$0.01231,$0.01232,"$4,753,621","$4,753,621"
"Sep 05, 2022",$0.01268,$0.01386,$0.0125,$0.01372,"$760,714","$760,714"
"Sep 04, 2022",$0.01238,$0.01283,$0.01235,$0.01268,"$1,539,642","$1,539,642"
"Sep 03, 2022",$0.01295,$0.01331,$0.01071,$0.01238,"$2,094,924","$2,094,924"
"Sep 02, 2022",$0.01349,$0.0142,$0.01276,$0.01295,"$1,032,525","$1,032,525"
"Sep 01, 2022",$0.01435,$0.01474,$0.01337,$0.01349,"$1,659,867","$1,659,867"
"Aug 31, 2022",$0.01394,$0.01529,$0.01389,$0.01435,"$1,100,506","$1,100,506"
"Aug 30, 2022",$0.01414,$0.01478,$0.01348,$0.01393,"$998,023","$998,023"
"Aug 29, 2022",$0.0142,$0.01473,$0.01326,$0.01414,"$1,100,216","$1,100,216"
"Aug 28, 2022",$0.01632,$0.01792,$0.01022,$0.01422,"$4,441,622","$4,441,622"
"Aug 27, 2022",$0.01475,$0.01641,$0.01448,$0.01632,"$1,278,416","$1,278,416"
"Aug 26, 2022",$0.01593,$0.0177,$0.01469,$0.01475,"$2,201,475","$2,201,475"
"Aug 25, 2022",$0.01552,$0.01756,$0.01333,$0.01593,"$2,308,286","$2,308,286"
"Aug 24, 2022",$0.01599,$0.01678,$0.01466,$0.01552,"$1,731,527","$1,731,527"
"Aug 23, 2022",$0.01807,$0.01831,$0.01524,$0.01598,"$2,067,947","$2,067,947"
"Aug 22, 2022",$0.01838,$0.01998,$0.01704,$0.01807,"$2,464,487","$2,464,487"
"Aug 21, 2022",$0.01773,$0.01881,$0.01664,$0.01838,"$2,774,350","$2,774,350"
"Aug 20, 2022",$0.01435,$0.0214,$0.01435,$0.01772,"$4,519,657","$4,519,657"
