Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.04272,$0.04373,$0.04155,$0.04334,"$1,849,445","$1,849,445"
"Sep 18, 2022",$0.04504,$0.0467,$0.04225,$0.04272,"$5,196,403","$5,196,403"
"Sep 17, 2022",$0.0428,$0.04808,$0.0428,$0.04504,"$8,303,981","$8,303,981"
"Sep 16, 2022",$0.04356,$0.04425,$0.04218,$0.0428,"$1,733,257","$1,733,257"
"Sep 15, 2022",$0.04612,$0.0462,$0.04352,$0.04355,"$1,330,760","$1,330,760"
"Sep 14, 2022",$0.04574,$0.04649,$0.0453,$0.04613,"$1,371,235","$1,371,235"
"Sep 13, 2022",$0.04867,$0.04903,$0.04549,$0.04581,"$2,154,531","$2,154,531"
"Sep 12, 2022",$0.04955,$0.05021,$0.04841,$0.04867,"$1,710,194","$1,710,194"
"Sep 11, 2022",$0.04937,$0.05041,$0.04895,$0.04956,"$1,420,571","$1,420,571"
"Sep 10, 2022",$0.04888,$0.04964,$0.04831,$0.04937,"$1,524,151","$1,524,151"
"Sep 09, 2022",$0.04732,$0.04922,$0.04731,$0.04888,"$1,939,935","$1,939,935"
"Sep 08, 2022",$0.04638,$0.04883,$0.04566,$0.04733,"$2,659,476","$2,659,476"
"Sep 07, 2022",$0.0444,$0.04708,$0.04332,$0.04639,"$1,380,299","$1,380,299"
"Sep 06, 2022",$0.04758,$0.04827,$0.04441,$0.04441,"$1,386,694","$1,386,694"
"Sep 05, 2022",$0.04809,$0.04823,$0.04671,$0.04758,"$1,247,309","$1,247,309"
"Sep 04, 2022",$0.04726,$0.04812,$0.04679,$0.04809,"$1,126,406","$1,126,406"
"Sep 03, 2022",$0.04749,$0.04755,$0.04673,$0.04726,"$960,443","$960,443"
"Sep 02, 2022",$0.04774,$0.04836,$0.04679,$0.0475,"$1,309,787","$1,309,787"
"Sep 01, 2022",$0.04749,$0.04786,$0.04624,$0.04775,"$1,196,050","$1,196,050"
"Aug 31, 2022",$0.04706,$0.04918,$0.04695,$0.04749,"$1,416,944","$1,416,944"
"Aug 30, 2022",$0.04834,$0.0495,$0.04623,$0.04706,"$1,242,359","$1,242,359"
"Aug 29, 2022",$0.04665,$0.04836,$0.04589,$0.04834,"$1,702,562","$1,702,562"
"Aug 28, 2022",$0.04746,$0.04947,$0.04665,$0.04665,"$1,788,104","$1,788,104"
"Aug 27, 2022",$0.04694,$0.04755,$0.04621,$0.04746,"$1,264,239","$1,264,239"
"Aug 26, 2022",$0.05117,$0.05127,$0.04688,$0.04696,"$1,595,345","$1,595,345"
"Aug 25, 2022",$0.05068,$0.05237,$0.05046,$0.05117,"$1,346,101","$1,346,101"
"Aug 24, 2022",$0.05067,$0.05308,$0.04913,$0.05067,"$5,035,244","$5,035,244"
"Aug 23, 2022",$0.04964,$0.05074,$0.0485,$0.05067,"$1,192,516","$1,192,516"
"Aug 22, 2022",$0.05091,$0.05091,$0.04794,$0.04964,"$1,281,661","$1,281,661"
"Aug 21, 2022",$0.04945,$0.05247,$0.04945,$0.05091,"$2,944,722","$2,944,722"
"Aug 20, 2022",$0.0473,$0.0512,$0.04726,$0.04943,"$1,827,360","$1,827,360"
"Aug 19, 2022",$0.05477,$0.05482,$0.04722,$0.0473,"$2,606,176","$2,606,176"
"Aug 18, 2022",$0.0556,$0.05809,$0.05473,$0.05477,"$3,322,042","$3,322,042"
"Aug 17, 2022",$0.05651,$0.05787,$0.05513,$0.05558,"$3,176,544","$3,176,544"
"Aug 16, 2022",$0.05988,$0.05988,$0.05598,$0.05651,"$2,549,029","$2,549,029"
"Aug 15, 2022",$0.05749,$0.0609,$0.05738,$0.05991,"$5,118,109","$5,118,109"
"Aug 14, 2022",$0.06262,$0.06341,$0.0574,$0.05748,"$4,638,840","$4,638,840"
"Aug 13, 2022",$0.05859,$0.06362,$0.05803,$0.06259,"$7,009,882","$7,009,882"
"Aug 12, 2022",$0.05631,$0.05906,$0.05593,$0.05859,"$3,397,065","$3,397,065"
"Aug 11, 2022",$0.05721,$0.05804,$0.0559,$0.05631,"$2,172,045","$2,172,045"
"Aug 10, 2022",$0.05596,$0.05783,$0.05474,$0.05721,"$2,168,836","$2,168,836"
"Aug 09, 2022",$0.05702,$0.05738,$0.05423,$0.05594,"$2,183,355","$2,183,355"
"Aug 08, 2022",$0.05545,$0.0584,$0.05493,$0.05701,"$2,112,980","$2,112,980"
"Aug 07, 2022",$0.05539,$0.05621,$0.05453,$0.05545,"$1,266,002","$1,266,002"
"Aug 06, 2022",$0.05574,$0.05622,$0.05501,$0.05538,"$1,300,689","$1,300,689"
"Aug 05, 2022",$0.05417,$0.05593,$0.05402,$0.0558,"$2,060,475","$2,060,475"
"Aug 04, 2022",$0.05481,$0.05597,$0.05339,$0.05418,"$1,431,766","$1,431,766"
"Aug 03, 2022",$0.0545,$0.05659,$0.05315,$0.05482,"$2,205,186","$2,205,186"
"Aug 02, 2022",$0.05536,$0.05547,$0.0527,$0.05449,"$2,072,080","$2,072,080"
"Aug 01, 2022",$0.05458,$0.05587,$0.05388,$0.05535,"$2,834,258","$2,834,258"
"Jul 31, 2022",$0.05431,$0.05738,$0.05419,$0.05457,"$3,523,220","$3,523,220"
"Jul 30, 2022",$0.05565,$0.05795,$0.05414,$0.05431,"$3,831,813","$3,831,813"
"Jul 29, 2022",$0.05657,$0.05859,$0.05418,$0.05567,"$6,834,846","$6,834,846"
"Jul 28, 2022",$0.05093,$0.06204,$0.0506,$0.05657,"$15,807,741","$15,807,741"
"Jul 27, 2022",$0.04805,$0.05169,$0.04772,$0.05093,"$5,942,486","$5,942,486"
"Jul 26, 2022",$0.04935,$0.05141,$0.04648,$0.04806,"$4,396,753","$4,396,753"
"Jul 25, 2022",$0.05279,$0.05681,$0.04864,$0.04936,"$13,023,186","$13,023,186"
"Jul 24, 2022",$0.04934,$0.06003,$0.04928,$0.05282,"$9,720,274","$9,720,274"
"Jul 23, 2022",$0.04849,$0.05004,$0.04841,$0.04933,"$2,057,270","$2,057,270"
"Jul 22, 2022",$0.05174,$0.05239,$0.04813,$0.04851,"$3,194,654","$3,194,654"
"Jul 21, 2022",$0.04825,$0.05679,$0.04655,$0.05175,"$8,794,953","$8,794,953"
"Jul 20, 2022",$0.0502,$0.05131,$0.04824,$0.04825,"$3,089,262","$3,089,262"
"Jul 19, 2022",$0.05012,$0.05074,$0.04849,$0.0502,"$2,993,930","$2,993,930"
"Jul 18, 2022",$0.04808,$0.05142,$0.04803,$0.05011,"$3,601,199","$3,601,199"
"Jul 17, 2022",$0.0479,$0.0504,$0.04738,$0.04808,"$5,268,186","$5,268,186"
"Jul 16, 2022",$0.04519,$0.04806,$0.04446,$0.04788,"$2,901,477","$2,901,477"
"Jul 15, 2022",$0.04635,$0.04738,$0.04506,$0.04519,"$3,369,016","$3,369,016"
"Jul 14, 2022",$0.04449,$0.05229,$0.04364,$0.04635,"$11,004,191","$11,004,191"
"Jul 13, 2022",$0.04066,$0.04503,$0.03984,$0.04448,"$7,671,791","$7,671,791"
"Jul 12, 2022",$0.03986,$0.04427,$0.03972,$0.04067,"$6,553,656","$6,553,656"
"Jul 11, 2022",$0.04213,$0.04443,$0.03985,$0.03986,"$7,105,507","$7,105,507"
"Jul 10, 2022",$0.04397,$0.04442,$0.04156,$0.04213,"$4,706,863","$4,706,863"
"Jul 09, 2022",$0.04403,$0.04535,$0.04342,$0.04397,"$3,683,578","$3,683,578"
"Jul 08, 2022",$0.05101,$0.05109,$0.04415,$0.04429,"$12,995,770","$12,995,770"
"Jul 07, 2022",$0.03976,$0.06584,$0.03947,$0.05117,"$62,639,842","$62,639,842"
"Jul 06, 2022",$0.03732,$0.04224,$0.03693,$0.03976,"$4,886,690","$4,886,690"
"Jul 05, 2022",$0.03868,$0.03901,$0.0366,$0.03731,"$1,726,061","$1,726,061"
"Jul 04, 2022",$0.03757,$0.0387,$0.03692,$0.03867,"$1,366,181","$1,366,181"
"Jul 03, 2022",$0.03716,$0.03803,$0.03698,$0.03757,"$1,414,420","$1,414,420"
"Jul 02, 2022",$0.03607,$0.03818,$0.03576,$0.03715,"$1,501,138","$1,501,138"
"Jul 01, 2022",$0.03699,$0.03818,$0.03605,$0.03605,"$2,339,570","$2,339,570"
"Jun 30, 2022",$0.03779,$0.04495,$0.03533,$0.03678,"$8,129,662","$8,129,662"
"Jun 29, 2022",$0.0386,$0.03935,$0.03727,$0.03779,"$1,856,979","$1,856,979"
"Jun 28, 2022",$0.04171,$0.04228,$0.03859,$0.03862,"$2,216,896","$2,216,896"
"Jun 27, 2022",$0.03906,$0.04245,$0.03906,$0.04171,"$3,774,640","$3,774,640"
"Jun 26, 2022",$0.04068,$0.04159,$0.03903,$0.03906,"$2,313,861","$2,313,861"
"Jun 25, 2022",$0.03896,$0.04123,$0.03871,$0.04071,"$2,953,720","$2,953,720"
"Jun 24, 2022",$0.03799,$0.03992,$0.03758,$0.03896,"$3,367,377","$3,367,377"
"Jun 23, 2022",$0.036,$0.04312,$0.03588,$0.03799,"$7,648,657","$7,648,657"
"Jun 22, 2022",$0.0363,$0.03705,$0.03481,$0.036,"$2,332,948","$2,332,948"
"Jun 21, 2022",$0.03642,$0.03838,$0.03594,$0.03629,"$2,175,408","$2,175,408"
