Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$21.72,$22.37,$20.31,$20.47,"$1,692,878","$1,692,878"
"Sep 17, 2022",$21.04,$21.74,$20.90,$21.73,"$1,451,631","$1,451,631"
"Sep 16, 2022",$21.64,$21.72,$20.84,$21.04,"$1,655,761","$1,655,761"
"Sep 15, 2022",$21.88,$21.89,$21.44,$21.64,"$1,502,870","$1,502,870"
"Sep 14, 2022",$21.33,$22.02,$21.27,$21.89,"$1,569,728","$1,569,728"
"Sep 13, 2022",$22.88,$22.90,$21.27,$21.35,"$2,480,208","$2,480,208"
"Sep 12, 2022",$23.10,$23.27,$22.83,$22.87,"$1,928,833","$1,928,833"
"Sep 11, 2022",$23.48,$23.53,$22.58,$23.10,"$2,030,949","$2,030,949"
"Sep 10, 2022",$23.11,$23.64,$23.04,$23.48,"$1,993,412","$1,993,412"
"Sep 09, 2022",$22.65,$23.30,$22.54,$23.12,"$2,219,608","$2,219,608"
"Sep 08, 2022",$20.12,$23.64,$20.12,$22.65,"$5,372,906","$5,372,906"
"Sep 07, 2022",$18.71,$20.13,$18.53,$20.12,"$2,313,117","$2,313,117"
"Sep 06, 2022",$19.59,$19.82,$18.70,$18.72,"$2,200,049","$2,200,049"
"Sep 05, 2022",$19.10,$19.60,$18.89,$19.59,"$1,595,485","$1,595,485"
"Sep 04, 2022",$18.58,$19.13,$18.54,$19.10,"$1,452,719","$1,452,719"
"Sep 03, 2022",$18.01,$18.60,$18.00,$18.58,"$1,419,059","$1,419,059"
"Sep 02, 2022",$18.31,$18.33,$17.96,$18.01,"$1,767,247","$1,767,247"
"Sep 01, 2022",$18.56,$18.58,$18.21,$18.31,"$1,616,007","$1,616,007"
"Aug 31, 2022",$18.34,$18.67,$18.02,$18.56,"$2,097,736","$2,097,736"
"Aug 30, 2022",$17.83,$18.35,$17.71,$18.34,"$2,031,037","$2,031,037"
"Aug 29, 2022",$17.06,$18.17,$17.03,$17.82,"$2,007,912","$2,007,912"
"Aug 28, 2022",$18.40,$18.41,$17.05,$17.07,"$1,818,701","$1,818,701"
"Aug 27, 2022",$18.59,$18.60,$17.85,$18.40,"$2,614,444","$2,614,444"
"Aug 26, 2022",$18.35,$19.43,$18.32,$18.60,"$3,650,715","$3,650,715"
"Aug 25, 2022",$18.02,$18.39,$17.96,$18.35,"$1,729,746","$1,729,746"
"Aug 24, 2022",$17.50,$18.07,$17.41,$18.01,"$1,468,552","$1,468,552"
"Aug 23, 2022",$17.01,$17.51,$16.95,$17.50,"$1,648,431","$1,648,431"
"Aug 22, 2022",$16.65,$17.11,$16.33,$17.01,"$2,115,508","$2,115,508"
"Aug 21, 2022",$16.49,$17.03,$16.40,$16.65,"$1,682,768","$1,682,768"
"Aug 20, 2022",$16.82,$16.97,$16.47,$16.49,"$1,997,640","$1,997,640"
"Aug 19, 2022",$18.60,$18.70,$16.79,$16.82,"$3,152,150","$3,152,150"
"Aug 18, 2022",$18.89,$19.77,$18.61,$18.61,"$2,216,629","$2,216,629"
"Aug 17, 2022",$18.37,$19.51,$18.34,$18.90,"$3,649,075","$3,649,075"
"Aug 16, 2022",$19.63,$19.70,$18.29,$18.37,"$2,625,297","$2,625,297"
"Aug 15, 2022",$20.62,$21.02,$19.51,$19.64,"$2,734,679","$2,734,679"
"Aug 14, 2022",$20.99,$22.40,$20.60,$20.63,"$4,482,461","$4,482,461"
"Aug 13, 2022",$22.25,$23.14,$20.97,$21.01,"$5,800,586","$5,800,586"
"Aug 12, 2022",$18.27,$23.87,$18.11,$22.25,"$11,078,300","$11,078,300"
"Aug 11, 2022",$17.63,$18.66,$17.37,$18.27,"$4,357,852","$4,357,852"
"Aug 10, 2022",$16.61,$17.65,$16.47,$17.63,"$3,396,221","$3,396,221"
"Aug 09, 2022",$16.17,$17.27,$16.12,$16.61,"$4,251,418","$4,251,418"
"Aug 08, 2022",$16.02,$16.63,$15.97,$16.17,"$3,275,331","$3,275,331"
"Aug 07, 2022",$15.82,$16.81,$15.74,$16.03,"$3,644,436","$3,644,436"
"Aug 06, 2022",$15.24,$16.42,$15.22,$15.81,"$3,689,270","$3,689,270"
"Aug 05, 2022",$15.26,$15.67,$15.12,$15.25,"$3,095,278","$3,095,278"
"Aug 04, 2022",$15.48,$15.55,$15.10,$15.26,"$2,350,873","$2,350,873"
"Aug 03, 2022",$15.46,$15.56,$15.29,$15.47,"$2,740,475","$2,740,475"
"Aug 02, 2022",$15.67,$15.76,$15.43,$15.48,"$2,379,374","$2,379,374"
"Aug 01, 2022",$15.91,$16.03,$15.09,$15.67,"$3,765,397","$3,765,397"
"Jul 31, 2022",$16.06,$16.48,$15.87,$15.90,"$2,899,133","$2,899,133"
"Jul 30, 2022",$16.37,$16.74,$15.59,$16.06,"$4,803,839","$4,803,839"
"Jul 29, 2022",$14.51,$16.38,$14.36,$16.37,"$3,768,056","$3,768,056"
"Jul 28, 2022",$13.37,$14.67,$13.22,$14.53,"$3,281,092","$3,281,092"
"Jul 27, 2022",$12.85,$13.37,$12.67,$13.37,"$3,694,352","$3,694,352"
"Jul 26, 2022",$14.66,$14.66,$12.82,$12.85,"$3,576,668","$3,576,668"
"Jul 25, 2022",$14.47,$14.73,$14.31,$14.66,"$4,346,901","$4,346,901"
"Jul 24, 2022",$14.16,$14.50,$14.00,$14.47,"$5,237,955","$5,237,955"
"Jul 23, 2022",$14.18,$14.56,$14.13,$14.17,"$7,140,053","$7,140,053"
"Jul 22, 2022",$14.19,$14.52,$14.13,$14.18,"$6,433,287","$6,433,287"
"Jul 21, 2022",$13.67,$14.58,$13.65,$14.19,"$5,030,951","$5,030,951"
"Jul 20, 2022",$14.53,$14.62,$13.62,$13.67,"$2,756,549","$2,756,549"
"Jul 19, 2022",$14.26,$14.71,$14.11,$14.52,"$1,927,531","$1,927,531"
"Jul 18, 2022",$13.38,$14.40,$13.36,$14.27,"$2,196,728","$2,196,728"
"Jul 17, 2022",$13.50,$13.79,$13.19,$13.37,"$2,069,336","$2,069,336"
"Jul 16, 2022",$13.59,$14.36,$13.11,$13.49,"$5,843,773","$5,843,773"
"Jul 15, 2022",$10.92,$13.92,$10.69,$13.60,"$8,942,688","$8,942,688"
"Jul 14, 2022",$9.89,$10.93,$9.89,$10.92,"$2,581,651","$2,581,651"
"Jul 13, 2022",$9.45,$9.90,$9.11,$9.89,"$2,294,337","$2,294,337"
"Jul 12, 2022",$10.21,$10.44,$9.45,$9.45,"$2,420,513","$2,420,513"
"Jul 11, 2022",$9.75,$10.45,$9.52,$10.22,"$3,904,428","$3,904,428"
"Jul 10, 2022",$10.13,$10.93,$8.66,$9.75,"$11,186,342","$11,186,342"
"Jul 09, 2022",$8.93,$10.41,$8.90,$10.14,"$5,199,951","$5,199,951"
"Jul 08, 2022",$8.50,$9.00,$8.07,$8.93,"$4,070,404","$4,070,404"
