Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.0674,$0.06747,$0.06212,$0.06212,"$2,654,204","$2,654,204"
"Sep 17, 2022",$0.06593,$0.06797,$0.06547,$0.0674,"$2,733,975","$2,733,975"
"Sep 16, 2022",$0.07056,$0.07056,$0.06536,$0.06591,"$3,694,140","$3,694,140"
"Sep 15, 2022",$0.06691,$0.07218,$0.06483,$0.0706,"$11,019,535","$11,019,535"
"Sep 14, 2022",$0.06792,$0.06885,$0.066,$0.06691,"$2,949,968","$2,949,968"
"Sep 13, 2022",$0.07183,$0.07226,$0.06773,$0.06791,"$3,227,804","$3,227,804"
"Sep 12, 2022",$0.07353,$0.07415,$0.0715,$0.07183,"$3,689,788","$3,689,788"
"Sep 11, 2022",$0.07524,$0.07536,$0.07285,$0.07353,"$3,693,244","$3,693,244"
"Sep 10, 2022",$0.07614,$0.07692,$0.07514,$0.07525,"$3,694,574","$3,694,574"
"Sep 09, 2022",$0.07294,$0.07658,$0.07291,$0.07615,"$5,038,304","$5,038,304"
"Sep 08, 2022",$0.07172,$0.07386,$0.07028,$0.07292,"$5,349,802","$5,349,802"
"Sep 07, 2022",$0.07004,$0.07185,$0.06891,$0.07175,"$3,275,902","$3,275,902"
"Sep 06, 2022",$0.07443,$0.07539,$0.07002,$0.07006,"$4,345,754","$4,345,754"
"Sep 05, 2022",$0.07685,$0.07696,$0.07354,$0.07442,"$3,286,860","$3,286,860"
"Sep 04, 2022",$0.07629,$0.07711,$0.07605,$0.07684,"$1,983,453","$1,983,453"
"Sep 03, 2022",$0.07716,$0.07764,$0.07581,$0.07629,"$2,156,418","$2,156,418"
"Sep 02, 2022",$0.07755,$0.07902,$0.07677,$0.07716,"$2,508,139","$2,508,139"
"Sep 01, 2022",$0.07653,$0.07816,$0.07622,$0.07755,"$2,946,151","$2,946,151"
"Aug 31, 2022",$0.07709,$0.07845,$0.07614,$0.07654,"$2,679,863","$2,679,863"
"Aug 30, 2022",$0.07952,$0.08025,$0.07611,$0.07697,"$3,719,538","$3,719,538"
"Aug 29, 2022",$0.0765,$0.0795,$0.0765,$0.0795,"$4,362,822","$4,362,822"
"Aug 28, 2022",$0.07748,$0.07987,$0.0765,$0.0765,"$4,278,333","$4,278,333"
"Aug 27, 2022",$0.07762,$0.08089,$0.07663,$0.07748,"$7,131,847","$7,131,847"
"Aug 26, 2022",$0.08591,$0.08853,$0.07753,$0.07764,"$8,974,914","$8,974,914"
"Aug 25, 2022",$0.08118,$0.08722,$0.08114,$0.08592,"$8,658,719","$8,658,719"
"Aug 24, 2022",$0.08277,$0.08277,$0.0799,$0.08118,"$5,190,488","$5,190,488"
"Aug 23, 2022",$0.0818,$0.0833,$0.07934,$0.08278,"$6,111,555","$6,111,555"
"Aug 22, 2022",$0.08272,$0.08374,$0.08013,$0.08179,"$4,004,266","$4,004,266"
"Aug 21, 2022",$0.08015,$0.08315,$0.07998,$0.08271,"$3,907,440","$3,907,440"
"Aug 20, 2022",$0.07936,$0.08466,$0.07927,$0.08016,"$5,176,772","$5,176,772"
"Aug 19, 2022",$0.08878,$0.08878,$0.07927,$0.07936,"$5,051,221","$5,051,221"
"Aug 18, 2022",$0.0921,$0.09228,$0.08795,$0.08883,"$8,573,430","$8,573,430"
"Aug 17, 2022",$0.09577,$0.09766,$0.09127,$0.09209,"$5,298,319","$5,298,319"
"Aug 16, 2022",$0.09658,$0.09771,$0.09543,$0.09576,"$3,668,774","$3,668,774"
"Aug 15, 2022",$0.0979,$0.0996,$0.09624,$0.09661,"$4,950,003","$4,950,003"
"Aug 14, 2022",$0.1005,$0.1049,$0.09697,$0.09788,"$5,850,562","$5,850,562"
"Aug 13, 2022",$0.1012,$0.1028,$0.09931,$0.1004,"$4,036,166","$4,036,166"
"Aug 12, 2022",$0.09611,$0.104,$0.09559,$0.1012,"$12,874,976","$12,874,976"
"Aug 11, 2022",$0.09767,$0.09865,$0.09568,$0.09612,"$3,591,890","$3,591,890"
"Aug 10, 2022",$0.09394,$0.09809,$0.09212,$0.09767,"$4,044,094","$4,044,094"
"Aug 09, 2022",$0.09757,$0.09784,$0.09346,$0.09394,"$3,996,806","$3,996,806"
"Aug 08, 2022",$0.09756,$0.1013,$0.09727,$0.09761,"$4,438,889","$4,438,889"
"Aug 07, 2022",$0.09587,$0.1032,$0.09545,$0.09757,"$6,871,161","$6,871,161"
"Aug 06, 2022",$0.09358,$0.09823,$0.0929,$0.09587,"$6,813,861","$6,813,861"
"Aug 05, 2022",$0.09278,$0.0943,$0.09201,$0.09357,"$4,366,453","$4,366,453"
"Aug 04, 2022",$0.09359,$0.09501,$0.09178,$0.09278,"$4,032,023","$4,032,023"
"Aug 03, 2022",$0.09388,$0.09881,$0.09149,$0.09358,"$3,675,717","$3,675,717"
"Aug 02, 2022",$0.09629,$0.09631,$0.09109,$0.09389,"$3,590,695","$3,590,695"
"Aug 01, 2022",$0.09031,$0.1045,$0.09028,$0.09629,"$13,616,402","$13,616,402"
"Jul 31, 2022",$0.08876,$0.09539,$0.08865,$0.09034,"$4,105,321","$4,105,321"
"Jul 30, 2022",$0.08893,$0.09287,$0.08878,$0.08878,"$2,874,966","$2,874,966"
"Jul 29, 2022",$0.08899,$0.09026,$0.08851,$0.08893,"$3,305,883","$3,305,883"
"Jul 28, 2022",$0.08752,$0.08963,$0.08657,$0.08898,"$2,724,761","$2,724,761"
"Jul 27, 2022",$0.0841,$0.08757,$0.084,$0.08752,"$2,464,065","$2,464,065"
"Jul 26, 2022",$0.08635,$0.08635,$0.08302,$0.08406,"$1,696,995","$1,696,995"
"Jul 25, 2022",$0.09241,$0.09518,$0.08634,$0.08634,"$6,188,328","$6,188,328"
"Jul 24, 2022",$0.08904,$0.09333,$0.08842,$0.09239,"$5,906,534","$5,906,534"
"Jul 23, 2022",$0.08597,$0.09069,$0.08573,$0.089,"$4,618,809","$4,618,809"
"Jul 22, 2022",$0.0896,$0.09078,$0.0859,$0.08599,"$1,868,595","$1,868,595"
"Jul 21, 2022",$0.09021,$0.0907,$0.0871,$0.08963,"$2,303,725","$2,303,725"
"Jul 20, 2022",$0.0958,$0.09653,$0.0902,$0.09021,"$3,919,544","$3,919,544"
"Jul 19, 2022",$0.09187,$0.1061,$0.08953,$0.09578,"$11,149,678","$11,149,678"
"Jul 18, 2022",$0.09313,$0.09734,$0.09018,$0.09189,"$5,541,116","$5,541,116"
"Jul 17, 2022",$0.08626,$0.09384,$0.08623,$0.09308,"$3,994,283","$3,994,283"
"Jul 16, 2022",$0.08501,$0.08691,$0.08444,$0.08627,"$2,156,818","$2,156,818"
"Jul 15, 2022",$0.08608,$0.08711,$0.08458,$0.08501,"$1,712,036","$1,712,036"
