Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.02043,$0.02086,$0.02026,$0.0207,"$1,721,114","$1,721,114"
"Sep 15, 2022",$0.02091,$0.02098,$0.02036,$0.02043,"$1,852,442","$1,852,442"
"Sep 14, 2022",$0.02044,$0.02155,$0.02037,$0.02091,"$10,489,651","$10,489,651"
"Sep 13, 2022",$0.02216,$0.02317,$0.0203,$0.02073,"$13,279,211","$13,279,211"
"Sep 12, 2022",$0.02188,$0.02222,$0.02152,$0.02209,"$2,853,044","$2,853,044"
"Sep 11, 2022",$0.02145,$0.02221,$0.02123,$0.02188,"$2,451,618","$2,451,618"
"Sep 10, 2022",$0.02171,$0.02172,$0.02109,$0.02152,"$1,621,894","$1,621,894"
"Sep 09, 2022",$0.02092,$0.02164,$0.02078,$0.02164,"$2,465,813","$2,465,813"
"Sep 08, 2022",$0.02044,$0.02159,$0.02026,$0.02092,"$3,318,579","$3,318,579"
"Sep 07, 2022",$0.01999,$0.02054,$0.01966,$0.02044,"$879,925","$879,925"
"Sep 06, 2022",$0.02085,$0.021,$0.01999,$0.02006,"$1,601,629","$1,601,629"
"Sep 05, 2022",$0.02098,$0.02113,$0.02033,$0.02078,"$1,106,072","$1,106,072"
"Sep 04, 2022",$0.02097,$0.02112,$0.02081,$0.02098,"$534,312","$534,312"
"Sep 03, 2022",$0.02113,$0.0212,$0.02089,$0.02097,"$447,885","$447,885"
"Sep 02, 2022",$0.02137,$0.02151,$0.02098,$0.02113,"$1,127,639","$1,127,639"
"Sep 01, 2022",$0.0219,$0.02198,$0.02089,$0.02137,"$2,132,338","$2,132,338"
"Aug 31, 2022",$0.02175,$0.02274,$0.02158,$0.02197,"$5,890,439","$5,890,439"
"Aug 30, 2022",$0.02105,$0.02401,$0.02091,$0.02175,"$698,313","$698,313"
"Aug 29, 2022",$0.02023,$0.0211,$0.02012,$0.02106,"$94,466","$94,466"
"Aug 28, 2022",$0.02043,$0.02093,$0.02024,$0.02024,"$63,503","$63,503"
"Aug 27, 2022",$0.02069,$0.02116,$0.02017,$0.02043,"$123,637","$123,637"
"Aug 26, 2022",$0.02238,$0.02255,$0.02062,$0.02069,"$102,599","$102,599"
"Aug 25, 2022",$0.02201,$0.02273,$0.0218,$0.02238,"$98,039","$98,039"
"Aug 24, 2022",$0.02169,$0.02243,$0.02116,$0.02201,"$99,091","$99,091"
"Aug 23, 2022",$0.02145,$0.02174,$0.02088,$0.02169,"$84,587","$84,587"
"Aug 22, 2022",$0.02195,$0.02199,$0.02071,$0.02145,"$79,630","$79,630"
"Aug 21, 2022",$0.02156,$0.02205,$0.02123,$0.02196,"$25,571","$25,571"
"Aug 20, 2022",$0.02131,$0.02224,$0.02109,$0.0215,"$77,626","$77,626"
"Aug 19, 2022",$0.02371,$0.02371,$0.02126,$0.02127,"$162,925","$162,925"
"Aug 18, 2022",$0.02418,$0.02451,$0.02365,$0.02371,"$93,238","$93,238"
"Aug 17, 2022",$0.02475,$0.02533,$0.02387,$0.02418,"$156,740","$156,740"
"Aug 16, 2022",$0.02531,$0.02531,$0.02462,$0.02475,"$118,985","$118,985"
"Aug 15, 2022",$0.02566,$0.026,$0.02485,$0.02532,"$198,902","$198,902"
"Aug 14, 2022",$0.0259,$0.02626,$0.0254,$0.02568,"$176,253","$176,253"
"Aug 13, 2022",$0.02546,$0.02592,$0.02546,$0.02586,"$179,222","$179,222"
"Aug 12, 2022",$0.0249,$0.02549,$0.02464,$0.02539,"$223,788","$223,788"
"Aug 11, 2022",$0.02465,$0.02566,$0.02443,$0.0249,"$377,305","$377,305"
"Aug 10, 2022",$0.02329,$0.02525,$0.0228,$0.02453,"$1,484,609","$1,484,609"
"Aug 09, 2022",$0.02396,$0.0242,$0.02284,$0.02329,"$221,334","$221,334"
"Aug 08, 2022",$0.024,$0.02424,$0.02366,$0.02396,"$157,526","$157,526"
"Aug 07, 2022",$0.02347,$0.02417,$0.02335,$0.024,"$297,915","$297,915"
"Aug 06, 2022",$0.02347,$0.02391,$0.02342,$0.02347,"$194,790","$194,790"
"Aug 05, 2022",$0.02325,$0.02353,$0.02308,$0.02347,"$127,972","$127,972"
"Aug 04, 2022",$0.02362,$0.0237,$0.02297,$0.02325,"$207,925","$207,925"
"Aug 03, 2022",$0.0248,$0.0248,$0.02305,$0.02362,"$716,837","$716,837"
"Aug 02, 2022",$0.02389,$0.03428,$0.02389,$0.02475,"$8,379,701","$8,379,701"
"Aug 01, 2022",$0.02247,$0.0243,$0.02246,$0.02388,"$302,880","$302,880"
"Jul 31, 2022",$0.02217,$0.02336,$0.02179,$0.02247,"$209,866","$209,866"
"Jul 30, 2022",$0.02212,$0.02261,$0.02169,$0.02215,"$65,126","$65,126"
"Jul 29, 2022",$0.02182,$0.02228,$0.02132,$0.02213,"$121,782","$121,782"
"Jul 28, 2022",$0.02133,$0.02199,$0.021,$0.02181,"$95,986","$95,986"
"Jul 27, 2022",$0.02031,$0.02135,$0.02001,$0.02134,"$100,277","$100,277"
"Jul 26, 2022",$0.02029,$0.02057,$0.01947,$0.02031,"$87,601","$87,601"
"Jul 25, 2022",$0.02152,$0.02152,$0.0203,$0.02031,"$74,096","$74,096"
"Jul 24, 2022",$0.02178,$0.0221,$0.02142,$0.02152,"$55,461","$55,461"
"Jul 23, 2022",$0.02192,$0.02223,$0.02121,$0.02178,"$69,123","$69,123"
"Jul 22, 2022",$0.02231,$0.02269,$0.02159,$0.02193,"$99,344","$99,344"
"Jul 21, 2022",$0.02199,$0.02268,$0.02144,$0.02231,"$213,419","$213,419"
