Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.6377,$0.6553,$0.619,$0.6531,"$2,841,710","$2,841,710"
"Sep 18, 2022",$0.6776,$0.679,$0.6369,$0.6376,"$3,626,515","$3,626,515"
"Sep 17, 2022",$0.6603,$0.6785,$0.6582,$0.6776,"$2,954,756","$2,954,756"
"Sep 16, 2022",$0.6699,$0.6754,$0.6547,$0.6603,"$2,780,091","$2,780,091"
"Sep 15, 2022",$0.7137,$0.7189,$0.6621,$0.67,"$4,251,280","$4,251,280"
"Sep 14, 2022",$0.6981,$0.7169,$0.694,$0.7136,"$3,404,482","$3,404,482"
"Sep 13, 2022",$0.7477,$0.7535,$0.6926,$0.6956,"$4,553,655","$4,553,655"
"Sep 12, 2022",$0.7642,$0.7659,$0.7383,$0.7476,"$3,476,805","$3,476,805"
"Sep 11, 2022",$0.7637,$0.7687,$0.7571,$0.7641,"$1,777,435","$1,777,435"
"Sep 10, 2022",$0.748,$0.7649,$0.7446,$0.7637,"$2,713,288","$2,713,288"
"Sep 09, 2022",$0.7038,$0.7513,$0.7033,$0.7481,"$5,137,666","$5,137,666"
"Sep 08, 2022",$0.7189,$0.7259,$0.7034,$0.7038,"$5,186,232","$5,186,232"
"Sep 07, 2022",$0.6931,$0.723,$0.6649,$0.7189,"$3,200,388","$3,200,388"
"Sep 06, 2022",$0.7304,$0.7475,$0.6932,$0.6932,"$3,958,621","$3,958,621"
"Sep 05, 2022",$0.716,$0.7445,$0.7113,$0.7305,"$4,564,909","$4,564,909"
"Sep 04, 2022",$0.7065,$0.7168,$0.7026,$0.716,"$1,547,003","$1,547,003"
"Sep 03, 2022",$0.7084,$0.7122,$0.6991,$0.7065,"$1,340,767","$1,340,767"
"Sep 02, 2022",$0.7206,$0.7328,$0.7025,$0.7084,"$2,609,897","$2,609,897"
"Sep 01, 2022",$0.7128,$0.7211,$0.6985,$0.7204,"$2,185,031","$2,185,031"
"Aug 31, 2022",$0.709,$0.739,$0.709,$0.7127,"$2,700,794","$2,700,794"
"Aug 30, 2022",$0.7392,$0.749,$0.697,$0.7089,"$2,654,070","$2,654,070"
"Aug 29, 2022",$0.6871,$0.7414,$0.6847,$0.7392,"$3,482,307","$3,482,307"
"Aug 28, 2022",$0.7097,$0.7154,$0.6872,$0.6872,"$1,363,148","$1,363,148"
"Aug 27, 2022",$0.7192,$0.7221,$0.7001,$0.7096,"$1,625,970","$1,625,970"
"Aug 26, 2022",$0.8081,$0.8088,$0.7174,$0.7192,"$2,908,492","$2,908,492"
"Aug 25, 2022",$0.8008,$0.8212,$0.8003,$0.8081,"$1,435,754","$1,435,754"
"Aug 24, 2022",$0.8089,$0.8135,$0.7798,$0.8008,"$1,842,086","$1,842,086"
"Aug 23, 2022",$0.7864,$0.8089,$0.7673,$0.8089,"$1,754,680","$1,754,680"
"Aug 22, 2022",$0.8019,$0.8039,$0.7602,$0.7865,"$2,400,627","$2,400,627"
"Aug 21, 2022",$0.7789,$0.8111,$0.7789,$0.8019,"$1,403,534","$1,403,534"
"Aug 20, 2022",$0.7876,$0.8063,$0.7642,$0.7789,"$2,494,166","$2,494,166"
"Aug 19, 2022",$0.8976,$0.9003,$0.7876,$0.7877,"$2,718,154","$2,718,154"
"Aug 18, 2022",$0.9068,$0.9178,$0.8971,$0.8976,"$1,588,316","$1,588,316"
"Aug 17, 2022",$0.9423,$0.9887,$0.9036,$0.9067,"$3,090,708","$3,090,708"
"Aug 16, 2022",$0.9393,$0.9539,$0.9273,$0.9422,"$2,250,301","$2,250,301"
