Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.03526,$0.03676,$0.03262,$0.03319,"$5,149,871","$5,149,871"
"Sep 17, 2022",$0.03499,$0.03562,$0.0349,$0.03526,"$917,991","$917,991"
"Sep 16, 2022",$0.03473,$0.03537,$0.03444,$0.03506,"$1,056,084","$1,056,084"
"Sep 15, 2022",$0.03557,$0.03687,$0.03446,$0.0346,"$3,490,480","$3,490,480"
"Sep 14, 2022",$0.03506,$0.03565,$0.03486,$0.03557,"$1,790,306","$1,790,306"
"Sep 13, 2022",$0.03837,$0.03851,$0.03486,$0.03544,"$5,517,440","$5,517,440"
"Sep 12, 2022",$0.03804,$0.03985,$0.03775,$0.03837,"$10,641,609","$10,641,609"
"Sep 11, 2022",$0.03775,$0.0384,$0.03717,$0.03804,"$3,588,209","$3,588,209"
"Sep 10, 2022",$0.03804,$0.03804,$0.03688,$0.03768,"$2,832,904","$2,832,904"
"Sep 09, 2022",$0.03711,$0.03811,$0.03683,$0.03804,"$3,502,035","$3,502,035"
"Sep 08, 2022",$0.03652,$0.03719,$0.03579,$0.03711,"$4,639,904","$4,639,904"
"Sep 07, 2022",$0.03568,$0.03659,$0.03431,$0.03652,"$3,240,617","$3,240,617"
"Sep 06, 2022",$0.03848,$0.03849,$0.03538,$0.03553,"$5,804,099","$5,804,099"
"Sep 05, 2022",$0.03904,$0.03904,$0.03767,$0.03857,"$2,938,993","$2,938,993"
"Sep 04, 2022",$0.03911,$0.03926,$0.03794,$0.03904,"$3,843,325","$3,843,325"
"Sep 03, 2022",$0.03992,$0.03992,$0.0386,$0.03911,"$2,832,218","$2,832,218"
"Sep 02, 2022",$0.04112,$0.04199,$0.03896,$0.03985,"$8,151,738","$8,151,738"
"Sep 01, 2022",$0.04335,$0.04335,$0.03944,$0.04112,"$15,783,939","$15,783,939"
"Aug 31, 2022",$0.04607,$0.04793,$0.04285,$0.04321,"$75,023,140","$75,023,140"
"Aug 30, 2022",$0.03647,$0.04992,$0.0364,$0.04585,"$192,687,305","$192,687,305"
"Aug 29, 2022",$0.03554,$0.03724,$0.03486,$0.03654,"$2,055,509","$2,055,509"
"Aug 28, 2022",$0.03648,$0.03709,$0.03569,$0.03569,"$552,276","$552,276"
"Aug 27, 2022",$0.0364,$0.03858,$0.03568,$0.03648,"$3,761,978","$3,761,978"
"Aug 26, 2022",$0.03948,$0.03993,$0.03597,$0.03639,"$1,996,266","$1,996,266"
"Aug 25, 2022",$0.03736,$0.04029,$0.03693,$0.03934,"$4,163,078","$4,163,078"
"Aug 24, 2022",$0.03727,$0.0377,$0.03642,$0.03729,"$903,912","$903,912"
"Aug 23, 2022",$0.03689,$0.03733,$0.03585,$0.03712,"$872,449","$872,449"
"Aug 22, 2022",$0.0381,$0.0381,$0.03552,$0.03689,"$1,062,572","$1,062,572"
"Aug 21, 2022",$0.03794,$0.03829,$0.03697,$0.03817,"$764,702","$764,702"
"Aug 20, 2022",$0.03739,$0.03877,$0.03669,$0.0378,"$1,201,424","$1,201,424"
"Aug 19, 2022",$0.04272,$0.0428,$0.03695,$0.03746,"$3,503,903","$3,503,903"
"Aug 18, 2022",$0.04364,$0.04463,$0.04244,$0.04265,"$3,147,198","$3,147,198"
"Aug 17, 2022",$0.04367,$0.04627,$0.04209,$0.04342,"$12,756,111","$12,756,111"
"Aug 16, 2022",$0.0451,$0.0451,$0.04301,$0.0436,"$2,054,555","$2,054,555"
"Aug 15, 2022",$0.04638,$0.04638,$0.04408,$0.04495,"$3,318,347","$3,318,347"
"Aug 14, 2022",$0.04599,$0.04759,$0.04507,$0.04622,"$6,112,105","$6,112,105"
"Aug 13, 2022",$0.04589,$0.04657,$0.04515,$0.04599,"$2,956,760","$2,956,760"
"Aug 12, 2022",$0.04544,$0.04687,$0.04429,$0.04581,"$7,402,836","$7,402,836"
"Aug 11, 2022",$0.04384,$0.04641,$0.04299,$0.04535,"$11,684,507","$11,684,507"
"Aug 10, 2022",$0.04113,$0.04775,$0.03999,$0.04383,"$25,437,541","$25,437,541"
"Aug 09, 2022",$0.04157,$0.04372,$0.03999,$0.04128,"$7,412,068","$7,412,068"
"Aug 08, 2022",$0.04157,$0.04173,$0.04066,$0.04157,"$2,570,216","$2,570,216"
"Aug 07, 2022",$0.0411,$0.04403,$0.04095,$0.04157,"$8,246,421","$8,246,421"
"Aug 06, 2022",$0.0404,$0.04232,$0.04034,$0.04103,"$3,998,686","$3,998,686"
"Aug 05, 2022",$0.04011,$0.04055,$0.03966,$0.0404,"$1,621,298","$1,621,298"
"Aug 04, 2022",$0.03975,$0.04011,$0.03936,$0.04004,"$1,247,658","$1,247,658"
"Aug 03, 2022",$0.04091,$0.04091,$0.03833,$0.03975,"$3,277,134","$3,277,134"
"Aug 02, 2022",$0.04168,$0.0487,$0.04007,$0.04091,"$39,845,091","$39,845,091"
"Aug 01, 2022",$0.03974,$0.0436,$0.03944,$0.04191,"$14,350,185","$14,350,185"
"Jul 31, 2022",$0.03806,$0.04044,$0.03744,$0.0399,"$5,721,117","$5,721,117"
"Jul 30, 2022",$0.03786,$0.03927,$0.03752,$0.03806,"$4,300,502","$4,300,502"
"Jul 29, 2022",$0.03779,$0.0397,$0.03701,$0.03786,"$6,138,226","$6,138,226"
"Jul 28, 2022",$0.03647,$0.03779,$0.03594,$0.03772,"$1,790,205","$1,790,205"
"Jul 27, 2022",$0.03486,$0.03656,$0.03441,$0.03639,"$1,016,370","$1,016,370"
"Jul 26, 2022",$0.03539,$0.03661,$0.03403,$0.03486,"$2,277,666","$2,277,666"
"Jul 25, 2022",$0.03693,$0.037,$0.03532,$0.03532,"$960,174","$960,174"
"Jul 24, 2022",$0.03694,$0.03755,$0.03671,$0.03693,"$697,776","$697,776"
"Jul 23, 2022",$0.03701,$0.03731,$0.03616,$0.03687,"$935,341","$935,341"
"Jul 22, 2022",$0.0375,$0.03793,$0.03674,$0.037,"$1,509,638","$1,509,638"
"Jul 21, 2022",$0.03725,$0.03824,$0.03588,$0.03743,"$2,328,446","$2,328,446"
"Jul 20, 2022",$0.03892,$0.04197,$0.03679,$0.03732,"$12,984,222","$12,984,222"
"Jul 19, 2022",$0.0376,$0.03907,$0.03652,$0.03884,"$4,472,574","$4,472,574"
"Jul 18, 2022",$0.03639,$0.03767,$0.03562,$0.03767,"$5,247,661","$5,247,661"
"Jul 17, 2022",$0.03554,$0.03934,$0.03554,$0.03647,"$23,871,530","$23,871,530"
"Jul 16, 2022",$0.03507,$0.03562,$0.03427,$0.03554,"$1,367,138","$1,367,138"
"Jul 15, 2022",$0.03411,$0.03552,$0.03348,$0.03507,"$4,436,830","$4,436,830"
"Jul 14, 2022",$0.03405,$0.03574,$0.03288,$0.03419,"$5,594,143","$5,594,143"
"Jul 13, 2022",$0.03331,$0.03468,$0.03192,$0.03405,"$2,867,629","$2,867,629"
"Jul 12, 2022",$0.03364,$0.03806,$0.03274,$0.03331,"$11,902,494","$11,902,494"
"Jul 11, 2022",$0.03661,$0.03677,$0.03348,$0.03364,"$1,786,499","$1,786,499"
"Jul 10, 2022",$0.03754,$0.04062,$0.03637,$0.0366,"$12,228,072","$12,228,072"
"Jul 09, 2022",$0.03653,$0.03761,$0.03599,$0.03754,"$2,576,862","$2,576,862"
"Jul 08, 2022",$0.03582,$0.03676,$0.03515,$0.03676,"$2,847,933","$2,847,933"
"Jul 07, 2022",$0.03493,$0.03596,$0.03442,$0.03574,"$2,329,930","$2,329,930"
"Jul 06, 2022",$0.03448,$0.03494,$0.03369,$0.03486,"$1,206,814","$1,206,814"
"Jul 05, 2022",$0.03557,$0.03557,$0.03318,$0.03441,"$1,213,475","$1,213,475"
"Jul 04, 2022",$0.03518,$0.0355,$0.03356,$0.0355,"$1,801,735","$1,801,735"
"Jul 03, 2022",$0.0348,$0.0358,$0.03418,$0.03525,"$3,133,304","$3,133,304"
"Jul 02, 2022",$0.03402,$0.03556,$0.03342,$0.03487,"$2,604,227","$2,604,227"
"Jul 01, 2022",$0.03418,$0.03548,$0.03215,$0.03395,"$3,066,487","$3,066,487"
"Jun 30, 2022",$0.03578,$0.03579,$0.03193,$0.03425,"$2,353,580","$2,353,580"
"Jun 29, 2022",$0.03754,$0.03775,$0.03492,$0.03585,"$2,720,170","$2,720,170"
"Jun 28, 2022",$0.03786,$0.04143,$0.03727,$0.03754,"$7,982,327","$7,982,327"
"Jun 27, 2022",$0.03613,$0.03817,$0.0356,$0.03793,"$8,462,102","$8,462,102"
"Jun 26, 2022",$0.03801,$0.03801,$0.03614,$0.03622,"$2,265,283","$2,265,283"
"Jun 25, 2022",$0.03839,$0.03956,$0.03645,$0.03801,"$4,039,785","$4,039,785"
"Jun 24, 2022",$0.03724,$0.03846,$0.03635,$0.03846,"$5,092,047","$5,092,047"
"Jun 23, 2022",$0.03637,$0.03752,$0.03552,$0.03731,"$5,203,819","$5,203,819"
"Jun 22, 2022",$0.03562,$0.0421,$0.03499,$0.03645,"$33,853,175","$33,853,175"
"Jun 21, 2022",$0.03443,$0.03622,$0.03358,$0.0357,"$6,103,123","$6,103,123"
"Jun 20, 2022",$0.03399,$0.03523,$0.03236,$0.03428,"$6,873,604","$6,873,604"
"Jun 19, 2022",$0.0319,$0.0395,$0.0319,$0.03399,"$39,674,291","$39,674,291"
"Jun 18, 2022",$0.03376,$0.03708,$0.0309,$0.03174,"$9,949,307","$9,949,307"
"Jun 17, 2022",$0.0315,$0.03416,$0.03105,$0.03368,"$3,563,039","$3,563,039"
"Jun 16, 2022",$0.03424,$0.03864,$0.03105,$0.03143,"$8,931,147","$8,931,147"
