Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$25.19,$25.25,$23.13,$23.18,"$5,343,872","$5,343,872"
"Sep 17, 2022",$24.67,$25.19,$24.50,$25.17,"$6,224,538","$6,224,538"
"Sep 16, 2022",$25.79,$25.90,$24.37,$24.69,"$7,484,625","$7,484,625"
"Sep 15, 2022",$27.34,$27.94,$25.70,$25.77,"$8,115,435","$8,115,435"
"Sep 14, 2022",$27.84,$28.20,$26.58,$27.33,"$6,097,192","$6,097,192"
"Sep 13, 2022",$29.74,$29.88,$27.44,$27.69,"$11,021,320","$11,021,320"
"Sep 12, 2022",$31.87,$32.10,$29.50,$29.74,"$11,205,264","$11,205,264"
"Sep 11, 2022",$32.21,$32.28,$31.04,$31.87,"$14,060,293","$14,060,293"
"Sep 10, 2022",$31.96,$32.54,$31.00,$32.21,"$14,235,401","$14,235,401"
"Sep 09, 2022",$28.91,$32.35,$28.77,$31.96,"$16,505,633","$16,505,633"
"Sep 08, 2022",$29.22,$29.36,$28.43,$28.91,"$14,082,149","$14,082,149"
"Sep 07, 2022",$28.68,$29.57,$27.38,$29.22,"$15,292,918","$15,292,918"
"Sep 06, 2022",$30.39,$31.52,$28.43,$28.67,"$15,466,901","$15,466,901"
"Sep 05, 2022",$30.17,$30.66,$29.81,$30.38,"$12,805,218","$12,805,218"
"Sep 04, 2022",$30.75,$30.87,$30.00,$30.17,"$11,746,483","$11,746,483"
"Sep 03, 2022",$31.48,$31.50,$30.60,$30.74,"$11,772,977","$11,772,977"
"Sep 02, 2022",$30.57,$32.69,$30.56,$31.47,"$13,941,195","$13,941,195"
"Sep 01, 2022",$31.13,$31.35,$29.72,$30.59,"$13,128,485","$13,128,485"
"Aug 31, 2022",$31.21,$32.56,$31.08,$31.15,"$13,809,223","$13,809,223"
"Aug 30, 2022",$32.41,$33.03,$30.32,$31.21,"$14,785,273","$14,785,273"
"Aug 29, 2022",$29.32,$32.76,$28.92,$32.40,"$16,071,383","$16,071,383"
"Aug 28, 2022",$29.86,$30.93,$29.33,$29.34,"$14,308,543","$14,308,543"
"Aug 27, 2022",$31.29,$31.72,$29.19,$29.87,"$15,536,429","$15,536,429"
"Aug 26, 2022",$35.30,$35.47,$31.29,$31.29,"$22,621,357","$22,621,357"
"Aug 25, 2022",$35.81,$36.98,$35.17,$35.31,"$15,056,095","$15,056,095"
"Aug 24, 2022",$34.65,$36.22,$34.10,$35.81,"$16,974,351","$16,974,351"
"Aug 23, 2022",$32.52,$34.98,$31.92,$34.65,"$16,255,497","$16,255,497"
"Aug 22, 2022",$34.77,$34.80,$31.74,$32.50,"$13,797,891","$13,797,891"
"Aug 21, 2022",$32.24,$35.02,$31.80,$34.77,"$10,264,692","$10,264,692"
"Aug 20, 2022",$32.66,$34.39,$31.79,$32.22,"$8,334,943","$8,334,943"
"Aug 19, 2022",$38.11,$38.11,$32.75,$32.75,"$16,509,835","$16,509,835"
"Aug 18, 2022",$38.73,$39.07,$38.05,$38.12,"$12,820,729","$12,820,729"
"Aug 17, 2022",$38.91,$42.81,$37.26,$38.73,"$20,360,770","$20,360,770"
"Aug 16, 2022",$40.43,$40.60,$38.21,$38.91,"$11,756,998","$11,756,998"
"Aug 15, 2022",$43.20,$45.00,$39.73,$40.43,"$20,666,023","$20,666,023"
"Aug 14, 2022",$47.39,$48.52,$43.18,$43.21,"$15,371,863","$15,371,863"
"Aug 13, 2022",$48.68,$49.24,$46.44,$47.37,"$13,859,970","$13,859,970"
"Aug 12, 2022",$44.68,$48.82,$44.14,$48.69,"$10,935,962","$10,935,962"
"Aug 11, 2022",$47.38,$50.01,$44.69,$44.69,"$18,842,742","$18,842,742"
"Aug 10, 2022",$43.17,$47.42,$41.87,$47.39,"$30,037,475","$30,037,475"
"Aug 09, 2022",$45.28,$45.68,$41.60,$43.17,"$17,052,799","$17,052,799"
"Aug 08, 2022",$44.55,$47.62,$43.12,$45.27,"$18,900,830","$18,900,830"
"Aug 07, 2022",$41.50,$46.22,$41.22,$44.57,"$13,187,785","$13,187,785"
"Aug 06, 2022",$47.69,$47.69,$41.49,$41.49,"$19,035,292","$19,035,292"
"Aug 05, 2022",$45.31,$49.44,$44.65,$47.70,"$26,395,728","$26,395,728"
"Aug 04, 2022",$35.38,$47.40,$35.29,$45.23,"$53,182,151","$53,182,151"
"Aug 03, 2022",$33.30,$37.34,$32.66,$35.38,"$21,305,111","$21,305,111"
"Aug 02, 2022",$33.67,$34.11,$31.80,$33.23,"$14,559,318","$14,559,318"
"Aug 01, 2022",$34.31,$34.32,$32.70,$33.66,"$13,856,261","$13,856,261"
"Jul 31, 2022",$34.60,$35.70,$34.06,$34.28,"$7,404,533","$7,404,533"
"Jul 30, 2022",$36.53,$37.74,$34.53,$34.60,"$9,322,781","$9,322,781"
"Jul 29, 2022",$36.19,$39.19,$33.96,$36.53,"$22,732,733","$22,732,733"
"Jul 28, 2022",$34.08,$38.18,$32.70,$36.23,"$30,236,712","$30,236,712"
"Jul 27, 2022",$27.69,$35.30,$27.69,$34.08,"$21,773,964","$21,773,964"
"Jul 26, 2022",$27.48,$27.82,$25.76,$27.78,"$8,710,573","$8,710,573"
"Jul 25, 2022",$30.58,$30.61,$27.50,$27.50,"$8,673,831","$8,673,831"
"Jul 24, 2022",$29.58,$31.53,$29.28,$30.57,"$8,804,218","$8,804,218"
"Jul 23, 2022",$30.39,$32.01,$28.23,$29.58,"$11,671,790","$11,671,790"
