Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.3257,$0.3285,$0.314,$0.3279,"$1,846,073","$1,846,073"
"Sep 18, 2022",$0.3475,$0.3475,$0.3235,$0.3257,"$1,751,567","$1,751,567"
"Sep 17, 2022",$0.3417,$0.3486,$0.3406,$0.3475,"$994,367","$994,367"
"Sep 16, 2022",$0.3378,$0.3417,$0.3354,$0.3417,"$1,063,820","$1,063,820"
"Sep 15, 2022",$0.3449,$0.3452,$0.3363,$0.3378,"$1,626,069","$1,626,069"
"Sep 14, 2022",$0.3413,$0.346,$0.3408,$0.3444,"$1,246,473","$1,246,473"
"Sep 13, 2022",$0.369,$0.369,$0.3408,$0.345,"$3,535,305","$3,535,305"
"Sep 12, 2022",$0.3664,$0.3719,$0.3638,$0.369,"$3,802,709","$3,802,709"
"Sep 11, 2022",$0.3624,$0.3683,$0.3591,$0.367,"$2,539,886","$2,539,886"
"Sep 10, 2022",$0.3629,$0.3682,$0.3571,$0.363,"$2,971,685","$2,971,685"
"Sep 09, 2022",$0.3506,$0.3756,$0.3502,$0.3629,"$8,522,734","$8,522,734"
"Sep 08, 2022",$0.3436,$0.3608,$0.3415,$0.3523,"$4,021,385","$4,021,385"
"Sep 07, 2022",$0.3405,$0.3456,$0.3325,$0.3437,"$1,530,386","$1,530,386"
"Sep 06, 2022",$0.3542,$0.3566,$0.3395,$0.3405,"$2,045,130","$2,045,130"
"Sep 05, 2022",$0.3593,$0.3593,$0.3498,$0.3543,"$1,363,038","$1,363,038"
"Sep 04, 2022",$0.3595,$0.3601,$0.356,$0.3592,"$1,119,756","$1,119,756"
"Sep 03, 2022",$0.3645,$0.3645,$0.3585,$0.3595,"$1,503,162","$1,503,162"
"Sep 02, 2022",$0.3621,$0.3909,$0.3596,$0.3645,"$12,430,258","$12,430,258"
"Sep 01, 2022",$0.3667,$0.3695,$0.3564,$0.3621,"$2,222,825","$2,222,825"
"Aug 31, 2022",$0.3663,$0.3801,$0.3649,$0.3667,"$2,773,254","$2,773,254"
"Aug 30, 2022",$0.3641,$0.3892,$0.3599,$0.3663,"$6,434,353","$6,434,353"
"Aug 29, 2022",$0.3553,$0.3663,$0.3538,$0.3641,"$1,456,898","$1,456,898"
"Aug 28, 2022",$0.3588,$0.3707,$0.356,$0.356,"$2,759,423","$2,759,423"
"Aug 27, 2022",$0.3559,$0.3791,$0.3524,$0.3581,"$3,925,520","$3,925,520"
"Aug 26, 2022",$0.3833,$0.3833,$0.3531,$0.3559,"$2,766,743","$2,766,743"
"Aug 25, 2022",$0.3728,$0.384,$0.3721,$0.3833,"$1,638,440","$1,638,440"
"Aug 24, 2022",$0.3729,$0.3786,$0.3666,$0.3735,"$2,454,798","$2,454,798"
"Aug 23, 2022",$0.3721,$0.3747,$0.3641,$0.3729,"$1,004,994","$1,004,994"
"Aug 22, 2022",$0.3796,$0.3883,$0.3604,$0.3721,"$2,490,724","$2,490,724"
"Aug 21, 2022",$0.376,$0.3972,$0.3701,$0.3796,"$3,380,538","$3,380,538"
"Aug 20, 2022",$0.3728,$0.3834,$0.3718,$0.376,"$1,339,441","$1,339,441"
"Aug 19, 2022",$0.4238,$0.4244,$0.3722,$0.3734,"$4,169,834","$4,169,834"
"Aug 18, 2022",$0.4277,$0.4346,$0.4237,$0.4238,"$1,466,313","$1,466,313"
"Aug 17, 2022",$0.4394,$0.444,$0.4232,$0.4277,"$3,210,347","$3,210,347"
