Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$1.42,$1.43,$1.24,$1.25,$278,$278
"Sep 20, 2022",$1.50,$1.50,$1.31,$1.42,$948,$948
"Sep 19, 2022",$1.53,$1.54,$1.40,$1.50,$47,$47
"Sep 18, 2022",$1.60,$1.60,$1.47,$1.53,$295,$295
"Sep 17, 2022",$1.47,$1.60,$1.47,$1.60,$211,$211
"Sep 16, 2022",$1.56,$1.57,$1.44,$1.46,$419,$419
"Sep 15, 2022",$1.62,$1.63,$1.55,$1.56,$12,$12
"Sep 14, 2022",$1.62,$1.74,$1.59,$1.62,$711,$711
"Sep 13, 2022",$2.00,$2.00,$1.61,$1.62,$446,$446
"Sep 12, 2022",$1.58,$2.00,$1.57,$2.00,"$1,243","$1,243"
"Sep 11, 2022",$1.73,$1.74,$1.57,$1.58,$717,$717
"Sep 10, 2022",$1.66,$1.74,$1.54,$1.73,$211,$211
"Sep 09, 2022",$1.55,$1.69,$1.55,$1.66,$305,$305
"Sep 08, 2022",$1.61,$1.62,$1.53,$1.55,$71,$71
"Sep 07, 2022",$1.66,$1.69,$1.51,$1.61,$239,$239
"Sep 06, 2022",$1.63,$1.68,$1.51,$1.66,$305,$305
"Sep 05, 2022",$1.66,$1.75,$1.59,$1.62,$56,$56
"Sep 04, 2022",$1.63,$1.71,$1.59,$1.66,$320,$320
"Sep 03, 2022",$1.64,$1.78,$1.62,$1.63,$439,$439
"Sep 02, 2022",$1.71,$1.80,$1.61,$1.64,$284,$284
"Sep 01, 2022",$1.71,$1.84,$1.67,$1.71,$650,$650
"Aug 31, 2022",$1.72,$1.89,$1.70,$1.71,$371,$371
"Aug 30, 2022",$1.89,$1.91,$1.70,$1.72,$176,$176
"Aug 29, 2022",$1.82,$1.89,$1.82,$1.89,$78,$78
"Aug 28, 2022",$1.86,$2.00,$1.82,$1.82,$669,$669
"Aug 27, 2022",$2.02,$2.03,$1.85,$1.86,$12,$12
"Aug 26, 2022",$2.01,$2.17,$1.99,$2.02,$8,$8
"Aug 25, 2022",$1.99,$2.13,$1.99,$2.01,"$2,343","$2,343"
"Aug 24, 2022",$1.98,$2.36,$1.95,$1.99,"$3,220","$3,220"
"Aug 23, 2022",$1.95,$1.99,$1.89,$1.98,$166,$166
"Aug 22, 2022",$1.72,$1.95,$1.71,$1.95,$400,$400
"Aug 21, 2022",$1.78,$1.83,$1.71,$1.72,$508,$508
"Aug 20, 2022",$1.88,$1.98,$1.72,$1.78,$231,$231
"Aug 19, 2022",$2.04,$2.04,$1.85,$1.88,$24,$24
"Aug 18, 2022",$2.07,$2.09,$2.03,$2.04,$25,$25
"Aug 17, 2022",$2.27,$2.28,$2.02,$2.07,$730,$730
"Aug 16, 2022",$2.13,$2.28,$2.09,$2.27,$0,$0
"Aug 15, 2022",$2.22,$2.24,$2.10,$2.13,$552,$552
"Aug 14, 2022",$2.34,$2.36,$2.21,$2.22,$118,$118
"Aug 13, 2022",$2.17,$2.61,$2.17,$2.34,$526,$526
"Aug 12, 2022",$2.19,$2.39,$2.14,$2.17,"$1,835","$1,835"
"Aug 11, 2022",$2.63,$2.70,$2.19,$2.19,"$6,058","$6,058"
"Aug 10, 2022",$2.11,$2.65,$1.98,$2.63,"$6,365","$6,365"
"Aug 09, 2022",$2.59,$2.59,$2.02,$2.11,$170,$170
"Aug 08, 2022",$2.00,$2.62,$2.00,$2.59,"$1,055","$1,055"
"Aug 07, 2022",$1.98,$2.06,$1.97,$2.00,$64,$64
"Aug 06, 2022",$2.02,$2.02,$1.98,$1.98,$328,$328
"Aug 05, 2022",$2.55,$2.61,$1.98,$2.02,$551,$551
"Aug 04, 2022",$2.02,$2.55,$1.93,$2.55,"$4,255","$4,255"
"Aug 03, 2022",$2.00,$2.08,$1.95,$2.02,$174,$174
"Aug 02, 2022",$1.95,$2.03,$1.90,$1.99,$69,$69
"Aug 01, 2022",$2.01,$2.09,$1.92,$1.95,$94,$94
"Jul 31, 2022",$1.98,$2.08,$1.97,$2.01,"$1,162","$1,162"
"Jul 30, 2022",$2.00,$2.07,$1.90,$1.98,$115,$115
"Jul 29, 2022",$2.09,$2.09,$1.89,$2.00,$65,$65
"Jul 28, 2022",$1.95,$2.20,$1.93,$2.09,$0,$0
"Jul 27, 2022",$1.81,$2.08,$1.79,$1.95,"$1,098","$1,098"
"Jul 26, 2022",$1.82,$1.82,$1.74,$1.81,"$6,510","$6,510"
"Jul 25, 2022",$1.83,$1.89,$1.77,$1.82,$38,$38
"Jul 24, 2022",$2.02,$2.05,$1.83,$1.83,$110,$110
"Jul 23, 2022",$2.02,$2.15,$1.98,$2.02,$26,$26
"Jul 22, 2022",$1.86,$2.13,$1.86,$2.02,$859,$859
"Jul 21, 2022",$1.87,$2.19,$1.85,$1.86,$231,$231
"Jul 20, 2022",$2.11,$2.32,$1.85,$1.87,$461,$461
"Jul 19, 2022",$2.02,$2.13,$1.95,$2.11,$171,$171
"Jul 18, 2022",$1.87,$2.16,$1.87,$2.02,$150,$150
"Jul 17, 2022",$2.12,$2.16,$1.87,$1.87,$259,$259
"Jul 16, 2022",$1.86,$2.13,$1.83,$2.12,$289,$289
"Jul 15, 2022",$2.13,$2.15,$1.85,$1.86,$396,$396
"Jul 14, 2022",$2.13,$2.18,$1.60,$2.13,"$1,110","$1,110"
"Jul 13, 2022",$2.06,$2.13,$2.00,$2.13,$5,$5
"Jul 12, 2022",$1.80,$2.11,$1.78,$2.06,$72,$72
"Jul 11, 2022",$2.53,$2.56,$1.79,$1.80,$271,$271
"Jul 10, 2022",$2.81,$3.59,$2.52,$2.54,$627,$627
"Jul 09, 2022",$2.08,$2.82,$2.01,$2.81,"$1,175","$1,175"
"Jul 08, 2022",$1.95,$2.43,$1.62,$2.08,"$1,350","$1,350"
"Jul 07, 2022",$2.27,$2.28,$1.75,$1.95,$893,$893
"Jul 06, 2022",$2.30,$2.32,$1.95,$2.27,$195,$195
