Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.2322,$0.2322,$0.203,$0.2031,"$16,020,145","$16,020,145"
"Sep 17, 2022",$0.2259,$0.2327,$0.2259,$0.2322,"$12,850,681","$12,850,681"
"Sep 16, 2022",$0.2267,$0.2283,$0.2225,$0.2259,"$17,098,550","$17,098,550"
"Sep 15, 2022",$0.2329,$0.2335,$0.2243,$0.2267,"$21,977,331","$21,977,331"
"Sep 14, 2022",$0.233,$0.2365,$0.2261,$0.2329,"$17,346,046","$17,346,046"
"Sep 13, 2022",$0.2492,$0.2509,$0.2301,$0.234,"$24,253,038","$24,253,038"
"Sep 12, 2022",$0.2504,$0.2583,$0.2472,$0.2492,"$36,478,352","$36,478,352"
"Sep 11, 2022",$0.2532,$0.2573,$0.2473,$0.2504,"$21,553,991","$21,553,991"
"Sep 10, 2022",$0.2583,$0.2609,$0.2498,$0.2532,"$26,650,278","$26,650,278"
"Sep 09, 2022",$0.2379,$0.2609,$0.2378,$0.2583,"$36,977,941","$36,977,941"
"Sep 08, 2022",$0.2384,$0.2401,$0.2325,$0.2378,"$21,503,302","$21,503,302"
"Sep 07, 2022",$0.2308,$0.2413,$0.2244,$0.2384,"$18,673,259","$18,673,259"
"Sep 06, 2022",$0.2486,$0.2561,$0.23,$0.2309,"$27,428,967","$27,428,967"
"Sep 05, 2022",$0.2506,$0.2523,$0.2438,$0.2486,"$17,521,632","$17,521,632"
"Sep 04, 2022",$0.2463,$0.2506,$0.2456,$0.2506,"$17,036,178","$17,036,178"
"Sep 03, 2022",$0.2449,$0.2501,$0.2438,$0.2462,"$17,420,793","$17,420,793"
"Sep 02, 2022",$0.2469,$0.2499,$0.2416,$0.2448,"$20,433,568","$20,433,568"
"Sep 01, 2022",$0.2458,$0.2477,$0.2404,$0.2469,"$20,457,494","$20,457,494"
"Aug 31, 2022",$0.2445,$0.2537,$0.2445,$0.2458,"$22,072,697","$22,072,697"
"Aug 30, 2022",$0.2533,$0.2562,$0.2394,$0.2445,"$25,285,455","$25,285,455"
"Aug 29, 2022",$0.2359,$0.2635,$0.2333,$0.2533,"$69,105,489","$69,105,489"
"Aug 28, 2022",$0.2427,$0.2485,$0.2358,$0.2358,"$18,222,058","$18,222,058"
"Aug 27, 2022",$0.242,$0.2461,$0.2368,$0.2427,"$22,786,705","$22,786,705"
"Aug 26, 2022",$0.2691,$0.2713,$0.2399,$0.242,"$27,385,103","$27,385,103"
"Aug 25, 2022",$0.2664,$0.2763,$0.2653,$0.2692,"$26,966,402","$26,966,402"
"Aug 24, 2022",$0.2662,$0.2725,$0.2619,$0.2664,"$29,211,293","$29,211,293"
"Aug 23, 2022",$0.2674,$0.2716,$0.2594,$0.2665,"$40,197,595","$40,197,595"
"Aug 22, 2022",$0.2641,$0.2824,$0.2475,$0.2672,"$61,865,187","$61,865,187"
"Aug 21, 2022",$0.258,$0.2689,$0.2562,$0.2642,"$26,997,272","$26,997,272"
"Aug 20, 2022",$0.2595,$0.269,$0.2473,$0.258,"$31,124,328","$31,124,328"
"Aug 19, 2022",$0.2896,$0.2896,$0.2561,$0.2595,"$46,637,988","$46,637,988"
"Aug 18, 2022",$0.304,$0.3117,$0.2887,$0.2897,"$24,646,035","$24,646,035"
"Aug 17, 2022",$0.3234,$0.3322,$0.3025,$0.304,"$26,672,857","$26,672,857"
"Aug 16, 2022",$0.3272,$0.3302,$0.3181,$0.3235,"$24,857,248","$24,857,248"
"Aug 15, 2022",$0.3365,$0.3435,$0.3224,$0.3274,"$28,159,925","$28,159,925"
