Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.0005585,$0.0005636,$0.0005457,$0.0005477,"$1,606","$1,606"
"Sep 25, 2022",$0.0005686,$0.0005747,$0.0005522,$0.0005587,$680,$680
"Sep 24, 2022",$0.0005415,$0.0005901,$0.000538,$0.0005682,$717,$717
"Sep 23, 2022",$0.0005855,$0.0005972,$0.000534,$0.0005415,"$1,719","$1,719"
"Sep 22, 2022",$0.000538,$0.0005921,$0.0005182,$0.0005855,"$2,137","$2,137"
"Sep 21, 2022",$0.0005481,$0.0005826,$0.0005254,$0.0005379,"$2,864","$2,864"
"Sep 20, 2022",$0.0005821,$0.000586,$0.0005484,$0.0005484,"$1,619","$1,619"
"Sep 19, 2022",$0.0006278,$0.0006317,$0.0005527,$0.0005821,"$3,086","$3,086"
"Sep 18, 2022",$0.0005993,$0.0006353,$0.0005741,$0.0006268,"$1,329","$1,329"
"Sep 17, 2022",$0.0005934,$0.000612,$0.0005911,$0.0005993,$515,$515
"Sep 16, 2022",$0.0005987,$0.0006087,$0.0005842,$0.0005935,"$1,426","$1,426"
"Sep 15, 2022",$0.0005981,$0.0006086,$0.0005832,$0.0005981,"$1,633","$1,633"
"Sep 14, 2022",$0.0006818,$0.000774,$0.0005967,$0.0005982,"$3,206","$3,206"
"Sep 13, 2022",$0.0006786,$0.0006882,$0.0006052,$0.0006813,"$3,642","$3,642"
"Sep 12, 2022",$0.0006422,$0.0007153,$0.0006112,$0.0006786,"$2,572","$2,572"
"Sep 11, 2022",$0.0007037,$0.0007192,$0.0006202,$0.0006421,"$1,481","$1,481"
"Sep 10, 2022",$0.0006188,$0.0007072,$0.0006141,$0.0007037,$674,$674
"Sep 09, 2022",$0.0006809,$0.0007196,$0.0006154,$0.0006187,"$3,796","$3,796"
"Sep 08, 2022",$0.0006364,$0.0006869,$0.0006275,$0.0006809,"$1,482","$1,482"
"Sep 07, 2022",$0.0006147,$0.0006427,$0.0006033,$0.0006364,"$1,341","$1,341"
"Sep 06, 2022",$0.0006804,$0.000686,$0.0006078,$0.0006154,"$3,242","$3,242"
"Sep 05, 2022",$0.0007158,$0.000759,$0.0006625,$0.0006798,"$2,609","$2,609"
"Sep 04, 2022",$0.0007285,$0.000737,$0.0006938,$0.000716,"$1,343","$1,343"
"Sep 03, 2022",$0.0007126,$0.0007607,$0.0006888,$0.0007285,"$1,209","$1,209"
"Sep 02, 2022",$0.0007079,$0.0007459,$0.0006953,$0.0007127,"$2,886","$2,886"
"Sep 01, 2022",$0.000697,$0.0007152,$0.0006843,$0.000708,"$1,141","$1,141"
"Aug 31, 2022",$0.0006809,$0.0007249,$0.0006802,$0.000697,"$1,099","$1,099"
"Aug 30, 2022",$0.0006889,$0.0007066,$0.0006652,$0.0006807,"$1,338","$1,338"
"Aug 29, 2022",$0.0007171,$0.0007345,$0.0006812,$0.000689,"$1,715","$1,715"
"Aug 28, 2022",$0.0007568,$0.0007568,$0.0007066,$0.0007173,$654,$654
"Aug 27, 2022",$0.0007351,$0.0007705,$0.0007253,$0.0007568,$886,$886
"Aug 26, 2022",$0.0007597,$0.0007668,$0.00071,$0.0007346,"$2,456","$2,456"
"Aug 25, 2022",$0.0008071,$0.0008529,$0.0007515,$0.0007598,$762,$762
"Aug 24, 2022",$0.0007293,$0.000827,$0.0007233,$0.0008071,"$1,336","$1,336"
"Aug 23, 2022",$0.0007307,$0.0007426,$0.0007128,$0.0007293,"$1,136","$1,136"
"Aug 22, 2022",$0.0007057,$0.0007382,$0.0006898,$0.0007312,"$1,292","$1,292"
"Aug 21, 2022",$0.000724,$0.0007296,$0.0006905,$0.0007057,"$1,382","$1,382"
"Aug 20, 2022",$0.0007325,$0.0007504,$0.000713,$0.000724,"$1,458","$1,458"
"Aug 19, 2022",$0.0007254,$0.0007617,$0.0007007,$0.0007325,"$2,856","$2,856"
"Aug 18, 2022",$0.0008053,$0.0008216,$0.0007147,$0.0007256,"$1,179","$1,179"
"Aug 17, 2022",$0.0008455,$0.000849,$0.0007789,$0.0008053,"$1,836","$1,836"
"Aug 16, 2022",$0.0008303,$0.0008559,$0.0007834,$0.0008467,"$1,382","$1,382"
"Aug 15, 2022",$0.0007642,$0.0008303,$0.0007492,$0.0008303,"$2,691","$2,691"
"Aug 14, 2022",$0.0007634,$0.0007931,$0.0007549,$0.0007642,"$1,607","$1,607"
"Aug 13, 2022",$0.0007986,$0.0008022,$0.0007607,$0.0007631,"$1,650","$1,650"
"Aug 12, 2022",$0.00084,$0.0008523,$0.0007709,$0.0007985,"$1,528","$1,528"
"Aug 11, 2022",$0.0008423,$0.0009031,$0.0008254,$0.00084,"$3,380","$3,380"
"Aug 10, 2022",$0.0007888,$0.0008485,$0.0007556,$0.000843,"$2,511","$2,511"
"Aug 09, 2022",$0.0008609,$0.0008645,$0.0007401,$0.0007888,"$1,585","$1,585"
"Aug 08, 2022",$0.0008484,$0.0008863,$0.0008433,$0.0008608,"$1,928","$1,928"
"Aug 07, 2022",$0.0008511,$0.0008541,$0.0008001,$0.0008483,$640,$640
"Aug 06, 2022",$0.000878,$0.0008865,$0.0008492,$0.0008504,$595,$595
"Aug 05, 2022",$0.0009119,$0.0009128,$0.0008271,$0.0008776,"$1,891","$1,891"
"Aug 04, 2022",$0.0008712,$0.0009268,$0.0008321,$0.0009117,"$1,350","$1,350"
"Aug 03, 2022",$0.0008641,$0.0009106,$0.0008511,$0.0008713,"$2,200","$2,200"
"Aug 02, 2022",$0.0008954,$0.0008992,$0.0008411,$0.0008651,"$1,894","$1,894"
"Aug 01, 2022",$0.0008613,$0.000898,$0.0008332,$0.0008957,"$2,419","$2,419"
"Jul 31, 2022",$0.0009145,$0.0009315,$0.0008592,$0.0008613,"$1,856","$1,856"
"Jul 30, 2022",$0.0009316,$0.0009958,$0.0009111,$0.0009145,"$3,343","$3,343"
"Jul 29, 2022",$0.0009823,$0.001012,$0.000931,$0.000931,"$3,493","$3,493"
"Jul 28, 2022",$0.0009982,$0.0009982,$0.0009527,$0.0009823,"$4,187","$4,187"
"Jul 27, 2022",$0.0009241,$0.0009982,$0.0009017,$0.0009982,"$6,821","$6,821"
"Jul 26, 2022",$0.0009386,$0.0009498,$0.0008705,$0.0009235,"$3,219","$3,219"
"Jul 25, 2022",$0.0009746,$0.0009862,$0.0009386,$0.0009386,"$1,997","$1,997"
"Jul 24, 2022",$0.001007,$0.001062,$0.0009306,$0.0009741,"$2,934","$2,934"
"Jul 23, 2022",$0.001011,$0.001028,$0.0009642,$0.001007,"$3,230","$3,230"
"Jul 22, 2022",$0.0009784,$0.001075,$0.0008984,$0.001011,"$3,497","$3,497"
"Jul 21, 2022",$0.001077,$0.001152,$0.000962,$0.0009782,$906,$906
"Jul 20, 2022",$0.001031,$0.001119,$0.001005,$0.001076,"$3,392","$3,392"
"Jul 19, 2022",$0.00105,$0.001125,$0.001002,$0.00103,"$2,530","$2,530"
"Jul 18, 2022",$0.0009147,$0.00105,$0.0009147,$0.00105,$152,$152
"Jul 17, 2022",$0.0008308,$0.0009148,$0.0006488,$0.0009148,$242,$242
"Jul 16, 2022",$0.0007298,$0.001145,$0.0005919,$0.0008308,$93,$93
"Jul 15, 2022",$0.0008225,$0.0008227,$0.0007254,$0.0007298,$0,$0
"Jul 14, 2022",$0.0006897,$0.0008226,$0.0006896,$0.0008225,$5,$5
"Jul 13, 2022",$0.0008225,$0.00108,$0.0006895,$0.0006896,$0,$0
"Jul 12, 2022",$0.0008244,$0.0008245,$0.0006595,$0.0008225,$58,$58
"Jul 11, 2022",$0.0007296,$0.0008244,$0.0006251,$0.0008244,$65,$65
"Jul 10, 2022",$0.0005997,$0.0008436,$0.0005997,$0.0007296,$0,$0
"Jul 09, 2022",$0.0006996,$0.0007336,$0.0005996,$0.0005997,$22,$22
"Jul 08, 2022",$0.0006996,$0.0008329,$0.0006995,$0.0006996,$0,$0
"Jul 07, 2022",$0.0005996,$0.0006997,$0.0005996,$0.0006996,$0,$0
"Jul 06, 2022",$0.0004995,$0.0007622,$0.0004995,$0.0005996,$0,$0
"Jul 05, 2022",$0.0005995,$0.0005996,$0.0004995,$0.0004995,$165,$165
"Jul 04, 2022",$0.0006993,$0.0007973,$0.0005995,$0.0005995,$0,$0
"Jul 03, 2022",$0.0005604,$0.0007011,$0.0005604,$0.0006994,$0,$0
"Jul 02, 2022",$0.0006922,$0.0006924,$0.0005604,$0.0005604,$29,$29
"Jul 01, 2022",$0.0005594,$0.0006993,$0.0005593,$0.0006922,$300,$300
"Jun 30, 2022",$0.0005794,$0.0005795,$0.0005593,$0.0005593,$0,$0
"Jun 29, 2022",$0.0005401,$0.0006144,$0.0005401,$0.0005794,$22,$22
"Jun 28, 2022",$0.0006174,$0.0006175,$0.0005401,$0.0005401,$0,$0
"Jun 27, 2022",$0.0005577,$0.0006175,$0.0005395,$0.0006174,$0,$0
"Jun 26, 2022",$0.0005577,$0.0005578,$0.0005577,$0.0005577,$23,$23
"Jun 25, 2022",$0.0005676,$0.0007548,$0.0005577,$0.0005577,$48,$48
"Jun 24, 2022",$0.0008354,$0.0008356,$0.0005676,$0.0005676,$32,$32
"Jun 23, 2022",$0.001226,$0.001226,$0.0005995,$0.0008354,$336,$336
