Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.03638,$0.03749,$0.03395,$0.03596,"$79,131","$79,131"
"Sep 24, 2022",$0.03573,$0.03839,$0.03097,$0.03638,"$83,860","$83,860"
"Sep 23, 2022",$0.03422,$0.03631,$0.03327,$0.03573,"$71,980","$71,980"
"Sep 22, 2022",$0.03216,$0.03423,$0.03204,$0.03422,"$82,803","$82,803"
"Sep 21, 2022",$0.03251,$0.03499,$0.03048,$0.03217,"$73,467","$73,467"
"Sep 20, 2022",$0.03212,$0.03607,$0.03195,$0.03251,"$67,847","$67,847"
"Sep 19, 2022",$0.03209,$0.03345,$0.03098,$0.03212,"$69,090","$69,090"
"Sep 18, 2022",$0.03259,$0.03259,$0.03141,$0.03209,"$65,333","$65,333"
"Sep 17, 2022",$0.03162,$0.03658,$0.03113,$0.03259,"$58,382","$58,382"
"Sep 16, 2022",$0.03327,$0.03383,$0.03122,$0.03162,"$67,601","$67,601"
"Sep 15, 2022",$0.0332,$0.03597,$0.03026,$0.03327,"$71,237","$71,237"
"Sep 14, 2022",$0.03221,$0.03619,$0.02698,$0.0332,"$67,122","$67,122"
"Sep 13, 2022",$0.0348,$0.03496,$0.03167,$0.03222,"$57,018","$57,018"
"Sep 12, 2022",$0.03683,$0.03719,$0.03215,$0.0348,"$55,386","$55,386"
"Sep 11, 2022",$0.03191,$0.03697,$0.03169,$0.03683,"$49,749","$49,749"
"Sep 10, 2022",$0.03127,$0.03887,$0.02874,$0.03191,"$59,788","$59,788"
"Sep 09, 2022",$0.03394,$0.03554,$0.02415,$0.03127,"$90,173","$90,173"
"Sep 08, 2022",$0.03392,$0.03489,$0.03113,$0.03394,"$100,053","$100,053"
"Sep 07, 2022",$0.0339,$0.03658,$0.02948,$0.03393,"$99,257","$99,257"
"Sep 06, 2022",$0.03539,$0.03819,$0.02958,$0.0339,"$114,263","$114,263"
"Sep 05, 2022",$0.03512,$0.03994,$0.02607,$0.03539,"$146,338","$146,338"
"Sep 04, 2022",$0.03915,$0.04123,$0.02873,$0.03512,"$147,200","$147,200"
"Sep 03, 2022",$0.04189,$0.04193,$0.03903,$0.03915,"$154,241","$154,241"
"Sep 02, 2022",$0.04221,$0.04508,$0.04033,$0.04189,"$108,132","$108,132"
"Sep 01, 2022",$0.04655,$0.04816,$0.04192,$0.04221,"$135,486","$135,486"
"Aug 31, 2022",$0.04716,$0.04786,$0.04516,$0.04655,"$156,881","$156,881"
"Aug 30, 2022",$0.04799,$0.05139,$0.04637,$0.04715,"$150,110","$150,110"
"Aug 29, 2022",$0.04798,$0.04844,$0.04472,$0.04799,"$160,518","$160,518"
"Aug 28, 2022",$0.04471,$0.04908,$0.04458,$0.04798,"$163,494","$163,494"
"Aug 27, 2022",$0.04674,$0.04842,$0.04273,$0.04471,"$134,665","$134,665"
"Aug 26, 2022",$0.05023,$0.05146,$0.04425,$0.04674,"$123,714","$123,714"
"Aug 25, 2022",$0.05152,$0.05173,$0.0449,$0.05023,"$208,131","$208,131"
"Aug 24, 2022",$0.05087,$0.0524,$0.05009,$0.05152,"$204,482","$204,482"
"Aug 23, 2022",$0.05351,$0.05364,$0.04963,$0.05087,"$210,326","$210,326"
"Aug 22, 2022",$0.0522,$0.05352,$0.04988,$0.05351,"$217,872","$217,872"
"Aug 21, 2022",$0.05494,$0.05627,$0.04976,$0.0522,"$213,035","$213,035"
"Aug 20, 2022",$0.05374,$0.05559,$0.04958,$0.05494,"$219,098","$219,098"
"Aug 19, 2022",$0.05641,$0.05641,$0.04978,$0.05375,"$207,072","$207,072"
"Aug 18, 2022",$0.05893,$0.06121,$0.05289,$0.05641,"$238,766","$238,766"
"Aug 17, 2022",$0.05826,$0.06102,$0.04676,$0.05893,"$223,699","$223,699"
"Aug 16, 2022",$0.0412,$0.06785,$0.03825,$0.05827,"$200,722","$200,722"
"Aug 15, 2022",$0.04897,$0.06724,$0.04082,$0.04121,"$180,314","$180,314"
"Aug 14, 2022",$0.04758,$0.04915,$0.04375,$0.04897,"$206,639","$206,639"
"Aug 13, 2022",$0.04269,$0.04927,$0.03488,$0.04758,"$213,515","$213,515"
"Aug 12, 2022",$0.03969,$0.0445,$0.03969,$0.04269,"$139,930","$139,930"
"Aug 11, 2022",$0.03977,$0.04097,$0.03842,$0.03969,"$95,595","$95,595"
"Aug 10, 2022",$0.02914,$0.03987,$0.02904,$0.03977,"$182,879","$182,879"
"Aug 09, 2022",$0.02742,$0.03017,$0.02594,$0.02914,"$97,838","$97,838"
"Aug 08, 2022",$0.02235,$0.03893,$0.02198,$0.02741,"$195,520","$195,520"
"Aug 07, 2022",$0.01811,$0.02263,$0.01809,$0.02235,"$197,184","$197,184"
"Aug 06, 2022",$0.0162,$0.0182,$0.01604,$0.01811,"$204,794","$204,794"
"Aug 05, 2022",$0.0153,$0.0162,$0.01401,$0.0162,"$199,322","$199,322"
"Aug 04, 2022",$0.01533,$0.01549,$0.01311,$0.0153,"$210,562","$210,562"
"Aug 03, 2022",$0.01321,$0.01539,$0.01257,$0.01533,"$188,496","$188,496"
"Aug 02, 2022",$0.01304,$0.01332,$0.0116,$0.01321,"$194,945","$194,945"
"Aug 01, 2022",$0.01157,$0.01347,$0.01129,$0.01304,"$176,284","$176,284"
"Jul 31, 2022",$0.01194,$0.012,$0.0115,$0.01157,"$85,365","$85,365"
"Jul 30, 2022",$0.01178,$0.01199,$0.009597,$0.01194,"$68,007","$68,007"
"Jul 29, 2022",$0.01329,$0.01331,$0.01178,$0.01178,"$139,290","$139,290"
"Jul 28, 2022",$0.01324,$0.01348,$0.0124,$0.01329,"$199,776","$199,776"
"Jul 27, 2022",$0.01318,$0.01332,$0.01189,$0.01324,"$209,388","$209,388"
"Jul 26, 2022",$0.01306,$0.01318,$0.01175,$0.01318,"$189,122","$189,122"
"Jul 25, 2022",$0.01387,$0.01397,$0.01306,$0.01306,"$192,276","$192,276"
"Jul 24, 2022",$0.01347,$0.01394,$0.01327,$0.01387,"$202,423","$202,423"
"Jul 23, 2022",$0.01485,$0.01528,$0.01306,$0.01347,"$186,999","$186,999"
"Jul 22, 2022",$0.01565,$0.01568,$0.01382,$0.01485,"$189,183","$189,183"
"Jul 21, 2022",$0.01386,$0.01566,$0.01362,$0.01565,"$200,970","$200,970"
"Jul 20, 2022",$0.01623,$0.0163,$0.01376,$0.01386,"$178,804","$178,804"
"Jul 19, 2022",$0.01557,$0.01652,$0.01407,$0.01623,"$192,773","$192,773"
"Jul 18, 2022",$0.01513,$0.01569,$0.01399,$0.01558,"$196,624","$196,624"
"Jul 17, 2022",$0.01556,$0.01564,$0.01449,$0.01513,"$198,799","$198,799"
"Jul 16, 2022",$0.01502,$0.01561,$0.01409,$0.01556,"$205,189","$205,189"
"Jul 15, 2022",$0.01641,$0.01655,$0.0138,$0.01503,"$207,691","$207,691"
"Jul 14, 2022",$0.016,$0.01657,$0.01498,$0.01641,"$189,451","$189,451"
"Jul 13, 2022",$0.01503,$0.01652,$0.0148,$0.016,"$193,296","$193,296"
"Jul 12, 2022",$0.01478,$0.0162,$0.01415,$0.01503,"$209,089","$209,089"
"Jul 11, 2022",$0.01375,$0.01599,$0.01373,$0.01478,"$207,456","$207,456"
"Jul 10, 2022",$0.01548,$0.01552,$0.01363,$0.01375,"$179,803","$179,803"
"Jul 09, 2022",$0.01555,$0.01564,$0.01368,$0.01548,"$202,997","$202,997"
"Jul 08, 2022",$0.01794,$0.01869,$0.01496,$0.01556,"$193,216","$193,216"
"Jul 07, 2022",$0.01753,$0.01851,$0.01588,$0.01794,"$192,147","$192,147"
"Jul 06, 2022",$0.01629,$0.01829,$0.01566,$0.01753,"$180,602","$180,602"
