Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.2029,$0.2113,$0.1963,$0.2006,"$12,723,919","$12,723,919"
"Sep 20, 2022",$0.2223,$0.2223,$0.2028,$0.2028,"$11,045,709","$11,045,709"
"Sep 19, 2022",$0.2183,$0.2305,$0.2051,$0.2223,"$23,110,669","$23,110,669"
"Sep 18, 2022",$0.2433,$0.2471,$0.2114,$0.2183,"$20,845,731","$20,845,731"
"Sep 17, 2022",$0.2452,$0.2716,$0.2362,$0.2434,"$46,508,903","$46,508,903"
"Sep 16, 2022",$0.2246,$0.2516,$0.2194,$0.2452,"$37,847,250","$37,847,250"
"Sep 15, 2022",$0.2457,$0.2678,$0.2245,$0.2246,"$31,230,806","$31,230,806"
"Sep 14, 2022",$0.2814,$0.3567,$0.2351,$0.2457,"$142,395,441","$142,395,441"
"Sep 13, 2022",$0.2339,$0.3305,$0.2197,$0.2966,"$137,958,456","$137,958,456"
"Sep 12, 2022",$0.2824,$0.2837,$0.2313,$0.2339,"$29,022,957","$29,022,957"
"Sep 11, 2022",$0.31,$0.3114,$0.2651,$0.2825,"$59,928,010","$59,928,010"
"Sep 10, 2022",$0.2377,$0.4394,$0.2265,$0.3085,"$248,755,426","$248,755,426"
"Sep 09, 2022",$0.1774,$0.2687,$0.1774,$0.2376,"$94,492,616","$94,492,616"
"Sep 08, 2022",$0.1724,$0.1981,$0.172,$0.1775,"$25,567,005","$25,567,005"
"Sep 07, 2022",$0.1708,$0.176,$0.1655,$0.1724,"$7,754,891","$7,754,891"
"Sep 06, 2022",$0.1856,$0.1947,$0.1686,$0.1709,"$16,419,321","$16,419,321"
"Sep 05, 2022",$0.1756,$0.1892,$0.1753,$0.1857,"$12,383,537","$12,383,537"
"Sep 04, 2022",$0.1784,$0.1812,$0.1739,$0.1755,"$3,807,613","$3,807,613"
"Sep 03, 2022",$0.1815,$0.1903,$0.1756,$0.1783,"$9,207,374","$9,207,374"
"Sep 02, 2022",$0.179,$0.1875,$0.1732,$0.1815,"$11,171,062","$11,171,062"
"Sep 01, 2022",$0.1754,$0.2193,$0.1709,$0.1791,"$38,517,296","$38,517,296"
"Aug 31, 2022",$0.1655,$0.1821,$0.1638,$0.1754,"$10,690,078","$10,690,078"
"Aug 30, 2022",$0.1791,$0.1847,$0.1613,$0.1655,"$11,372,560","$11,372,560"
"Aug 29, 2022",$0.1573,$0.197,$0.1564,$0.1793,"$21,652,839","$21,652,839"
"Aug 28, 2022",$0.1624,$0.1648,$0.1573,$0.1573,"$5,483,475","$5,483,475"
"Aug 27, 2022",$0.1609,$0.1641,$0.1576,$0.1624,"$6,243,959","$6,243,959"
"Aug 26, 2022",$0.1812,$0.1812,$0.1595,$0.1612,"$8,040,431","$8,040,431"
"Aug 25, 2022",$0.1758,$0.1873,$0.1718,$0.1812,"$8,363,653","$8,363,653"
"Aug 24, 2022",$0.1798,$0.1804,$0.1727,$0.1758,"$4,743,772","$4,743,772"
"Aug 23, 2022",$0.1736,$0.1851,$0.1708,$0.1798,"$9,442,752","$9,442,752"
"Aug 22, 2022",$0.1792,$0.1793,$0.1677,$0.1735,"$5,214,611","$5,214,611"
"Aug 21, 2022",$0.1753,$0.1826,$0.1725,$0.1793,"$5,590,486","$5,590,486"
"Aug 20, 2022",$0.1722,$0.2018,$0.1717,$0.1753,"$12,757,082","$12,757,082"
"Aug 19, 2022",$0.1938,$0.1939,$0.1694,$0.1725,"$7,006,479","$7,006,479"
"Aug 18, 2022",$0.1948,$0.2025,$0.1934,$0.1939,"$6,399,613","$6,399,613"
"Aug 17, 2022",$0.2122,$0.2165,$0.1947,$0.1948,"$5,849,686","$5,849,686"
"Aug 16, 2022",$0.2143,$0.2163,$0.2091,$0.2122,"$4,890,857","$4,890,857"
"Aug 15, 2022",$0.2252,$0.2292,$0.2127,$0.2144,"$7,214,942","$7,214,942"
"Aug 14, 2022",$0.2307,$0.2381,$0.2238,$0.2252,"$8,078,146","$8,078,146"
"Aug 13, 2022",$0.2316,$0.2349,$0.2277,$0.2307,"$4,987,544","$4,987,544"
"Aug 12, 2022",$0.2286,$0.2324,$0.2263,$0.2317,"$5,184,451","$5,184,451"
"Aug 11, 2022",$0.2333,$0.2368,$0.2287,$0.2287,"$7,013,426","$7,013,426"
"Aug 10, 2022",$0.2266,$0.2357,$0.2188,$0.2333,"$6,500,975","$6,500,975"
"Aug 09, 2022",$0.2372,$0.2575,$0.2226,$0.2266,"$12,299,924","$12,299,924"
"Aug 08, 2022",$0.2355,$0.2415,$0.2354,$0.2372,"$6,123,159","$6,123,159"
"Aug 07, 2022",$0.2357,$0.2432,$0.2314,$0.2355,"$8,650,578","$8,650,578"
"Aug 06, 2022",$0.2326,$0.2417,$0.2308,$0.2357,"$6,882,921","$6,882,921"
"Aug 05, 2022",$0.2272,$0.2362,$0.2269,$0.2327,"$8,506,079","$8,506,079"
"Aug 04, 2022",$0.2274,$0.2365,$0.2211,$0.2272,"$7,385,629","$7,385,629"
"Aug 03, 2022",$0.2239,$0.2391,$0.2192,$0.2274,"$6,706,039","$6,706,039"
"Aug 02, 2022",$0.2354,$0.2384,$0.2184,$0.2239,"$7,047,245","$7,047,245"
"Aug 01, 2022",$0.229,$0.2602,$0.2279,$0.2354,"$24,746,113","$24,746,113"
"Jul 31, 2022",$0.2116,$0.2804,$0.2116,$0.2284,"$34,994,061","$34,994,061"
"Jul 30, 2022",$0.2173,$0.2268,$0.2112,$0.2116,"$11,601,227","$11,601,227"
"Jul 29, 2022",$0.2159,$0.2292,$0.2131,$0.2173,"$11,896,642","$11,896,642"
"Jul 28, 2022",$0.211,$0.2256,$0.2027,$0.2159,"$14,836,438","$14,836,438"
"Jul 27, 2022",$0.1915,$0.2394,$0.1912,$0.211,"$35,133,752","$35,133,752"
"Jul 26, 2022",$0.191,$0.1927,$0.1842,$0.1917,"$6,242,028","$6,242,028"
"Jul 25, 2022",$0.2074,$0.2081,$0.191,$0.191,"$7,554,022","$7,554,022"
"Jul 24, 2022",$0.2092,$0.2163,$0.2069,$0.2075,"$8,164,519","$8,164,519"
"Jul 23, 2022",$0.2149,$0.2182,$0.205,$0.2092,"$9,319,832","$9,319,832"
"Jul 22, 2022",$0.2317,$0.2395,$0.2089,$0.2151,"$16,011,570","$16,011,570"
"Jul 21, 2022",$0.2675,$0.2885,$0.2165,$0.2318,"$42,743,544","$42,743,544"
"Jul 20, 2022",$0.1898,$0.2908,$0.1863,$0.267,"$121,662,419","$121,662,419"
"Jul 19, 2022",$0.1865,$0.1924,$0.1804,$0.1898,"$6,194,147","$6,194,147"
"Jul 18, 2022",$0.1756,$0.1885,$0.1754,$0.1866,"$7,018,542","$7,018,542"
"Jul 17, 2022",$0.1812,$0.1876,$0.1755,$0.1755,"$5,371,021","$5,371,021"
"Jul 16, 2022",$0.1789,$0.1859,$0.1725,$0.1812,"$6,332,310","$6,332,310"
"Jul 15, 2022",$0.178,$0.1926,$0.1741,$0.1789,"$11,254,545","$11,254,545"
"Jul 14, 2022",$0.1766,$0.1803,$0.1676,$0.178,"$6,948,774","$6,948,774"
"Jul 13, 2022",$0.1674,$0.1794,$0.1614,$0.1766,"$12,669,205","$12,669,205"
"Jul 12, 2022",$0.1707,$0.1786,$0.1629,$0.1673,"$12,978,834","$12,978,834"
"Jul 11, 2022",$0.1842,$0.1845,$0.1706,$0.1706,"$3,995,808","$3,995,808"
"Jul 10, 2022",$0.1884,$0.1899,$0.1805,$0.1843,"$4,900,009","$4,900,009"
"Jul 09, 2022",$0.1848,$0.1969,$0.1844,$0.1884,"$7,441,571","$7,441,571"
"Jul 08, 2022",$0.189,$0.1949,$0.1833,$0.1849,"$7,164,470","$7,164,470"
"Jul 07, 2022",$0.1844,$0.1934,$0.1833,$0.1889,"$7,934,205","$7,934,205"
"Jul 06, 2022",$0.1844,$0.1877,$0.1803,$0.1844,"$6,465,562","$6,465,562"
"Jul 05, 2022",$0.186,$0.19,$0.1798,$0.1843,"$9,404,703","$9,404,703"
"Jul 04, 2022",$0.1863,$0.19,$0.1786,$0.1867,"$9,511,224","$9,511,224"
"Jul 03, 2022",$0.188,$0.1951,$0.1845,$0.1863,"$11,224,782","$11,224,782"
"Jul 02, 2022",$0.1912,$0.1962,$0.1865,$0.188,"$14,948,697","$14,948,697"
"Jul 01, 2022",$0.1929,$0.2007,$0.1866,$0.1913,"$12,442,869","$12,442,869"
"Jun 30, 2022",$0.2278,$0.2317,$0.1853,$0.1927,"$18,483,002","$18,483,002"
"Jun 29, 2022",$0.1983,$0.2376,$0.1946,$0.2277,"$49,630,447","$49,630,447"
"Jun 28, 2022",$0.202,$0.2142,$0.1956,$0.1988,"$25,750,928","$25,750,928"
"Jun 27, 2022",$0.2036,$0.2424,$0.2019,$0.2021,"$60,942,800","$60,942,800"
"Jun 26, 2022",$0.1939,$0.2524,$0.1884,$0.2033,"$47,222,616","$47,222,616"
"Jun 25, 2022",$0.1879,$0.1966,$0.1848,$0.1941,"$14,292,986","$14,292,986"
"Jun 24, 2022",$0.1804,$0.1977,$0.1776,$0.1879,"$18,803,812","$18,803,812"
"Jun 23, 2022",$0.1729,$0.1809,$0.1726,$0.1804,"$11,388,079","$11,388,079"
"Jun 22, 2022",$0.1815,$0.1841,$0.1714,$0.1729,"$17,064,294","$17,064,294"
"Jun 21, 2022",$0.1776,$0.204,$0.1756,$0.1815,"$20,534,421","$20,534,421"
"Jun 20, 2022",$0.1839,$0.1843,$0.1729,$0.1775,"$21,997,883","$21,997,883"
"Jun 19, 2022",$0.1616,$0.2054,$0.1534,$0.184,"$30,388,177","$30,388,177"
"Jun 18, 2022",$0.1718,$0.1739,$0.1496,$0.1616,"$16,662,394","$16,662,394"
"Jun 17, 2022",$0.1697,$0.1783,$0.1692,$0.1719,"$15,131,059","$15,131,059"
"Jun 16, 2022",$0.1855,$0.1879,$0.1669,$0.1697,"$17,652,521","$17,652,521"
"Jun 15, 2022",$0.1837,$0.1855,$0.1629,$0.1855,"$19,835,488","$19,835,488"
"Jun 14, 2022",$0.1848,$0.1905,$0.1682,$0.1838,"$27,360,199","$27,360,199"
"Jun 13, 2022",$0.2088,$0.2147,$0.1772,$0.1846,"$32,149,753","$32,149,753"
"Jun 12, 2022",$0.2127,$0.2438,$0.2025,$0.209,"$39,289,750","$39,289,750"
"Jun 11, 2022",$0.222,$0.247,$0.2028,$0.2125,"$26,497,278","$26,497,278"
"Jun 10, 2022",$0.2474,$0.2554,$0.2211,$0.2219,"$32,376,713","$32,376,713"
"Jun 09, 2022",$0.2365,$0.2737,$0.236,$0.2475,"$48,995,913","$48,995,913"
"Jun 08, 2022",$0.2498,$0.2607,$0.2366,$0.2366,"$20,039,478","$20,039,478"
"Jun 07, 2022",$0.2626,$0.2636,$0.2422,$0.2498,"$20,495,670","$20,495,670"
"Jun 06, 2022",$0.2643,$0.281,$0.2621,$0.2626,"$18,516,812","$18,516,812"
"Jun 05, 2022",$0.2715,$0.277,$0.2609,$0.2643,"$17,676,704","$17,676,704"
"Jun 04, 2022",$0.278,$0.2809,$0.2681,$0.2715,"$18,902,456","$18,902,456"
"Jun 03, 2022",$0.2896,$0.2961,$0.2734,$0.278,"$19,505,495","$19,505,495"
"Jun 02, 2022",$0.2712,$0.3241,$0.2665,$0.2896,"$49,347,463","$49,347,463"
"Jun 01, 2022",$0.2919,$0.2975,$0.262,$0.2712,"$28,521,262","$28,521,262"
"May 31, 2022",$0.3186,$0.3208,$0.2779,$0.2919,"$39,748,815","$39,748,815"
"May 30, 2022",$0.3181,$0.3469,$0.3112,$0.319,"$36,184,738","$36,184,738"
"May 29, 2022",$0.3174,$0.3264,$0.3003,$0.3185,"$36,336,204","$36,336,204"
"May 28, 2022",$0.3549,$0.3914,$0.2735,$0.3174,"$103,328,616","$103,328,616"
"May 27, 2022",$0.2893,$0.306,$0.2531,$0.2773,"$54,275,084","$54,275,084"
"May 26, 2022",$0.3615,$0.4068,$0.2839,$0.2896,"$84,462,227","$84,462,227"
"May 25, 2022",$0.3933,$0.4587,$0.3469,$0.3618,"$121,996,528","$121,996,528"
"May 24, 2022",$0.5216,$0.6194,$0.3712,$0.3913,"$346,145,884","$346,145,884"
"May 23, 2022",$0.2528,$0.591,$0.2461,$0.5189,"$404,134,048","$404,134,048"
"May 22, 2022",$0.2128,$0.3015,$0.211,$0.2528,"$66,915,073","$66,915,073"
"May 21, 2022",$0.216,$0.2197,$0.2012,$0.2125,"$13,262,815","$13,262,815"
"May 20, 2022",$0.2404,$0.2473,$0.2112,$0.2159,"$17,521,427","$17,521,427"
"May 19, 2022",$0.2288,$0.2548,$0.215,$0.2395,"$17,838,033","$17,838,033"
"May 18, 2022",$0.2831,$0.2858,$0.2286,$0.2286,"$14,460,679","$14,460,679"
"May 17, 2022",$0.2837,$0.2985,$0.2703,$0.2831,"$16,908,130","$16,908,130"
"May 16, 2022",$0.3166,$0.3264,$0.25,$0.2839,"$31,139,860","$31,139,860"
"May 15, 2022",$0.3469,$0.4383,$0.2936,$0.3164,"$43,174,594","$43,174,594"
"May 14, 2022",$0.2422,$0.4205,$0.2422,$0.3451,"$84,357,222","$84,357,222"
"May 13, 2022",$0.2761,$0.3105,$0.2067,$0.2421,"$42,827,061","$42,827,061"
"May 12, 2022",$0.383,$0.3982,$0.26,$0.2764,"$31,012,756","$31,012,756"
"May 11, 2022",$0.6581,$0.6697,$0.2882,$0.3819,"$118,984,511","$118,984,511"
"May 10, 2022",$0.7275,$0.7967,$0.6399,$0.6585,"$50,194,546","$50,194,546"
"May 09, 2022",$0.9548,$0.9683,$0.7351,$0.7351,"$27,881,813","$27,881,813"
"May 08, 2022",$1.02,$1.02,$0.9534,$0.9546,"$17,083,056","$17,083,056"
"May 07, 2022",$1.04,$1.06,$1.01,$1.02,"$15,159,552","$15,159,552"
"May 06, 2022",$1.06,$1.06,$1.03,$1.04,"$19,806,468","$19,806,468"
"May 05, 2022",$1.18,$1.19,$1.05,$1.06,"$26,311,689","$26,311,689"
"May 04, 2022",$1.14,$1.19,$1.10,$1.18,"$64,281,288","$64,281,288"
"May 03, 2022",$1.05,$1.26,$1.04,$1.14,"$73,165,795","$73,165,795"
"May 02, 2022",$1.05,$1.08,$1.04,$1.05,"$13,513,720","$13,513,720"
"May 01, 2022",$1.02,$1.06,$1.00,$1.05,"$16,611,329","$16,611,329"
"Apr 30, 2022",$1.13,$1.13,$1.02,$1.02,"$14,885,413","$14,885,413"
"Apr 29, 2022",$1.17,$1.18,$1.10,$1.13,"$15,622,345","$15,622,345"
"Apr 28, 2022",$1.21,$1.22,$1.16,$1.17,"$18,399,450","$18,399,450"
"Apr 27, 2022",$1.16,$1.23,$1.16,$1.21,"$17,457,698","$17,457,698"
"Apr 26, 2022",$1.28,$1.31,$1.16,$1.17,"$21,260,236","$21,260,236"
"Apr 25, 2022",$1.29,$1.29,$1.21,$1.28,"$18,763,660","$18,763,660"
"Apr 24, 2022",$1.35,$1.35,$1.29,$1.29,"$14,458,935","$14,458,935"
"Apr 23, 2022",$1.36,$1.38,$1.35,$1.35,"$10,420,706","$10,420,706"
"Apr 22, 2022",$1.36,$1.39,$1.35,$1.36,"$13,405,876","$13,405,876"
"Apr 21, 2022",$1.44,$1.48,$1.36,$1.36,"$23,774,230","$23,774,230"
"Apr 20, 2022",$1.47,$1.51,$1.44,$1.44,"$26,623,926","$26,623,926"
"Apr 19, 2022",$1.46,$1.52,$1.44,$1.47,"$32,374,590","$32,374,590"
"Apr 18, 2022",$1.51,$1.53,$1.34,$1.45,"$59,435,770","$59,435,770"
"Apr 17, 2022",$1.57,$1.60,$1.51,$1.51,"$14,826,812","$14,826,812"
"Apr 16, 2022",$1.59,$1.60,$1.56,$1.57,"$12,868,019","$12,868,019"
"Apr 15, 2022",$1.61,$1.63,$1.58,$1.59,"$20,277,546","$20,277,546"
"Apr 14, 2022",$1.64,$1.70,$1.60,$1.61,"$24,820,918","$24,820,918"
"Apr 13, 2022",$1.66,$1.71,$1.61,$1.64,"$41,841,663","$41,841,663"
"Apr 12, 2022",$1.56,$1.69,$1.55,$1.66,"$46,725,648","$46,725,648"
"Apr 11, 2022",$1.81,$1.83,$1.56,$1.56,"$50,302,324","$50,302,324"
"Apr 10, 2022",$1.91,$1.93,$1.80,$1.81,"$41,360,199","$41,360,199"
"Apr 09, 2022",$1.77,$1.98,$1.76,$1.90,"$99,268,119","$99,268,119"
"Apr 08, 2022",$1.94,$1.95,$1.75,$1.77,"$64,968,094","$64,968,094"
"Apr 07, 2022",$1.72,$2.04,$1.71,$1.94,"$163,614,676","$163,614,676"
"Apr 06, 2022",$1.85,$1.88,$1.66,$1.72,"$79,380,290","$79,380,290"
"Apr 05, 2022",$1.97,$2.24,$1.83,$1.85,"$257,399,104","$257,399,104"
"Apr 04, 2022",$1.69,$2.12,$1.66,$1.97,"$205,194,498","$205,194,498"
"Apr 03, 2022",$1.67,$1.71,$1.64,$1.69,"$35,489,649","$35,489,649"
"Apr 02, 2022",$1.66,$1.80,$1.65,$1.67,"$55,874,561","$55,874,561"
"Apr 01, 2022",$1.63,$1.68,$1.58,$1.66,"$41,736,613","$41,736,613"
"Mar 31, 2022",$1.79,$1.83,$1.63,$1.63,"$47,089,519","$47,089,519"
"Mar 30, 2022",$1.85,$1.91,$1.77,$1.79,"$68,475,165","$68,475,165"
"Mar 29, 2022",$1.65,$1.87,$1.65,$1.85,"$110,322,145","$110,322,145"
"Mar 28, 2022",$1.67,$1.79,$1.65,$1.65,"$61,016,095","$61,016,095"
"Mar 27, 2022",$1.62,$1.67,$1.62,$1.67,"$28,541,897","$28,541,897"
"Mar 26, 2022",$1.61,$1.69,$1.60,$1.62,"$26,993,376","$26,993,376"
"Mar 25, 2022",$1.67,$1.68,$1.60,$1.61,"$28,088,802","$28,088,802"
