Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.9599,$0.9599,$0.9149,$0.9149,"$570,269","$570,269"
"Sep 17, 2022",$0.9452,$0.9628,$0.9446,$0.9601,"$581,426","$581,426"
"Sep 16, 2022",$0.9464,$0.9507,$0.9384,$0.9455,"$566,466","$566,466"
"Sep 15, 2022",$0.9486,$0.9775,$0.9413,$0.9467,"$1,637,210","$1,637,210"
"Sep 14, 2022",$0.9353,$0.9502,$0.93,$0.9487,"$729,677","$729,677"
"Sep 13, 2022",$1.01,$1.01,$0.9006,$0.9363,"$2,757,677","$2,757,677"
"Sep 12, 2022",$1.02,$1.03,$1.00,$1.01,"$949,096","$949,096"
"Sep 11, 2022",$1.05,$1.05,$1.02,$1.02,"$1,239,136","$1,239,136"
"Sep 10, 2022",$1.01,$1.09,$1.01,$1.05,"$2,360,999","$2,360,999"
"Sep 09, 2022",$0.9679,$1.01,$0.9674,$1.01,"$1,382,035","$1,382,035"
"Sep 08, 2022",$0.9721,$0.9745,$0.9492,$0.9676,"$777,106","$777,106"
"Sep 07, 2022",$0.9523,$0.9768,$0.9359,$0.9718,"$920,531","$920,531"
"Sep 06, 2022",$1.01,$1.02,$0.9517,$0.9523,"$1,030,270","$1,030,270"
"Sep 05, 2022",$1.01,$1.01,$0.9945,$1.01,"$478,369","$478,369"
"Sep 04, 2022",$1.01,$1.02,$1.00,$1.01,"$430,903","$430,903"
"Sep 03, 2022",$1.02,$1.03,$1.01,$1.01,"$430,109","$430,109"
"Sep 02, 2022",$1.02,$1.03,$1.02,$1.02,"$715,323","$715,323"
"Sep 01, 2022",$1.02,$1.02,$0.9963,$1.02,"$775,069","$775,069"
"Aug 31, 2022",$1.02,$1.05,$1.01,$1.02,"$2,052,724","$2,052,724"
"Aug 30, 2022",$1.04,$1.05,$1.00,$1.02,"$950,665","$950,665"
"Aug 29, 2022",$1.02,$1.04,$1.01,$1.04,"$749,274","$749,274"
"Aug 28, 2022",$1.03,$1.05,$1.01,$1.02,"$571,070","$571,070"
"Aug 27, 2022",$1.04,$1.04,$1.02,$1.03,"$741,706","$741,706"
"Aug 26, 2022",$1.08,$1.18,$1.04,$1.04,"$5,339,481","$5,339,481"
"Aug 25, 2022",$1.06,$1.09,$1.06,$1.08,"$1,070,114","$1,070,114"
"Aug 24, 2022",$1.05,$1.08,$1.03,$1.06,"$949,005","$949,005"
"Aug 23, 2022",$1.04,$1.07,$1.02,$1.05,"$1,695,076","$1,695,076"
"Aug 22, 2022",$1.12,$1.12,$1.04,$1.04,"$1,992,997","$1,992,997"
"Aug 21, 2022",$1.11,$1.14,$1.11,$1.12,"$1,248,265","$1,248,265"
"Aug 20, 2022",$1.11,$1.16,$1.10,$1.11,"$1,932,413","$1,932,413"
"Aug 19, 2022",$1.20,$1.20,$1.10,$1.11,"$1,428,047","$1,428,047"
"Aug 18, 2022",$1.27,$1.28,$1.21,$1.21,"$1,937,324","$1,937,324"
"Aug 17, 2022",$1.19,$1.31,$1.19,$1.27,"$4,788,494","$4,788,494"
"Aug 16, 2022",$1.21,$1.22,$1.19,$1.20,"$768,721","$768,721"
"Aug 15, 2022",$1.24,$1.27,$1.20,$1.21,"$1,124,498","$1,124,498"
"Aug 14, 2022",$1.29,$1.30,$1.23,$1.24,"$1,203,367","$1,203,367"
"Aug 13, 2022",$1.28,$1.31,$1.26,$1.29,"$1,752,729","$1,752,729"
"Aug 12, 2022",$1.30,$1.30,$1.21,$1.28,"$2,042,568","$2,042,568"
"Aug 11, 2022",$1.26,$1.32,$1.26,$1.30,"$1,906,113","$1,906,113"
"Aug 10, 2022",$1.23,$1.27,$1.20,$1.26,"$1,508,631","$1,508,631"
"Aug 09, 2022",$1.30,$1.31,$1.22,$1.23,"$1,411,008","$1,411,008"
"Aug 08, 2022",$1.31,$1.34,$1.30,$1.30,"$2,088,436","$2,088,436"
"Aug 07, 2022",$1.34,$1.35,$1.31,$1.31,"$1,118,733","$1,118,733"
"Aug 06, 2022",$1.37,$1.38,$1.34,$1.34,"$1,464,815","$1,464,815"
"Aug 05, 2022",$1.39,$1.50,$1.36,$1.37,"$3,901,938","$3,901,938"
"Aug 04, 2022",$1.36,$1.44,$1.34,$1.39,"$4,151,607","$4,151,607"
"Aug 03, 2022",$1.32,$1.46,$1.32,$1.36,"$8,738,011","$8,738,011"
"Aug 02, 2022",$1.29,$1.51,$1.20,$1.32,"$12,087,173","$12,087,173"
"Aug 01, 2022",$1.20,$1.46,$1.20,$1.29,"$9,521,208","$9,521,208"
"Jul 31, 2022",$1.19,$1.23,$1.18,$1.20,"$1,737,247","$1,737,247"
"Jul 30, 2022",$1.24,$1.28,$1.18,$1.19,"$2,588,182","$2,588,182"
"Jul 29, 2022",$1.22,$1.26,$1.20,$1.24,"$3,146,553","$3,146,553"
"Jul 28, 2022",$1.15,$1.24,$1.13,$1.22,"$3,246,816","$3,246,816"
"Jul 27, 2022",$1.07,$1.15,$1.07,$1.15,"$1,791,728","$1,791,728"
"Jul 26, 2022",$1.11,$1.11,$1.05,$1.07,"$1,637,422","$1,637,422"
"Jul 25, 2022",$1.14,$1.37,$1.11,$1.11,"$10,955,241","$10,955,241"
"Jul 24, 2022",$1.10,$1.18,$1.10,$1.14,"$2,171,347","$2,171,347"
"Jul 23, 2022",$1.13,$1.14,$1.08,$1.10,"$1,059,331","$1,059,331"
"Jul 22, 2022",$1.13,$1.16,$1.12,$1.13,"$1,466,575","$1,466,575"
"Jul 21, 2022",$1.11,$1.13,$1.08,$1.13,"$1,267,824","$1,267,824"
"Jul 20, 2022",$1.15,$1.18,$1.11,$1.11,"$1,562,898","$1,562,898"
"Jul 19, 2022",$1.16,$1.18,$1.12,$1.15,"$2,673,894","$2,673,894"
"Jul 18, 2022",$1.14,$1.20,$1.11,$1.16,"$4,116,886","$4,116,886"
"Jul 17, 2022",$1.08,$1.51,$1.08,$1.14,"$20,711,525","$20,711,525"
"Jul 16, 2022",$1.05,$1.12,$1.02,$1.08,"$1,004,932","$1,004,932"
"Jul 15, 2022",$1.05,$1.08,$1.04,$1.05,"$965,980","$965,980"
"Jul 14, 2022",$1.03,$1.06,$1.01,$1.05,"$864,432","$864,432"
"Jul 13, 2022",$1.02,$1.03,$0.9956,$1.03,"$599,624","$599,624"
"Jul 12, 2022",$1.03,$1.04,$1.01,$1.01,"$372,493","$372,493"
"Jul 11, 2022",$1.07,$1.07,$1.03,$1.03,"$334,071","$334,071"
"Jul 10, 2022",$1.15,$1.15,$1.07,$1.07,"$662,609","$662,609"
"Jul 09, 2022",$1.12,$1.15,$1.12,$1.15,"$527,634","$527,634"
"Jul 08, 2022",$1.14,$1.17,$1.11,$1.12,"$586,271","$586,271"
"Jul 07, 2022",$1.12,$1.15,$1.10,$1.14,"$659,846","$659,846"
"Jul 06, 2022",$1.09,$1.17,$1.08,$1.12,"$2,102,736","$2,102,736"
"Jul 05, 2022",$1.10,$1.12,$1.06,$1.09,"$336,199","$336,199"
"Jul 04, 2022",$1.08,$1.10,$1.07,$1.10,"$261,292","$261,292"
"Jul 03, 2022",$1.08,$1.09,$1.05,$1.08,"$262,763","$262,763"
"Jul 02, 2022",$1.06,$1.10,$1.06,$1.08,"$442,693","$442,693"
"Jul 01, 2022",$1.11,$1.15,$1.06,$1.06,"$772,314","$772,314"
"Jun 30, 2022",$1.11,$1.30,$1.07,$1.11,"$7,294,661","$7,294,661"
"Jun 29, 2022",$1.05,$1.14,$1.04,$1.11,"$1,509,107","$1,509,107"
"Jun 28, 2022",$1.07,$1.09,$1.05,$1.05,"$556,074","$556,074"
"Jun 27, 2022",$1.10,$1.13,$1.06,$1.07,"$714,830","$714,830"
"Jun 26, 2022",$1.16,$1.20,$1.10,$1.10,"$986,758","$986,758"
"Jun 25, 2022",$1.15,$1.16,$1.13,$1.16,"$556,855","$556,855"
"Jun 24, 2022",$1.16,$1.18,$1.12,$1.15,"$1,067,503","$1,067,503"
"Jun 23, 2022",$1.06,$1.18,$1.05,$1.16,"$1,635,795","$1,635,795"
"Jun 22, 2022",$1.08,$1.09,$1.05,$1.06,"$753,228","$753,228"
"Jun 21, 2022",$1.07,$1.15,$1.07,$1.08,"$927,139","$927,139"
"Jun 20, 2022",$1.10,$1.11,$1.05,$1.07,"$1,273,897","$1,273,897"
"Jun 19, 2022",$1.03,$1.14,$0.9883,$1.10,"$1,523,773","$1,523,773"
"Jun 18, 2022",$1.04,$1.05,$0.9796,$1.03,"$1,095,348","$1,095,348"
"Jun 17, 2022",$1.03,$1.08,$1.03,$1.04,"$481,621","$481,621"
