Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.008128,$0.008731,$0.007918,$0.008285,"$329,857","$329,857"
"Sep 25, 2022",$0.0081,$0.008242,$0.007717,$0.008128,"$389,921","$389,921"
"Sep 24, 2022",$0.008052,$0.008377,$0.007891,$0.0081,"$372,979","$372,979"
"Sep 23, 2022",$0.008178,$0.008341,$0.007952,$0.008052,"$354,129","$354,129"
"Sep 22, 2022",$0.008217,$0.008341,$0.007969,$0.008178,"$357,332","$357,332"
"Sep 21, 2022",$0.0081,$0.008482,$0.008046,$0.008218,"$334,674","$334,674"
"Sep 20, 2022",$0.008423,$0.008471,$0.008087,$0.0081,"$359,088","$359,088"
"Sep 19, 2022",$0.008303,$0.008675,$0.007995,$0.008422,"$369,292","$369,292"
"Sep 18, 2022",$0.008428,$0.008545,$0.008075,$0.008303,"$341,848","$341,848"
"Sep 17, 2022",$0.008478,$0.008568,$0.00799,$0.008428,"$349,254","$349,254"
"Sep 16, 2022",$0.008526,$0.008697,$0.008184,$0.008478,"$419,607","$419,607"
"Sep 15, 2022",$0.008772,$0.008953,$0.008436,$0.008526,"$319,090","$319,090"
"Sep 14, 2022",$0.008554,$0.009054,$0.008413,$0.008772,"$384,698","$384,698"
"Sep 13, 2022",$0.009076,$0.009513,$0.008523,$0.008569,"$344,886","$344,886"
"Sep 12, 2022",$0.008776,$0.009634,$0.008662,$0.009076,"$417,715","$417,715"
"Sep 11, 2022",$0.008835,$0.009602,$0.008651,$0.008776,"$302,680","$302,680"
"Sep 10, 2022",$0.009039,$0.00949,$0.008712,$0.008835,"$385,089","$385,089"
"Sep 09, 2022",$0.008372,$0.009261,$0.008356,$0.009039,"$360,263","$360,263"
"Sep 08, 2022",$0.008209,$0.008516,$0.008162,$0.008373,"$355,744","$355,744"
"Sep 07, 2022",$0.008779,$0.008999,$0.008037,$0.00821,"$403,782","$403,782"
"Sep 06, 2022",$0.008518,$0.008804,$0.008063,$0.00878,"$327,857","$327,857"
"Sep 05, 2022",$0.008169,$0.008816,$0.008018,$0.008518,"$357,126","$357,126"
"Sep 04, 2022",$0.008047,$0.008753,$0.007919,$0.008169,"$384,894","$384,894"
"Sep 03, 2022",$0.008686,$0.008739,$0.007997,$0.008047,"$388,370","$388,370"
"Sep 02, 2022",$0.008361,$0.008687,$0.007989,$0.008686,"$309,721","$309,721"
"Sep 01, 2022",$0.007777,$0.008434,$0.007593,$0.008361,"$406,578","$406,578"
"Aug 31, 2022",$0.007678,$0.008013,$0.007604,$0.007777,"$372,321","$372,321"
"Aug 30, 2022",$0.007709,$0.007898,$0.007551,$0.007678,"$377,241","$377,241"
"Aug 29, 2022",$0.007524,$0.007828,$0.006735,$0.007709,"$350,146","$350,146"
"Aug 28, 2022",$0.006654,$0.007642,$0.006258,$0.007524,"$339,745","$339,745"
"Aug 27, 2022",$0.007235,$0.007724,$0.006493,$0.006655,"$279,395","$279,395"
"Aug 26, 2022",$0.007355,$0.007792,$0.006992,$0.007235,"$351,078","$351,078"
"Aug 25, 2022",$0.006989,$0.00779,$0.006764,$0.007356,"$383,043","$383,043"
"Aug 24, 2022",$0.007506,$0.007738,$0.006984,$0.006989,"$340,333","$340,333"
"Aug 23, 2022",$0.007246,$0.007666,$0.006972,$0.007506,"$386,144","$386,144"
"Aug 22, 2022",$0.007603,$0.007735,$0.006828,$0.007246,"$353,338","$353,338"
