Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$11.85,$12.01,$10.94,$10.95,"$5,477,935","$5,477,935"
"Sep 17, 2022",$11.28,$11.96,$11.28,$11.85,"$4,405,717","$4,405,717"
"Sep 16, 2022",$11.34,$11.40,$11.02,$11.28,"$3,718,318","$3,718,318"
"Sep 15, 2022",$12.00,$12.02,$11.34,$11.34,"$4,329,333","$4,329,333"
"Sep 14, 2022",$11.92,$12.13,$11.74,$12.00,"$3,828,186","$3,828,186"
"Sep 13, 2022",$12.66,$12.81,$11.80,$12.03,"$6,057,371","$6,057,371"
"Sep 12, 2022",$12.92,$13.17,$12.60,$12.66,"$6,306,558","$6,306,558"
"Sep 11, 2022",$13.50,$13.51,$12.70,$12.92,"$7,106,240","$7,106,240"
"Sep 10, 2022",$12.93,$14.09,$12.74,$13.51,"$12,041,380","$12,041,380"
"Sep 09, 2022",$12.31,$13.05,$12.28,$12.93,"$8,468,573","$8,468,573"
"Sep 08, 2022",$12.17,$12.42,$12.00,$12.30,"$5,221,981","$5,221,981"
"Sep 07, 2022",$12.06,$12.29,$11.68,$12.17,"$5,985,405","$5,985,405"
"Sep 06, 2022",$12.74,$13.02,$11.92,$12.06,"$6,010,468","$6,010,468"
"Sep 05, 2022",$13.14,$13.30,$12.51,$12.73,"$4,874,925","$4,874,925"
"Sep 04, 2022",$12.69,$13.27,$12.59,$13.14,"$7,590,491","$7,590,491"
"Sep 03, 2022",$12.85,$12.85,$12.40,$12.68,"$4,357,681","$4,357,681"
"Sep 02, 2022",$12.17,$14.03,$12.05,$12.85,"$17,885,249","$17,885,249"
"Sep 01, 2022",$12.23,$12.39,$11.86,$12.17,"$6,576,987","$6,576,987"
"Aug 31, 2022",$12.27,$12.65,$12.16,$12.23,"$4,530,142","$4,530,142"
"Aug 30, 2022",$12.67,$12.83,$12.15,$12.28,"$5,453,538","$5,453,538"
"Aug 29, 2022",$12.10,$12.89,$12.06,$12.66,"$6,038,390","$6,038,390"
"Aug 28, 2022",$12.55,$12.97,$12.10,$12.10,"$3,998,849","$3,998,849"
"Aug 27, 2022",$12.22,$12.99,$11.99,$12.55,"$7,001,537","$7,001,537"
"Aug 26, 2022",$13.53,$13.53,$12.13,$12.23,"$6,576,159","$6,576,159"
"Aug 25, 2022",$13.83,$14.23,$13.43,$13.53,"$5,583,980","$5,583,980"
"Aug 24, 2022",$13.82,$14.15,$13.40,$13.83,"$5,949,939","$5,949,939"
"Aug 23, 2022",$13.60,$13.97,$13.16,$13.82,"$7,038,087","$7,038,087"
"Aug 22, 2022",$14.16,$14.17,$13.26,$13.60,"$7,077,547","$7,077,547"
"Aug 21, 2022",$12.90,$15.88,$12.89,$14.16,"$22,929,932","$22,929,932"
"Aug 20, 2022",$13.04,$13.64,$12.62,$12.90,"$5,523,608","$5,523,608"
"Aug 19, 2022",$14.49,$14.49,$12.89,$13.04,"$11,483,760","$11,483,760"
"Aug 18, 2022",$14.85,$15.41,$14.48,$14.48,"$7,352,811","$7,352,811"
"Aug 17, 2022",$15.08,$15.85,$14.61,$14.85,"$8,090,738","$8,090,738"
