Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.9961,$1,$0.9933,$0.9955,"$21,778","$21,778"
"Sep 17, 2022",$0.9955,$0.9998,$0.9952,$0.9961,"$5,096","$5,096"
"Sep 16, 2022",$0.9992,$0.9992,$0.9937,$0.9955,"$2,379","$2,379"
"Sep 15, 2022",$0.9965,$1.00,$0.9959,$0.9992,"$20,937","$20,937"
"Sep 14, 2022",$0.9997,$1.00,$0.9815,$1.00,"$11,310","$11,310"
"Sep 13, 2022",$1.01,$1.02,$0.9815,$0.9888,"$21,080","$21,080"
"Sep 12, 2022",$0.9997,$1.02,$0.9963,$1.01,"$19,654","$19,654"
"Sep 11, 2022",$0.9998,$1.00,$0.996,$0.9997,"$12,578","$12,578"
"Sep 10, 2022",$1.00,$1.00,$0.9959,$0.9998,"$27,783","$27,783"
"Sep 09, 2022",$0.996,$1.01,$0.996,$1.00,"$20,719","$20,719"
"Sep 08, 2022",$1.01,$1.03,$0.996,$0.996,"$7,206","$7,206"
"Sep 07, 2022",$0.9983,$1.02,$0.9958,$1.01,"$25,385","$25,385"
"Sep 06, 2022",$0.9968,$1.00,$0.9959,$0.9983,"$23,259","$23,259"
"Sep 05, 2022",$0.9961,$1.01,$0.996,$0.9999,"$14,737","$14,737"
"Sep 04, 2022",$0.9994,$1.00,$0.9806,$0.9961,"$16,166","$16,166"
"Sep 03, 2022",$0.9991,$0.9999,$0.9929,$0.9994,"$3,217","$3,217"
"Sep 02, 2022",$1.00,$1.00,$0.996,$0.9991,"$10,093","$10,093"
"Sep 01, 2022",$0.9981,$1.00,$0.9955,$0.9964,"$13,453","$13,453"
"Aug 31, 2022",$1.09,$1.09,$0.996,$0.9981,"$23,357","$23,357"
"Aug 30, 2022",$0.9984,$1.19,$0.9961,$1.09,"$21,643","$21,643"
"Aug 29, 2022",$0.999,$1.00,$0.971,$0.9984,"$26,473","$26,473"
"Aug 28, 2022",$0.9901,$0.999,$0.9697,$0.999,"$23,871","$23,871"
"Aug 27, 2022",$0.9905,$0.9999,$0.971,$0.9901,"$35,808","$35,808"
