Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.001211,$0.001239,$0.001183,$0.0012,"$846,450","$846,450"
"Sep 25, 2022",$0.001225,$0.001237,$0.001179,$0.001211,"$833,201","$833,201"
"Sep 24, 2022",$0.001228,$0.001272,$0.001213,$0.001225,"$702,664","$702,664"
"Sep 23, 2022",$0.001266,$0.001276,$0.001186,$0.001228,"$941,128","$941,128"
"Sep 22, 2022",$0.001199,$0.001308,$0.001191,$0.001266,"$994,713","$994,713"
"Sep 21, 2022",$0.001203,$0.001235,$0.001159,$0.001198,"$516,090","$516,090"
"Sep 20, 2022",$0.001262,$0.00127,$0.001162,$0.001205,"$599,332","$599,332"
"Sep 19, 2022",$0.001229,$0.001308,$0.001199,$0.001262,"$754,163","$754,163"
"Sep 18, 2022",$0.001454,$0.001507,$0.001221,$0.001231,"$1,256,734","$1,256,734"
"Sep 17, 2022",$0.001121,$0.001638,$0.001117,$0.001439,"$4,499,169","$4,499,169"
"Sep 16, 2022",$0.001072,$0.001154,$0.001066,$0.001118,"$455,412","$455,412"
"Sep 15, 2022",$0.001136,$0.001138,$0.001054,$0.001072,"$301,230","$301,230"
"Sep 14, 2022",$0.001159,$0.00119,$0.001116,$0.001136,"$316,514","$316,514"
"Sep 13, 2022",$0.001343,$0.001343,$0.001155,$0.001177,"$544,746","$544,746"
"Sep 12, 2022",$0.001192,$0.001387,$0.001186,$0.001343,"$932,768","$932,768"
"Sep 11, 2022",$0.001195,$0.001207,$0.001183,$0.001192,"$494,991","$494,991"
"Sep 10, 2022",$0.001155,$0.001208,$0.001139,$0.001195,"$538,458","$538,458"
"Sep 09, 2022",$0.001066,$0.001189,$0.001047,$0.001155,"$642,842","$642,842"
"Sep 08, 2022",$0.001092,$0.001098,$0.001029,$0.001067,"$458,564","$458,564"
"Sep 07, 2022",$0.001034,$0.001092,$0.00101,$0.001092,"$507,141","$507,141"
"Sep 06, 2022",$0.001074,$0.001101,$0.00101,$0.001034,"$688,212","$688,212"
"Sep 05, 2022",$0.001109,$0.001113,$0.001055,$0.001075,"$358,670","$358,670"
"Sep 04, 2022",$0.001122,$0.001126,$0.0011,$0.001109,"$348,968","$348,968"
"Sep 03, 2022",$0.001115,$0.001145,$0.0011,$0.001122,"$637,838","$637,838"
"Sep 02, 2022",$0.001116,$0.001147,$0.001102,$0.001115,"$1,012,621","$1,012,621"
"Sep 01, 2022",$0.001097,$0.001127,$0.001082,$0.001117,"$800,442","$800,442"
"Aug 31, 2022",$0.001115,$0.001118,$0.001087,$0.001097,"$548,959","$548,959"
"Aug 30, 2022",$0.001097,$0.001183,$0.001093,$0.001115,"$700,339","$700,339"
"Aug 29, 2022",$0.001105,$0.001117,$0.001091,$0.001097,"$426,518","$426,518"
"Aug 28, 2022",$0.001118,$0.001124,$0.001077,$0.001105,"$723,240","$723,240"
"Aug 27, 2022",$0.00114,$0.001164,$0.001106,$0.001118,"$512,744","$512,744"
"Aug 26, 2022",$0.001185,$0.001207,$0.001134,$0.00114,"$367,901","$367,901"
"Aug 25, 2022",$0.001229,$0.001253,$0.001183,$0.001186,"$542,845","$542,845"
"Aug 24, 2022",$0.001236,$0.001262,$0.00122,$0.001229,"$304,123","$304,123"
"Aug 23, 2022",$0.001211,$0.001264,$0.001195,$0.001236,"$359,594","$359,594"
"Aug 22, 2022",$0.001274,$0.001294,$0.001202,$0.001211,"$285,121","$285,121"
"Aug 21, 2022",$0.001246,$0.001292,$0.001245,$0.001275,"$267,231","$267,231"
"Aug 20, 2022",$0.001166,$0.001312,$0.001163,$0.001246,"$518,480","$518,480"
"Aug 19, 2022",$0.00129,$0.001291,$0.001149,$0.001163,"$391,675","$391,675"
"Aug 18, 2022",$0.001247,$0.001391,$0.001238,$0.00129,"$447,066","$447,066"
"Aug 17, 2022",$0.001357,$0.001373,$0.001246,$0.001247,"$457,228","$457,228"
"Aug 16, 2022",$0.001427,$0.001436,$0.001357,$0.001357,"$298,677","$298,677"
"Aug 15, 2022",$0.001446,$0.001478,$0.001402,$0.001427,"$324,063","$324,063"
"Aug 14, 2022",$0.001472,$0.001569,$0.001446,$0.001446,"$350,230","$350,230"
"Aug 13, 2022",$0.001494,$0.001541,$0.001462,$0.001472,"$381,438","$381,438"
"Aug 12, 2022",$0.001544,$0.001569,$0.001418,$0.001494,"$425,348","$425,348"
"Aug 11, 2022",$0.001491,$0.001602,$0.001485,$0.001544,"$610,674","$610,674"
"Aug 10, 2022",$0.001447,$0.001492,$0.00137,$0.001491,"$820,335","$820,335"
"Aug 09, 2022",$0.001401,$0.001527,$0.001399,$0.001447,"$750,659","$750,659"
"Aug 08, 2022",$0.001364,$0.001439,$0.001358,$0.001401,"$558,946","$558,946"
"Aug 07, 2022",$0.001387,$0.001387,$0.001342,$0.001364,"$393,301","$393,301"
"Aug 06, 2022",$0.001365,$0.001403,$0.001332,$0.001387,"$415,037","$415,037"
"Aug 05, 2022",$0.001313,$0.001418,$0.001311,$0.001365,"$541,683","$541,683"
"Aug 04, 2022",$0.001387,$0.001483,$0.001311,$0.001313,"$792,691","$792,691"
"Aug 03, 2022",$0.001244,$0.00139,$0.001228,$0.001388,"$700,494","$700,494"
"Aug 02, 2022",$0.001284,$0.001295,$0.001215,$0.001245,"$665,902","$665,902"
"Aug 01, 2022",$0.001309,$0.001351,$0.001253,$0.001284,"$695,201","$695,201"
"Jul 31, 2022",$0.001244,$0.001344,$0.001227,$0.001309,"$612,741","$612,741"
"Jul 30, 2022",$0.001259,$0.001314,$0.00124,$0.001244,"$511,903","$511,903"
"Jul 29, 2022",$0.001219,$0.001289,$0.00121,$0.001258,"$700,278","$700,278"
"Jul 28, 2022",$0.001175,$0.001238,$0.001162,$0.00122,"$588,197","$588,197"
"Jul 27, 2022",$0.001137,$0.001191,$0.001127,$0.001177,"$451,172","$451,172"
"Jul 26, 2022",$0.001187,$0.001201,$0.001096,$0.001137,"$1,454,140","$1,454,140"
"Jul 25, 2022",$0.001224,$0.001227,$0.001175,$0.001187,"$294,609","$294,609"
"Jul 24, 2022",$0.001222,$0.001247,$0.001202,$0.001224,"$354,903","$354,903"
"Jul 23, 2022",$0.001278,$0.001311,$0.001194,$0.001222,"$534,635","$534,635"
"Jul 22, 2022",$0.001291,$0.001357,$0.001246,$0.001278,"$444,145","$444,145"
"Jul 21, 2022",$0.001283,$0.001318,$0.001234,$0.001292,"$433,223","$433,223"
"Jul 20, 2022",$0.001434,$0.001435,$0.001272,$0.001283,"$578,176","$578,176"
"Jul 19, 2022",$0.001407,$0.00149,$0.001356,$0.001434,"$755,222","$755,222"
"Jul 18, 2022",$0.001293,$0.001436,$0.001282,$0.00141,"$1,044,900","$1,044,900"
"Jul 17, 2022",$0.001227,$0.001493,$0.001224,$0.001293,"$1,151,337","$1,151,337"
"Jul 16, 2022",$0.001183,$0.001256,$0.001166,$0.001228,"$486,401","$486,401"
"Jul 15, 2022",$0.001166,$0.001218,$0.001146,$0.001183,"$507,257","$507,257"
"Jul 14, 2022",$0.001151,$0.001173,$0.001121,$0.001166,"$284,153","$284,153"
"Jul 13, 2022",$0.001143,$0.001184,$0.001105,$0.001151,"$458,105","$458,105"
"Jul 12, 2022",$0.001142,$0.001172,$0.001119,$0.001142,"$362,055","$362,055"
"Jul 11, 2022",$0.001203,$0.001204,$0.00113,$0.001142,"$370,393","$370,393"
"Jul 10, 2022",$0.001206,$0.001238,$0.001186,$0.001203,"$304,966","$304,966"
"Jul 09, 2022",$0.001194,$0.001226,$0.001183,$0.001206,"$330,680","$330,680"
"Jul 08, 2022",$0.001216,$0.001235,$0.001179,$0.001195,"$617,491","$617,491"
"Jul 07, 2022",$0.001179,$0.001235,$0.001156,$0.001216,"$455,150","$455,150"
"Jul 06, 2022",$0.001136,$0.001199,$0.001125,$0.001179,"$372,948","$372,948"
"Jul 05, 2022",$0.001137,$0.001167,$0.001092,$0.001136,"$425,352","$425,352"
"Jul 04, 2022",$0.00111,$0.001142,$0.001077,$0.001137,"$442,690","$442,690"
"Jul 03, 2022",$0.001123,$0.001133,$0.00108,$0.00111,"$458,210","$458,210"
"Jul 02, 2022",$0.001108,$0.001133,$0.001097,$0.001123,"$333,435","$333,435"
