Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.9057,$0.9063,$0.8855,$0.8902,"$1,837,323","$1,837,323"
"Sep 17, 2022",$0.8882,$0.9126,$0.8819,$0.9057,"$1,461,832","$1,461,832"
"Sep 16, 2022",$0.8697,$0.8994,$0.8578,$0.8882,"$2,707,158","$2,707,158"
"Sep 15, 2022",$0.9214,$0.947,$0.8605,$0.8697,"$3,463,481","$3,463,481"
"Sep 14, 2022",$0.9274,$0.9276,$0.9063,$0.9214,"$2,066,434","$2,066,434"
"Sep 13, 2022",$0.9929,$0.9987,$0.9112,$0.9243,"$3,101,100","$3,101,100"
"Sep 12, 2022",$0.9773,$0.9973,$0.9613,$0.9928,"$2,163,431","$2,163,431"
"Sep 11, 2022",$1.01,$1.01,$0.9585,$0.9773,"$1,993,952","$1,993,952"
"Sep 10, 2022",$1.03,$1.03,$0.9802,$1.01,"$1,923,955","$1,923,955"
"Sep 09, 2022",$0.9141,$1.04,$0.9102,$1.03,"$3,143,025","$3,143,025"
"Sep 08, 2022",$0.938,$0.9399,$0.9097,$0.9141,"$2,655,299","$2,655,299"
"Sep 07, 2022",$0.9292,$0.956,$0.9028,$0.9379,"$3,029,058","$3,029,058"
"Sep 06, 2022",$0.9582,$0.976,$0.9292,$0.9292,"$2,459,674","$2,459,674"
"Sep 05, 2022",$0.9644,$0.9698,$0.9501,$0.9582,"$1,878,280","$1,878,280"
"Sep 04, 2022",$0.9872,$0.9895,$0.9628,$0.9645,"$1,414,735","$1,414,735"
"Sep 03, 2022",$0.9971,$1.00,$0.9803,$0.9872,"$1,636,413","$1,636,413"
"Sep 02, 2022",$1.00,$1.01,$0.9923,$0.997,"$2,164,637","$2,164,637"
"Sep 01, 2022",$1.00,$1.01,$0.985,$1.00,"$2,885,424","$2,885,424"
"Aug 31, 2022",$1.01,$1.05,$0.9933,$1.00,"$3,761,828","$3,761,828"
"Aug 30, 2022",$1.02,$1.04,$0.9939,$1.01,"$3,080,332","$3,080,332"
"Aug 29, 2022",$0.982,$1.03,$0.9797,$1.02,"$2,761,898","$2,761,898"
"Aug 28, 2022",$1.00,$1.00,$0.9819,$0.9819,"$3,019,498","$3,019,498"
"Aug 27, 2022",$1.01,$1.02,$0.9576,$1.00,"$4,471,918","$4,471,918"
"Aug 26, 2022",$1.09,$1.09,$1.01,$1.01,"$3,846,568","$3,846,568"
"Aug 25, 2022",$1.09,$1.10,$1.08,$1.09,"$2,166,205","$2,166,205"
"Aug 24, 2022",$1.10,$1.10,$1.08,$1.09,"$2,437,978","$2,437,978"
"Aug 23, 2022",$1.10,$1.11,$1.08,$1.10,"$2,963,923","$2,963,923"
"Aug 22, 2022",$1.16,$1.16,$1.07,$1.10,"$3,591,509","$3,591,509"
"Aug 21, 2022",$1.12,$1.17,$1.10,$1.16,"$4,209,937","$4,209,937"
"Aug 20, 2022",$1.14,$1.16,$1.10,$1.12,"$3,803,054","$3,803,054"
"Aug 19, 2022",$1.24,$1.24,$1.14,$1.14,"$4,752,693","$4,752,693"
"Aug 18, 2022",$1.26,$1.27,$1.20,$1.24,"$4,573,463","$4,573,463"
"Aug 17, 2022",$1.28,$1.29,$1.26,$1.26,"$2,761,611","$2,761,611"
"Aug 16, 2022",$1.29,$1.29,$1.27,$1.28,"$2,721,655","$2,721,655"
"Aug 15, 2022",$1.31,$1.35,$1.28,$1.29,"$4,144,676","$4,144,676"
"Aug 14, 2022",$1.31,$1.33,$1.30,$1.31,"$2,855,670","$2,855,670"
"Aug 13, 2022",$1.26,$1.32,$1.26,$1.31,"$3,869,696","$3,869,696"
"Aug 12, 2022",$1.25,$1.29,$1.25,$1.26,"$3,889,291","$3,889,291"
"Aug 11, 2022",$1.26,$1.30,$1.25,$1.25,"$3,194,864","$3,194,864"
"Aug 10, 2022",$1.23,$1.27,$1.21,$1.26,"$3,964,263","$3,964,263"
"Aug 09, 2022",$1.24,$1.26,$1.21,$1.23,"$2,962,861","$2,962,861"
"Aug 08, 2022",$1.25,$1.29,$1.23,$1.24,"$4,575,169","$4,575,169"
"Aug 07, 2022",$1.21,$1.26,$1.21,$1.25,"$2,709,327","$2,709,327"
"Aug 06, 2022",$1.24,$1.25,$1.21,$1.21,"$2,306,728","$2,306,728"
"Aug 05, 2022",$1.21,$1.24,$1.21,$1.24,"$3,034,687","$3,034,687"
"Aug 04, 2022",$1.21,$1.25,$1.21,$1.21,"$3,107,019","$3,107,019"
"Aug 03, 2022",$1.26,$1.29,$1.17,$1.21,"$6,806,275","$6,806,275"
"Aug 02, 2022",$1.31,$1.32,$1.24,$1.26,"$5,225,804","$5,225,804"
"Aug 01, 2022",$1.34,$1.34,$1.30,$1.31,"$5,271,996","$5,271,996"
"Jul 31, 2022",$1.40,$1.41,$1.34,$1.34,"$5,544,163","$5,544,163"
"Jul 30, 2022",$1.42,$1.43,$1.40,$1.40,"$6,195,747","$6,195,747"
"Jul 29, 2022",$1.41,$1.44,$1.39,$1.42,"$7,617,833","$7,617,833"
"Jul 28, 2022",$1.32,$1.46,$1.27,$1.41,"$14,007,322","$14,007,322"
"Jul 27, 2022",$1.32,$1.36,$1.28,$1.32,"$8,796,339","$8,796,339"
"Jul 26, 2022",$1.36,$1.36,$1.30,$1.32,"$6,931,294","$6,931,294"
"Jul 25, 2022",$1.40,$1.41,$1.35,$1.36,"$8,977,079","$8,977,079"
"Jul 24, 2022",$1.41,$1.42,$1.39,$1.40,"$7,144,460","$7,144,460"
"Jul 23, 2022",$1.40,$1.42,$1.38,$1.41,"$7,599,792","$7,599,792"
"Jul 22, 2022",$1.42,$1.47,$1.39,$1.40,"$8,188,918","$8,188,918"
"Jul 21, 2022",$1.40,$1.45,$1.38,$1.42,"$8,867,483","$8,867,483"
"Jul 20, 2022",$1.43,$1.47,$1.38,$1.40,"$11,999,770","$11,999,770"
"Jul 19, 2022",$1.52,$1.53,$1.41,$1.43,"$15,245,978","$15,245,978"
"Jul 18, 2022",$1.47,$1.52,$1.47,$1.52,"$11,448,569","$11,448,569"
"Jul 17, 2022",$1.47,$1.51,$1.46,$1.47,"$10,279,847","$10,279,847"
"Jul 16, 2022",$1.47,$1.57,$1.45,$1.47,"$10,815,859","$10,815,859"
"Jul 15, 2022",$1.45,$1.52,$1.43,$1.47,"$9,320,673","$9,320,673"
"Jul 14, 2022",$1.37,$1.51,$1.35,$1.45,"$10,263,510","$10,263,510"
"Jul 13, 2022",$1.32,$1.37,$1.30,$1.37,"$10,600,109","$10,600,109"
"Jul 12, 2022",$1.34,$1.35,$1.32,$1.32,"$7,405,088","$7,405,088"
"Jul 11, 2022",$1.35,$1.35,$1.34,$1.34,"$7,474,971","$7,474,971"
"Jul 10, 2022",$1.35,$1.35,$1.34,$1.35,"$6,772,973","$6,772,973"
"Jul 09, 2022",$1.33,$1.36,$1.33,$1.35,"$6,122,019","$6,122,019"
"Jul 08, 2022",$1.34,$1.37,$1.32,$1.33,"$7,085,113","$7,085,113"
"Jul 07, 2022",$1.33,$1.35,$1.31,$1.34,"$7,397,705","$7,397,705"
"Jul 06, 2022",$1.34,$1.35,$1.31,$1.33,"$7,377,937","$7,377,937"
"Jul 05, 2022",$1.35,$1.37,$1.31,$1.34,"$7,403,129","$7,403,129"
"Jul 04, 2022",$1.30,$1.35,$1.30,$1.35,"$7,139,470","$7,139,470"
"Jul 03, 2022",$1.31,$1.31,$1.29,$1.30,"$6,401,063","$6,401,063"
"Jul 02, 2022",$1.30,$1.31,$1.28,$1.31,"$6,407,160","$6,407,160"
"Jul 01, 2022",$1.31,$1.34,$1.29,$1.30,"$9,146,130","$9,146,130"
"Jun 30, 2022",$1.32,$1.32,$1.25,$1.31,"$8,876,269","$8,876,269"
"Jun 29, 2022",$1.33,$1.36,$1.30,$1.32,"$8,348,845","$8,348,845"
"Jun 28, 2022",$1.35,$1.38,$1.31,$1.33,"$8,601,840","$8,601,840"
"Jun 27, 2022",$1.34,$1.38,$1.34,$1.35,"$7,378,948","$7,378,948"
"Jun 26, 2022",$1.39,$1.40,$1.34,$1.34,"$8,250,194","$8,250,194"
"Jun 25, 2022",$1.36,$1.40,$1.34,$1.39,"$7,302,750","$7,302,750"
"Jun 24, 2022",$1.34,$1.38,$1.32,$1.36,"$7,351,880","$7,351,880"
"Jun 23, 2022",$1.32,$1.39,$1.31,$1.34,"$7,807,016","$7,807,016"
"Jun 22, 2022",$1.38,$1.38,$1.31,$1.32,"$7,190,882","$7,190,882"
"Jun 21, 2022",$1.34,$1.41,$1.33,$1.38,"$7,709,472","$7,709,472"
"Jun 20, 2022",$1.32,$1.34,$1.24,$1.34,"$8,698,884","$8,698,884"
"Jun 19, 2022",$1.23,$1.32,$1.20,$1.32,"$9,315,276","$9,315,276"
"Jun 18, 2022",$1.25,$1.25,$1.20,$1.23,"$9,855,858","$9,855,858"
"Jun 17, 2022",$1.21,$1.28,$1.21,$1.25,"$7,483,070","$7,483,070"
"Jun 16, 2022",$1.36,$1.39,$1.20,$1.21,"$9,762,084","$9,762,084"
"Jun 15, 2022",$1.28,$1.40,$1.19,$1.36,"$13,262,703","$13,262,703"
"Jun 14, 2022",$1.30,$1.31,$1.14,$1.28,"$12,383,463","$12,383,463"
"Jun 13, 2022",$1.44,$1.44,$1.30,$1.30,"$14,430,084","$14,430,084"
"Jun 12, 2022",$1.52,$1.54,$1.42,$1.44,"$9,335,342","$9,335,342"
"Jun 11, 2022",$1.59,$1.60,$1.49,$1.52,"$10,628,529","$10,628,529"
"Jun 10, 2022",$1.60,$1.61,$1.55,$1.59,"$11,514,000","$11,514,000"
"Jun 09, 2022",$1.57,$1.62,$1.56,$1.60,"$8,882,704","$8,882,704"
"Jun 08, 2022",$1.58,$1.59,$1.55,$1.57,"$10,494,372","$10,494,372"
"Jun 07, 2022",$1.61,$1.62,$1.51,$1.58,"$13,775,001","$13,775,001"
"Jun 06, 2022",$1.56,$1.61,$1.55,$1.61,"$9,527,565","$9,527,565"
"Jun 05, 2022",$1.57,$1.57,$1.55,$1.56,"$7,979,489","$7,979,489"
"Jun 04, 2022",$1.52,$1.59,$1.52,$1.57,"$9,075,086","$9,075,086"
"Jun 03, 2022",$1.52,$1.53,$1.49,$1.52,"$8,403,615","$8,403,615"
"Jun 02, 2022",$1.52,$1.53,$1.50,$1.52,"$10,727,081","$10,727,081"
"Jun 01, 2022",$1.62,$1.63,$1.48,$1.52,"$9,105,916","$9,105,916"
"May 31, 2022",$1.66,$1.70,$1.62,$1.62,"$7,942,564","$7,942,564"
"May 30, 2022",$1.56,$1.67,$1.56,$1.66,"$8,549,455","$8,549,455"
"May 29, 2022",$1.54,$1.56,$1.52,$1.56,"$7,532,279","$7,532,279"
"May 28, 2022",$1.48,$1.54,$1.47,$1.54,"$7,339,658","$7,339,658"
"May 27, 2022",$1.52,$1.52,$1.45,$1.47,"$7,978,000","$7,978,000"
"May 26, 2022",$1.52,$1.54,$1.45,$1.52,"$9,566,015","$9,566,015"
"May 25, 2022",$1.52,$1.55,$1.50,$1.52,"$7,285,881","$7,285,881"
"May 24, 2022",$1.52,$1.56,$1.50,$1.52,"$7,627,895","$7,627,895"
"May 23, 2022",$1.58,$1.71,$1.52,$1.52,"$9,688,374","$9,688,374"
"May 22, 2022",$1.54,$1.60,$1.54,$1.58,"$8,024,849","$8,024,849"
"May 21, 2022",$1.51,$1.54,$1.51,$1.54,"$7,208,117","$7,208,117"
"May 20, 2022",$1.52,$1.58,$1.47,$1.51,"$8,017,324","$8,017,324"
"May 19, 2022",$1.45,$1.55,$1.45,$1.52,"$8,272,037","$8,272,037"
"May 18, 2022",$1.58,$1.58,$1.45,$1.45,"$8,563,242","$8,563,242"
"May 17, 2022",$1.56,$1.59,$1.56,$1.58,"$7,894,100","$7,894,100"
"May 16, 2022",$1.60,$1.61,$1.53,$1.56,"$8,773,797","$8,773,797"
"May 15, 2022",$1.59,$1.64,$1.51,$1.60,"$9,553,021","$9,553,021"
"May 14, 2022",$1.58,$1.66,$1.46,$1.59,"$9,800,784","$9,800,784"
"May 13, 2022",$1.42,$1.67,$1.41,$1.58,"$12,165,867","$12,165,867"
"May 12, 2022",$1.35,$1.50,$1.33,$1.42,"$14,658,327","$14,658,327"
"May 11, 2022",$1.68,$1.74,$1.33,$1.35,"$15,338,577","$15,338,577"
"May 10, 2022",$1.67,$1.85,$1.62,$1.68,"$13,887,850","$13,887,850"
"May 09, 2022",$1.98,$2.00,$1.67,$1.68,"$13,333,356","$13,333,356"
"May 08, 2022",$2.15,$2.15,$1.94,$1.98,"$11,852,242","$11,852,242"
"May 07, 2022",$2.21,$2.22,$2.11,$2.15,"$9,719,272","$9,719,272"
"May 06, 2022",$2.30,$2.30,$2.16,$2.21,"$11,664,326","$11,664,326"
"May 05, 2022",$2.39,$2.43,$2.26,$2.30,"$12,230,886","$12,230,886"
"May 04, 2022",$2.29,$2.40,$2.29,$2.39,"$10,613,477","$10,613,477"
"May 03, 2022",$2.35,$2.35,$2.28,$2.29,"$10,229,831","$10,229,831"
"May 02, 2022",$2.38,$2.42,$2.32,$2.35,"$10,881,630","$10,881,630"
"May 01, 2022",$2.25,$2.40,$2.25,$2.38,"$12,111,401","$12,111,401"
"Apr 30, 2022",$2.38,$2.43,$2.25,$2.25,"$12,261,962","$12,261,962"
"Apr 29, 2022",$2.45,$2.46,$2.37,$2.38,"$11,726,319","$11,726,319"
"Apr 28, 2022",$2.45,$2.49,$2.40,$2.45,"$12,530,621","$12,530,621"
"Apr 27, 2022",$2.43,$2.47,$2.41,$2.45,"$11,530,560","$11,530,560"
"Apr 26, 2022",$2.56,$2.58,$2.42,$2.43,"$12,468,048","$12,468,048"
"Apr 25, 2022",$2.56,$2.56,$2.44,$2.56,"$12,688,567","$12,688,567"
"Apr 24, 2022",$2.48,$2.59,$2.47,$2.56,"$11,810,118","$11,810,118"
"Apr 23, 2022",$2.44,$2.50,$2.42,$2.48,"$10,468,080","$10,468,080"
"Apr 22, 2022",$2.46,$2.54,$2.42,$2.44,"$12,351,848","$12,351,848"
"Apr 21, 2022",$2.46,$2.54,$2.45,$2.46,"$12,566,341","$12,566,341"
"Apr 20, 2022",$2.43,$2.47,$2.42,$2.46,"$12,070,072","$12,070,072"
"Apr 19, 2022",$2.49,$2.52,$2.35,$2.43,"$14,319,073","$14,319,073"
"Apr 18, 2022",$2.40,$2.49,$2.34,$2.49,"$11,916,189","$11,916,189"
"Apr 17, 2022",$2.42,$2.46,$2.40,$2.40,"$11,233,299","$11,233,299"
"Apr 16, 2022",$2.38,$2.43,$2.37,$2.42,"$10,380,403","$10,380,403"
"Apr 15, 2022",$2.40,$2.40,$2.34,$2.38,"$10,457,217","$10,457,217"
"Apr 14, 2022",$2.47,$2.49,$2.37,$2.40,"$10,609,286","$10,609,286"
"Apr 13, 2022",$2.41,$2.47,$2.39,$2.47,"$10,774,256","$10,774,256"
"Apr 12, 2022",$2.32,$2.44,$2.29,$2.41,"$11,457,008","$11,457,008"
"Apr 11, 2022",$2.54,$2.55,$2.31,$2.32,"$12,834,090","$12,834,090"
"Apr 10, 2022",$2.54,$2.64,$2.52,$2.54,"$12,150,435","$12,150,435"
"Apr 09, 2022",$2.46,$2.54,$2.45,$2.54,"$11,265,774","$11,265,774"
"Apr 08, 2022",$2.45,$2.59,$2.44,$2.46,"$14,917,200","$14,917,200"
"Apr 07, 2022",$2.45,$2.49,$2.33,$2.45,"$16,437,971","$16,437,971"
"Apr 06, 2022",$2.61,$2.65,$2.45,$2.45,"$14,185,735","$14,185,735"
"Apr 05, 2022",$2.76,$2.79,$2.50,$2.61,"$15,074,280","$15,074,280"
"Apr 04, 2022",$2.76,$2.85,$2.67,$2.76,"$14,000,317","$14,000,317"
"Apr 03, 2022",$2.83,$2.86,$2.72,$2.76,"$14,421,483","$14,421,483"
"Apr 02, 2022",$2.69,$2.95,$2.66,$2.83,"$16,130,947","$16,130,947"
"Apr 01, 2022",$2.48,$2.70,$2.44,$2.69,"$19,695,299","$19,695,299"
"Mar 31, 2022",$2.42,$2.68,$2.42,$2.48,"$26,401,709","$26,401,709"
"Mar 30, 2022",$2.30,$2.44,$2.27,$2.42,"$13,962,789","$13,962,789"
"Mar 29, 2022",$2.27,$2.38,$2.26,$2.30,"$13,384,218","$13,384,218"
"Mar 28, 2022",$2.24,$2.31,$2.24,$2.27,"$14,314,355","$14,314,355"
"Mar 27, 2022",$2.17,$2.24,$2.17,$2.24,"$11,175,118","$11,175,118"
"Mar 26, 2022",$2.14,$2.19,$2.14,$2.17,"$10,304,202","$10,304,202"
"Mar 25, 2022",$2.09,$2.17,$2.09,$2.14,"$11,420,997","$11,420,997"
"Mar 24, 2022",$2.05,$2.11,$2.03,$2.09,"$12,945,586","$12,945,586"
"Mar 23, 2022",$2.01,$2.08,$1.99,$2.05,"$14,123,789","$14,123,789"
"Mar 22, 2022",$1.89,$2.10,$1.89,$2.01,"$16,123,224","$16,123,224"
"Mar 21, 2022",$1.88,$1.91,$1.85,$1.89,"$11,417,826","$11,417,826"
"Mar 20, 2022",$1.88,$1.89,$1.85,$1.88,"$10,511,972","$10,511,972"
"Mar 19, 2022",$1.87,$1.89,$1.86,$1.88,"$11,780,893","$11,780,893"
"Mar 18, 2022",$1.88,$1.88,$1.84,$1.87,"$12,752,855","$12,752,855"
"Mar 17, 2022",$1.86,$1.89,$1.84,$1.88,"$14,218,132","$14,218,132"
"Mar 16, 2022",$1.83,$1.89,$1.80,$1.86,"$15,136,796","$15,136,796"
"Mar 15, 2022",$1.80,$1.83,$1.77,$1.83,"$11,613,156","$11,613,156"
"Mar 14, 2022",$1.74,$1.80,$1.72,$1.80,"$14,983,782","$14,983,782"
