Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.05683,$0.05731,$0.05189,$0.05223,"$383,867","$383,867"
"Sep 25, 2022",$0.05749,$0.05873,$0.05647,$0.05683,"$393,321","$393,321"
"Sep 24, 2022",$0.05946,$0.05979,$0.05691,$0.05749,"$398,698","$398,698"
"Sep 23, 2022",$0.06024,$0.06075,$0.05913,$0.05946,"$410,072","$410,072"
"Sep 22, 2022",$0.05703,$0.06104,$0.05692,$0.06024,"$373,792","$373,792"
"Sep 21, 2022",$0.05794,$0.05987,$0.05677,$0.05701,"$394,612","$394,612"
"Sep 20, 2022",$0.06076,$0.06111,$0.05757,$0.05794,"$367,284","$367,284"
"Sep 19, 2022",$0.06265,$0.06265,$0.05946,$0.06076,"$443,804","$443,804"
"Sep 18, 2022",$0.06766,$0.06766,$0.06251,$0.06266,"$394,302","$394,302"
"Sep 17, 2022",$0.06525,$0.06838,$0.06395,$0.06766,"$391,537","$391,537"
"Sep 16, 2022",$0.06669,$0.06693,$0.06237,$0.06525,"$423,397","$423,397"
"Sep 15, 2022",$0.06121,$0.0711,$0.06119,$0.06669,"$769,975","$769,975"
"Sep 14, 2022",$0.05962,$0.06223,$0.05856,$0.06127,"$394,190","$394,190"
"Sep 13, 2022",$0.06628,$0.06685,$0.0586,$0.0586,"$394,139","$394,139"
"Sep 12, 2022",$0.06543,$0.06948,$0.06491,$0.06628,"$427,072","$427,072"
"Sep 11, 2022",$0.06586,$0.06621,$0.06374,$0.06542,"$376,255","$376,255"
"Sep 10, 2022",$0.0632,$0.06707,$0.06278,$0.06586,"$416,882","$416,882"
"Sep 09, 2022",$0.0601,$0.06348,$0.05895,$0.0632,"$429,174","$429,174"
"Sep 08, 2022",$0.06181,$0.06298,$0.05912,$0.06012,"$360,352","$360,352"
"Sep 07, 2022",$0.06021,$0.06286,$0.06005,$0.0619,"$408,902","$408,902"
"Sep 06, 2022",$0.05595,$0.06236,$0.05544,$0.06026,"$422,884","$422,884"
"Sep 05, 2022",$0.05604,$0.05732,$0.05442,$0.05595,"$390,782","$390,782"
