Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.000432,$0.000472,$0.000421,$0.000433,"$141,823","$141,823"
"Sep 25, 2022",$0.000474,$0.000477,$0.000427,$0.000432,"$136,167","$136,167"
"Sep 24, 2022",$0.000438,$0.000477,$0.000414,$0.000474,"$141,375","$141,375"
"Sep 23, 2022",$0.000454,$0.000462,$0.000429,$0.000438,"$151,369","$151,369"
"Sep 22, 2022",$0.0004591,$0.000462,$0.000402,$0.000454,"$119,162","$119,162"
"Sep 21, 2022",$0.000458,$0.0004611,$0.000453,$0.000459,"$137,918","$137,918"
"Sep 20, 2022",$0.0004631,$0.0004731,$0.00044,$0.000458,"$146,833","$146,833"
"Sep 19, 2022",$0.000476,$0.00049,$0.000446,$0.0004631,"$140,737","$140,737"
"Sep 18, 2022",$0.0005041,$0.0005091,$0.000467,$0.000476,"$139,260","$139,260"
"Sep 17, 2022",$0.000471,$0.00052,$0.000469,$0.0005041,"$139,864","$139,864"
"Sep 16, 2022",$0.000503,$0.000529,$0.000461,$0.000471,"$133,354","$133,354"
"Sep 15, 2022",$0.0004951,$0.0005341,$0.0004951,$0.000503,"$143,755","$143,755"
"Sep 14, 2022",$0.000542,$0.000563,$0.0004951,$0.0004951,"$121,030","$121,030"
"Sep 13, 2022",$0.0005391,$0.0005812,$0.000537,$0.000545,"$136,156","$136,156"
"Sep 12, 2022",$0.0005482,$0.0005561,$0.0005231,$0.0005391,"$151,629","$151,629"
"Sep 11, 2022",$0.0005482,$0.0005572,$0.0005352,$0.0005482,"$137,109","$137,109"
"Sep 10, 2022",$0.0005601,$0.0005622,$0.0005391,$0.0005482,"$148,668","$148,668"
"Sep 09, 2022",$0.0005951,$0.0006012,$0.0005381,$0.0005601,"$134,968","$134,968"
"Sep 08, 2022",$0.0005711,$0.000601,$0.0005261,$0.0005951,"$138,067","$138,067"
"Sep 07, 2022",$0.000501,$0.000821,$0.0005001,$0.0005711,"$139,879","$139,879"
"Sep 06, 2022",$0.000494,$0.000556,$0.000478,$0.0005011,"$139,683","$139,683"
"Sep 05, 2022",$0.00045,$0.00052,$0.000445,$0.000494,"$141,467","$141,467"
"Sep 04, 2022",$0.0004541,$0.000494,$0.00044,$0.00045,"$136,657","$136,657"
"Sep 03, 2022",$0.000457,$0.0004821,$0.000446,$0.0004541,"$131,116","$131,116"
"Sep 02, 2022",$0.000445,$0.000459,$0.000439,$0.000457,"$130,655","$130,655"
"Sep 01, 2022",$0.000438,$0.000448,$0.000411,$0.000445,"$144,497","$144,497"
"Aug 31, 2022",$0.000393,$0.000456,$0.000385,$0.000438,"$148,026","$148,026"
"Aug 30, 2022",$0.000404,$0.000414,$0.000381,$0.000393,"$131,510","$131,510"
"Aug 29, 2022",$0.000411,$0.000416,$0.000383,$0.000404,"$122,370","$122,370"
"Aug 28, 2022",$0.000404,$0.000412,$0.000395,$0.000411,"$154,756","$154,756"
"Aug 27, 2022",$0.000408,$0.000415,$0.000384,$0.000404,"$148,225","$148,225"
"Aug 26, 2022",$0.000407,$0.000427,$0.000386,$0.000408,"$137,845","$137,845"
"Aug 25, 2022",$0.000403,$0.00041,$0.000388,$0.000407,"$103,447","$103,447"
"Aug 24, 2022",$0.000407,$0.000409,$0.000383,$0.000403,"$167,080","$167,080"
"Aug 23, 2022",$0.000391,$0.000408,$0.000378,$0.000407,"$130,493","$130,493"
"Aug 22, 2022",$0.000401,$0.000411,$0.000379,$0.000391,"$141,748","$141,748"
"Aug 21, 2022",$0.000395,$0.0004091,$0.0003821,$0.000401,"$152,852","$152,852"
"Aug 20, 2022",$0.000402,$0.000409,$0.000375,$0.000395,"$144,080","$144,080"
"Aug 19, 2022",$0.000404,$0.000413,$0.000402,$0.000402,"$139,481","$139,481"
"Aug 18, 2022",$0.000388,$0.000405,$0.000381,$0.000404,"$142,477","$142,477"
"Aug 17, 2022",$0.0004101,$0.000413,$0.000381,$0.000388,"$137,071","$137,071"
"Aug 16, 2022",$0.0003821,$0.0004151,$0.0003781,$0.0004101,"$143,175","$143,175"
"Aug 15, 2022",$0.0003821,$0.0004151,$0.0003761,$0.0003821,"$138,112","$138,112"
"Aug 14, 2022",$0.0003862,$0.0004081,$0.0003771,$0.0003821,"$124,342","$124,342"
"Aug 13, 2022",$0.0004101,$0.0004132,$0.0003831,$0.0003862,"$133,657","$133,657"
"Aug 12, 2022",$0.0004042,$0.0004302,$0.0004012,$0.0004101,"$157,902","$157,902"
"Aug 11, 2022",$0.0003781,$0.0004062,$0.0003771,$0.0004042,"$132,969","$132,969"
"Aug 10, 2022",$0.0003941,$0.000399,$0.0003771,$0.0003781,"$142,070","$142,070"
"Aug 09, 2022",$0.000395,$0.0004,$0.0003792,$0.0003941,"$154,980","$154,980"
"Aug 08, 2022",$0.0003971,$0.0004021,$0.0003861,$0.000395,"$138,745","$138,745"
"Aug 07, 2022",$0.0004011,$0.0004041,$0.0003911,$0.0003971,"$142,534","$142,534"
"Aug 06, 2022",$0.000393,$0.0004051,$0.000388,$0.0004011,"$145,947","$145,947"
"Aug 05, 2022",$0.000401,$0.000418,$0.00039,$0.000393,"$115,238","$115,238"
"Aug 04, 2022",$0.0004061,$0.0004211,$0.000401,$0.0004011,"$136,228","$136,228"
"Aug 03, 2022",$0.0004121,$0.0004241,$0.0004021,$0.0004061,"$141,413","$141,413"
"Aug 02, 2022",$0.0004161,$0.0004251,$0.0004021,$0.0004121,"$138,113","$138,113"
"Aug 01, 2022",$0.0004242,$0.0004441,$0.0004031,$0.0004161,"$142,053","$142,053"
"Jul 31, 2022",$0.0004212,$0.0004571,$0.0004031,$0.0004242,"$130,486","$130,486"
"Jul 30, 2022",$0.0004422,$0.0004612,$0.0004161,$0.0004212,"$148,519","$148,519"
"Jul 29, 2022",$0.0003941,$0.0004571,$0.0003761,$0.0004422,"$140,083","$140,083"
"Jul 28, 2022",$0.0004051,$0.0004201,$0.0003791,$0.0003941,"$151,563","$151,563"
"Jul 27, 2022",$0.000405,$0.000417,$0.000398,$0.0004051,"$130,371","$130,371"
"Jul 26, 2022",$0.0004081,$0.000437,$0.000402,$0.000405,"$141,683","$141,683"
"Jul 25, 2022",$0.000436,$0.000449,$0.000391,$0.0004081,"$129,185","$129,185"
"Jul 24, 2022",$0.000448,$0.000459,$0.00043,$0.000436,"$138,545","$138,545"
"Jul 23, 2022",$0.000437,$0.000468,$0.000426,$0.000448,"$132,458","$132,458"
"Jul 22, 2022",$0.000469,$0.0004791,$0.000428,$0.000437,"$137,866","$137,866"
"Jul 21, 2022",$0.0004561,$0.0004861,$0.0004231,$0.000469,"$127,152","$127,152"
"Jul 20, 2022",$0.0004741,$0.0004931,$0.0004401,$0.0004561,"$145,146","$145,146"
"Jul 19, 2022",$0.0004909,$0.0004929,$0.000448,$0.0004741,"$129,534","$129,534"
"Jul 18, 2022",$0.0004479,$0.0004969,$0.0004479,$0.0004909,"$149,012","$149,012"
"Jul 17, 2022",$0.0004499,$0.0004519,$0.0004459,$0.0004479,"$147,712","$147,712"
"Jul 16, 2022",$0.0004299,$0.0004579,$0.0004079,$0.0004499,"$126,726","$126,726"
"Jul 15, 2022",$0.0004247,$0.0004369,$0.0004098,$0.0004299,"$147,399","$147,399"
"Jul 14, 2022",$0.0004088,$0.0004298,$0.0004087,$0.0004247,"$147,961","$147,961"
"Jul 13, 2022",$0.0004097,$0.0004187,$0.0004037,$0.0004087,"$142,970","$142,970"
"Jul 12, 2022",$0.0004087,$0.0004377,$0.0004017,$0.0004097,"$121,965","$121,965"
"Jul 11, 2022",$0.0004428,$0.0004617,$0.0004087,$0.0004087,"$110,954","$110,954"
"Jul 10, 2022",$0.0004478,$0.0004568,$0.0004228,$0.0004428,"$117,616","$117,616"
"Jul 09, 2022",$0.0004148,$0.0004638,$0.0003768,$0.0004478,"$155,144","$155,144"
"Jul 08, 2022",$0.0004118,$0.0004168,$0.0003768,$0.0004148,"$137,976","$137,976"
"Jul 07, 2022",$0.0004106,$0.0004168,$0.0003947,$0.0004118,"$146,590","$146,590"
"Jul 06, 2022",$0.0004066,$0.0004106,$0.0003877,$0.0004106,"$148,427","$148,427"
"Jul 05, 2022",$0.0004037,$0.0004147,$0.0003857,$0.0004066,"$132,783","$132,783"
"Jul 04, 2022",$0.0003956,$0.0004146,$0.0003857,$0.0004036,"$138,603","$138,603"
"Jul 03, 2022",$0.0004016,$0.0004156,$0.0003956,$0.0003956,"$146,490","$146,490"
"Jul 02, 2022",$0.0004045,$0.0004215,$0.0003757,$0.0004016,"$130,048","$130,048"
"Jul 01, 2022",$0.0004225,$0.0004675,$0.0003747,$0.0004045,"$142,023","$142,023"
"Jun 30, 2022",$0.0004326,$0.0004615,$0.0004026,$0.0004225,"$159,966","$159,966"
"Jun 29, 2022",$0.0004655,$0.0004675,$0.0004206,$0.0004325,"$138,270","$138,270"
"Jun 28, 2022",$0.0004786,$0.0004985,$0.0004525,$0.0004655,"$122,776","$122,776"
"Jun 27, 2022",$0.0004897,$0.0004958,$0.0004506,$0.0004786,"$154,896","$154,896"
"Jun 26, 2022",$0.0004428,$0.0005058,$0.0004388,$0.0004897,"$133,710","$133,710"
"Jun 25, 2022",$0.0005007,$0.0005037,$0.0004408,$0.0004428,"$143,495","$143,495"
"Jun 24, 2022",$0.0004697,$0.0005067,$0.0004277,$0.0005007,"$132,942","$132,942"
"Jun 23, 2022",$0.0004746,$0.0005036,$0.0004587,$0.0004697,"$153,535","$153,535"
"Jun 22, 2022",$0.0004376,$0.0004925,$0.0004266,$0.0004746,"$134,385","$134,385"
"Jun 21, 2022",$0.0004286,$0.0004586,$0.0004246,$0.0004376,"$153,037","$153,037"
"Jun 20, 2022",$0.0004406,$0.0004636,$0.0004036,$0.0004286,"$139,025","$139,025"
"Jun 19, 2022",$0.0004155,$0.0004635,$0.0003995,$0.0004406,"$158,176","$158,176"
"Jun 18, 2022",$0.0004646,$0.0005074,$0.0004115,$0.0004155,"$119,938","$119,938"
"Jun 17, 2022",$0.0005005,$0.0005075,$0.0004576,$0.0004646,"$124,064","$124,064"
"Jun 16, 2022",$0.0005144,$0.0005155,$0.0004885,$0.0005005,"$136,633","$136,633"
"Jun 15, 2022",$0.0005055,$0.0005253,$0.0004872,$0.0005145,"$129,739","$129,739"
"Jun 14, 2022",$0.0004983,$0.0005164,$0.0004605,$0.0005055,"$117,052","$117,052"
"Jun 13, 2022",$0.0005065,$0.0005334,$0.0004954,$0.0004983,"$147,721","$147,721"
"Jun 12, 2022",$0.0004935,$0.0005575,$0.0004546,$0.0005066,"$130,229","$130,229"
"Jun 11, 2022",$0.0005156,$0.0005266,$0.0004935,$0.0004935,"$142,190","$142,190"
"Jun 10, 2022",$0.0005087,$0.0005266,$0.0004956,$0.0005156,"$126,914","$126,914"
"Jun 09, 2022",$0.0005596,$0.0005606,$0.0004957,$0.0005087,"$151,982","$151,982"
"Jun 08, 2022",$0.0005137,$0.0005606,$0.0004987,$0.0005596,"$143,313","$143,313"
"Jun 07, 2022",$0.0005177,$0.0005607,$0.0005007,$0.0005137,"$143,551","$143,551"
"Jun 06, 2022",$0.0005087,$0.0005846,$0.0004976,$0.0005177,"$134,645","$134,645"
"Jun 05, 2022",$0.0005506,$0.0005646,$0.0004997,$0.0005087,"$128,448","$128,448"
"Jun 04, 2022",$0.0005256,$0.0005616,$0.0005035,$0.0005506,"$133,028","$133,028"
"Jun 03, 2022",$0.0005356,$0.0005527,$0.0004846,$0.0005256,"$145,419","$145,419"
"Jun 02, 2022",$0.0005506,$0.0005547,$0.0004937,$0.0005356,"$137,538","$137,538"
"Jun 01, 2022",$0.0005407,$0.0005536,$0.0005236,$0.0005506,"$150,627","$150,627"
