Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$0.04616,$0.04641,$0.04505,$0.04576,"$10,697,197","$10,697,197"
"Sep 09, 2022",$0.04431,$0.04618,$0.04417,$0.04616,"$13,673,719","$13,673,719"
"Sep 08, 2022",$0.04258,$0.0444,$0.04246,$0.04432,"$13,619,652","$13,619,652"
"Sep 07, 2022",$0.04106,$0.04303,$0.04094,$0.04261,"$13,350,054","$13,350,054"
"Sep 06, 2022",$0.04375,$0.04461,$0.04064,$0.04107,"$12,993,194","$12,993,194"
"Sep 05, 2022",$0.04417,$0.04492,$0.04304,$0.04374,"$12,279,743","$12,279,743"
"Sep 04, 2022",$0.04365,$0.04424,$0.04363,$0.04418,"$8,393,021","$8,393,021"
"Sep 03, 2022",$0.04396,$0.04401,$0.04321,$0.04365,"$9,065,620","$9,065,620"
"Sep 02, 2022",$0.04399,$0.04576,$0.04346,$0.04394,"$16,515,305","$16,515,305"
"Sep 01, 2022",$0.04411,$0.04493,$0.04244,$0.044,"$15,189,172","$15,189,172"
"Aug 31, 2022",$0.0434,$0.04662,$0.0434,$0.0441,"$19,115,976","$19,115,976"
"Aug 30, 2022",$0.04465,$0.04769,$0.04304,$0.0434,"$20,242,438","$20,242,438"
"Aug 29, 2022",$0.04331,$0.04467,$0.04288,$0.04464,"$10,656,965","$10,656,965"
"Aug 28, 2022",$0.04477,$0.04553,$0.04332,$0.04332,"$9,741,629","$9,741,629"
"Aug 27, 2022",$0.04381,$0.045,$0.04361,$0.04477,"$12,210,920","$12,210,920"
"Aug 26, 2022",$0.04776,$0.04888,$0.04355,$0.0438,"$18,403,526","$18,403,526"
"Aug 25, 2022",$0.04629,$0.04889,$0.04629,$0.04777,"$18,796,358","$18,796,358"
"Aug 24, 2022",$0.0467,$0.04731,$0.04577,$0.04629,"$12,818,616","$12,818,616"
"Aug 23, 2022",$0.04567,$0.04698,$0.04495,$0.04669,"$15,014,310","$15,014,310"
"Aug 22, 2022",$0.04631,$0.04636,$0.04379,$0.04566,"$7,407,781","$7,407,781"
"Aug 21, 2022",$0.0452,$0.04679,$0.04461,$0.04632,"$5,919,718","$5,919,718"
"Aug 20, 2022",$0.04521,$0.04674,$0.04404,$0.04521,"$7,874,064","$7,874,064"
"Aug 19, 2022",$0.04866,$0.04868,$0.04383,$0.04523,"$16,962,724","$16,962,724"
"Aug 18, 2022",$0.05036,$0.05093,$0.0484,$0.04866,"$8,823,068","$8,823,068"
"Aug 17, 2022",$0.05207,$0.05356,$0.05015,$0.05034,"$11,341,989","$11,341,989"
"Aug 16, 2022",$0.05312,$0.05332,$0.05107,$0.05206,"$10,545,733","$10,545,733"
"Aug 15, 2022",$0.05398,$0.05518,$0.05189,$0.05316,"$13,573,946","$13,573,946"
"Aug 14, 2022",$0.05443,$0.0556,$0.05362,$0.05398,"$13,548,849","$13,548,849"
"Aug 13, 2022",$0.05575,$0.05575,$0.05436,$0.05442,"$13,288,017","$13,288,017"
"Aug 12, 2022",$0.05319,$0.0567,$0.05258,$0.05575,"$56,341,149","$56,341,149"
"Aug 11, 2022",$0.05201,$0.05786,$0.05201,$0.0532,"$54,578,710","$54,578,710"
"Aug 10, 2022",$0.04938,$0.05202,$0.04815,$0.05202,"$13,069,519","$13,069,519"
"Aug 09, 2022",$0.05235,$0.05254,$0.0489,$0.04939,"$11,578,678","$11,578,678"
"Aug 08, 2022",$0.05145,$0.05309,$0.05123,$0.05236,"$9,570,215","$9,570,215"
"Aug 07, 2022",$0.05174,$0.05227,$0.05099,$0.05147,"$9,338,853","$9,338,853"
"Aug 06, 2022",$0.05281,$0.05662,$0.05175,$0.05175,"$26,704,436","$26,704,436"
"Aug 05, 2022",$0.05017,$0.05281,$0.05008,$0.05277,"$11,929,751","$11,929,751"
"Aug 04, 2022",$0.04927,$0.05065,$0.04918,$0.05018,"$9,418,626","$9,418,626"
"Aug 03, 2022",$0.04876,$0.05077,$0.04763,$0.04928,"$10,506,947","$10,506,947"
"Aug 02, 2022",$0.05161,$0.05219,$0.04807,$0.04876,"$14,155,511","$14,155,511"
"Aug 01, 2022",$0.04955,$0.05175,$0.04943,$0.05163,"$14,485,528","$14,485,528"
"Jul 31, 2022",$0.04924,$0.05366,$0.04901,$0.04956,"$35,660,276","$35,660,276"
