Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.003925,$0.003963,$0.003859,$0.003963,"$2,762,585","$2,762,585"
"Sep 15, 2022",$0.004196,$0.004299,$0.003912,$0.003939,"$7,786,084","$7,786,084"
"Sep 14, 2022",$0.004507,$0.005289,$0.004157,$0.004197,"$47,101,457","$47,101,457"
"Sep 13, 2022",$0.003909,$0.005641,$0.003674,$0.00439,"$39,420,115","$39,420,115"
"Sep 12, 2022",$0.0039,$0.003974,$0.003809,$0.003912,"$1,668,841","$1,668,841"
"Sep 11, 2022",$0.00384,$0.004114,$0.00383,$0.0039,"$3,145,440","$3,145,440"
"Sep 10, 2022",$0.003815,$0.003865,$0.003753,$0.003837,"$1,933,949","$1,933,949"
"Sep 09, 2022",$0.003597,$0.00382,$0.003594,$0.003812,"$2,114,679","$2,114,679"
"Sep 08, 2022",$0.003571,$0.00361,$0.003524,$0.003598,"$1,560,479","$1,560,479"
"Sep 07, 2022",$0.003544,$0.003633,$0.003495,$0.003573,"$1,718,060","$1,718,060"
"Sep 06, 2022",$0.003761,$0.003819,$0.003531,$0.003531,"$2,038,802","$2,038,802"
"Sep 05, 2022",$0.003858,$0.003873,$0.003725,$0.00378,"$1,304,858","$1,304,858"
"Sep 04, 2022",$0.003865,$0.003876,$0.003819,$0.003854,"$952,776","$952,776"
"Sep 03, 2022",$0.003878,$0.003891,$0.003835,$0.003864,"$814,986","$814,986"
"Sep 02, 2022",$0.003909,$0.003949,$0.00386,$0.003878,"$1,094,001","$1,094,001"
"Sep 01, 2022",$0.003892,$0.003913,$0.003791,$0.00391,"$1,351,985","$1,351,985"
"Aug 31, 2022",$0.00395,$0.004025,$0.003885,$0.003889,"$1,154,402","$1,154,402"
"Aug 30, 2022",$0.004049,$0.004076,$0.00386,$0.003944,"$1,546,952","$1,546,952"
"Aug 29, 2022",$0.003901,$0.004052,$0.003876,$0.004045,"$1,462,233","$1,462,233"
"Aug 28, 2022",$0.003938,$0.00402,$0.003901,$0.003901,"$1,104,162","$1,104,162"
"Aug 27, 2022",$0.003947,$0.003982,$0.003876,$0.003939,"$1,225,887","$1,225,887"
"Aug 26, 2022",$0.00422,$0.004256,$0.003941,$0.003949,"$1,491,168","$1,491,168"
"Aug 25, 2022",$0.004125,$0.004295,$0.004125,$0.004221,"$1,386,615","$1,386,615"
"Aug 24, 2022",$0.004197,$0.004205,$0.004092,$0.004124,"$1,357,188","$1,357,188"
"Aug 23, 2022",$0.004096,$0.004349,$0.004014,$0.004198,"$3,365,170","$3,365,170"
"Aug 22, 2022",$0.004172,$0.004184,$0.003985,$0.004095,"$1,336,721","$1,336,721"
