Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.108,$0.1081,$0.1029,$0.1046,"$3,927,603","$3,927,603"
"Sep 20, 2022",$0.1151,$0.1152,$0.1076,$0.108,"$3,757,683","$3,757,683"
"Sep 19, 2022",$0.1091,$0.1155,$0.1057,$0.1151,"$3,778,060","$3,778,060"
"Sep 18, 2022",$0.1199,$0.1199,$0.1082,$0.1091,"$3,674,143","$3,674,143"
"Sep 17, 2022",$0.1209,$0.1218,$0.1182,$0.1199,"$3,649,502","$3,649,502"
"Sep 16, 2022",$0.1159,$0.1245,$0.1143,$0.1209,"$3,657,370","$3,657,370"
"Sep 15, 2022",$0.1195,$0.1199,$0.1136,$0.1159,"$2,203,622","$2,203,622"
"Sep 14, 2022",$0.1232,$0.1242,$0.1177,$0.1195,"$3,587,090","$3,587,090"
"Sep 13, 2022",$0.1336,$0.1344,$0.1194,$0.1235,"$3,415,246","$3,415,246"
"Sep 12, 2022",$0.1331,$0.135,$0.1309,$0.1336,"$2,359,052","$2,359,052"
"Sep 11, 2022",$0.1383,$0.1383,$0.1325,$0.1331,"$2,571,999","$2,571,999"
"Sep 10, 2022",$0.1435,$0.1444,$0.1339,$0.1391,"$2,955,625","$2,955,625"
"Sep 09, 2022",$0.1291,$0.1516,$0.1271,$0.1434,"$2,974,479","$2,974,479"
"Sep 08, 2022",$0.1392,$0.1413,$0.1272,$0.1291,"$2,707,826","$2,707,826"
"Sep 07, 2022",$0.1125,$0.1428,$0.111,$0.1392,"$2,969,846","$2,969,846"
"Sep 06, 2022",$0.1246,$0.128,$0.109,$0.1126,"$2,895,699","$2,895,699"
"Sep 05, 2022",$0.1368,$0.1369,$0.1207,$0.1246,"$2,553,740","$2,553,740"
"Sep 04, 2022",$0.1351,$0.1369,$0.1327,$0.1368,"$2,361,881","$2,361,881"
"Sep 03, 2022",$0.1404,$0.1415,$0.1346,$0.1351,"$2,342,426","$2,342,426"
"Sep 02, 2022",$0.1414,$0.1447,$0.1332,$0.1404,"$2,415,111","$2,415,111"
"Sep 01, 2022",$0.1468,$0.1494,$0.1401,$0.1414,"$1,065,515","$1,065,515"
"Aug 31, 2022",$0.1445,$0.1509,$0.1445,$0.1467,"$1,790,850","$1,790,850"
"Aug 30, 2022",$0.1486,$0.1511,$0.1443,$0.1445,"$1,724,330","$1,724,330"
"Aug 29, 2022",$0.1479,$0.1537,$0.1467,$0.1486,"$2,928,641","$2,928,641"
"Aug 28, 2022",$0.1542,$0.1601,$0.1479,$0.1479,"$4,054,241","$4,054,241"
"Aug 27, 2022",$0.1467,$0.1671,$0.145,$0.1543,"$3,859,030","$3,859,030"
"Aug 26, 2022",$0.1492,$0.1622,$0.1418,$0.1465,"$3,991,460","$3,991,460"
"Aug 25, 2022",$0.1544,$0.1634,$0.147,$0.1491,"$3,900,237","$3,900,237"
"Aug 24, 2022",$0.165,$0.1768,$0.1521,$0.1544,"$3,784,309","$3,784,309"
"Aug 23, 2022",$0.1196,$0.1706,$0.1144,$0.165,"$4,248,696","$4,248,696"
"Aug 22, 2022",$0.1303,$0.1338,$0.1171,$0.1196,"$3,179,877","$3,179,877"
"Aug 21, 2022",$0.1261,$0.1356,$0.1261,$0.1303,"$3,876,954","$3,876,954"
"Aug 20, 2022",$0.1305,$0.1479,$0.1224,$0.1261,"$4,358,307","$4,358,307"
"Aug 19, 2022",$0.1559,$0.1562,$0.1171,$0.1304,"$3,993,943","$3,993,943"
"Aug 18, 2022",$0.1413,$0.1692,$0.1347,$0.1558,"$3,323,427","$3,323,427"
"Aug 17, 2022",$0.1209,$0.1535,$0.1069,$0.1412,"$5,051,596","$5,051,596"
"Aug 16, 2022",$0.08009,$0.1344,$0.07921,$0.1209,"$5,331,201","$5,331,201"
"Aug 15, 2022",$0.08576,$0.08914,$0.07718,$0.08011,"$4,361,230","$4,361,230"
"Aug 14, 2022",$0.07157,$0.0892,$0.06958,$0.0858,"$4,752,860","$4,752,860"
"Aug 13, 2022",$0.06818,$0.0728,$0.0677,$0.07146,"$4,738,483","$4,738,483"
"Aug 12, 2022",$0.06389,$0.0695,$0.06281,$0.06823,"$4,676,190","$4,676,190"
"Aug 11, 2022",$0.06335,$0.06615,$0.06327,$0.06391,"$4,362,442","$4,362,442"
"Aug 10, 2022",$0.06213,$0.06453,$0.06183,$0.06335,"$3,871,726","$3,871,726"
"Aug 09, 2022",$0.06469,$0.0651,$0.06143,$0.06213,"$2,338,960","$2,338,960"
"Aug 08, 2022",$0.06094,$0.06631,$0.06026,$0.06468,"$2,930,342","$2,930,342"
"Aug 07, 2022",$0.06164,$0.06208,$0.05928,$0.06094,"$3,174,213","$3,174,213"
"Aug 06, 2022",$0.05991,$0.06328,$0.05935,$0.06159,"$3,687,912","$3,687,912"
"Aug 05, 2022",$0.05893,$0.06104,$0.0584,$0.0599,"$3,887,163","$3,887,163"
"Aug 04, 2022",$0.06056,$0.06195,$0.05881,$0.05894,"$3,817,594","$3,817,594"
"Aug 03, 2022",$0.05899,$0.06293,$0.05812,$0.06056,"$3,896,330","$3,896,330"
"Aug 02, 2022",$0.06229,$0.06244,$0.05859,$0.05896,"$2,966,465","$2,966,465"
"Aug 01, 2022",$0.06092,$0.06319,$0.06049,$0.0623,"$4,013,154","$4,013,154"
"Jul 31, 2022",$0.0622,$0.06445,$0.06087,$0.06092,"$2,759,140","$2,759,140"
"Jul 30, 2022",$0.06165,$0.06561,$0.06048,$0.0622,"$2,177,412","$2,177,412"
"Jul 29, 2022",$0.06423,$0.06563,$0.06039,$0.06166,"$3,084,826","$3,084,826"
"Jul 28, 2022",$0.06204,$0.06579,$0.06076,$0.06422,"$3,907,715","$3,907,715"
"Jul 27, 2022",$0.05856,$0.06296,$0.05691,$0.06203,"$3,985,235","$3,985,235"
"Jul 26, 2022",$0.06038,$0.06038,$0.05698,$0.05856,"$4,026,618","$4,026,618"
"Jul 25, 2022",$0.0612,$0.06183,$0.05834,$0.06038,"$3,555,063","$3,555,063"
"Jul 24, 2022",$0.05845,$0.0625,$0.05842,$0.06121,"$3,589,058","$3,589,058"
"Jul 23, 2022",$0.06198,$0.06243,$0.05811,$0.05842,"$3,070,582","$3,070,582"
"Jul 22, 2022",$0.06418,$0.06746,$0.06067,$0.062,"$3,462,125","$3,462,125"
"Jul 21, 2022",$0.06681,$0.06727,$0.06281,$0.06419,"$3,898,607","$3,898,607"
"Jul 20, 2022",$0.069,$0.07054,$0.06647,$0.06681,"$3,901,432","$3,901,432"
"Jul 19, 2022",$0.06703,$0.06992,$0.06395,$0.069,"$4,453,989","$4,453,989"
"Jul 18, 2022",$0.066,$0.06968,$0.06576,$0.06707,"$4,379,477","$4,379,477"
"Jul 17, 2022",$0.06643,$0.0692,$0.06578,$0.06599,"$4,245,327","$4,245,327"
"Jul 16, 2022",$0.06726,$0.06774,$0.06577,$0.06643,"$4,158,920","$4,158,920"
"Jul 15, 2022",$0.06743,$0.06858,$0.06622,$0.06726,"$4,285,908","$4,285,908"
"Jul 14, 2022",$0.06728,$0.06764,$0.06564,$0.06743,"$3,869,159","$3,869,159"
"Jul 13, 2022",$0.067,$0.06922,$0.06603,$0.06728,"$3,804,303","$3,804,303"
"Jul 12, 2022",$0.07017,$0.07017,$0.06648,$0.06699,"$3,513,396","$3,513,396"
"Jul 11, 2022",$0.07165,$0.0717,$0.06933,$0.07016,"$3,246,631","$3,246,631"
"Jul 10, 2022",$0.07064,$0.07279,$0.06975,$0.07166,"$3,959,532","$3,959,532"
"Jul 09, 2022",$0.07046,$0.07279,$0.07038,$0.07064,"$3,166,998","$3,166,998"
"Jul 08, 2022",$0.07288,$0.07405,$0.06942,$0.07049,"$3,782,508","$3,782,508"
"Jul 07, 2022",$0.07057,$0.07289,$0.06928,$0.07289,"$3,665,795","$3,665,795"
"Jul 06, 2022",$0.06946,$0.07172,$0.06768,$0.07057,"$3,983,873","$3,983,873"
"Jul 05, 2022",$0.06931,$0.07006,$0.06735,$0.06945,"$4,332,752","$4,332,752"
"Jul 04, 2022",$0.06881,$0.06932,$0.06738,$0.06932,"$4,556,238","$4,556,238"
"Jul 03, 2022",$0.06772,$0.07035,$0.06741,$0.06881,"$4,190,269","$4,190,269"
"Jul 02, 2022",$0.06766,$0.06824,$0.06517,$0.06772,"$4,806,963","$4,806,963"
"Jul 01, 2022",$0.06595,$0.07319,$0.06581,$0.06765,"$4,863,793","$4,863,793"
"Jun 30, 2022",$0.06842,$0.0691,$0.06434,$0.06585,"$4,711,001","$4,711,001"
"Jun 29, 2022",$0.06542,$0.069,$0.06397,$0.06842,"$3,704,099","$3,704,099"
"Jun 28, 2022",$0.06804,$0.06831,$0.06518,$0.06542,"$1,256,940","$1,256,940"
"Jun 27, 2022",$0.0715,$0.07257,$0.06789,$0.06804,"$1,496,619","$1,496,619"
"Jun 26, 2022",$0.06987,$0.07252,$0.06965,$0.07149,"$1,474,788","$1,474,788"
"Jun 25, 2022",$0.07118,$0.07197,$0.06882,$0.06988,"$1,501,911","$1,501,911"
"Jun 24, 2022",$0.06941,$0.07138,$0.06905,$0.07119,"$1,151,054","$1,151,054"
"Jun 23, 2022",$0.06831,$0.07103,$0.06818,$0.06943,"$1,217,193","$1,217,193"
"Jun 22, 2022",$0.0691,$0.07035,$0.06781,$0.06831,"$531,446","$531,446"
"Jun 21, 2022",$0.07278,$0.07522,$0.06895,$0.06908,"$122,649","$122,649"
"Jun 20, 2022",$0.07192,$0.07306,$0.07064,$0.07277,"$90,349","$90,349"
"Jun 19, 2022",$0.06592,$0.07219,$0.06523,$0.07193,"$122,678","$122,678"
"Jun 18, 2022",$0.06854,$0.0692,$0.06112,$0.06594,"$121,009","$121,009"
"Jun 17, 2022",$0.0687,$0.07051,$0.06809,$0.06855,"$81,837","$81,837"
"Jun 16, 2022",$0.07364,$0.07383,$0.06827,$0.06868,"$112,803","$112,803"
"Jun 15, 2022",$0.0637,$0.07413,$0.05844,$0.07365,"$238,428","$238,428"
"Jun 14, 2022",$0.06443,$0.06616,$0.0616,$0.06372,"$114,099","$114,099"
"Jun 13, 2022",$0.06638,$0.06785,$0.05812,$0.06443,"$221,135","$221,135"
"Jun 12, 2022",$0.06954,$0.06985,$0.06338,$0.06644,"$113,752","$113,752"
"Jun 11, 2022",$0.07272,$0.07317,$0.06855,$0.06952,"$107,032","$107,032"
"Jun 10, 2022",$0.07429,$0.07789,$0.0705,$0.07271,"$135,300","$135,300"
"Jun 09, 2022",$0.07715,$0.07893,$0.07138,$0.07429,"$225,647","$225,647"
"Jun 08, 2022",$0.09077,$0.09152,$0.07694,$0.07714,"$584,434","$584,434"
"Jun 07, 2022",$0.09483,$0.09483,$0.09006,$0.09081,"$494,762","$494,762"
"Jun 06, 2022",$0.0945,$0.09717,$0.09338,$0.09484,"$2,602,668","$2,602,668"
"Jun 05, 2022",$0.09288,$0.09564,$0.09091,$0.0945,"$2,645,029","$2,645,029"
"Jun 04, 2022",$0.09363,$0.09421,$0.09061,$0.09288,"$3,616,977","$3,616,977"
"Jun 03, 2022",$0.09225,$0.09381,$0.08744,$0.09362,"$4,650,758","$4,650,758"
"Jun 02, 2022",$0.09037,$0.09451,$0.08932,$0.09225,"$5,025,563","$5,025,563"
"Jun 01, 2022",$0.1022,$0.1034,$0.0903,$0.09034,"$5,030,952","$5,030,952"
"May 31, 2022",$0.09986,$0.1071,$0.09717,$0.1022,"$5,084,918","$5,084,918"
"May 30, 2022",$0.09481,$0.1014,$0.09376,$0.09986,"$4,979,236","$4,979,236"
"May 29, 2022",$0.09039,$0.09595,$0.08987,$0.09472,"$4,742,944","$4,742,944"
