Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$0.9612,$0.978,$0.957,$0.9764,"$12,397,543","$12,397,543"
"Sep 09, 2022",$0.8958,$0.9613,$0.8947,$0.9613,"$18,577,168","$18,577,168"
"Sep 08, 2022",$0.901,$0.9048,$0.882,$0.8958,"$9,688,291","$9,688,291"
"Sep 07, 2022",$0.9063,$0.9068,$0.8248,$0.9009,"$15,501,031","$15,501,031"
"Sep 06, 2022",$1.04,$1.04,$0.8888,$0.9061,"$43,537,214","$43,537,214"
"Sep 05, 2022",$1.05,$1.06,$1.02,$1.04,"$13,418,343","$13,418,343"
"Sep 04, 2022",$1.04,$1.05,$1.03,$1.05,"$18,085,416","$18,085,416"
"Sep 03, 2022",$1.08,$1.08,$1.02,$1.04,"$24,027,099","$24,027,099"
"Sep 02, 2022",$1.06,$1.09,$1.04,$1.08,"$24,101,742","$24,101,742"
"Sep 01, 2022",$1.08,$1.10,$1.01,$1.06,"$24,889,109","$24,889,109"
"Aug 31, 2022",$1.02,$1.15,$1.02,$1.08,"$79,560,260","$79,560,260"
"Aug 30, 2022",$0.9878,$1.05,$0.9774,$1.02,"$53,084,580","$53,084,580"
"Aug 29, 2022",$0.9164,$0.9875,$0.9129,$0.9867,"$29,130,412","$29,130,412"
"Aug 28, 2022",$0.9356,$0.9495,$0.9163,$0.9163,"$23,422,930","$23,422,930"
"Aug 27, 2022",$0.9254,$0.9357,$0.9128,$0.9357,"$26,919,413","$26,919,413"
"Aug 26, 2022",$0.996,$1.00,$0.9235,$0.9255,"$28,806,550","$28,806,550"
"Aug 25, 2022",$0.9572,$1.00,$0.9558,$0.9961,"$31,347,567","$31,347,567"
"Aug 24, 2022",$0.9709,$1.05,$0.9518,$0.9572,"$46,386,784","$46,386,784"
"Aug 23, 2022",$0.9002,$0.9711,$0.8878,$0.9711,"$28,706,606","$28,706,606"
"Aug 22, 2022",$0.9216,$0.927,$0.8864,$0.9002,"$12,638,601","$12,638,601"
"Aug 21, 2022",$0.8679,$0.9262,$0.8679,$0.9217,"$12,366,860","$12,366,860"
"Aug 20, 2022",$0.8323,$0.8904,$0.832,$0.868,"$12,857,724","$12,857,724"
"Aug 19, 2022",$0.9241,$0.9241,$0.8314,$0.8325,"$14,743,353","$14,743,353"
"Aug 18, 2022",$0.9281,$0.9531,$0.924,$0.9241,"$10,372,518","$10,372,518"
"Aug 17, 2022",$0.959,$1.01,$0.924,$0.928,"$13,439,850","$13,439,850"
"Aug 16, 2022",$0.9896,$1.00,$0.9556,$0.9592,"$11,666,733","$11,666,733"
"Aug 15, 2022",$1.01,$1.02,$0.98,$0.9899,"$16,427,749","$16,427,749"
"Aug 14, 2022",$1.02,$1.08,$0.9829,$1.01,"$29,962,135","$29,962,135"
"Aug 13, 2022",$0.9428,$1.04,$0.9388,$1.02,"$44,141,982","$44,141,982"
"Aug 12, 2022",$0.9096,$0.9657,$0.9013,$0.9427,"$16,440,918","$16,440,918"
"Aug 11, 2022",$0.8838,$0.999,$0.8804,$0.9097,"$34,574,484","$34,574,484"
"Aug 10, 2022",$0.81,$0.887,$0.7991,$0.8838,"$42,311,721","$42,311,721"
"Aug 09, 2022",$0.7764,$0.8168,$0.7585,$0.81,"$24,845,484","$24,845,484"
"Aug 08, 2022",$0.7499,$0.8229,$0.7495,$0.7763,"$17,666,164","$17,666,164"
"Aug 07, 2022",$0.7493,$0.7585,$0.745,$0.75,"$9,478,826","$9,478,826"
"Aug 06, 2022",$0.753,$0.7555,$0.7406,$0.7493,"$10,917,741","$10,917,741"
"Aug 05, 2022",$0.7366,$0.7665,$0.7363,$0.7532,"$14,805,075","$14,805,075"
"Aug 04, 2022",$0.7447,$0.7724,$0.7269,$0.7369,"$14,179,852","$14,179,852"
"Aug 03, 2022",$0.7425,$0.7722,$0.7321,$0.7447,"$13,492,495","$13,492,495"
