Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.05026,$0.05026,$0.04795,$0.04976,"$1,860,661","$1,860,661"
"Sep 21, 2022",$0.05037,$0.05083,$0.04977,$0.0502,"$1,427,768","$1,427,768"
"Sep 20, 2022",$0.05401,$0.05401,$0.05012,$0.05038,"$1,763,040","$1,763,040"
"Sep 19, 2022",$0.05225,$0.05433,$0.05209,$0.05402,"$1,853,852","$1,853,852"
"Sep 18, 2022",$0.05677,$0.05677,$0.0521,$0.05223,"$1,928,475","$1,928,475"
"Sep 17, 2022",$0.05597,$0.05821,$0.05597,$0.05675,"$2,226,660","$2,226,660"
"Sep 16, 2022",$0.06596,$0.06726,$0.05527,$0.056,"$3,661,194","$3,661,194"
"Sep 15, 2022",$0.05647,$0.06669,$0.05508,$0.06599,"$4,929,201","$4,929,201"
"Sep 14, 2022",$0.06004,$0.06013,$0.05577,$0.05652,"$1,667,554","$1,667,554"
"Sep 13, 2022",$0.06211,$0.06445,$0.05836,$0.05996,"$1,208,873","$1,208,873"
"Sep 12, 2022",$0.06485,$0.06809,$0.0618,$0.06211,"$1,751,881","$1,751,881"
"Sep 11, 2022",$0.06458,$0.0676,$0.06417,$0.06484,"$1,712,726","$1,712,726"
"Sep 10, 2022",$0.06514,$0.06535,$0.06134,$0.06457,"$1,946,828","$1,946,828"
"Sep 09, 2022",$0.05708,$0.06692,$0.05652,$0.06513,"$3,539,731","$3,539,731"
"Sep 08, 2022",$0.05758,$0.05807,$0.05678,$0.05707,"$1,875,294","$1,875,294"
"Sep 07, 2022",$0.05743,$0.05857,$0.05605,$0.05758,"$1,353,370","$1,353,370"
"Sep 06, 2022",$0.06208,$0.06304,$0.05707,$0.05744,"$1,491,480","$1,491,480"
"Sep 05, 2022",$0.06413,$0.06413,$0.06172,$0.06208,"$1,243,903","$1,243,903"
"Sep 04, 2022",$0.06261,$0.0644,$0.06203,$0.06413,"$1,028,226","$1,028,226"
"Sep 03, 2022",$0.06772,$0.06829,$0.06231,$0.06261,"$1,350,465","$1,350,465"
"Sep 02, 2022",$0.06918,$0.06991,$0.06771,$0.06772,"$1,069,920","$1,069,920"
"Sep 01, 2022",$0.07163,$0.07174,$0.06783,$0.0691,"$995,716","$995,716"
"Aug 31, 2022",$0.06404,$0.07241,$0.06402,$0.07163,"$1,476,416","$1,476,416"
"Aug 30, 2022",$0.06075,$0.06672,$0.06063,$0.06404,"$1,317,818","$1,317,818"
"Aug 29, 2022",$0.06462,$0.06463,$0.06043,$0.06081,"$925,636","$925,636"
"Aug 28, 2022",$0.07266,$0.07379,$0.06446,$0.06462,"$1,073,936","$1,073,936"
"Aug 27, 2022",$0.06955,$0.07266,$0.06946,$0.07266,"$1,024,678","$1,024,678"
"Aug 26, 2022",$0.07251,$0.08006,$0.06817,$0.06955,"$3,712,554","$3,712,554"
"Aug 25, 2022",$0.05821,$0.0797,$0.05733,$0.07249,"$2,839,398","$2,839,398"
"Aug 24, 2022",$0.05538,$0.06049,$0.05486,$0.05821,"$405,338","$405,338"
"Aug 23, 2022",$0.05736,$0.05748,$0.05317,$0.05552,"$417,647","$417,647"
"Aug 22, 2022",$0.0586,$0.06039,$0.0562,$0.05737,"$382,085","$382,085"
"Aug 21, 2022",$0.05647,$0.05933,$0.05589,$0.0586,"$304,639","$304,639"
"Aug 20, 2022",$0.05829,$0.06158,$0.05646,$0.05647,"$324,373","$324,373"
"Aug 19, 2022",$0.0658,$0.0681,$0.05704,$0.05829,"$689,305","$689,305"
