Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.08823,$0.08895,$0.08731,$0.08746,"$380,860","$380,860"
"Sep 24, 2022",$0.0899,$0.09014,$0.08811,$0.08823,"$368,696","$368,696"
"Sep 23, 2022",$0.09107,$0.09117,$0.08871,$0.08989,"$409,412","$409,412"
"Sep 22, 2022",$0.09028,$0.09176,$0.08934,$0.0911,"$618,407","$618,407"
"Sep 21, 2022",$0.09099,$0.0913,$0.08973,$0.09023,"$923,536","$923,536"
"Sep 20, 2022",$0.09148,$0.09173,$0.09054,$0.091,"$627,381","$627,381"
"Sep 19, 2022",$0.09484,$0.09484,$0.09012,$0.09149,"$1,167,096","$1,167,096"
"Sep 18, 2022",$0.09946,$0.0996,$0.09452,$0.09487,"$5,141,739","$5,141,739"
"Sep 17, 2022",$0.09874,$0.1006,$0.09853,$0.09935,"$2,601,568","$2,601,568"
"Sep 16, 2022",$0.0998,$0.1001,$0.09773,$0.09872,"$3,865,318","$3,865,318"
"Sep 15, 2022",$0.102,$0.1025,$0.09917,$0.09978,"$3,773,796","$3,773,796"
"Sep 14, 2022",$0.104,$0.1043,$0.1008,$0.102,"$808,571","$808,571"
"Sep 13, 2022",$0.106,$0.1069,$0.1032,$0.1033,"$2,544,387","$2,544,387"
"Sep 12, 2022",$0.1,$0.1083,$0.0978,$0.106,"$2,958,272","$2,958,272"
"Sep 11, 2022",$0.09872,$0.1012,$0.09841,$0.1,"$1,366,465","$1,366,465"
"Sep 10, 2022",$0.1027,$0.1032,$0.09617,$0.09876,"$1,098,644","$1,098,644"
"Sep 09, 2022",$0.09915,$0.1028,$0.09879,$0.1027,"$1,064,051","$1,064,051"
"Sep 08, 2022",$0.09985,$0.1017,$0.09893,$0.09915,"$818,970","$818,970"
"Sep 07, 2022",$0.1049,$0.1065,$0.09821,$0.09982,"$773,573","$773,573"
"Sep 06, 2022",$0.09835,$0.1082,$0.09739,$0.1048,"$1,490,579","$1,490,579"
"Sep 05, 2022",$0.1012,$0.1012,$0.09805,$0.09833,"$621,733","$621,733"
"Sep 04, 2022",$0.1026,$0.1034,$0.09949,$0.1012,"$726,224","$726,224"
"Sep 03, 2022",$0.1014,$0.1048,$0.1001,$0.1026,"$596,670","$596,670"
"Sep 02, 2022",$0.1072,$0.1087,$0.1014,$0.1014,"$1,436,665","$1,436,665"
"Sep 01, 2022",$0.1123,$0.1139,$0.1038,$0.107,"$574,771","$574,771"
"Aug 31, 2022",$0.1159,$0.117,$0.1109,$0.1123,"$597,197","$597,197"
"Aug 30, 2022",$0.1172,$0.1181,$0.1134,$0.1159,"$550,697","$550,697"
"Aug 29, 2022",$0.1149,$0.1188,$0.1137,$0.1172,"$610,464","$610,464"
"Aug 28, 2022",$0.1143,$0.1205,$0.1134,$0.1149,"$44,315,925","$44,315,925"
"Aug 27, 2022",$0.1196,$0.1215,$0.114,$0.1143,"$24,669,471","$24,669,471"
"Aug 26, 2022",$0.1301,$0.1303,$0.1196,$0.1197,"$9,269,613","$9,269,613"
"Aug 25, 2022",$0.131,$0.1323,$0.128,$0.1302,"$14,216,173","$14,216,173"
"Aug 24, 2022",$0.1293,$0.1313,$0.1269,$0.131,"$12,884,214","$12,884,214"
"Aug 23, 2022",$0.1282,$0.1299,$0.1264,$0.1293,"$17,835,094","$17,835,094"
"Aug 22, 2022",$0.13,$0.1317,$0.1261,$0.1282,"$5,209,466","$5,209,466"
"Aug 21, 2022",$0.1298,$0.1334,$0.1292,$0.13,"$692,354","$692,354"
"Aug 20, 2022",$0.135,$0.136,$0.1295,$0.1298,"$705,928","$705,928"
"Aug 19, 2022",$0.1486,$0.1496,$0.1338,$0.1352,"$827,580","$827,580"
"Aug 18, 2022",$0.1477,$0.15,$0.145,$0.1486,"$599,256","$599,256"
"Aug 17, 2022",$0.1473,$0.1499,$0.145,$0.1477,"$603,473","$603,473"
"Aug 16, 2022",$0.1484,$0.1499,$0.1417,$0.1473,"$629,460","$629,460"
"Aug 15, 2022",$0.1438,$0.1508,$0.1335,$0.1484,"$1,163,185","$1,163,185"
"Aug 14, 2022",$0.146,$0.1502,$0.1426,$0.1438,"$832,704","$832,704"
