Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.2264,$0.2313,$0.2244,$0.2307,"$14,733,150","$14,733,150"
"Sep 15, 2022",$0.2353,$0.2353,$0.2247,$0.2264,"$21,422,286","$21,422,286"
"Sep 14, 2022",$0.23,$0.2366,$0.2291,$0.2354,"$15,868,738","$15,868,738"
"Sep 13, 2022",$0.2528,$0.2538,$0.2291,$0.2319,"$28,889,904","$28,889,904"
"Sep 12, 2022",$0.2527,$0.2587,$0.2487,$0.2528,"$21,205,672","$21,205,672"
"Sep 11, 2022",$0.2529,$0.2569,$0.2476,$0.2527,"$16,883,760","$16,883,760"
"Sep 10, 2022",$0.2541,$0.2584,$0.2491,$0.2529,"$21,126,804","$21,126,804"
"Sep 09, 2022",$0.2415,$0.2556,$0.2414,$0.2541,"$21,410,774","$21,410,774"
"Sep 08, 2022",$0.2311,$0.2416,$0.2292,$0.2414,"$28,315,089","$28,315,089"
"Sep 07, 2022",$0.2237,$0.2337,$0.2183,$0.2312,"$14,003,970","$14,003,970"
"Sep 06, 2022",$0.2427,$0.2504,$0.2237,$0.2237,"$20,823,195","$20,823,195"
"Sep 05, 2022",$0.2441,$0.2456,$0.2377,$0.2427,"$12,329,426","$12,329,426"
"Sep 04, 2022",$0.2405,$0.2453,$0.2382,$0.2441,"$14,390,178","$14,390,178"
"Sep 03, 2022",$0.2405,$0.2415,$0.237,$0.2405,"$11,013,627","$11,013,627"
"Sep 02, 2022",$0.2498,$0.2514,$0.2389,$0.2405,"$14,873,699","$14,873,699"
"Sep 01, 2022",$0.2447,$0.2498,$0.2392,$0.2498,"$12,180,180","$12,180,180"
"Aug 31, 2022",$0.2416,$0.2501,$0.2416,$0.2447,"$13,918,704","$13,918,704"
"Aug 30, 2022",$0.2463,$0.2497,$0.2353,$0.2416,"$17,413,225","$17,413,225"
"Aug 29, 2022",$0.2337,$0.2465,$0.2313,$0.2463,"$22,669,558","$22,669,558"
"Aug 28, 2022",$0.2373,$0.2431,$0.2336,$0.2337,"$21,606,838","$21,606,838"
"Aug 27, 2022",$0.2379,$0.2416,$0.235,$0.2373,"$23,961,599","$23,961,599"
"Aug 26, 2022",$0.26,$0.2651,$0.236,$0.2378,"$37,448,831","$37,448,831"
"Aug 25, 2022",$0.255,$0.263,$0.2547,$0.26,"$22,305,823","$22,305,823"
"Aug 24, 2022",$0.2598,$0.2621,$0.2526,$0.2552,"$28,971,985","$28,971,985"
"Aug 23, 2022",$0.2526,$0.2608,$0.2474,$0.2597,"$36,034,894","$36,034,894"
"Aug 22, 2022",$0.2554,$0.2556,$0.2409,$0.2525,"$20,509,440","$20,509,440"
"Aug 21, 2022",$0.2504,$0.2583,$0.2491,$0.2553,"$17,598,872","$17,598,872"
"Aug 20, 2022",$0.2545,$0.2604,$0.2437,$0.2505,"$28,827,965","$28,827,965"
"Aug 19, 2022",$0.2706,$0.2706,$0.2424,$0.2544,"$41,805,164","$41,805,164"
"Aug 18, 2022",$0.2887,$0.2888,$0.2679,$0.2707,"$35,254,545","$35,254,545"
"Aug 17, 2022",$0.2869,$0.3402,$0.2856,$0.2884,"$140,783,712","$140,783,712"
"Aug 16, 2022",$0.2909,$0.2952,$0.2845,$0.2869,"$20,726,464","$20,726,464"
"Aug 15, 2022",$0.292,$0.3065,$0.2861,$0.2909,"$32,736,070","$32,736,070"
"Aug 14, 2022",$0.2985,$0.305,$0.2904,$0.292,"$18,673,293","$18,673,293"
"Aug 13, 2022",$0.2981,$0.3022,$0.2948,$0.2984,"$15,052,084","$15,052,084"
"Aug 12, 2022",$0.2914,$0.2985,$0.2855,$0.2982,"$24,573,134","$24,573,134"
"Aug 11, 2022",$0.287,$0.3155,$0.2865,$0.2914,"$62,265,176","$62,265,176"
"Aug 10, 2022",$0.2723,$0.287,$0.2658,$0.287,"$28,158,416","$28,158,416"
"Aug 09, 2022",$0.2882,$0.2904,$0.2692,$0.2724,"$20,330,162","$20,330,162"
"Aug 08, 2022",$0.289,$0.2959,$0.2867,$0.2881,"$18,398,156","$18,398,156"
"Aug 07, 2022",$0.2873,$0.2926,$0.2825,$0.289,"$15,496,009","$15,496,009"
"Aug 06, 2022",$0.2912,$0.2923,$0.287,$0.2873,"$24,379,862","$24,379,862"
"Aug 05, 2022",$0.2754,$0.3263,$0.275,$0.2912,"$107,159,611","$107,159,611"
"Aug 04, 2022",$0.27,$0.2788,$0.269,$0.2755,"$22,336,080","$22,336,080"
"Aug 03, 2022",$0.2672,$0.279,$0.2605,$0.2699,"$22,795,240","$22,795,240"
"Aug 02, 2022",$0.2834,$0.2845,$0.262,$0.2673,"$26,791,035","$26,791,035"
