Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.02275,$0.02286,$0.0222,$0.02242,"$463,192","$463,192"
"Sep 25, 2022",$0.02321,$0.02361,$0.02266,$0.02273,"$410,234","$410,234"
"Sep 24, 2022",$0.02376,$0.02395,$0.02311,$0.0232,"$411,037","$411,037"
"Sep 23, 2022",$0.02429,$0.02468,$0.02374,$0.02375,"$485,371","$485,371"
"Sep 22, 2022",$0.02218,$0.0243,$0.02205,$0.0243,"$624,677","$624,677"
"Sep 21, 2022",$0.02278,$0.0229,$0.02205,$0.0222,"$445,732","$445,732"
"Sep 20, 2022",$0.02432,$0.02454,$0.02274,$0.02279,"$514,569","$514,569"
"Sep 19, 2022",$0.02564,$0.02589,$0.02363,$0.0243,"$507,587","$507,587"
"Sep 18, 2022",$0.02716,$0.02732,$0.02559,$0.02564,"$458,616","$458,616"
"Sep 17, 2022",$0.02738,$0.0277,$0.02704,$0.02716,"$467,613","$467,613"
"Sep 16, 2022",$0.0271,$0.02827,$0.02695,$0.02738,"$552,166","$552,166"
"Sep 15, 2022",$0.02698,$0.02752,$0.02631,$0.02713,"$587,447","$587,447"
"Sep 14, 2022",$0.02894,$0.02898,$0.02677,$0.02699,"$539,700","$539,700"
"Sep 13, 2022",$0.0297,$0.03042,$0.02869,$0.02888,"$618,519","$618,519"
"Sep 12, 2022",$0.02786,$0.03026,$0.02782,$0.02971,"$655,434","$655,434"
"Sep 11, 2022",$0.02775,$0.02845,$0.02752,$0.02787,"$657,663","$657,663"
"Sep 10, 2022",$0.02855,$0.02865,$0.02769,$0.02775,"$554,665","$554,665"
"Sep 09, 2022",$0.0277,$0.02878,$0.02751,$0.02855,"$641,961","$641,961"
"Sep 08, 2022",$0.02839,$0.02877,$0.02767,$0.0277,"$596,360","$596,360"
"Sep 07, 2022",$0.02583,$0.02842,$0.0256,$0.02838,"$628,493","$628,493"
"Sep 06, 2022",$0.02828,$0.02858,$0.02582,$0.02584,"$765,768","$765,768"
"Sep 05, 2022",$0.02885,$0.02912,$0.0279,$0.02827,"$684,605","$684,605"
"Sep 04, 2022",$0.02885,$0.02899,$0.02863,$0.02885,"$573,771","$573,771"
"Sep 03, 2022",$0.03001,$0.03007,$0.02844,$0.02885,"$652,205","$652,205"
"Sep 02, 2022",$0.0311,$0.03144,$0.02944,$0.03001,"$550,230","$550,230"
"Sep 01, 2022",$0.03156,$0.03209,$0.03093,$0.0311,"$392,653","$392,653"
"Aug 31, 2022",$0.03206,$0.03246,$0.03153,$0.03158,"$383,824","$383,824"
"Aug 30, 2022",$0.0328,$0.03305,$0.03189,$0.03205,"$316,902","$316,902"
"Aug 29, 2022",$0.03288,$0.03308,$0.03222,$0.03281,"$328,552","$328,552"
"Aug 28, 2022",$0.0334,$0.03372,$0.03288,$0.03288,"$333,116","$333,116"
"Aug 27, 2022",$0.0338,$0.03409,$0.03331,$0.03339,"$312,901","$312,901"
"Aug 26, 2022",$0.03433,$0.03488,$0.03371,$0.03378,"$741,022","$741,022"
"Aug 25, 2022",$0.03422,$0.03465,$0.03384,$0.0343,"$711,231","$711,231"
"Aug 24, 2022",$0.03391,$0.0343,$0.03364,$0.03423,"$676,209","$676,209"
"Aug 23, 2022",$0.03358,$0.0343,$0.03358,$0.03391,"$704,553","$704,553"
"Aug 22, 2022",$0.03415,$0.03448,$0.03311,$0.03357,"$715,821","$715,821"
"Aug 21, 2022",$0.03398,$0.0344,$0.0339,$0.03415,"$610,503","$610,503"
"Aug 20, 2022",$0.03351,$0.03502,$0.03351,$0.03397,"$611,901","$611,901"
