Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$1.13,$1.14,$1.07,$1.11,"$155,760,630","$155,760,630"
"Sep 15, 2022",$1.21,$1.27,$1.12,$1.13,"$281,315,520","$281,315,520"
"Sep 14, 2022",$1.18,$1.23,$1.14,$1.21,"$193,855,885","$193,855,885"
"Sep 13, 2022",$1.26,$1.33,$1.17,$1.20,"$268,245,797","$268,245,797"
"Sep 12, 2022",$1.40,$1.42,$1.26,$1.26,"$225,589,618","$225,589,618"
"Sep 11, 2022",$1.39,$1.44,$1.34,$1.40,"$226,639,340","$226,639,340"
"Sep 10, 2022",$1.41,$1.47,$1.34,$1.39,"$285,553,037","$285,553,037"
"Sep 09, 2022",$1.18,$1.46,$1.18,$1.41,"$393,049,740","$393,049,740"
"Sep 08, 2022",$1.17,$1.20,$1.12,$1.18,"$164,096,843","$164,096,843"
"Sep 07, 2022",$1.10,$1.18,$1.07,$1.17,"$162,741,953","$162,741,953"
"Sep 06, 2022",$1.20,$1.26,$1.10,$1.10,"$281,731,282","$281,731,282"
"Sep 05, 2022",$1.17,$1.20,$1.11,$1.20,"$135,601,777","$135,601,777"
"Sep 04, 2022",$1.19,$1.22,$1.14,$1.17,"$120,942,358","$120,942,358"
"Sep 03, 2022",$1.23,$1.24,$1.17,$1.19,"$124,263,803","$124,263,803"
"Sep 02, 2022",$1.18,$1.29,$1.15,$1.23,"$278,674,855","$278,674,855"
"Sep 01, 2022",$1.13,$1.19,$1.08,$1.18,"$180,391,657","$180,391,657"
"Aug 31, 2022",$1.08,$1.21,$1.08,$1.13,"$208,235,393","$208,235,393"
"Aug 30, 2022",$1.18,$1.19,$1.06,$1.08,"$212,876,151","$212,876,151"
"Aug 29, 2022",$1.05,$1.19,$1.03,$1.18,"$252,548,810","$252,548,810"
"Aug 28, 2022",$1.02,$1.08,$1.01,$1.05,"$144,633,519","$144,633,519"
"Aug 27, 2022",$1.02,$1.05,$0.9943,$1.03,"$141,893,356","$141,893,356"
"Aug 26, 2022",$1.18,$1.18,$1.01,$1.02,"$190,066,671","$190,066,671"
"Aug 25, 2022",$1.23,$1.28,$1.17,$1.18,"$146,736,731","$146,736,731"
"Aug 24, 2022",$1.33,$1.33,$1.23,$1.23,"$215,517,657","$215,517,657"
"Aug 23, 2022",$1.17,$1.35,$1.12,$1.33,"$319,181,944","$319,181,944"
"Aug 22, 2022",$1.18,$1.20,$1.10,$1.17,"$174,785,769","$174,785,769"
"Aug 21, 2022",$1.13,$1.22,$1.12,$1.18,"$167,617,589","$167,617,589"
"Aug 20, 2022",$1.22,$1.29,$1.10,$1.13,"$259,824,303","$259,824,303"
"Aug 19, 2022",$1.20,$1.27,$1.12,$1.22,"$382,628,113","$382,628,113"
"Aug 18, 2022",$1.32,$1.37,$1.19,$1.20,"$160,408,816","$160,408,816"
"Aug 17, 2022",$1.45,$1.49,$1.27,$1.32,"$211,104,615","$211,104,615"
"Aug 16, 2022",$1.57,$1.60,$1.42,$1.45,"$211,295,372","$211,295,372"
"Aug 15, 2022",$1.44,$1.57,$1.39,$1.56,"$294,622,622","$294,622,622"
"Aug 14, 2022",$1.54,$1.58,$1.39,$1.44,"$193,445,025","$193,445,025"
"Aug 13, 2022",$1.65,$1.70,$1.53,$1.54,"$195,139,518","$195,139,518"
"Aug 12, 2022",$1.56,$1.65,$1.54,$1.65,"$243,057,948","$243,057,948"
"Aug 11, 2022",$1.57,$1.71,$1.50,$1.56,"$341,419,144","$341,419,144"
"Aug 10, 2022",$1.62,$1.83,$1.55,$1.57,"$423,873,859","$423,873,859"
"Aug 09, 2022",$1.90,$1.92,$1.62,$1.62,"$311,452,621","$311,452,621"
"Aug 08, 2022",$1.91,$2.05,$1.86,$1.89,"$273,536,871","$273,536,871"
"Aug 07, 2022",$1.91,$1.99,$1.90,$1.91,"$195,864,858","$195,864,858"
"Aug 06, 2022",$1.94,$2.05,$1.87,$1.92,"$295,507,016","$295,507,016"
"Aug 05, 2022",$1.91,$2.07,$1.80,$1.94,"$468,189,462","$468,189,462"
"Aug 04, 2022",$1.99,$2.22,$1.83,$1.91,"$632,686,734","$632,686,734"
"Aug 03, 2022",$1.62,$2.14,$1.54,$1.99,"$693,619,579","$693,619,579"
"Aug 02, 2022",$1.52,$1.66,$1.37,$1.61,"$392,474,731","$392,474,731"
"Aug 01, 2022",$1.59,$1.68,$1.43,$1.52,"$270,305,650","$270,305,650"
"Jul 31, 2022",$1.79,$1.80,$1.58,$1.59,"$281,601,943","$281,601,943"
"Jul 30, 2022",$1.84,$1.88,$1.65,$1.79,"$500,438,144","$500,438,144"
"Jul 29, 2022",$1.45,$1.91,$1.42,$1.85,"$986,132,202","$986,132,202"
"Jul 28, 2022",$1.05,$1.51,$1.03,$1.45,"$643,624,055","$643,624,055"
"Jul 27, 2022",$0.8219,$1.07,$0.8094,$1.05,"$252,881,906","$252,881,906"
"Jul 26, 2022",$0.7971,$0.8219,$0.75,$0.8219,"$128,878,144","$128,878,144"
"Jul 25, 2022",$0.9215,$0.9215,$0.797,$0.797,"$150,477,635","$150,477,635"
"Jul 24, 2022",$0.9358,$0.9699,$0.8961,$0.9211,"$176,804,029","$176,804,029"
"Jul 23, 2022",$0.8286,$0.9569,$0.8141,$0.9344,"$261,397,583","$261,397,583"
"Jul 22, 2022",$0.7734,$0.8737,$0.7338,$0.826,"$223,030,623","$223,030,623"
"Jul 21, 2022",$0.6846,$0.7863,$0.6532,$0.7725,"$153,724,348","$153,724,348"
"Jul 20, 2022",$0.7222,$0.8316,$0.68,$0.6847,"$213,509,813","$213,509,813"
"Jul 19, 2022",$0.823,$0.823,$0.7045,$0.7224,"$195,372,260","$195,372,260"
"Jul 18, 2022",$0.5795,$0.8251,$0.5659,$0.8245,"$354,671,911","$354,671,911"
"Jul 17, 2022",$0.5205,$0.6128,$0.5154,$0.5793,"$139,693,966","$139,693,966"
"Jul 16, 2022",$0.483,$0.5305,$0.472,$0.5204,"$46,313,788","$46,313,788"
"Jul 15, 2022",$0.4914,$0.5111,$0.4783,$0.4831,"$48,015,657","$48,015,657"
"Jul 14, 2022",$0.4717,$0.5018,$0.4425,$0.4914,"$46,990,147","$46,990,147"
"Jul 13, 2022",$0.4505,$0.4711,$0.4147,$0.4706,"$48,140,093","$48,140,093"
"Jul 12, 2022",$0.4818,$0.4898,$0.4467,$0.4506,"$35,842,851","$35,842,851"
"Jul 11, 2022",$0.5338,$0.5346,$0.4761,$0.4819,"$30,488,421","$30,488,421"
"Jul 10, 2022",$0.5744,$0.5744,$0.5261,$0.5339,"$30,622,607","$30,622,607"
"Jul 09, 2022",$0.5681,$0.5842,$0.5582,$0.5747,"$33,273,609","$33,273,609"
"Jul 08, 2022",$0.5763,$0.6209,$0.5593,$0.5687,"$57,656,545","$57,656,545"
"Jul 07, 2022",$0.5424,$0.5872,$0.5424,$0.5762,"$50,825,107","$50,825,107"
"Jul 06, 2022",$0.5247,$0.5527,$0.5184,$0.5421,"$34,084,146","$34,084,146"
"Jul 05, 2022",$0.5614,$0.5651,$0.516,$0.5244,"$39,910,755","$39,910,755"
"Jul 04, 2022",$0.5207,$0.5684,$0.5148,$0.5614,"$35,452,857","$35,452,857"
"Jul 03, 2022",$0.5255,$0.5333,$0.5119,$0.5207,"$22,068,114","$22,068,114"
"Jul 02, 2022",$0.5284,$0.5465,$0.5123,$0.5255,"$29,698,910","$29,698,910"
"Jul 01, 2022",$0.5439,$0.5708,$0.5189,$0.5279,"$44,177,893","$44,177,893"
"Jun 30, 2022",$0.5808,$0.6055,$0.5105,$0.5434,"$63,890,832","$63,890,832"
"Jun 29, 2022",$0.5295,$0.6107,$0.5227,$0.5807,"$99,720,860","$99,720,860"
"Jun 28, 2022",$0.5362,$0.5633,$0.5081,$0.5294,"$68,945,121","$68,945,121"
"Jun 27, 2022",$0.538,$0.5809,$0.5186,$0.5364,"$50,550,424","$50,550,424"
"Jun 26, 2022",$0.5825,$0.6326,$0.5367,$0.5372,"$88,363,510","$88,363,510"
"Jun 25, 2022",$0.5882,$0.6469,$0.5535,$0.5826,"$111,669,737","$111,669,737"
"Jun 24, 2022",$0.5241,$0.6362,$0.5123,$0.588,"$115,970,123","$115,970,123"
"Jun 23, 2022",$0.4612,$0.5297,$0.4612,$0.5249,"$49,094,801","$49,094,801"
"Jun 22, 2022",$0.5116,$0.5137,$0.4594,$0.461,"$50,826,853","$50,826,853"
"Jun 21, 2022",$0.5033,$0.5684,$0.4925,$0.5111,"$72,080,094","$72,080,094"
"Jun 20, 2022",$0.5078,$0.5434,$0.4713,$0.5036,"$66,742,196","$66,742,196"
"Jun 19, 2022",$0.4496,$0.5249,$0.4367,$0.5079,"$58,129,880","$58,129,880"
"Jun 18, 2022",$0.5184,$0.5257,$0.4005,$0.4495,"$80,869,407","$80,869,407"
