Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.1388,$0.1406,$0.1308,$0.1311,"$1,504,519","$1,504,519"
"Sep 17, 2022",$0.137,$0.1417,$0.1368,$0.1387,"$1,262,541","$1,262,541"
"Sep 16, 2022",$0.1319,$0.1456,$0.1311,$0.1369,"$1,508,888","$1,508,888"
"Sep 15, 2022",$0.1411,$0.1458,$0.1297,$0.1319,"$1,471,506","$1,471,506"
"Sep 14, 2022",$0.148,$0.154,$0.1382,$0.1411,"$1,586,868","$1,586,868"
"Sep 13, 2022",$0.1526,$0.1541,$0.145,$0.1476,"$1,724,837","$1,724,837"
"Sep 12, 2022",$0.1569,$0.1576,$0.1515,$0.1526,"$1,535,336","$1,535,336"
"Sep 11, 2022",$0.157,$0.1599,$0.1532,$0.1568,"$1,739,450","$1,739,450"
"Sep 10, 2022",$0.1576,$0.1592,$0.1518,$0.157,"$7,509,532","$7,509,532"
"Sep 09, 2022",$0.151,$0.1597,$0.146,$0.1576,"$7,215,241","$7,215,241"
"Sep 08, 2022",$0.1423,$0.1522,$0.1417,$0.1509,"$1,515,048","$1,515,048"
"Sep 07, 2022",$0.1423,$0.1443,$0.1394,$0.1423,"$1,411,714","$1,411,714"
"Sep 06, 2022",$0.1457,$0.1544,$0.1424,$0.1426,"$1,833,369","$1,833,369"
"Sep 05, 2022",$0.1436,$0.1491,$0.1396,$0.1458,"$1,704,354","$1,704,354"
"Sep 04, 2022",$0.1402,$0.1447,$0.14,$0.1437,"$1,367,228","$1,367,228"
"Sep 03, 2022",$0.1474,$0.149,$0.14,$0.14,"$1,328,571","$1,328,571"
"Sep 02, 2022",$0.1436,$0.1519,$0.142,$0.1474,"$1,620,966","$1,620,966"
"Sep 01, 2022",$0.1502,$0.1513,$0.1417,$0.1433,"$2,893,736","$2,893,736"
"Aug 31, 2022",$0.1521,$0.1624,$0.1501,$0.1503,"$918,394","$918,394"
"Aug 30, 2022",$0.1613,$0.1617,$0.1506,$0.1521,"$897,424","$897,424"
"Aug 29, 2022",$0.1574,$0.1616,$0.1509,$0.1613,"$740,180","$740,180"
"Aug 28, 2022",$0.16,$0.1641,$0.1574,$0.1574,"$473,749","$473,749"
"Aug 27, 2022",$0.1619,$0.1634,$0.1558,$0.16,"$630,172","$630,172"
"Aug 26, 2022",$0.1797,$0.1808,$0.1608,$0.1618,"$1,188,127","$1,188,127"
"Aug 25, 2022",$0.1759,$0.1807,$0.1759,$0.1799,"$691,885","$691,885"
"Aug 24, 2022",$0.1805,$0.199,$0.1734,$0.1755,"$3,913,346","$3,913,346"
"Aug 23, 2022",$0.1714,$0.1812,$0.1634,$0.1812,"$2,003,263","$2,003,263"
"Aug 22, 2022",$0.203,$0.2066,$0.1669,$0.1724,"$5,744,703","$5,744,703"
"Aug 21, 2022",$0.1671,$0.2029,$0.1617,$0.2029,"$3,749,820","$3,749,820"
"Aug 20, 2022",$0.1378,$0.2174,$0.1375,$0.1672,"$11,521,482","$11,521,482"
"Aug 19, 2022",$0.1545,$0.1545,$0.133,$0.1381,"$1,141,250","$1,141,250"
"Aug 18, 2022",$0.1546,$0.1592,$0.154,$0.1545,"$438,412","$438,412"
"Aug 17, 2022",$0.1671,$0.1705,$0.1533,$0.1546,"$781,478","$781,478"
"Aug 16, 2022",$0.1757,$0.1757,$0.1652,$0.1671,"$533,805","$533,805"
"Aug 15, 2022",$0.179,$0.1824,$0.1734,$0.1757,"$601,652","$601,652"
"Aug 14, 2022",$0.1829,$0.1864,$0.1777,$0.179,"$624,366","$624,366"
"Aug 13, 2022",$0.1855,$0.1943,$0.1815,$0.1829,"$1,336,840","$1,336,840"
"Aug 12, 2022",$0.1641,$0.196,$0.1622,$0.1852,"$3,009,958","$3,009,958"
"Aug 11, 2022",$0.1528,$0.1839,$0.1528,$0.1641,"$3,372,299","$3,372,299"
"Aug 10, 2022",$0.1411,$0.1542,$0.1403,$0.1538,"$863,265","$863,265"
"Aug 09, 2022",$0.1453,$0.1464,$0.1395,$0.1409,"$783,621","$783,621"
"Aug 08, 2022",$0.1394,$0.1479,$0.1382,$0.1452,"$636,460","$636,460"
"Aug 07, 2022",$0.142,$0.1428,$0.1369,$0.1394,"$735,174","$735,174"
"Aug 06, 2022",$0.1399,$0.1449,$0.1398,$0.142,"$598,861","$598,861"
"Aug 05, 2022",$0.1371,$0.1438,$0.1359,$0.1398,"$444,940","$444,940"
"Aug 04, 2022",$0.1332,$0.1403,$0.1327,$0.1371,"$514,533","$514,533"
"Aug 03, 2022",$0.1302,$0.135,$0.1261,$0.1332,"$496,215","$496,215"
"Aug 02, 2022",$0.1326,$0.133,$0.127,$0.1303,"$644,338","$644,338"
"Aug 01, 2022",$0.1361,$0.1367,$0.1315,$0.1322,"$719,271","$719,271"
"Jul 31, 2022",$0.1391,$0.1419,$0.1357,$0.1362,"$737,175","$737,175"
"Jul 30, 2022",$0.1382,$0.1446,$0.1354,$0.1391,"$1,088,926","$1,088,926"
"Jul 29, 2022",$0.1249,$0.1466,$0.1246,$0.1382,"$2,564,636","$2,564,636"
"Jul 28, 2022",$0.1212,$0.1257,$0.119,$0.1249,"$838,492","$838,492"
"Jul 27, 2022",$0.1135,$0.1249,$0.1113,$0.121,"$522,501","$522,501"
"Jul 26, 2022",$0.1191,$0.1191,$0.111,$0.1135,"$649,077","$649,077"
"Jul 25, 2022",$0.1235,$0.1243,$0.118,$0.1191,"$644,003","$644,003"
"Jul 24, 2022",$0.1201,$0.1243,$0.1198,$0.1234,"$462,295","$462,295"
"Jul 23, 2022",$0.1216,$0.1235,$0.1187,$0.1199,"$609,776","$609,776"
"Jul 22, 2022",$0.1262,$0.1271,$0.1212,$0.1216,"$705,396","$705,396"
"Jul 21, 2022",$0.1242,$0.1267,$0.1202,$0.1262,"$718,455","$718,455"
