Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.03556,$0.03648,$0.03555,$0.03642,"$986,688","$986,688"
"Sep 16, 2022",$0.03566,$0.03583,$0.03536,$0.03566,"$1,519,970","$1,519,970"
"Sep 15, 2022",$0.03664,$0.03668,$0.0356,$0.03565,"$1,895,538","$1,895,538"
"Sep 14, 2022",$0.03651,$0.03682,$0.03621,$0.03664,"$1,719,894","$1,719,894"
"Sep 13, 2022",$0.03988,$0.03999,$0.03641,$0.03651,"$2,646,472","$2,646,472"
"Sep 12, 2022",$0.03988,$0.04047,$0.03932,$0.03988,"$4,080,142","$4,080,142"
"Sep 11, 2022",$0.03955,$0.03993,$0.03914,$0.03988,"$2,622,059","$2,622,059"
"Sep 10, 2022",$0.03893,$0.04089,$0.03876,$0.03956,"$11,477,618","$11,477,618"
"Sep 09, 2022",$0.03768,$0.03914,$0.03756,$0.03893,"$3,251,759","$3,251,759"
"Sep 08, 2022",$0.03664,$0.03794,$0.03651,$0.03768,"$2,742,395","$2,742,395"
"Sep 07, 2022",$0.0359,$0.03683,$0.03521,$0.03664,"$1,561,334","$1,561,334"
"Sep 06, 2022",$0.03771,$0.03828,$0.03583,$0.0359,"$1,693,480","$1,693,480"
"Sep 05, 2022",$0.03801,$0.03804,$0.0372,$0.03771,"$1,198,048","$1,198,048"
"Sep 04, 2022",$0.03805,$0.03812,$0.03759,$0.03801,"$1,070,522","$1,070,522"
"Sep 03, 2022",$0.03827,$0.03845,$0.03767,$0.03796,"$929,304","$929,304"
"Sep 02, 2022",$0.03871,$0.03887,$0.03802,$0.03827,"$1,214,989","$1,214,989"
"Sep 01, 2022",$0.03875,$0.03882,$0.03772,$0.03872,"$1,767,119","$1,767,119"
"Aug 31, 2022",$0.03842,$0.03961,$0.03827,$0.03875,"$2,933,321","$2,933,321"
"Aug 30, 2022",$0.03856,$0.04086,$0.03802,$0.03841,"$9,914,491","$9,914,491"
"Aug 29, 2022",$0.03775,$0.03864,$0.03737,$0.03857,"$2,026,377","$2,026,377"
"Aug 28, 2022",$0.03852,$0.0386,$0.03773,$0.03774,"$1,303,268","$1,303,268"
"Aug 27, 2022",$0.03817,$0.04059,$0.03793,$0.03847,"$7,014,189","$7,014,189"
"Aug 26, 2022",$0.04042,$0.04075,$0.03806,$0.03816,"$2,268,994","$2,268,994"
"Aug 25, 2022",$0.03987,$0.04078,$0.03967,$0.04043,"$2,493,675","$2,493,675"
"Aug 24, 2022",$0.03978,$0.04009,$0.03919,$0.03988,"$1,994,426","$1,994,426"
"Aug 23, 2022",$0.03972,$0.03999,$0.03881,$0.03978,"$1,380,705","$1,380,705"
"Aug 22, 2022",$0.04026,$0.04026,$0.0386,$0.03968,"$1,102,880","$1,102,880"
"Aug 21, 2022",$0.03953,$0.04029,$0.03937,$0.04026,"$775,532","$775,532"
"Aug 20, 2022",$0.03978,$0.04074,$0.03918,$0.03955,"$1,352,839","$1,352,839"
"Aug 19, 2022",$0.04526,$0.04527,$0.03977,$0.03978,"$2,830,301","$2,830,301"
"Aug 18, 2022",$0.04551,$0.04608,$0.04523,$0.04527,"$1,577,413","$1,577,413"
"Aug 17, 2022",$0.04681,$0.04765,$0.04535,$0.04551,"$1,771,618","$1,771,618"
"Aug 16, 2022",$0.04835,$0.04853,$0.04662,$0.0468,"$4,144,671","$4,144,671"
"Aug 15, 2022",$0.04909,$0.04968,$0.04815,$0.04835,"$2,592,044","$2,592,044"
"Aug 14, 2022",$0.0494,$0.05056,$0.04869,$0.04916,"$9,977,426","$9,977,426"
"Aug 13, 2022",$0.04962,$0.04998,$0.04927,$0.0494,"$2,016,014","$2,016,014"
"Aug 12, 2022",$0.04791,$0.04964,$0.04778,$0.04962,"$4,569,006","$4,569,006"
"Aug 11, 2022",$0.0467,$0.04888,$0.04665,$0.04792,"$7,622,458","$7,622,458"
"Aug 10, 2022",$0.04498,$0.04674,$0.04425,$0.04669,"$3,737,363","$3,737,363"
"Aug 09, 2022",$0.04658,$0.04661,$0.04467,$0.04498,"$1,888,503","$1,888,503"
"Aug 08, 2022",$0.04609,$0.04702,$0.04597,$0.04658,"$1,625,216","$1,625,216"
"Aug 07, 2022",$0.0463,$0.04642,$0.04579,$0.04609,"$1,944,187","$1,944,187"
"Aug 06, 2022",$0.04509,$0.04667,$0.04509,$0.04629,"$5,100,761","$5,100,761"
"Aug 05, 2022",$0.04379,$0.04511,$0.04368,$0.04508,"$1,961,328","$1,961,328"
"Aug 04, 2022",$0.04345,$0.04393,$0.04327,$0.04379,"$1,531,880","$1,531,880"
"Aug 03, 2022",$0.04413,$0.04435,$0.04328,$0.04345,"$1,710,108","$1,710,108"
"Aug 02, 2022",$0.04618,$0.04791,$0.04354,$0.04412,"$6,410,762","$6,410,762"
"Aug 01, 2022",$0.04389,$0.04639,$0.04383,$0.0462,"$8,200,606","$8,200,606"
"Jul 31, 2022",$0.04322,$0.04482,$0.04313,$0.04391,"$4,884,273","$4,884,273"
"Jul 30, 2022",$0.04355,$0.04435,$0.04304,$0.04321,"$2,181,011","$2,181,011"
"Jul 29, 2022",$0.04304,$0.04389,$0.04267,$0.04354,"$3,083,263","$3,083,263"
"Jul 28, 2022",$0.04137,$0.04337,$0.04102,$0.04305,"$6,971,024","$6,971,024"
"Jul 27, 2022",$0.0396,$0.04143,$0.03937,$0.04135,"$1,517,242","$1,517,242"
"Jul 26, 2022",$0.04016,$0.04023,$0.03888,$0.0396,"$1,200,713","$1,200,713"
"Jul 25, 2022",$0.0424,$0.04241,$0.04018,$0.04018,"$1,571,609","$1,571,609"
"Jul 24, 2022",$0.04234,$0.04284,$0.04224,$0.04231,"$1,077,826","$1,077,826"
"Jul 23, 2022",$0.04222,$0.04274,$0.04174,$0.04235,"$1,326,522","$1,326,522"
"Jul 22, 2022",$0.0429,$0.04321,$0.04201,$0.04223,"$1,781,582","$1,781,582"
"Jul 21, 2022",$0.04283,$0.04296,$0.04183,$0.04283,"$2,021,513","$2,021,513"
"Jul 20, 2022",$0.04368,$0.04452,$0.04256,$0.04282,"$4,061,698","$4,061,698"
"Jul 19, 2022",$0.04267,$0.04389,$0.04193,$0.04367,"$5,937,586","$5,937,586"
"Jul 18, 2022",$0.04089,$0.04273,$0.04081,$0.04272,"$3,154,470","$3,154,470"
"Jul 17, 2022",$0.0415,$0.04189,$0.04067,$0.04089,"$2,440,193","$2,440,193"
"Jul 16, 2022",$0.04083,$0.04155,$0.04024,$0.0415,"$2,101,205","$2,101,205"
"Jul 15, 2022",$0.04029,$0.04172,$0.03995,$0.04084,"$6,994,958","$6,994,958"
"Jul 14, 2022",$0.04031,$0.04048,$0.03875,$0.04029,"$3,272,932","$3,272,932"
"Jul 13, 2022",$0.04007,$0.0408,$0.03847,$0.04029,"$6,258,154","$6,258,154"
"Jul 12, 2022",$0.03932,$0.04304,$0.03927,$0.03996,"$33,186,213","$33,186,213"
"Jul 11, 2022",$0.04185,$0.04186,$0.03929,$0.03933,"$2,492,878","$2,492,878"
"Jul 10, 2022",$0.0426,$0.04284,$0.04164,$0.04185,"$3,631,746","$3,631,746"
"Jul 09, 2022",$0.04219,$0.04311,$0.04174,$0.04259,"$2,160,120","$2,160,120"
"Jul 08, 2022",$0.04221,$0.04303,$0.0416,$0.0422,"$3,564,810","$3,564,810"
"Jul 07, 2022",$0.04137,$0.04238,$0.04113,$0.04228,"$3,956,673","$3,956,673"
"Jul 06, 2022",$0.0413,$0.04143,$0.04075,$0.04136,"$1,209,928","$1,209,928"
"Jul 05, 2022",$0.04223,$0.04231,$0.0407,$0.04132,"$1,784,329","$1,784,329"
"Jul 04, 2022",$0.04246,$0.04246,$0.04128,$0.04224,"$3,758,494","$3,758,494"
"Jul 03, 2022",$0.04088,$0.04291,$0.04086,$0.04247,"$24,946,504","$24,946,504"
"Jul 02, 2022",$0.03964,$0.04287,$0.03922,$0.04088,"$8,044,189","$8,044,189"
"Jul 01, 2022",$0.0397,$0.04027,$0.03887,$0.03964,"$1,468,175","$1,468,175"
"Jun 30, 2022",$0.04158,$0.0417,$0.03821,$0.03971,"$2,977,129","$2,977,129"
"Jun 29, 2022",$0.04309,$0.04309,$0.0411,$0.04156,"$2,013,525","$2,013,525"
"Jun 28, 2022",$0.04328,$0.04491,$0.04242,$0.04273,"$4,656,961","$4,656,961"
"Jun 27, 2022",$0.04262,$0.04351,$0.04261,$0.04328,"$3,079,473","$3,079,473"
"Jun 26, 2022",$0.04354,$0.04375,$0.04261,$0.04264,"$1,833,041","$1,833,041"
"Jun 25, 2022",$0.04347,$0.04399,$0.04249,$0.04352,"$1,273,847","$1,273,847"
"Jun 24, 2022",$0.04253,$0.04355,$0.04219,$0.04349,"$2,274,915","$2,274,915"
"Jun 23, 2022",$0.04119,$0.04258,$0.04119,$0.04253,"$1,390,645","$1,390,645"
"Jun 22, 2022",$0.04276,$0.04281,$0.04076,$0.04119,"$1,891,626","$1,891,626"
"Jun 21, 2022",$0.04068,$0.0436,$0.04062,$0.04251,"$6,525,578","$6,525,578"
"Jun 20, 2022",$0.04037,$0.04218,$0.03901,$0.04064,"$10,833,164","$10,833,164"
"Jun 19, 2022",$0.03844,$0.04061,$0.03662,$0.04038,"$2,241,296","$2,241,296"
"Jun 18, 2022",$0.04027,$0.04151,$0.03625,$0.03845,"$4,502,121","$4,502,121"
"Jun 17, 2022",$0.03883,$0.04067,$0.03877,$0.04028,"$2,457,682","$2,457,682"
"Jun 16, 2022",$0.04084,$0.04181,$0.03859,$0.03882,"$3,793,043","$3,793,043"
"Jun 15, 2022",$0.03922,$0.04102,$0.03606,$0.04084,"$3,143,216","$3,143,216"
"Jun 14, 2022",$0.03787,$0.04024,$0.03561,$0.03921,"$4,629,295","$4,629,295"
"Jun 13, 2022",$0.04408,$0.04408,$0.03763,$0.03787,"$3,158,441","$3,158,441"
"Jun 12, 2022",$0.04752,$0.04794,$0.04407,$0.0441,"$3,073,573","$3,073,573"
"Jun 11, 2022",$0.04967,$0.05036,$0.04722,$0.04751,"$1,889,639","$1,889,639"
"Jun 10, 2022",$0.05308,$0.05311,$0.04964,$0.04968,"$2,965,670","$2,965,670"
"Jun 09, 2022",$0.05301,$0.05392,$0.05288,$0.05307,"$3,643,866","$3,643,866"
"Jun 08, 2022",$0.05393,$0.05393,$0.05248,$0.05301,"$3,377,018","$3,377,018"
"Jun 07, 2022",$0.05262,$0.05542,$0.05115,$0.05393,"$28,058,912","$28,058,912"
"Jun 06, 2022",$0.05207,$0.05391,$0.05195,$0.05262,"$3,525,944","$3,525,944"
"Jun 05, 2022",$0.05363,$0.0537,$0.05148,$0.05208,"$6,263,906","$6,263,906"
"Jun 04, 2022",$0.05091,$0.05862,$0.05087,$0.05361,"$34,049,509","$34,049,509"
"Jun 03, 2022",$0.05161,$0.05305,$0.04999,$0.05094,"$5,832,715","$5,832,715"
"Jun 02, 2022",$0.05006,$0.05165,$0.04954,$0.05161,"$2,786,550","$2,786,550"
"Jun 01, 2022",$0.05093,$0.05594,$0.04972,$0.05007,"$16,919,219","$16,919,219"
"May 31, 2022",$0.05177,$0.05188,$0.04984,$0.05098,"$2,497,445","$2,497,445"
"May 30, 2022",$0.04801,$0.05184,$0.04801,$0.05177,"$5,757,735","$5,757,735"
"May 29, 2022",$0.04756,$0.04915,$0.04706,$0.048,"$6,517,420","$6,517,420"
"May 28, 2022",$0.04726,$0.04787,$0.04685,$0.04756,"$1,013,873","$1,013,873"
"May 27, 2022",$0.04798,$0.04805,$0.04653,$0.04694,"$1,793,953","$1,793,953"
"May 26, 2022",$0.04834,$0.04986,$0.04656,$0.04801,"$8,121,719","$8,121,719"
"May 25, 2022",$0.04848,$0.0492,$0.04749,$0.04834,"$2,162,033","$2,162,033"
"May 24, 2022",$0.0473,$0.04871,$0.04633,$0.04849,"$2,524,138","$2,524,138"
"May 23, 2022",$0.049,$0.05052,$0.04686,$0.04729,"$4,096,202","$4,096,202"
"May 22, 2022",$0.04549,$0.05034,$0.04544,$0.04901,"$10,303,185","$10,303,185"
"May 21, 2022",$0.04461,$0.04558,$0.04412,$0.0455,"$988,796","$988,796"
"May 20, 2022",$0.04534,$0.04613,$0.04401,$0.04461,"$1,378,038","$1,378,038"
"May 19, 2022",$0.04368,$0.04536,$0.04288,$0.04532,"$2,741,823","$2,741,823"
"May 18, 2022",$0.04763,$0.04778,$0.04369,$0.04369,"$1,032,915","$1,032,915"
"May 17, 2022",$0.04622,$0.04767,$0.04584,$0.04763,"$1,535,597","$1,535,597"
"May 16, 2022",$0.04809,$0.04817,$0.0453,$0.04623,"$1,748,111","$1,748,111"
"May 15, 2022",$0.04642,$0.04813,$0.04505,$0.04808,"$2,282,089","$2,282,089"
"May 14, 2022",$0.04325,$0.04733,$0.04323,$0.04642,"$4,238,105","$4,238,105"
"May 13, 2022",$0.03979,$0.04551,$0.03943,$0.04326,"$3,189,900","$3,189,900"
"May 12, 2022",$0.0439,$0.04516,$0.0371,$0.0398,"$4,125,283","$4,125,283"
"May 11, 2022",$0.05336,$0.05396,$0.04271,$0.04383,"$4,689,088","$4,689,088"
"May 10, 2022",$0.05191,$0.05578,$0.05008,$0.05336,"$4,372,242","$4,372,242"
"May 09, 2022",$0.0589,$0.06067,$0.05196,$0.05196,"$6,639,825","$6,639,825"
"May 08, 2022",$0.06132,$0.06132,$0.0587,$0.05888,"$2,129,603","$2,129,603"
"May 07, 2022",$0.0628,$0.06336,$0.06082,$0.0613,"$2,133,268","$2,133,268"
"May 06, 2022",$0.0644,$0.06469,$0.06112,$0.06279,"$3,797,039","$3,797,039"
"May 05, 2022",$0.06993,$0.07061,$0.06348,$0.06441,"$4,291,011","$4,291,011"
"May 04, 2022",$0.06574,$0.06992,$0.0655,$0.06992,"$3,931,678","$3,931,678"
"May 03, 2022",$0.06796,$0.068,$0.06536,$0.06574,"$4,493,728","$4,493,728"
"May 02, 2022",$0.06673,$0.07085,$0.06656,$0.06796,"$21,568,404","$21,568,404"
"May 01, 2022",$0.06796,$0.06824,$0.06376,$0.06672,"$5,966,328","$5,966,328"
"Apr 30, 2022",$0.07452,$0.07466,$0.0677,$0.06795,"$5,049,371","$5,049,371"
"Apr 29, 2022",$0.07846,$0.07849,$0.0745,$0.07452,"$8,778,112","$8,778,112"
"Apr 28, 2022",$0.08094,$0.08113,$0.07739,$0.07847,"$7,766,685","$7,766,685"
"Apr 27, 2022",$0.07833,$0.08227,$0.07831,$0.08094,"$18,388,395","$18,388,395"
"Apr 26, 2022",$0.07877,$0.08487,$0.07652,$0.07835,"$41,883,166","$41,883,166"
"Apr 25, 2022",$0.07549,$0.07882,$0.07222,$0.07876,"$58,826,090","$58,826,090"
"Apr 24, 2022",$0.07745,$0.07766,$0.0752,$0.07552,"$2,968,669","$2,968,669"
"Apr 23, 2022",$0.07613,$0.07799,$0.07601,$0.07742,"$4,296,523","$4,296,523"
"Apr 22, 2022",$0.07625,$0.07818,$0.07544,$0.07613,"$4,535,403","$4,535,403"
"Apr 21, 2022",$0.0757,$0.07893,$0.07569,$0.07624,"$10,180,635","$10,180,635"
"Apr 20, 2022",$0.07627,$0.07647,$0.07482,$0.0757,"$2,170,847","$2,170,847"
"Apr 19, 2022",$0.07492,$0.07627,$0.07452,$0.07627,"$2,123,046","$2,123,046"
"Apr 18, 2022",$0.07516,$0.07546,$0.07149,$0.07492,"$3,687,058","$3,687,058"
"Apr 17, 2022",$0.07713,$0.07722,$0.07471,$0.07516,"$2,687,509","$2,687,509"
"Apr 16, 2022",$0.07744,$0.07774,$0.07601,$0.07714,"$1,832,039","$1,832,039"
"Apr 15, 2022",$0.07734,$0.07776,$0.07629,$0.07744,"$2,579,195","$2,579,195"
"Apr 14, 2022",$0.07857,$0.07951,$0.07627,$0.07734,"$4,906,045","$4,906,045"
"Apr 13, 2022",$0.07673,$0.07944,$0.07663,$0.07859,"$14,064,908","$14,064,908"
"Apr 12, 2022",$0.07128,$0.07847,$0.07128,$0.07673,"$19,538,870","$19,538,870"
