Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.1983,$0.2041,$0.1831,$0.1833,"$836,946","$836,946"
"Sep 17, 2022",$0.1896,$0.198,$0.1875,$0.198,"$930,677","$930,677"
"Sep 16, 2022",$0.1915,$0.1956,$0.1849,$0.1895,"$840,064","$840,064"
"Sep 15, 2022",$0.199,$0.1996,$0.1906,$0.1909,"$884,465","$884,465"
"Sep 14, 2022",$0.1991,$0.2001,$0.1921,$0.1987,"$981,516","$981,516"
"Sep 13, 2022",$0.2088,$0.2092,$0.1927,$0.1995,"$988,699","$988,699"
"Sep 12, 2022",$0.2138,$0.2177,$0.2085,$0.2091,"$984,091","$984,091"
"Sep 11, 2022",$0.2116,$0.2176,$0.2113,$0.2136,"$800,735","$800,735"
"Sep 10, 2022",$0.2123,$0.2145,$0.2093,$0.2115,"$881,142","$881,142"
"Sep 09, 2022",$0.202,$0.2127,$0.2018,$0.2124,"$807,395","$807,395"
"Sep 08, 2022",$0.2016,$0.2034,$0.197,$0.2022,"$875,246","$875,246"
"Sep 07, 2022",$0.2013,$0.2022,$0.1952,$0.2017,"$1,045,385","$1,045,385"
"Sep 06, 2022",$0.2089,$0.2142,$0.2003,$0.201,"$981,214","$981,214"
"Sep 05, 2022",$0.205,$0.2204,$0.2035,$0.209,"$1,090,279","$1,090,279"
"Sep 04, 2022",$0.2116,$0.2132,$0.2043,$0.2049,"$988,454","$988,454"
"Sep 03, 2022",$0.2229,$0.223,$0.2072,$0.2116,"$1,052,972","$1,052,972"
"Sep 02, 2022",$0.2263,$0.2271,$0.2216,$0.2229,"$992,086","$992,086"
"Sep 01, 2022",$0.2182,$0.2301,$0.2174,$0.2263,"$1,097,111","$1,097,111"
"Aug 31, 2022",$0.2196,$0.226,$0.2174,$0.2183,"$1,052,650","$1,052,650"
"Aug 30, 2022",$0.2226,$0.2332,$0.2155,$0.2196,"$1,173,638","$1,173,638"
"Aug 29, 2022",$0.2145,$0.2226,$0.2145,$0.2223,"$1,010,146","$1,010,146"
"Aug 28, 2022",$0.2225,$0.2248,$0.2146,$0.2146,"$1,052,016","$1,052,016"
"Aug 27, 2022",$0.2254,$0.2264,$0.2214,$0.2221,"$1,000,641","$1,000,641"
"Aug 26, 2022",$0.2384,$0.2384,$0.223,$0.2252,"$1,422,621","$1,422,621"
"Aug 25, 2022",$0.226,$0.2431,$0.2258,$0.2386,"$1,376,948","$1,376,948"
"Aug 24, 2022",$0.2179,$0.2532,$0.2146,$0.2271,"$1,578,957","$1,578,957"
"Aug 23, 2022",$0.2179,$0.2201,$0.2127,$0.218,"$1,003,410","$1,003,410"
"Aug 22, 2022",$0.2313,$0.2319,$0.2124,$0.2177,"$989,227","$989,227"
"Aug 21, 2022",$0.2318,$0.2361,$0.2277,$0.2313,"$1,102,392","$1,102,392"
"Aug 20, 2022",$0.212,$0.2531,$0.2111,$0.2318,"$1,879,287","$1,879,287"
"Aug 19, 2022",$0.2333,$0.2333,$0.2119,$0.2119,"$1,064,904","$1,064,904"
"Aug 18, 2022",$0.242,$0.2437,$0.2333,$0.2333,"$995,763","$995,763"
"Aug 17, 2022",$0.2568,$0.2588,$0.2412,$0.2416,"$1,066,091","$1,066,091"
"Aug 16, 2022",$0.2578,$0.2637,$0.2543,$0.2553,"$1,158,437","$1,158,437"
"Aug 15, 2022",$0.2571,$0.2633,$0.2489,$0.2579,"$1,146,929","$1,146,929"
"Aug 14, 2022",$0.2748,$0.2751,$0.2538,$0.2572,"$1,082,116","$1,082,116"
"Aug 13, 2022",$0.2512,$0.3118,$0.2456,$0.275,"$2,107,970","$2,107,970"
"Aug 12, 2022",$0.2313,$0.2512,$0.2284,$0.2512,"$888,393","$888,393"
"Aug 11, 2022",$0.2318,$0.2365,$0.2298,$0.2315,"$789,888","$789,888"
"Aug 10, 2022",$0.2261,$0.2367,$0.2206,$0.2318,"$730,236","$730,236"
"Aug 09, 2022",$0.2302,$0.2369,$0.2173,$0.2256,"$726,418","$726,418"
"Aug 08, 2022",$0.2391,$0.2444,$0.2301,$0.2302,"$781,360","$781,360"
"Aug 07, 2022",$0.2357,$0.2416,$0.2336,$0.239,"$450,764","$450,764"
"Aug 06, 2022",$0.2422,$0.2429,$0.2355,$0.2356,"$424,248","$424,248"
"Aug 05, 2022",$0.2278,$0.2424,$0.2278,$0.242,"$556,319","$556,319"
"Aug 04, 2022",$0.2303,$0.2352,$0.2257,$0.2278,"$511,740","$511,740"
"Aug 03, 2022",$0.2305,$0.2384,$0.2279,$0.2308,"$380,017","$380,017"
"Aug 02, 2022",$0.2303,$0.2313,$0.2264,$0.2305,"$479,373","$479,373"
"Aug 01, 2022",$0.2369,$0.2398,$0.2278,$0.2305,"$459,150","$459,150"
"Jul 31, 2022",$0.2376,$0.2514,$0.2364,$0.237,"$691,153","$691,153"
"Jul 30, 2022",$0.2374,$0.2505,$0.236,$0.2379,"$535,981","$535,981"
