Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$1.05,$1.06,$1.02,$1.05,"$3,618,570","$3,618,570"
"Sep 18, 2022",$1.12,$1.14,$1.04,$1.05,"$3,709,072","$3,709,072"
"Sep 17, 2022",$1.11,$1.14,$1.11,$1.12,"$1,608,307","$1,608,307"
"Sep 16, 2022",$1.16,$1.17,$1.10,$1.11,"$2,825,861","$2,825,861"
"Sep 15, 2022",$1.12,$1.17,$1.10,$1.16,"$5,044,791","$5,044,791"
"Sep 14, 2022",$1.13,$1.14,$1.11,$1.12,"$2,949,401","$2,949,401"
"Sep 13, 2022",$1.19,$1.20,$1.12,$1.14,"$5,008,512","$5,008,512"
"Sep 12, 2022",$1.22,$1.24,$1.18,$1.19,"$2,701,588","$2,701,588"
"Sep 11, 2022",$1.22,$1.26,$1.21,$1.22,"$4,672,731","$4,672,731"
"Sep 10, 2022",$1.21,$1.22,$1.18,$1.22,"$2,659,928","$2,659,928"
"Sep 09, 2022",$1.15,$1.22,$1.15,$1.21,"$4,915,530","$4,915,530"
"Sep 08, 2022",$1.17,$1.17,$1.14,$1.15,"$2,477,501","$2,477,501"
"Sep 07, 2022",$1.12,$1.18,$1.11,$1.17,"$5,039,075","$5,039,075"
"Sep 06, 2022",$1.13,$1.20,$1.12,$1.13,"$6,620,784","$6,620,784"
"Sep 05, 2022",$1.14,$1.15,$1.12,$1.13,"$1,928,098","$1,928,098"
"Sep 04, 2022",$1.13,$1.15,$1.11,$1.14,"$2,284,408","$2,284,408"
"Sep 03, 2022",$1.14,$1.26,$1.13,$1.13,"$7,656,154","$7,656,154"
"Sep 02, 2022",$1.14,$1.17,$1.13,$1.14,"$2,490,688","$2,490,688"
"Sep 01, 2022",$1.16,$1.17,$1.11,$1.14,"$3,439,979","$3,439,979"
"Aug 31, 2022",$1.17,$1.20,$1.16,$1.16,"$2,141,386","$2,141,386"
"Aug 30, 2022",$1.19,$1.21,$1.16,$1.17,"$3,103,530","$3,103,530"
"Aug 29, 2022",$1.14,$1.20,$1.14,$1.19,"$2,853,514","$2,853,514"
"Aug 28, 2022",$1.17,$1.18,$1.14,$1.14,"$1,502,425","$1,502,425"
"Aug 27, 2022",$1.17,$1.18,$1.14,$1.17,"$2,489,847","$2,489,847"
"Aug 26, 2022",$1.28,$1.29,$1.17,$1.17,"$3,977,176","$3,977,176"
"Aug 25, 2022",$1.28,$1.30,$1.27,$1.28,"$3,707,648","$3,707,648"
"Aug 24, 2022",$1.30,$1.33,$1.25,$1.28,"$6,507,975","$6,507,975"
"Aug 23, 2022",$1.21,$1.42,$1.21,$1.31,"$17,388,110","$17,388,110"
"Aug 22, 2022",$1.24,$1.24,$1.17,$1.21,"$2,544,064","$2,544,064"
"Aug 21, 2022",$1.20,$1.25,$1.20,$1.24,"$1,659,564","$1,659,564"
"Aug 20, 2022",$1.19,$1.26,$1.19,$1.20,"$1,984,943","$1,984,943"
"Aug 19, 2022",$1.30,$1.30,$1.19,$1.19,"$3,191,242","$3,191,242"
"Aug 18, 2022",$1.36,$1.37,$1.30,$1.30,"$2,525,726","$2,525,726"
"Aug 17, 2022",$1.46,$1.49,$1.35,$1.36,"$2,767,209","$2,767,209"
"Aug 16, 2022",$1.48,$1.50,$1.45,$1.46,"$2,157,935","$2,157,935"
"Aug 15, 2022",$1.51,$1.54,$1.45,$1.48,"$2,425,841","$2,425,841"
"Aug 14, 2022",$1.57,$1.59,$1.47,$1.51,"$3,674,164","$3,674,164"
"Aug 13, 2022",$1.61,$1.73,$1.55,$1.57,"$8,173,020","$8,173,020"
"Aug 12, 2022",$1.51,$1.62,$1.49,$1.61,"$4,374,358","$4,374,358"
"Aug 11, 2022",$1.54,$1.66,$1.50,$1.51,"$6,436,249","$6,436,249"
"Aug 10, 2022",$1.43,$1.56,$1.40,$1.54,"$3,842,420","$3,842,420"
"Aug 09, 2022",$1.53,$1.56,$1.43,$1.43,"$2,788,604","$2,788,604"
"Aug 08, 2022",$1.51,$1.56,$1.51,$1.53,"$3,020,809","$3,020,809"
"Aug 07, 2022",$1.47,$1.51,$1.47,$1.51,"$2,602,343","$2,602,343"
