Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.1997,$0.2091,$0.1967,$0.2022,"$232,276","$232,276"
"Sep 21, 2022",$0.2071,$0.2117,$0.1981,$0.1996,"$564,968","$564,968"
"Sep 20, 2022",$0.2104,$0.2112,$0.2051,$0.2059,"$500,559","$500,559"
"Sep 19, 2022",$0.2022,$0.2107,$0.1992,$0.2105,"$593,988","$593,988"
"Sep 18, 2022",$0.2136,$0.2144,$0.2015,$0.2022,"$507,944","$507,944"
"Sep 17, 2022",$0.2082,$0.2145,$0.2076,$0.2138,"$541,008","$541,008"
"Sep 16, 2022",$0.2065,$0.2122,$0.205,$0.2082,"$578,442","$578,442"
"Sep 15, 2022",$0.2148,$0.2183,$0.2056,$0.2074,"$617,691","$617,691"
"Sep 14, 2022",$0.2132,$0.2157,$0.206,$0.2147,"$518,747","$518,747"
"Sep 13, 2022",$0.229,$0.232,$0.211,$0.2125,"$501,216","$501,216"
"Sep 12, 2022",$0.2237,$0.2321,$0.2214,$0.2287,"$529,807","$529,807"
"Sep 11, 2022",$0.2319,$0.2331,$0.2229,$0.2253,"$467,982","$467,982"
"Sep 10, 2022",$0.2222,$0.2343,$0.2204,$0.2319,"$511,350","$511,350"
"Sep 09, 2022",$0.2095,$0.2242,$0.2078,$0.2235,"$492,880","$492,880"
"Sep 08, 2022",$0.2083,$0.2119,$0.2062,$0.2095,"$399,179","$399,179"
"Sep 07, 2022",$0.2006,$0.2103,$0.1986,$0.2081,"$476,175","$476,175"
"Sep 06, 2022",$0.2088,$0.2133,$0.1995,$0.2012,"$432,425","$432,425"
"Sep 05, 2022",$0.2121,$0.2128,$0.2079,$0.21,"$436,017","$436,017"
"Sep 04, 2022",$0.211,$0.213,$0.2084,$0.2119,"$402,183","$402,183"
"Sep 03, 2022",$0.2112,$0.2129,$0.2081,$0.2104,"$370,319","$370,319"
"Sep 02, 2022",$0.2106,$0.2161,$0.2086,$0.2111,"$451,570","$451,570"
"Sep 01, 2022",$0.2122,$0.2146,$0.2084,$0.2106,"$445,499","$445,499"
"Aug 31, 2022",$0.2079,$0.2145,$0.2076,$0.2124,"$437,882","$437,882"
"Aug 30, 2022",$0.2122,$0.2162,$0.2065,$0.2086,"$334,350","$334,350"
"Aug 29, 2022",$0.2044,$0.2132,$0.2028,$0.2125,"$334,852","$334,852"
"Aug 28, 2022",$0.2078,$0.21,$0.2048,$0.2048,"$308,322","$308,322"
"Aug 27, 2022",$0.2126,$0.2144,$0.2062,$0.2083,"$353,533","$353,533"
"Aug 26, 2022",$0.2213,$0.2223,$0.2108,$0.2119,"$420,626","$420,626"
"Aug 25, 2022",$0.2267,$0.2301,$0.2196,$0.2198,"$481,711","$481,711"
"Aug 24, 2022",$0.2274,$0.2307,$0.2248,$0.2267,"$496,965","$496,965"
"Aug 23, 2022",$0.2276,$0.2294,$0.2229,$0.2278,"$486,517","$486,517"
"Aug 22, 2022",$0.2276,$0.2295,$0.2214,$0.2259,"$528,049","$528,049"
"Aug 21, 2022",$0.2212,$0.2296,$0.2209,$0.2278,"$449,988","$449,988"
"Aug 20, 2022",$0.2218,$0.2253,$0.2199,$0.2211,"$473,059","$473,059"
"Aug 19, 2022",$0.2412,$0.2421,$0.2218,$0.2228,"$498,532","$498,532"
"Aug 18, 2022",$0.238,$0.2435,$0.237,$0.2411,"$370,784","$370,784"
"Aug 17, 2022",$0.2485,$0.2508,$0.2376,$0.2382,"$206,426","$206,426"
"Aug 16, 2022",$0.247,$0.259,$0.2446,$0.2486,"$157,623","$157,623"
"Aug 15, 2022",$0.2473,$0.2513,$0.2403,$0.247,"$414,057","$414,057"
"Aug 14, 2022",$0.2495,$0.2517,$0.2456,$0.2466,"$439,107","$439,107"
"Aug 13, 2022",$0.2489,$0.2549,$0.2472,$0.2496,"$404,607","$404,607"
"Aug 12, 2022",$0.2454,$0.2493,$0.24,$0.2491,"$416,806","$416,806"
"Aug 11, 2022",$0.2406,$0.2507,$0.24,$0.2456,"$440,106","$440,106"
"Aug 10, 2022",$0.235,$0.2447,$0.2316,$0.2408,"$414,925","$414,925"
"Aug 09, 2022",$0.2367,$0.2389,$0.2338,$0.235,"$411,605","$411,605"
"Aug 08, 2022",$0.2341,$0.2625,$0.2322,$0.2367,"$437,658","$437,658"
"Aug 07, 2022",$0.231,$0.2401,$0.2286,$0.234,"$345,992","$345,992"
"Aug 06, 2022",$0.2281,$0.2323,$0.2261,$0.2307,"$318,076","$318,076"
"Aug 05, 2022",$0.2216,$0.2282,$0.2216,$0.2278,"$339,895","$339,895"
"Aug 04, 2022",$0.2274,$0.232,$0.2196,$0.2224,"$333,329","$333,329"
"Aug 03, 2022",$0.227,$0.2318,$0.2244,$0.2279,"$304,708","$304,708"
"Aug 02, 2022",$0.2279,$0.231,$0.2235,$0.2267,"$349,343","$349,343"
"Aug 01, 2022",$0.2312,$0.2353,$0.2258,$0.2278,"$416,681","$416,681"
"Jul 31, 2022",$0.2323,$0.2375,$0.23,$0.2313,"$406,133","$406,133"
"Jul 30, 2022",$0.23,$0.2373,$0.2294,$0.2333,"$399,493","$399,493"
"Jul 29, 2022",$0.2331,$0.2357,$0.2279,$0.2309,"$415,539","$415,539"
"Jul 28, 2022",$0.2277,$0.2353,$0.223,$0.2331,"$491,164","$491,164"
"Jul 27, 2022",$0.2131,$0.23,$0.2084,$0.2278,"$469,467","$469,467"
"Jul 26, 2022",$0.217,$0.2193,$0.2082,$0.2121,"$351,101","$351,101"
"Jul 25, 2022",$0.2271,$0.2277,$0.2169,$0.2195,"$320,736","$320,736"
"Jul 24, 2022",$0.2248,$0.2291,$0.2227,$0.2271,"$251,126","$251,126"
"Jul 23, 2022",$0.2268,$0.2347,$0.2203,$0.2251,"$292,225","$292,225"
"Jul 22, 2022",$0.2387,$0.2446,$0.2192,$0.2238,"$580,197","$580,197"
"Jul 21, 2022",$0.2383,$0.2462,$0.2304,$0.2392,"$296,017","$296,017"
"Jul 20, 2022",$0.2418,$0.2495,$0.2372,$0.2382,"$340,145","$340,145"
"Jul 19, 2022",$0.2373,$0.2448,$0.2334,$0.2417,"$504,087","$504,087"
"Jul 18, 2022",$0.2255,$0.2386,$0.2213,$0.2374,"$435,885","$435,885"
"Jul 17, 2022",$0.2239,$0.2326,$0.2215,$0.2255,"$347,266","$347,266"
"Jul 16, 2022",$0.2199,$0.2266,$0.2162,$0.223,"$383,621","$383,621"
"Jul 15, 2022",$0.219,$0.2222,$0.2158,$0.2195,"$247,750","$247,750"
"Jul 14, 2022",$0.2175,$0.2209,$0.2119,$0.2198,"$283,510","$283,510"
"Jul 13, 2022",$0.2143,$0.2269,$0.2093,$0.2172,"$269,691","$269,691"
"Jul 12, 2022",$0.2229,$0.2267,$0.2129,$0.2138,"$272,969","$272,969"
"Jul 11, 2022",$0.2286,$0.2291,$0.2191,$0.2235,"$303,563","$303,563"
"Jul 10, 2022",$0.2345,$0.2348,$0.226,$0.2289,"$236,224","$236,224"
"Jul 09, 2022",$0.2401,$0.2407,$0.2315,$0.2348,"$519,311","$519,311"
"Jul 08, 2022",$0.2312,$0.2684,$0.2307,$0.2405,"$529,410","$529,410"
"Jul 07, 2022",$0.2243,$0.2617,$0.2202,$0.2616,"$364,497","$364,497"
"Jul 06, 2022",$0.2242,$0.2297,$0.2155,$0.2238,"$318,075","$318,075"
"Jul 05, 2022",$0.2343,$0.2396,$0.2227,$0.2228,"$439,589","$439,589"
"Jul 04, 2022",$0.2301,$0.2366,$0.2215,$0.235,"$393,477","$393,477"
"Jul 03, 2022",$0.2657,$0.266,$0.2211,$0.2302,"$585,200","$585,200"
"Jul 02, 2022",$0.3011,$0.3011,$0.2654,$0.2655,"$494,871","$494,871"
"Jul 01, 2022",$0.3084,$0.3186,$0.2975,$0.3014,"$387,431","$387,431"
"Jun 30, 2022",$0.3115,$0.3166,$0.2999,$0.308,"$369,720","$369,720"
"Jun 29, 2022",$0.2999,$0.3226,$0.2986,$0.3076,"$415,734","$415,734"
"Jun 28, 2022",$0.3177,$0.3218,$0.2992,$0.3096,"$427,035","$427,035"
"Jun 27, 2022",$0.3113,$0.3316,$0.3091,$0.318,"$448,310","$448,310"
"Jun 26, 2022",$0.3248,$0.3277,$0.311,$0.3183,"$387,750","$387,750"
"Jun 25, 2022",$0.31,$0.3256,$0.3083,$0.3238,"$382,299","$382,299"
"Jun 24, 2022",$0.3067,$0.3209,$0.3057,$0.3176,"$378,744","$378,744"
"Jun 23, 2022",$0.3023,$0.3138,$0.2997,$0.3067,"$378,738","$378,738"
"Jun 22, 2022",$0.3096,$0.311,$0.3005,$0.3019,"$174,080","$174,080"
"Jun 21, 2022",$0.3024,$0.3157,$0.2971,$0.3068,"$155,109","$155,109"
"Jun 20, 2022",$0.2937,$0.3111,$0.2878,$0.3013,"$338,165","$338,165"
