Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.0106,$0.01064,$0.01058,$0.0106,"$80,042","$80,042"
"Sep 21, 2022",$0.01057,$0.01062,$0.01056,$0.0106,"$85,451","$85,451"
"Sep 20, 2022",$0.01056,$0.0106,$0.01052,$0.01057,"$70,481","$70,481"
"Sep 19, 2022",$0.01057,$0.01067,$0.01048,$0.01055,"$111,696","$111,696"
"Sep 18, 2022",$0.01066,$0.0107,$0.01053,$0.01057,"$43,341","$43,341"
"Sep 17, 2022",$0.01064,$0.01069,$0.01053,$0.01065,"$94,489","$94,489"
"Sep 16, 2022",$0.01061,$0.01066,$0.01054,$0.01065,"$92,490","$92,490"
"Sep 15, 2022",$0.01059,$0.01064,$0.01054,$0.01061,"$86,607","$86,607"
"Sep 14, 2022",$0.0106,$0.01064,$0.01053,$0.01059,"$78,354","$78,354"
"Sep 13, 2022",$0.01054,$0.01067,$0.01048,$0.01061,"$77,217","$77,217"
"Sep 12, 2022",$0.01047,$0.01103,$0.01039,$0.01054,"$80,332","$80,332"
"Sep 11, 2022",$0.01046,$0.01065,$0.01036,$0.01047,"$6,521","$6,521"
"Sep 10, 2022",$0.01067,$0.01071,$0.01041,$0.01046,"$30,833","$30,833"
"Sep 09, 2022",$0.01054,$0.01068,$0.01048,$0.01067,"$52,427","$52,427"
"Sep 08, 2022",$0.01054,$0.01057,$0.01051,$0.01054,"$28,341","$28,341"
"Sep 07, 2022",$0.01055,$0.01059,$0.01054,$0.01054,"$38,259","$38,259"
"Sep 06, 2022",$0.01055,$0.01059,$0.0105,$0.01055,"$41,729","$41,729"
"Sep 05, 2022",$0.01058,$0.01059,$0.01048,$0.01055,"$41,774","$41,774"
"Sep 04, 2022",$0.01056,$0.01061,$0.01048,$0.01058,"$13,347","$13,347"
"Sep 03, 2022",$0.01056,$0.01058,$0.01052,$0.01056,"$42,431","$42,431"
"Sep 02, 2022",$0.01058,$0.0106,$0.01052,$0.01056,"$37,388","$37,388"
"Sep 01, 2022",$0.01055,$0.0106,$0.0103,$0.01058,"$48,841","$48,841"
"Aug 31, 2022",$0.01054,$0.01058,$0.01054,$0.01055,"$48,359","$48,359"
"Aug 30, 2022",$0.01058,$0.0106,$0.01054,$0.01054,"$45,959","$45,959"
"Aug 29, 2022",$0.0105,$0.01059,$0.01045,$0.01058,"$84,328","$84,328"
"Aug 28, 2022",$0.01061,$0.01064,$0.01046,$0.0105,"$11,615","$11,615"
"Aug 27, 2022",$0.01031,$0.01075,$0.01029,$0.01061,"$102,786","$102,786"
"Aug 26, 2022",$0.01055,$0.01059,$0.01028,$0.01031,"$122,872","$122,872"
"Aug 25, 2022",$0.01051,$0.0106,$0.0104,$0.01055,"$183,895","$183,895"
"Aug 24, 2022",$0.01044,$0.01061,$0.01024,$0.01051,"$186,790","$186,790"
"Aug 23, 2022",$0.0106,$0.01061,$0.01029,$0.01044,"$235,616","$235,616"
"Aug 22, 2022",$0.01139,$0.0114,$0.01023,$0.0106,"$226,258","$226,258"
"Aug 21, 2022",$0.01054,$0.01141,$0.01047,$0.01139,"$18,459","$18,459"
"Aug 20, 2022",$0.01035,$0.01061,$0.01029,$0.01054,"$223,207","$223,207"
"Aug 19, 2022",$0.01049,$0.01056,$0.01034,$0.01035,"$169,964","$169,964"
"Aug 18, 2022",$0.01049,$0.0105,$0.01031,$0.01049,"$63,175","$63,175"
"Aug 17, 2022",$0.01051,$0.01082,$0.01026,$0.01049,"$94,488","$94,488"
"Aug 16, 2022",$0.01045,$0.01055,$0.01037,$0.01051,"$198,670","$198,670"
"Aug 15, 2022",$0.01042,$0.01055,$0.01038,$0.01045,"$251,654","$251,654"
"Aug 14, 2022",$0.01052,$0.01053,$0.0104,$0.01042,"$13,777","$13,777"
"Aug 13, 2022",$0.01047,$0.01065,$0.01044,$0.01052,"$58,748","$58,748"
"Aug 12, 2022",$0.01049,$0.01051,$0.01046,$0.01047,"$40,572","$40,572"
"Aug 11, 2022",$0.01049,$0.0105,$0.01044,$0.01049,"$52,814","$52,814"
"Aug 10, 2022",$0.0106,$0.01063,$0.01044,$0.01049,"$38,179","$38,179"
"Aug 09, 2022",$0.01045,$0.01063,$0.0104,$0.0106,"$48,898","$48,898"
"Aug 08, 2022",$0.01039,$0.01055,$0.01026,$0.01045,"$213,732","$213,732"
"Aug 07, 2022",$0.01032,$0.01053,$0.01022,$0.01039,"$12,264","$12,264"
"Aug 06, 2022",$0.01044,$0.01046,$0.01025,$0.01032,"$236,650","$236,650"
"Aug 05, 2022",$0.01029,$0.01053,$0.01024,$0.01044,"$227,344","$227,344"
"Aug 04, 2022",$0.01025,$0.01049,$0.01022,$0.01029,"$198,829","$198,829"
"Aug 03, 2022",$0.01037,$0.01054,$0.01021,$0.01025,"$182,309","$182,309"
