Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.07439,$0.07711,$0.07401,$0.07641,"$225,271","$225,271"
"Sep 21, 2022",$0.0745,$0.0793,$0.07326,$0.0744,"$432,629","$432,629"
"Sep 20, 2022",$0.07638,$0.07771,$0.07406,$0.07445,"$363,382","$363,382"
"Sep 19, 2022",$0.07147,$0.07645,$0.0703,$0.07637,"$337,036","$337,036"
"Sep 18, 2022",$0.07401,$0.07476,$0.06981,$0.07147,"$321,841","$321,841"
"Sep 17, 2022",$0.07056,$0.07495,$0.0705,$0.07387,"$398,817","$398,817"
"Sep 16, 2022",$0.06733,$0.07094,$0.06663,$0.07056,"$408,006","$408,006"
"Sep 15, 2022",$0.07015,$0.07059,$0.06703,$0.06737,"$401,548","$401,548"
"Sep 14, 2022",$0.06723,$0.07395,$0.06712,$0.07015,"$605,003","$605,003"
"Sep 13, 2022",$0.07545,$0.0755,$0.0665,$0.06759,"$507,322","$507,322"
"Sep 12, 2022",$0.05161,$0.07806,$0.05113,$0.07545,"$2,474,270","$2,474,270"
"Sep 11, 2022",$0.05008,$0.0523,$0.04913,$0.05161,"$281,361","$281,361"
"Sep 10, 2022",$0.04972,$0.05057,$0.04861,$0.05008,"$229,497","$229,497"
"Sep 09, 2022",$0.04331,$0.05029,$0.04314,$0.04971,"$412,384","$412,384"
"Sep 08, 2022",$0.04321,$0.04344,$0.04235,$0.04331,"$217,751","$217,751"
"Sep 07, 2022",$0.04163,$0.04355,$0.04141,$0.04321,"$225,454","$225,454"
"Sep 06, 2022",$0.04319,$0.04454,$0.04155,$0.04159,"$244,455","$244,455"
"Sep 05, 2022",$0.04336,$0.04348,$0.04233,$0.04302,"$210,080","$210,080"
"Sep 04, 2022",$0.04361,$0.04382,$0.04317,$0.04335,"$191,609","$191,609"
"Sep 03, 2022",$0.04416,$0.04422,$0.04354,$0.04362,"$183,531","$183,531"
"Sep 02, 2022",$0.0451,$0.04575,$0.04398,$0.04415,"$203,707","$203,707"
"Sep 01, 2022",$0.04519,$0.04626,$0.04415,$0.0451,"$293,941","$293,941"
"Aug 31, 2022",$0.04673,$0.04767,$0.04503,$0.04519,"$225,291","$225,291"
"Aug 30, 2022",$0.04765,$0.04861,$0.04593,$0.04673,"$248,374","$248,374"
"Aug 29, 2022",$0.04644,$0.04771,$0.04495,$0.04765,"$286,439","$286,439"
"Aug 28, 2022",$0.05091,$0.05099,$0.04611,$0.04639,"$254,141","$254,141"
"Aug 27, 2022",$0.05257,$0.05293,$0.05073,$0.05091,"$259,564","$259,564"
"Aug 26, 2022",$0.05387,$0.05502,$0.05101,$0.05254,"$419,402","$419,402"
