Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$7.97,$8.31,$7.62,$8.01,"$6,866,658","$6,866,658"
"Sep 18, 2022",$8.50,$8.65,$7.96,$7.97,"$6,223,969","$6,223,969"
"Sep 17, 2022",$8.44,$8.58,$8.35,$8.50,"$3,852,741","$3,852,741"
"Sep 16, 2022",$8.16,$8.64,$8.03,$8.44,"$7,245,021","$7,245,021"
"Sep 15, 2022",$8.44,$8.51,$8.01,$8.16,"$6,929,000","$6,929,000"
"Sep 14, 2022",$8.75,$8.88,$8.26,$8.44,"$6,860,283","$6,860,283"
"Sep 13, 2022",$8.94,$9.46,$8.61,$8.78,"$13,083,033","$13,083,033"
"Sep 12, 2022",$8.97,$9.04,$8.65,$8.94,"$5,232,346","$5,232,346"
"Sep 11, 2022",$9.04,$9.38,$8.85,$8.97,"$7,045,517","$7,045,517"
"Sep 10, 2022",$8.86,$9.22,$8.80,$9.04,"$5,713,130","$5,713,130"
"Sep 09, 2022",$8.76,$8.99,$8.71,$8.86,"$5,680,694","$5,680,694"
"Sep 08, 2022",$8.84,$8.91,$8.60,$8.76,"$4,606,899","$4,606,899"
"Sep 07, 2022",$8.64,$8.95,$8.57,$8.84,"$6,605,354","$6,605,354"
"Sep 06, 2022",$9.25,$9.42,$8.62,$8.65,"$7,943,167","$7,943,167"
"Sep 05, 2022",$9.26,$9.54,$9.15,$9.25,"$6,712,747","$6,712,747"
"Sep 04, 2022",$9.34,$9.43,$9.07,$9.26,"$5,072,523","$5,072,523"
"Sep 03, 2022",$9.56,$9.87,$9.29,$9.34,"$8,189,165","$8,189,165"
"Sep 02, 2022",$9.50,$9.61,$9.28,$9.57,"$14,129,163","$14,129,163"
"Sep 01, 2022",$8.88,$10.19,$8.86,$9.50,"$23,908,797","$23,908,797"
"Aug 31, 2022",$8.34,$9.22,$8.34,$8.88,"$11,585,528","$11,585,528"
"Aug 30, 2022",$8.46,$8.68,$8.25,$8.34,"$5,865,440","$5,865,440"
"Aug 29, 2022",$8.12,$8.48,$8.08,$8.46,"$5,390,003","$5,390,003"
"Aug 28, 2022",$8.37,$8.95,$8.13,$8.13,"$8,525,321","$8,525,321"
"Aug 27, 2022",$8.33,$8.43,$7.83,$8.37,"$6,512,851","$6,512,851"
"Aug 26, 2022",$9.15,$9.15,$8.30,$8.34,"$6,481,837","$6,481,837"
"Aug 25, 2022",$9.29,$9.39,$9.15,$9.15,"$5,387,539","$5,387,539"
"Aug 24, 2022",$9.51,$9.59,$9.28,$9.29,"$6,468,436","$6,468,436"
"Aug 23, 2022",$9.63,$9.77,$9.26,$9.51,"$9,223,567","$9,223,567"
"Aug 22, 2022",$8.94,$9.63,$8.88,$9.63,"$12,340,754","$12,340,754"
"Aug 21, 2022",$8.87,$9.43,$8.73,$8.95,"$8,967,896","$8,967,896"
"Aug 20, 2022",$9.60,$9.98,$8.70,$8.87,"$12,152,965","$12,152,965"
"Aug 19, 2022",$9.93,$10.73,$9.30,$9.61,"$33,780,378","$33,780,378"
"Aug 18, 2022",$8.81,$11.49,$8.78,$9.93,"$56,715,505","$56,715,505"
"Aug 17, 2022",$8.90,$9.14,$8.73,$8.81,"$5,489,957","$5,489,957"
"Aug 16, 2022",$8.81,$9.21,$8.78,$8.90,"$7,403,950","$7,403,950"
"Aug 15, 2022",$8.98,$8.99,$8.72,$8.82,"$4,689,496","$4,689,496"
"Aug 14, 2022",$8.83,$9.26,$8.73,$8.98,"$7,010,122","$7,010,122"
"Aug 13, 2022",$8.84,$9.01,$8.79,$8.82,"$3,971,628","$3,971,628"
"Aug 12, 2022",$8.54,$8.91,$8.49,$8.85,"$4,581,789","$4,581,789"
"Aug 11, 2022",$8.76,$8.83,$8.52,$8.54,"$3,584,528","$3,584,528"
"Aug 10, 2022",$8.55,$8.79,$8.38,$8.76,"$3,877,601","$3,877,601"
"Aug 09, 2022",$8.84,$8.88,$8.44,$8.55,"$3,939,962","$3,939,962"
"Aug 08, 2022",$8.95,$9.00,$8.82,$8.84,"$4,568,632","$4,568,632"
"Aug 07, 2022",$8.89,$9.11,$8.79,$8.95,"$8,607,536","$8,607,536"
"Aug 06, 2022",$8.91,$9.18,$8.88,$8.89,"$6,768,975","$6,768,975"
"Aug 05, 2022",$8.77,$9.03,$8.75,$8.91,"$6,670,475","$6,670,475"
"Aug 04, 2022",$9.54,$9.74,$8.58,$8.78,"$19,231,926","$19,231,926"
"Aug 03, 2022",$9.54,$9.65,$9.29,$9.54,"$6,890,689","$6,890,689"
"Aug 02, 2022",$9.83,$10.42,$9.24,$9.54,"$18,106,606","$18,106,606"
"Aug 01, 2022",$9.14,$9.82,$9.07,$9.82,"$12,802,380","$12,802,380"
"Jul 31, 2022",$9.15,$9.68,$9.12,$9.14,"$12,534,893","$12,534,893"
"Jul 30, 2022",$9.64,$10.58,$9.09,$9.15,"$24,224,123","$24,224,123"
"Jul 29, 2022",$8.99,$10.01,$8.89,$9.64,"$19,531,521","$19,531,521"
"Jul 28, 2022",$8.02,$9.86,$8.00,$8.98,"$37,326,628","$37,326,628"
"Jul 27, 2022",$7.15,$8.83,$7.10,$8.02,"$34,113,628","$34,113,628"
"Jul 26, 2022",$6.97,$7.40,$6.86,$7.15,"$14,709,086","$14,709,086"
"Jul 25, 2022",$6.90,$7.26,$6.85,$6.98,"$14,240,281","$14,240,281"
"Jul 24, 2022",$6.77,$7.13,$6.70,$6.91,"$12,291,151","$12,291,151"
"Jul 23, 2022",$6.65,$6.97,$6.64,$6.77,"$9,392,523","$9,392,523"
"Jul 22, 2022",$6.78,$6.84,$6.60,$6.65,"$6,678,922","$6,678,922"
"Jul 21, 2022",$6.59,$6.85,$6.54,$6.79,"$7,107,011","$7,107,011"
"Jul 20, 2022",$7.01,$7.04,$6.51,$6.58,"$7,143,280","$7,143,280"
"Jul 19, 2022",$7.01,$7.04,$6.89,$7.01,"$9,019,543","$9,019,543"
"Jul 18, 2022",$6.82,$7.36,$6.75,$7.02,"$12,954,743","$12,954,743"
"Jul 17, 2022",$6.80,$7.11,$6.70,$6.82,"$9,080,783","$9,080,783"
"Jul 16, 2022",$6.78,$7.67,$6.62,$6.80,"$21,743,548","$21,743,548"
"Jul 15, 2022",$6.21,$7.31,$6.15,$6.79,"$16,667,096","$16,667,096"
"Jul 14, 2022",$6.16,$6.26,$6.01,$6.21,"$4,791,178","$4,791,178"
"Jul 13, 2022",$5.96,$6.16,$5.84,$6.16,"$4,392,259","$4,392,259"
"Jul 12, 2022",$5.96,$6.07,$5.89,$5.96,"$4,498,576","$4,498,576"
"Jul 11, 2022",$6.26,$6.26,$5.88,$5.95,"$4,727,460","$4,727,460"
"Jul 10, 2022",$6.35,$6.42,$6.22,$6.26,"$4,042,192","$4,042,192"
"Jul 09, 2022",$6.19,$6.44,$6.16,$6.35,"$4,377,756","$4,377,756"
"Jul 08, 2022",$6.28,$6.37,$6.13,$6.19,"$4,778,279","$4,778,279"
"Jul 07, 2022",$6.26,$6.35,$6.18,$6.28,"$5,235,999","$5,235,999"
"Jul 06, 2022",$6.14,$6.39,$6.13,$6.26,"$5,929,758","$5,929,758"
"Jul 05, 2022",$6.15,$6.46,$6.08,$6.14,"$6,472,244","$6,472,244"
"Jul 04, 2022",$6.06,$6.17,$6.02,$6.15,"$3,316,882","$3,316,882"
"Jul 03, 2022",$6.13,$6.14,$6.02,$6.06,"$3,068,599","$3,068,599"
"Jul 02, 2022",$6.00,$6.19,$5.94,$6.13,"$3,023,807","$3,023,807"
"Jul 01, 2022",$5.98,$6.16,$5.88,$6.00,"$3,630,260","$3,630,260"
"Jun 30, 2022",$6.18,$6.20,$5.78,$5.97,"$3,920,435","$3,920,435"
"Jun 29, 2022",$6.28,$6.39,$6.16,$6.18,"$4,095,270","$4,095,270"
"Jun 28, 2022",$6.61,$6.76,$6.27,$6.28,"$3,710,745","$3,710,745"
"Jun 27, 2022",$6.57,$6.78,$6.42,$6.61,"$3,910,167","$3,910,167"
"Jun 26, 2022",$6.80,$6.83,$6.56,$6.57,"$3,736,549","$3,736,549"
"Jun 25, 2022",$6.86,$7.01,$6.66,$6.81,"$5,123,174","$5,123,174"
"Jun 24, 2022",$6.71,$7.09,$6.67,$6.86,"$8,925,938","$8,925,938"
"Jun 23, 2022",$6.38,$6.85,$6.35,$6.71,"$7,955,026","$7,955,026"
"Jun 22, 2022",$6.40,$6.58,$6.28,$6.38,"$6,573,937","$6,573,937"
"Jun 21, 2022",$6.50,$6.55,$6.36,$6.40,"$7,054,448","$7,054,448"
"Jun 20, 2022",$6.29,$6.54,$6.10,$6.50,"$7,338,506","$7,338,506"
"Jun 19, 2022",$6.11,$6.35,$5.93,$6.29,"$5,737,499","$5,737,499"
"Jun 18, 2022",$6.28,$6.44,$5.77,$6.11,"$7,458,797","$7,458,797"
"Jun 17, 2022",$6.05,$6.34,$6.04,$6.28,"$5,185,615","$5,185,615"
"Jun 16, 2022",$6.55,$6.63,$6.00,$6.05,"$6,407,086","$6,407,086"
"Jun 15, 2022",$6.48,$6.54,$5.85,$6.54,"$11,257,796","$11,257,796"
"Jun 14, 2022",$6.75,$6.84,$6.43,$6.48,"$16,399,553","$16,399,553"
"Jun 13, 2022",$6.67,$7.30,$6.52,$6.74,"$10,921,979","$10,921,979"
"Jun 12, 2022",$7.23,$7.29,$6.65,$6.67,"$11,297,200","$11,297,200"
"Jun 11, 2022",$7.80,$7.81,$7.20,$7.23,"$18,016,967","$18,016,967"
"Jun 10, 2022",$8.07,$8.34,$7.54,$7.80,"$16,140,009","$16,140,009"
"Jun 09, 2022",$7.62,$8.71,$7.54,$8.08,"$31,830,065","$31,830,065"
"Jun 08, 2022",$7.47,$7.83,$7.38,$7.62,"$20,671,911","$20,671,911"
"Jun 07, 2022",$7.54,$7.73,$7.40,$7.48,"$22,283,192","$22,283,192"
"Jun 06, 2022",$7.44,$7.91,$7.44,$7.54,"$20,604,056","$20,604,056"
"Jun 05, 2022",$7.54,$7.75,$7.40,$7.44,"$18,185,199","$18,185,199"
"Jun 04, 2022",$7.22,$7.81,$7.22,$7.54,"$22,470,953","$22,470,953"
"Jun 03, 2022",$7.32,$7.37,$7.09,$7.22,"$14,860,815","$14,860,815"
"Jun 02, 2022",$7.16,$7.47,$7.09,$7.33,"$17,430,131","$17,430,131"
"Jun 01, 2022",$7.46,$7.73,$6.95,$7.17,"$20,715,557","$20,715,557"
"May 31, 2022",$7.70,$7.72,$7.40,$7.46,"$17,890,268","$17,890,268"
"May 30, 2022",$7.63,$7.81,$7.51,$7.70,"$19,218,406","$19,218,406"
"May 29, 2022",$7.88,$7.89,$7.30,$7.63,"$18,503,267","$18,503,267"
"May 28, 2022",$7.77,$8.98,$7.40,$7.87,"$18,276,611","$18,276,611"
"May 27, 2022",$7.28,$7.81,$6.73,$7.45,"$17,995,150","$17,995,150"
"May 26, 2022",$8.14,$8.35,$7.19,$7.28,"$13,466,575","$13,466,575"
"May 25, 2022",$7.84,$9.07,$7.60,$8.14,"$18,214,120","$18,214,120"
"May 24, 2022",$8.09,$8.53,$7.58,$7.84,"$17,982,769","$17,982,769"
"May 23, 2022",$8.32,$9.44,$8.04,$8.09,"$16,543,182","$16,543,182"
"May 22, 2022",$9.29,$9.29,$8.20,$8.31,"$12,643,538","$12,643,538"
"May 21, 2022",$9.38,$9.99,$8.80,$9.30,"$32,614,947","$32,614,947"
"May 20, 2022",$8.43,$11.11,$8.35,$9.39,"$56,754,782","$56,754,782"
"May 19, 2022",$9.71,$11.49,$7.80,$8.44,"$52,718,875","$52,718,875"
"May 18, 2022",$5.92,$11.81,$5.88,$9.68,"$145,523,268","$145,523,268"
"May 17, 2022",$4.96,$6.98,$4.96,$5.91,"$16,174,038","$16,174,038"
"May 16, 2022",$5.38,$5.38,$4.90,$4.96,"$6,796,043","$6,796,043"
"May 15, 2022",$5.09,$5.39,$4.97,$5.38,"$9,594,669","$9,594,669"
"May 14, 2022",$4.90,$5.15,$4.71,$5.09,"$7,282,035","$7,282,035"
"May 13, 2022",$4.32,$5.52,$4.28,$4.90,"$7,540,606","$7,540,606"
"May 12, 2022",$4.61,$4.86,$4.08,$4.33,"$7,079,237","$7,079,237"
"May 11, 2022",$6.75,$6.92,$4.44,$4.61,"$8,935,818","$8,935,818"
"May 10, 2022",$6.75,$7.39,$6.52,$6.75,"$10,681,541","$10,681,541"
"May 09, 2022",$8.18,$8.27,$6.78,$6.78,"$12,182,214","$12,182,214"
"May 08, 2022",$8.67,$8.91,$8.15,$8.18,"$13,139,653","$13,139,653"
"May 07, 2022",$8.68,$8.97,$8.47,$8.67,"$11,156,438","$11,156,438"
"May 06, 2022",$8.84,$8.87,$8.52,$8.68,"$12,002,336","$12,002,336"
"May 05, 2022",$9.68,$9.70,$8.66,$8.84,"$11,926,835","$11,926,835"
"May 04, 2022",$9.19,$9.75,$9.08,$9.68,"$13,195,470","$13,195,470"
"May 03, 2022",$9.59,$9.78,$9.12,$9.19,"$12,430,282","$12,430,282"
"May 02, 2022",$9.48,$9.72,$9.23,$9.58,"$11,976,011","$11,976,011"
"May 01, 2022",$9.45,$9.92,$9.17,$9.48,"$13,150,439","$13,150,439"
"Apr 30, 2022",$10.45,$10.78,$9.38,$9.45,"$13,677,869","$13,677,869"
"Apr 29, 2022",$11.01,$11.32,$10.43,$10.46,"$15,078,671","$15,078,671"
"Apr 28, 2022",$11.43,$11.70,$10.95,$11.01,"$15,668,499","$15,668,499"
"Apr 27, 2022",$10.76,$11.61,$10.73,$11.45,"$16,013,654","$16,013,654"
"Apr 26, 2022",$11.43,$12.22,$10.75,$10.76,"$15,780,248","$15,780,248"
"Apr 25, 2022",$11.91,$11.92,$10.96,$11.43,"$20,123,491","$20,123,491"
"Apr 24, 2022",$12.84,$12.89,$11.92,$11.92,"$21,038,052","$21,038,052"
"Apr 23, 2022",$13.86,$13.98,$12.77,$12.84,"$14,668,943","$14,668,943"
"Apr 22, 2022",$13.50,$13.95,$13.35,$13.87,"$11,045,992","$11,045,992"
"Apr 21, 2022",$13.91,$14.18,$13.39,$13.51,"$12,966,369","$12,966,369"
"Apr 20, 2022",$14.99,$15.14,$13.87,$13.91,"$18,955,258","$18,955,258"
"Apr 19, 2022",$14.46,$15.22,$14.37,$14.99,"$14,899,645","$14,899,645"
"Apr 18, 2022",$14.58,$14.78,$13.87,$14.46,"$13,261,271","$13,261,271"
"Apr 17, 2022",$14.88,$15.74,$14.48,$14.58,"$20,847,834","$20,847,834"
"Apr 16, 2022",$14.47,$15.69,$14.26,$14.89,"$21,015,411","$21,015,411"
"Apr 15, 2022",$13.81,$14.57,$13.78,$14.47,"$8,299,539","$8,299,539"
"Apr 14, 2022",$13.99,$14.10,$13.59,$13.81,"$6,901,756","$6,901,756"
"Apr 13, 2022",$13.75,$14.05,$13.61,$14.00,"$7,430,529","$7,430,529"
"Apr 12, 2022",$13.59,$13.95,$13.57,$13.75,"$7,649,357","$7,649,357"
"Apr 11, 2022",$14.47,$14.55,$13.60,$13.60,"$9,599,067","$9,599,067"
"Apr 10, 2022",$14.39,$14.63,$14.22,$14.47,"$9,663,126","$9,663,126"
"Apr 09, 2022",$14.20,$14.62,$14.20,$14.39,"$8,815,829","$8,815,829"
"Apr 08, 2022",$14.46,$14.57,$14.17,$14.19,"$8,142,579","$8,142,579"
