Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.1042,$0.1062,$0.1007,$0.102,"$695,670","$695,670"
"Sep 20, 2022",$0.1106,$0.1109,$0.1029,$0.1042,"$1,133,527","$1,133,527"
"Sep 19, 2022",$0.1106,$0.111,$0.1022,$0.1106,"$1,136,097","$1,136,097"
"Sep 18, 2022",$0.1159,$0.1167,$0.108,$0.1106,"$663,099","$663,099"
"Sep 17, 2022",$0.1128,$0.1258,$0.1116,$0.1158,"$1,732,597","$1,732,597"
"Sep 16, 2022",$0.1192,$0.1215,$0.1087,$0.1126,"$1,706,027","$1,706,027"
"Sep 15, 2022",$0.1422,$0.148,$0.116,$0.1192,"$4,260,061","$4,260,061"
"Sep 14, 2022",$0.1114,$0.1425,$0.1095,$0.1422,"$3,030,949","$3,030,949"
"Sep 13, 2022",$0.1223,$0.1228,$0.1095,$0.1114,"$1,186,808","$1,186,808"
"Sep 12, 2022",$0.1225,$0.1237,$0.1169,$0.1223,"$705,380","$705,380"
"Sep 11, 2022",$0.1178,$0.1418,$0.1177,$0.1225,"$1,520,288","$1,520,288"
"Sep 10, 2022",$0.1136,$0.1192,$0.1132,$0.1178,"$635,498","$635,498"
"Sep 09, 2022",$0.1111,$0.1216,$0.1111,$0.1136,"$875,515","$875,515"
"Sep 08, 2022",$0.1084,$0.1139,$0.1082,$0.1111,"$956,819","$956,819"
"Sep 07, 2022",$0.1067,$0.1127,$0.1045,$0.1084,"$955,959","$955,959"
"Sep 06, 2022",$0.1134,$0.1163,$0.1053,$0.1067,"$949,562","$949,562"
"Sep 05, 2022",$0.114,$0.1148,$0.1085,$0.1134,"$991,350","$991,350"
"Sep 04, 2022",$0.1137,$0.115,$0.1115,$0.114,"$891,586","$891,586"
"Sep 03, 2022",$0.1125,$0.1148,$0.1108,$0.1137,"$983,406","$983,406"
"Sep 02, 2022",$0.1122,$0.1167,$0.1117,$0.1124,"$958,982","$958,982"
"Sep 01, 2022",$0.1178,$0.1185,$0.1108,$0.1127,"$856,005","$856,005"
"Aug 31, 2022",$0.1163,$0.1207,$0.1155,$0.1178,"$880,659","$880,659"
"Aug 30, 2022",$0.1168,$0.121,$0.1113,$0.1163,"$1,012,479","$1,012,479"
"Aug 29, 2022",$0.1124,$0.132,$0.1112,$0.1168,"$1,332,012","$1,332,012"
"Aug 28, 2022",$0.1174,$0.1186,$0.1117,$0.1124,"$802,739","$802,739"
"Aug 27, 2022",$0.1197,$0.1217,$0.1163,$0.1173,"$892,482","$892,482"
