Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.001001,$0.001006,$0.0009992,$0.001001,"$146,250","$146,250"
"Sep 21, 2022",$0.001043,$0.001044,$0.001,$0.001001,"$195,594","$195,594"
"Sep 20, 2022",$0.001008,$0.001213,$0.000987,$0.001042,"$241,262","$241,262"
"Sep 19, 2022",$0.001004,$0.001027,$0.0009902,$0.001008,"$279,115","$279,115"
"Sep 18, 2022",$0.001001,$0.00101,$0.0009936,$0.001004,"$48,924","$48,924"
"Sep 17, 2022",$0.0009955,$0.001009,$0.0009846,$0.001001,"$68,022","$68,022"
"Sep 16, 2022",$0.001,$0.001001,$0.0009946,$0.0009955,"$55,389","$55,389"
"Sep 15, 2022",$0.001001,$0.001006,$0.0009813,$0.001,"$52,762","$52,762"
"Sep 14, 2022",$0.001005,$0.001013,$0.0009739,$0.001001,"$65,362","$65,362"
"Sep 13, 2022",$0.001,$0.001016,$0.0009707,$0.001003,"$66,720","$66,720"
"Sep 12, 2022",$0.001,$0.001001,$0.0009968,$0.001,"$64,192","$64,192"
"Sep 11, 2022",$0.001,$0.001005,$0.0009898,$0.001,"$63,317","$63,317"
"Sep 10, 2022",$0.001001,$0.00101,$0.0009971,$0.0009986,"$56,387","$56,387"
"Sep 09, 2022",$0.001003,$0.001009,$0.0009958,$0.001001,"$61,099","$61,099"
"Sep 08, 2022",$0.0009784,$0.00101,$0.0009612,$0.001003,"$50,533","$50,533"
"Sep 07, 2022",$0.001002,$0.001019,$0.0009632,$0.0009784,"$77,792","$77,792"
"Sep 06, 2022",$0.0009953,$0.00101,$0.0009926,$0.001002,"$67,216","$67,216"
"Sep 05, 2022",$0.001005,$0.001011,$0.0009882,$0.0009958,"$78,048","$78,048"
"Sep 04, 2022",$0.001025,$0.001025,$0.0009884,$0.001005,"$75,417","$75,417"
"Sep 03, 2022",$0.001002,$0.001065,$0.0009877,$0.001025,"$68,942","$68,942"
"Sep 02, 2022",$0.001004,$0.001032,$0.00099,$0.001002,"$181,964","$181,964"
"Sep 01, 2022",$0.001018,$0.001068,$0.000888,$0.001004,"$123,995","$123,995"
"Aug 31, 2022",$0.001055,$0.001091,$0.001018,$0.001018,"$66,213","$66,213"
"Aug 30, 2022",$0.001223,$0.001226,$0.001036,$0.001055,"$82,347","$82,347"
"Aug 29, 2022",$0.001055,$0.001395,$0.001044,$0.001223,"$519,155","$519,155"
"Aug 28, 2022",$0.001429,$0.001602,$0.001032,$0.001055,"$377,117","$377,117"
"Aug 27, 2022",$0.002298,$0.00233,$0.001068,$0.001429,"$406,394","$406,394"
"Aug 26, 2022",$0.001805,$0.002394,$0.001761,$0.0023,"$700,136","$700,136"
"Aug 25, 2022",$0.001613,$0.001825,$0.00161,$0.001812,"$954,613","$954,613"
"Aug 24, 2022",$0.001424,$0.001631,$0.00135,$0.001614,"$738,354","$738,354"
"Aug 23, 2022",$0.001203,$0.001477,$0.001201,$0.001407,"$899,663","$899,663"
"Aug 22, 2022",$0.001,$0.001266,$0.001,$0.001202,"$137,008","$137,008"
"Aug 21, 2022",$0.001,$0.001001,$0.0009998,$0.001,"$1,147,014","$1,147,014"
"Aug 20, 2022",$0.001004,$0.001006,$0.0009989,$0.001001,"$720,816","$720,816"
"Aug 19, 2022",$0.001,$0.001008,$0.0009999,$0.001004,"$1,148,640","$1,148,640"
"Aug 18, 2022",$0.001001,$0.001001,$0.0009992,$0.001,"$583,389","$583,389"
"Aug 17, 2022",$0.0009995,$0.001001,$0.0009991,$0.001001,"$283,502","$283,502"
"Aug 16, 2022",$0.001,$0.001001,$0.0009991,$0.0009993,"$1,079,484","$1,079,484"
"Aug 15, 2022",$0.0009996,$0.001001,$0.0009989,$0.001,"$717,290","$717,290"
"Aug 14, 2022",$0.001001,$0.001002,$0.0009989,$0.0009989,"$1,243,793","$1,243,793"
"Aug 13, 2022",$0.001001,$0.001003,$0.000999,$0.001001,"$1,497,781","$1,497,781"
"Aug 12, 2022",$0.001002,$0.001005,$0.0009998,$0.001002,"$1,706,780","$1,706,780"
"Aug 11, 2022",$0.001,$0.001009,$0.0009989,$0.001003,"$1,417,514","$1,417,514"
"Aug 10, 2022",$0.001,$0.001009,$0.000995,$0.001,"$520,900","$520,900"
"Aug 09, 2022",$0.0009762,$0.001001,$0.0009591,$0.001,"$836,398","$836,398"
"Aug 08, 2022",$0.001002,$0.001084,$0.0009447,$0.0009762,"$1,089,904","$1,089,904"
"Aug 07, 2022",$0.0012,$0.001201,$0.0009043,$0.001002,"$954,433","$954,433"
"Aug 06, 2022",$0.001196,$0.00122,$0.00119,$0.0012,"$1,885,347","$1,885,347"
"Aug 05, 2022",$0.001202,$0.001205,$0.001195,$0.001196,"$957,564","$957,564"
"Aug 04, 2022",$0.001202,$0.001208,$0.001194,$0.001202,"$887,068","$887,068"
"Aug 03, 2022",$0.001201,$0.001213,$0.001166,$0.001201,"$1,571,005","$1,571,005"
"Aug 02, 2022",$0.001199,$0.001207,$0.001188,$0.001204,"$1,106,456","$1,106,456"
"Aug 01, 2022",$0.0012,$0.001257,$0.001189,$0.001199,"$3,316,421","$3,316,421"
"Jul 31, 2022",$0.0012,$0.001387,$0.001152,$0.0012,"$2,567,210","$2,567,210"
"Jul 30, 2022",$0.0012,$0.001244,$0.001196,$0.0012,"$3,303,924","$3,303,924"
"Jul 29, 2022",$0.001199,$0.001238,$0.001197,$0.0012,"$4,867,237","$4,867,237"
"Jul 28, 2022",$0.001202,$0.001203,$0.001197,$0.001199,"$3,232,401","$3,232,401"
"Jul 27, 2022",$0.001199,$0.001219,$0.001197,$0.001203,"$5,381,720","$5,381,720"
"Jul 26, 2022",$0.001201,$0.001262,$0.001105,$0.001199,"$818,976","$818,976"
"Jul 25, 2022",$0.001195,$0.001231,$0.001105,$0.001201,"$3,776,013","$3,776,013"
"Jul 24, 2022",$0.001234,$0.00125,$0.001176,$0.001195,"$3,149,585","$3,149,585"
"Jul 23, 2022",$0.001202,$0.001272,$0.00117,$0.001232,"$3,770,074","$3,770,074"
"Jul 22, 2022",$0.00192,$0.00192,$0.00116,$0.001205,"$3,875,636","$3,875,636"
"Jul 21, 2022",$0.003221,$0.003221,$0.00191,$0.00192,"$4,248,869","$4,248,869"
"Jul 20, 2022",$0.002981,$0.003388,$0.00297,$0.00322,"$4,519,545","$4,519,545"
"Jul 19, 2022",$0.002613,$0.00299,$0.002593,$0.002988,"$5,172,602","$5,172,602"
"Jul 18, 2022",$0.002291,$0.002697,$0.002291,$0.002613,"$4,498,767","$4,498,767"
"Jul 17, 2022",$0.00201,$0.002447,$0.002005,$0.002291,"$3,926,698","$3,926,698"
"Jul 16, 2022",$0.00182,$0.002199,$0.001739,$0.002004,"$5,522,993","$5,522,993"
"Jul 15, 2022",$0.001592,$0.001885,$0.001585,$0.00182,"$5,606,411","$5,606,411"
"Jul 14, 2022",$0.001399,$0.001755,$0.001399,$0.001592,"$5,366,924","$5,366,924"
"Jul 13, 2022",$0.001427,$0.001643,$0.001318,$0.0014,"$5,459,389","$5,459,389"
"Jul 12, 2022",$0.00135,$0.001578,$0.001242,$0.001437,"$7,683,521","$7,683,521"
"Jul 11, 2022",$0.001284,$0.001448,$0.001242,$0.00135,"$4,398,834","$4,398,834"
