Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.2487,$0.2504,$0.2371,$0.2397,"$259,199","$259,199"
"Sep 18, 2022",$0.2498,$0.2542,$0.2464,$0.2491,"$305,171","$305,171"
"Sep 17, 2022",$0.2499,$0.252,$0.2465,$0.2498,"$275,723","$275,723"
"Sep 16, 2022",$0.2422,$0.2526,$0.2396,$0.2499,"$292,163","$292,163"
"Sep 15, 2022",$0.254,$0.2544,$0.2398,$0.2419,"$277,166","$277,166"
"Sep 14, 2022",$0.2543,$0.2631,$0.2524,$0.254,"$278,692","$278,692"
"Sep 13, 2022",$0.28,$0.2846,$0.2515,$0.255,"$211,704","$211,704"
"Sep 12, 2022",$0.2646,$0.2863,$0.2601,$0.28,"$326,550","$326,550"
"Sep 11, 2022",$0.2809,$0.2833,$0.2626,$0.2647,"$275,790","$275,790"
"Sep 10, 2022",$0.2816,$0.2864,$0.2745,$0.2805,"$224,272","$224,272"
"Sep 09, 2022",$0.2642,$0.2873,$0.2629,$0.2816,"$322,647","$322,647"
"Sep 08, 2022",$0.2613,$0.2668,$0.2518,$0.264,"$262,740","$262,740"
"Sep 07, 2022",$0.2383,$0.2677,$0.2352,$0.2611,"$341,098","$341,098"
"Sep 06, 2022",$0.2506,$0.2592,$0.2307,$0.2379,"$326,026","$326,026"
"Sep 05, 2022",$0.2502,$0.257,$0.2491,$0.2507,"$256,471","$256,471"
"Sep 04, 2022",$0.2407,$0.2516,$0.2374,$0.2502,"$269,143","$269,143"
"Sep 03, 2022",$0.2396,$0.2429,$0.239,$0.2407,"$244,327","$244,327"
"Sep 02, 2022",$0.2434,$0.2462,$0.2359,$0.2396,"$269,468","$269,468"
"Sep 01, 2022",$0.2503,$0.2537,$0.2407,$0.2431,"$259,007","$259,007"
"Aug 31, 2022",$0.2615,$0.2649,$0.2485,$0.2503,"$252,802","$252,802"
"Aug 30, 2022",$0.2705,$0.2733,$0.2543,$0.2615,"$261,125","$261,125"
"Aug 29, 2022",$0.2758,$0.2768,$0.2685,$0.2706,"$271,820","$271,820"
"Aug 28, 2022",$0.28,$0.2833,$0.2744,$0.2758,"$253,220","$253,220"
"Aug 27, 2022",$0.2697,$0.2807,$0.2649,$0.2807,"$248,388","$248,388"
"Aug 26, 2022",$0.2855,$0.2875,$0.2683,$0.2695,"$300,291","$300,291"
"Aug 25, 2022",$0.2694,$0.2862,$0.268,$0.2855,"$296,322","$296,322"
"Aug 24, 2022",$0.2742,$0.277,$0.2685,$0.2691,"$251,798","$251,798"
"Aug 23, 2022",$0.2643,$0.2749,$0.2604,$0.2743,"$271,566","$271,566"
"Aug 22, 2022",$0.2831,$0.2836,$0.2529,$0.2642,"$279,705","$279,705"
"Aug 21, 2022",$0.2718,$0.2849,$0.2711,$0.2836,"$266,653","$266,653"
"Aug 20, 2022",$0.2745,$0.278,$0.2675,$0.2718,"$242,883","$242,883"
"Aug 19, 2022",$0.3149,$0.3149,$0.2677,$0.2745,"$301,170","$301,170"
"Aug 18, 2022",$0.32,$0.3229,$0.3119,$0.3149,"$252,235","$252,235"
"Aug 17, 2022",$0.3439,$0.358,$0.3199,$0.32,"$273,269","$273,269"
"Aug 16, 2022",$0.3646,$0.3649,$0.343,$0.3439,"$299,548","$299,548"
"Aug 15, 2022",$0.3747,$0.3831,$0.3617,$0.3648,"$302,110","$302,110"
"Aug 14, 2022",$0.3788,$0.3873,$0.3696,$0.3745,"$275,656","$275,656"
"Aug 13, 2022",$0.3502,$0.3937,$0.3471,$0.3786,"$323,514","$323,514"
"Aug 12, 2022",$0.3389,$0.3509,$0.3335,$0.3502,"$306,254","$306,254"
"Aug 11, 2022",$0.3548,$0.3749,$0.338,$0.3389,"$323,001","$323,001"
"Aug 10, 2022",$0.3213,$0.3611,$0.3147,$0.3546,"$316,544","$316,544"
"Aug 09, 2022",$0.3351,$0.3472,$0.3187,$0.3209,"$333,092","$333,092"
"Aug 08, 2022",$0.3458,$0.3664,$0.3277,$0.335,"$312,346","$312,346"
"Aug 07, 2022",$0.3405,$0.3498,$0.3365,$0.3483,"$286,419","$286,419"
"Aug 06, 2022",$0.3375,$0.3458,$0.3348,$0.3399,"$265,447","$265,447"
"Aug 05, 2022",$0.314,$0.3596,$0.3129,$0.3372,"$365,069","$365,069"
"Aug 04, 2022",$0.3225,$0.3303,$0.313,$0.3134,"$233,142","$233,142"
"Aug 03, 2022",$0.3035,$0.3339,$0.2987,$0.3222,"$263,814","$263,814"
"Aug 02, 2022",$0.3111,$0.3157,$0.2897,$0.3028,"$311,916","$311,916"
"Aug 01, 2022",$0.3163,$0.3686,$0.3099,$0.3111,"$375,862","$375,862"
"Jul 31, 2022",$0.2693,$0.3451,$0.2688,$0.3163,"$468,928","$468,928"
"Jul 30, 2022",$0.2646,$0.2742,$0.2549,$0.2693,"$423,022","$423,022"
"Jul 29, 2022",$0.2616,$0.268,$0.2587,$0.2647,"$260,574","$260,574"
"Jul 28, 2022",$0.2551,$0.2657,$0.2495,$0.2616,"$293,576","$293,576"
"Jul 27, 2022",$0.237,$0.2585,$0.2325,$0.2549,"$306,047","$306,047"
"Jul 26, 2022",$0.2396,$0.2396,$0.229,$0.2369,"$290,454","$290,454"
"Jul 25, 2022",$0.2437,$0.2485,$0.2378,$0.2396,"$282,920","$282,920"
"Jul 24, 2022",$0.2447,$0.2497,$0.2391,$0.2437,"$293,838","$293,838"
"Jul 23, 2022",$0.2513,$0.2648,$0.2403,$0.2446,"$277,229","$277,229"
