Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.000000000511,$0.000000000523,$0.000000000487,$0.000000000521,"$1,384,942","$1,384,942"
"Sep 18, 2022",$0.000000000537,$0.00000000055,$0.000000000508,$0.000000000511,"$1,260,730","$1,260,730"
"Sep 17, 2022",$0.000000000527,$0.000000000547,$0.000000000525,$0.000000000537,"$1,322,961","$1,322,961"
"Sep 16, 2022",$0.000000000525,$0.000000000545,$0.000000000524,$0.000000000527,"$1,098,466","$1,098,466"
"Sep 15, 2022",$0.000000000544,$0.000000000554,$0.000000000524,$0.000000000526,"$1,017,331","$1,017,331"
"Sep 14, 2022",$0.000000000558,$0.00000000057,$0.000000000537,$0.000000000544,"$1,127,461","$1,127,461"
"Sep 13, 2022",$0.000000000585,$0.000000000588,$0.000000000553,$0.000000000559,"$1,113,675","$1,113,675"
"Sep 12, 2022",$0.000000000592,$0.000000000599,$0.000000000572,$0.000000000584,"$1,218,621","$1,218,621"
"Sep 11, 2022",$0.000000000591,$0.000000000612,$0.000000000586,$0.000000000593,"$1,135,650","$1,135,650"
"Sep 10, 2022",$0.000000000598,$0.000000000603,$0.000000000581,$0.00000000059,"$1,208,191","$1,208,191"
"Sep 09, 2022",$0.000000000562,$0.000000000603,$0.000000000559,$0.000000000598,"$1,427,299","$1,427,299"
"Sep 08, 2022",$0.000000000586,$0.000000000586,$0.000000000558,$0.000000000562,"$1,317,431","$1,317,431"
"Sep 07, 2022",$0.000000000552,$0.000000000592,$0.000000000543,$0.000000000586,"$1,431,132","$1,431,132"
"Sep 06, 2022",$0.000000000585,$0.000000000604,$0.000000000545,$0.000000000552,"$1,423,959","$1,423,959"
"Sep 05, 2022",$0.000000000625,$0.000000000626,$0.000000000585,$0.000000000586,"$1,617,126","$1,617,126"
"Sep 04, 2022",$0.000000000624,$0.000000000627,$0.000000000603,$0.000000000625,"$1,243,584","$1,243,584"
