Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$1.34,$1.37,$1.30,$1.33,"$190,691","$190,691"
"Sep 21, 2022",$1.38,$1.39,$1.34,$1.34,"$206,722","$206,722"
"Sep 20, 2022",$1.41,$1.41,$1.38,$1.38,"$158,888","$158,888"
"Sep 19, 2022",$1.37,$1.43,$1.34,$1.41,"$171,479","$171,479"
"Sep 18, 2022",$1.42,$1.44,$1.37,$1.37,"$192,875","$192,875"
"Sep 17, 2022",$1.36,$1.42,$1.36,$1.42,"$182,464","$182,464"
"Sep 16, 2022",$1.38,$1.41,$1.35,$1.36,"$205,307","$205,307"
"Sep 15, 2022",$1.42,$1.42,$1.38,$1.38,"$185,766","$185,766"
"Sep 14, 2022",$1.40,$1.43,$1.39,$1.42,"$197,929","$197,929"
"Sep 13, 2022",$1.51,$1.55,$1.40,$1.42,"$211,658","$211,658"
"Sep 12, 2022",$1.58,$1.60,$1.50,$1.51,"$219,180","$219,180"
"Sep 11, 2022",$1.59,$1.64,$1.55,$1.58,"$205,271","$205,271"
"Sep 10, 2022",$1.58,$1.62,$1.56,$1.60,"$232,948","$232,948"
"Sep 09, 2022",$1.52,$1.60,$1.52,$1.58,"$237,114","$237,114"
"Sep 08, 2022",$1.56,$1.57,$1.52,$1.52,"$196,517","$196,517"
"Sep 07, 2022",$1.45,$1.59,$1.37,$1.56,"$315,839","$315,839"
"Sep 06, 2022",$1.55,$1.56,$1.44,$1.45,"$197,449","$197,449"
"Sep 05, 2022",$1.48,$1.55,$1.48,$1.55,"$207,368","$207,368"
"Sep 04, 2022",$1.44,$1.48,$1.41,$1.48,"$205,875","$205,875"
"Sep 03, 2022",$1.43,$1.44,$1.41,$1.44,"$197,559","$197,559"
"Sep 02, 2022",$1.53,$1.54,$1.43,$1.43,"$198,581","$198,581"
"Sep 01, 2022",$1.54,$1.54,$1.47,$1.53,"$174,240","$174,240"
"Aug 31, 2022",$1.47,$1.54,$1.46,$1.54,"$210,119","$210,119"
"Aug 30, 2022",$1.51,$1.56,$1.43,$1.47,"$200,467","$200,467"
"Aug 29, 2022",$1.39,$1.51,$1.35,$1.51,"$246,284","$246,284"
"Aug 28, 2022",$1.46,$1.46,$1.39,$1.39,"$179,329","$179,329"
"Aug 27, 2022",$1.52,$1.52,$1.46,$1.46,"$195,471","$195,471"
"Aug 26, 2022",$1.69,$1.69,$1.51,$1.52,"$241,832","$241,832"
"Aug 25, 2022",$1.69,$1.70,$1.68,$1.69,"$340,083","$340,083"
"Aug 24, 2022",$1.70,$1.71,$1.67,$1.69,"$360,798","$360,798"
"Aug 23, 2022",$1.68,$1.72,$1.68,$1.70,"$365,429","$365,429"
"Aug 22, 2022",$1.73,$1.73,$1.62,$1.68,"$375,297","$375,297"
"Aug 21, 2022",$1.70,$1.74,$1.70,$1.73,"$254,805","$254,805"
"Aug 20, 2022",$1.79,$1.80,$1.70,$1.70,"$329,209","$329,209"
"Aug 19, 2022",$2.04,$2.04,$1.76,$1.79,"$447,774","$447,774"
"Aug 18, 2022",$2.08,$2.09,$2.03,$2.04,"$400,630","$400,630"
"Aug 17, 2022",$2.06,$2.18,$2.06,$2.08,"$434,041","$434,041"
"Aug 16, 2022",$2.05,$2.08,$2.02,$2.06,"$406,141","$406,141"
"Aug 15, 2022",$2.07,$2.16,$2.00,$2.05,"$493,618","$493,618"
"Aug 14, 2022",$2.18,$2.22,$2.02,$2.07,"$379,066","$379,066"
"Aug 13, 2022",$2.10,$2.22,$2.10,$2.18,"$459,079","$459,079"
"Aug 12, 2022",$1.97,$2.11,$1.95,$2.10,"$485,612","$485,612"
"Aug 11, 2022",$1.95,$2.00,$1.95,$1.97,"$489,798","$489,798"
"Aug 10, 2022",$1.83,$1.98,$1.77,$1.95,"$381,886","$381,886"
"Aug 09, 2022",$1.88,$1.92,$1.82,$1.83,"$321,556","$321,556"
"Aug 08, 2022",$1.87,$1.88,$1.83,$1.88,"$326,019","$326,019"
"Aug 07, 2022",$1.91,$1.93,$1.85,$1.87,"$331,022","$331,022"
"Aug 06, 2022",$1.97,$1.99,$1.91,$1.91,"$378,073","$378,073"
"Aug 05, 2022",$2.03,$2.04,$1.93,$1.97,"$432,269","$432,269"
"Aug 04, 2022",$1.74,$2.10,$1.73,$2.03,"$692,903","$692,903"
"Aug 03, 2022",$1.65,$1.77,$1.64,$1.74,"$463,287","$463,287"
"Aug 02, 2022",$1.63,$1.66,$1.54,$1.65,"$526,819","$526,819"
"Aug 01, 2022",$1.61,$1.64,$1.60,$1.63,"$329,934","$329,934"
"Jul 31, 2022",$1.55,$1.71,$1.55,$1.61,"$351,667","$351,667"
"Jul 30, 2022",$1.52,$1.59,$1.50,$1.55,"$270,949","$270,949"
"Jul 29, 2022",$1.38,$1.53,$1.32,$1.52,"$385,214","$385,214"
