Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.5025,$0.5027,$0.4675,$0.4693,"$2,527,699","$2,527,699"
"Sep 17, 2022",$0.4928,$0.5061,$0.4927,$0.5022,"$1,985,173","$1,985,173"
"Sep 16, 2022",$0.4946,$0.4991,$0.4871,$0.4927,"$1,681,450","$1,681,450"
"Sep 15, 2022",$0.5176,$0.518,$0.4899,$0.4945,"$2,888,231","$2,888,231"
"Sep 14, 2022",$0.4997,$0.5349,$0.4965,$0.5175,"$3,966,158","$3,966,158"
"Sep 13, 2022",$0.5269,$0.5446,$0.4975,$0.5024,"$3,669,235","$3,669,235"
"Sep 12, 2022",$0.5487,$0.5586,$0.5263,$0.5268,"$3,837,145","$3,837,145"
"Sep 11, 2022",$0.5712,$0.6234,$0.5472,$0.5487,"$16,567,846","$16,567,846"
"Sep 10, 2022",$0.5185,$0.5911,$0.5117,$0.571,"$14,765,650","$14,765,650"
"Sep 09, 2022",$0.5034,$0.5301,$0.5032,$0.5186,"$2,927,076","$2,927,076"
"Sep 08, 2022",$0.4962,$0.518,$0.4895,$0.5034,"$2,826,508","$2,826,508"
"Sep 07, 2022",$0.4786,$0.4994,$0.471,$0.4963,"$1,762,778","$1,762,778"
"Sep 06, 2022",$0.5025,$0.5112,$0.4782,$0.4789,"$3,217,063","$3,217,063"
"Sep 05, 2022",$0.5134,$0.5149,$0.4977,$0.5028,"$1,456,427","$1,456,427"
"Sep 04, 2022",$0.504,$0.5136,$0.4999,$0.5133,"$1,390,545","$1,390,545"
"Sep 03, 2022",$0.508,$0.5087,$0.4993,$0.5041,"$1,355,138","$1,355,138"
"Sep 02, 2022",$0.5139,$0.5224,$0.5018,$0.5078,"$2,096,904","$2,096,904"
"Sep 01, 2022",$0.5053,$0.514,$0.4961,$0.5139,"$2,196,767","$2,196,767"
"Aug 31, 2022",$0.4953,$0.5738,$0.4953,$0.5053,"$8,152,638","$8,152,638"
"Aug 30, 2022",$0.5051,$0.5198,$0.4863,$0.4954,"$2,625,203","$2,625,203"
"Aug 29, 2022",$0.478,$0.5054,$0.4709,$0.505,"$2,891,192","$2,891,192"
"Aug 28, 2022",$0.4842,$0.4908,$0.4763,$0.4763,"$2,028,683","$2,028,683"
"Aug 27, 2022",$0.4974,$0.5118,$0.4832,$0.4842,"$6,009,496","$6,009,496"
"Aug 26, 2022",$0.5267,$0.6057,$0.4966,$0.4974,"$17,176,761","$17,176,761"
"Aug 25, 2022",$0.5198,$0.5342,$0.5198,$0.5266,"$2,333,863","$2,333,863"
"Aug 24, 2022",$0.5224,$0.5336,$0.5105,$0.5197,"$4,036,265","$4,036,265"
"Aug 23, 2022",$0.5163,$0.5239,$0.5014,$0.5225,"$3,156,833","$3,156,833"
"Aug 22, 2022",$0.5229,$0.525,$0.4985,$0.5161,"$18,174,774","$18,174,774"
"Aug 21, 2022",$0.5109,$0.5309,$0.5088,$0.523,"$3,372,225","$3,372,225"
"Aug 20, 2022",$0.5164,$0.5361,$0.5029,$0.5108,"$2,866,780","$2,866,780"
"Aug 19, 2022",$0.5674,$0.5675,$0.5101,$0.5165,"$4,817,500","$4,817,500"
"Aug 18, 2022",$0.594,$0.5976,$0.5675,$0.5675,"$3,077,410","$3,077,410"
"Aug 17, 2022",$0.6294,$0.6423,$0.5929,$0.5938,"$2,594,567","$2,594,567"
"Aug 16, 2022",$0.6363,$0.6437,$0.6269,$0.6292,"$2,054,372","$2,054,372"
"Aug 15, 2022",$0.6563,$0.6691,$0.6309,$0.637,"$4,188,827","$4,188,827"
"Aug 14, 2022",$0.6889,$0.689,$0.6509,$0.6562,"$4,059,852","$4,059,852"
"Aug 13, 2022",$0.6664,$0.7394,$0.6621,$0.6888,"$8,544,567","$8,544,567"
"Aug 12, 2022",$0.6527,$0.6664,$0.648,$0.6664,"$5,002,732","$5,002,732"
"Aug 11, 2022",$0.6785,$0.6845,$0.6485,$0.6527,"$11,353,641","$11,353,641"
"Aug 10, 2022",$0.633,$0.6812,$0.6218,$0.6784,"$8,217,639","$8,217,639"
"Aug 09, 2022",$0.654,$0.6613,$0.6232,$0.6329,"$4,457,038","$4,457,038"
"Aug 08, 2022",$0.6512,$0.6942,$0.6482,$0.6538,"$7,286,425","$7,286,425"
"Aug 07, 2022",$0.6691,$0.6755,$0.6472,$0.6513,"$5,776,403","$5,776,403"
"Aug 06, 2022",$0.6468,$0.6847,$0.6447,$0.6689,"$6,967,429","$6,967,429"
"Aug 05, 2022",$0.6235,$0.6516,$0.6235,$0.6467,"$5,673,483","$5,673,483"
"Aug 04, 2022",$0.6343,$0.6479,$0.6162,$0.6236,"$5,287,454","$5,287,454"
"Aug 03, 2022",$0.6336,$0.6601,$0.6126,$0.6342,"$5,253,362","$5,253,362"
"Aug 02, 2022",$0.647,$0.6604,$0.6111,$0.6336,"$6,859,961","$6,859,961"
"Aug 01, 2022",$0.6163,$0.6636,$0.6053,$0.647,"$6,425,070","$6,425,070"
"Jul 31, 2022",$0.6199,$0.6648,$0.6127,$0.6164,"$6,896,146","$6,896,146"
"Jul 30, 2022",$0.6393,$0.6577,$0.6188,$0.6198,"$5,511,267","$5,511,267"
"Jul 29, 2022",$0.6097,$0.6671,$0.6062,$0.6393,"$10,374,174","$10,374,174"
"Jul 28, 2022",$0.5976,$0.6276,$0.5875,$0.6096,"$5,229,307","$5,229,307"
"Jul 27, 2022",$0.5633,$0.5975,$0.555,$0.5975,"$4,547,662","$4,547,662"
"Jul 26, 2022",$0.5779,$0.6103,$0.5433,$0.5633,"$5,841,311","$5,841,311"
"Jul 25, 2022",$0.5741,$0.6312,$0.5507,$0.5778,"$12,648,693","$12,648,693"
"Jul 24, 2022",$0.5803,$0.595,$0.5729,$0.573,"$3,193,893","$3,193,893"
"Jul 23, 2022",$0.5994,$0.6238,$0.5643,$0.5801,"$4,659,374","$4,659,374"
"Jul 22, 2022",$0.5891,$0.6633,$0.5848,$0.5994,"$10,699,386","$10,699,386"
"Jul 21, 2022",$0.5719,$0.5977,$0.5595,$0.5892,"$3,668,014","$3,668,014"
"Jul 20, 2022",$0.5962,$0.6545,$0.5687,$0.572,"$8,784,357","$8,784,357"
"Jul 19, 2022",$0.6019,$0.6089,$0.5789,$0.5961,"$5,458,996","$5,458,996"
"Jul 18, 2022",$0.5598,$0.6242,$0.5594,$0.6024,"$9,428,811","$9,428,811"
"Jul 17, 2022",$0.5502,$0.5859,$0.5409,$0.5598,"$8,238,258","$8,238,258"
"Jul 16, 2022",$0.5194,$0.5742,$0.5091,$0.5501,"$6,867,228","$6,867,228"
"Jul 15, 2022",$0.5183,$0.5515,$0.513,$0.5193,"$6,569,409","$6,569,409"
"Jul 14, 2022",$0.5228,$0.5289,$0.4954,$0.5183,"$9,881,069","$9,881,069"
"Jul 13, 2022",$0.4722,$0.6052,$0.4538,$0.5227,"$25,084,798","$25,084,798"
"Jul 12, 2022",$0.5172,$0.5203,$0.4722,$0.4724,"$5,452,155","$5,452,155"
"Jul 11, 2022",$0.5195,$0.5382,$0.5077,$0.517,"$4,724,296","$4,724,296"
"Jul 10, 2022",$0.5459,$0.546,$0.5123,$0.5196,"$4,136,156","$4,136,156"
"Jul 09, 2022",$0.5427,$0.571,$0.5421,$0.5459,"$5,395,499","$5,395,499"
"Jul 08, 2022",$0.5451,$0.5558,$0.5361,$0.5426,"$5,023,007","$5,023,007"
"Jul 07, 2022",$0.5284,$0.5559,$0.5215,$0.5453,"$6,751,654","$6,751,654"
"Jul 06, 2022",$0.5097,$0.5306,$0.5059,$0.5284,"$6,022,573","$6,022,573"
"Jul 05, 2022",$0.5136,$0.5444,$0.4897,$0.5095,"$10,779,782","$10,779,782"
"Jul 04, 2022",$0.49,$0.5134,$0.4849,$0.5134,"$3,727,301","$3,727,301"
"Jul 03, 2022",$0.4845,$0.5439,$0.478,$0.4899,"$8,005,969","$8,005,969"
"Jul 02, 2022",$0.4834,$0.4894,$0.4746,$0.4846,"$4,159,246","$4,159,246"
"Jul 01, 2022",$0.4795,$0.4965,$0.4689,$0.4832,"$5,926,408","$5,926,408"
"Jun 30, 2022",$0.5043,$0.5057,$0.4616,$0.4791,"$6,279,196","$6,279,196"
"Jun 29, 2022",$0.5057,$0.613,$0.4935,$0.5043,"$18,237,220","$18,237,220"
"Jun 28, 2022",$0.49,$0.5448,$0.4788,$0.5058,"$7,983,400","$7,983,400"
"Jun 27, 2022",$0.4943,$0.5185,$0.4898,$0.4901,"$3,267,835","$3,267,835"
"Jun 26, 2022",$0.5461,$0.5514,$0.4938,$0.4944,"$4,846,562","$4,846,562"
"Jun 25, 2022",$0.523,$0.6109,$0.5071,$0.546,"$11,746,601","$11,746,601"
"Jun 24, 2022",$0.4831,$0.5364,$0.4759,$0.5228,"$8,037,209","$8,037,209"
"Jun 23, 2022",$0.4598,$0.484,$0.4596,$0.4831,"$3,212,222","$3,212,222"
"Jun 22, 2022",$0.4778,$0.4781,$0.4522,$0.4597,"$3,781,258","$3,781,258"
"Jun 21, 2022",$0.4807,$0.5013,$0.4723,$0.4775,"$4,451,819","$4,451,819"
"Jun 20, 2022",$0.4657,$0.4901,$0.4475,$0.4808,"$8,019,196","$8,019,196"
"Jun 19, 2022",$0.4209,$0.5837,$0.4067,$0.4658,"$29,254,749","$29,254,749"
"Jun 18, 2022",$0.4338,$0.4394,$0.3961,$0.421,"$3,587,787","$3,587,787"
"Jun 17, 2022",$0.4167,$0.4415,$0.4135,$0.4339,"$2,941,157","$2,941,157"
"Jun 16, 2022",$0.4694,$0.475,$0.4111,$0.4165,"$3,209,998","$3,209,998"
"Jun 15, 2022",$0.4585,$0.4714,$0.4017,$0.4694,"$4,831,098","$4,831,098"
"Jun 14, 2022",$0.448,$0.4844,$0.4164,$0.4587,"$5,593,683","$5,593,683"
"Jun 13, 2022",$0.5144,$0.5144,$0.4212,$0.4479,"$7,484,836","$7,484,836"
"Jun 12, 2022",$0.6241,$0.6249,$0.5104,$0.5136,"$10,094,797","$10,094,797"
"Jun 11, 2022",$0.7098,$0.7487,$0.6205,$0.624,"$28,543,580","$28,543,580"
"Jun 10, 2022",$0.5832,$1.00,$0.5719,$0.7095,"$106,638,016","$106,638,016"
"Jun 09, 2022",$0.5668,$0.5887,$0.5646,$0.5832,"$5,024,019","$5,024,019"
"Jun 08, 2022",$0.5789,$0.5853,$0.5634,$0.5668,"$4,816,073","$4,816,073"
"Jun 07, 2022",$0.5971,$0.5971,$0.5538,$0.579,"$5,323,329","$5,323,329"
"Jun 06, 2022",$0.5828,$0.6095,$0.5824,$0.5973,"$4,830,554","$4,830,554"
"Jun 05, 2022",$0.5986,$0.6009,$0.5776,$0.5829,"$4,663,758","$4,663,758"
"Jun 04, 2022",$0.5731,$0.6031,$0.567,$0.5981,"$5,446,353","$5,446,353"
"Jun 03, 2022",$0.6027,$0.6044,$0.5694,$0.5731,"$4,352,073","$4,352,073"
"Jun 02, 2022",$0.5829,$0.6048,$0.5719,$0.6027,"$2,455,711","$2,455,711"
"Jun 01, 2022",$0.6209,$0.6253,$0.5762,$0.583,"$3,715,820","$3,715,820"
"May 31, 2022",$0.6187,$0.6342,$0.6126,$0.621,"$6,336,932","$6,336,932"
"May 30, 2022",$0.5807,$0.6241,$0.5766,$0.6188,"$6,165,951","$6,165,951"
"May 29, 2022",$0.5657,$0.5807,$0.5561,$0.5807,"$5,157,988","$5,157,988"
"May 28, 2022",$0.5627,$0.5722,$0.5518,$0.5658,"$5,452,985","$5,452,985"
"May 27, 2022",$0.5705,$0.5736,$0.5406,$0.5551,"$7,347,461","$7,347,461"
"May 26, 2022",$0.6412,$0.6494,$0.5706,$0.5706,"$7,096,273","$7,096,273"
"May 25, 2022",$0.6376,$0.651,$0.6333,$0.6412,"$6,319,068","$6,319,068"
"May 24, 2022",$0.6281,$0.6444,$0.6062,$0.6376,"$6,586,689","$6,586,689"
"May 23, 2022",$0.6463,$0.6693,$0.6282,$0.6284,"$6,660,380","$6,660,380"
"May 22, 2022",$0.6341,$0.654,$0.6258,$0.6465,"$6,123,916","$6,123,916"
"May 21, 2022",$0.6271,$0.6487,$0.6161,$0.6341,"$5,826,255","$5,826,255"
"May 20, 2022",$0.6955,$0.7015,$0.6117,$0.6271,"$6,536,148","$6,536,148"
"May 19, 2022",$0.6076,$0.7033,$0.5997,$0.6954,"$9,797,098","$9,797,098"
"May 18, 2022",$0.665,$0.6743,$0.5995,$0.6075,"$6,439,694","$6,439,694"
"May 17, 2022",$0.6206,$0.6734,$0.6195,$0.665,"$5,719,739","$5,719,739"
"May 16, 2022",$0.6646,$0.6648,$0.6064,$0.6195,"$5,736,834","$5,736,834"
"May 15, 2022",$0.6255,$0.6646,$0.6021,$0.6646,"$5,937,320","$5,937,320"
"May 14, 2022",$0.6112,$0.636,$0.5739,$0.6256,"$5,689,057","$5,689,057"
"May 13, 2022",$0.5656,$0.665,$0.5567,$0.611,"$7,480,788","$7,480,788"
"May 12, 2022",$0.6191,$0.6582,$0.5054,$0.5658,"$10,777,365","$10,777,365"
"May 11, 2022",$0.8471,$0.8593,$0.5928,$0.6189,"$12,280,704","$12,280,704"
"May 10, 2022",$0.8135,$0.923,$0.8019,$0.8471,"$10,778,742","$10,778,742"
"May 09, 2022",$0.9481,$0.9627,$0.8142,$0.8142,"$10,204,128","$10,204,128"
"May 08, 2022",$0.9959,$0.9959,$0.9412,$0.9483,"$8,524,381","$8,524,381"
"May 07, 2022",$1.02,$1.03,$0.9736,$0.996,"$8,598,915","$8,598,915"
"May 06, 2022",$1.02,$1.03,$0.9808,$1.02,"$9,775,931","$9,775,931"
"May 05, 2022",$1.12,$1.13,$0.9982,$1.02,"$12,541,592","$12,541,592"
"May 04, 2022",$1.02,$1.12,$1.02,$1.12,"$11,525,563","$11,525,563"
"May 03, 2022",$1.03,$1.04,$1.01,$1.02,"$10,879,935","$10,879,935"
"May 02, 2022",$1.09,$1.17,$1.02,$1.03,"$20,344,977","$20,344,977"
"May 01, 2022",$1.03,$1.09,$1.03,$1.09,"$10,671,928","$10,671,928"
"Apr 30, 2022",$1.11,$1.13,$1.03,$1.03,"$10,436,824","$10,436,824"
"Apr 29, 2022",$1.17,$1.19,$1.11,$1.11,"$10,109,348","$10,109,348"
"Apr 28, 2022",$1.20,$1.24,$1.17,$1.17,"$9,947,909","$9,947,909"
"Apr 27, 2022",$1.15,$1.21,$1.14,$1.20,"$6,613,852","$6,613,852"
"Apr 26, 2022",$1.23,$1.24,$1.14,$1.15,"$6,666,773","$6,666,773"
"Apr 25, 2022",$1.23,$1.23,$1.16,$1.23,"$8,736,405","$8,736,405"
"Apr 24, 2022",$1.27,$1.27,$1.22,$1.23,"$6,382,499","$6,382,499"
"Apr 23, 2022",$1.29,$1.31,$1.26,$1.27,"$6,191,323","$6,191,323"
"Apr 22, 2022",$1.28,$1.30,$1.27,$1.29,"$7,431,198","$7,431,198"
"Apr 21, 2022",$1.34,$1.38,$1.27,$1.28,"$15,097,552","$15,097,552"
"Apr 20, 2022",$1.47,$1.49,$1.27,$1.34,"$27,005,393","$27,005,393"
"Apr 19, 2022",$1.47,$1.50,$1.45,$1.47,"$8,361,586","$8,361,586"
"Apr 18, 2022",$1.44,$1.47,$1.40,$1.47,"$7,184,130","$7,184,130"
"Apr 17, 2022",$1.48,$1.50,$1.44,$1.44,"$8,494,564","$8,494,564"
"Apr 16, 2022",$1.44,$1.64,$1.43,$1.48,"$23,718,659","$23,718,659"
"Apr 15, 2022",$1.40,$1.44,$1.38,$1.44,"$7,778,442","$7,778,442"
"Apr 14, 2022",$1.44,$1.47,$1.39,$1.40,"$5,616,197","$5,616,197"
"Apr 13, 2022",$1.41,$1.45,$1.37,$1.44,"$5,960,182","$5,960,182"
"Apr 12, 2022",$1.38,$1.44,$1.35,$1.41,"$6,547,758","$6,547,758"
"Apr 11, 2022",$1.52,$1.52,$1.36,$1.37,"$7,601,129","$7,601,129"
"Apr 10, 2022",$1.59,$1.61,$1.51,$1.52,"$7,265,924","$7,265,924"
"Apr 09, 2022",$1.49,$1.61,$1.49,$1.59,"$9,045,721","$9,045,721"
"Apr 08, 2022",$1.59,$1.63,$1.49,$1.49,"$8,077,816","$8,077,816"
"Apr 07, 2022",$1.56,$1.65,$1.53,$1.59,"$8,510,017","$8,510,017"
"Apr 06, 2022",$1.76,$1.76,$1.56,$1.56,"$10,973,724","$10,973,724"
"Apr 05, 2022",$1.81,$1.89,$1.76,$1.76,"$11,656,612","$11,656,612"
"Apr 04, 2022",$1.86,$1.88,$1.77,$1.81,"$14,568,098","$14,568,098"
"Apr 03, 2022",$1.81,$1.98,$1.76,$1.86,"$20,945,412","$20,945,412"
"Apr 02, 2022",$1.82,$1.99,$1.79,$1.81,"$34,884,481","$34,884,481"
