Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$1.44,$1.45,$1.44,$1.45,"$409,444","$409,444"
"Sep 24, 2022",$1.44,$1.44,$1.43,$1.44,"$392,772","$392,772"
"Sep 23, 2022",$1.43,$1.44,$1.42,$1.44,"$411,720","$411,720"
"Sep 22, 2022",$1.40,$1.43,$1.40,$1.43,"$444,317","$444,317"
"Sep 21, 2022",$1.39,$1.41,$1.39,$1.40,"$416,020","$416,020"
"Sep 20, 2022",$1.40,$1.40,$1.39,$1.39,"$421,033","$421,033"
"Sep 19, 2022",$1.42,$1.42,$1.38,$1.40,"$415,249","$415,249"
"Sep 18, 2022",$1.45,$1.46,$1.41,$1.42,"$459,121","$459,121"
"Sep 17, 2022",$1.44,$1.46,$1.44,$1.45,"$450,726","$450,726"
"Sep 16, 2022",$1.44,$1.45,$1.44,$1.44,"$445,543","$445,543"
"Sep 15, 2022",$1.49,$1.50,$1.44,$1.44,"$454,211","$454,211"
"Sep 14, 2022",$1.49,$1.51,$1.48,$1.49,"$433,256","$433,256"
"Sep 13, 2022",$1.56,$1.56,$1.49,$1.49,"$471,830","$471,830"
"Sep 12, 2022",$1.60,$1.60,$1.56,$1.56,"$469,945","$469,945"
"Sep 11, 2022",$1.64,$1.66,$1.60,$1.60,"$470,242","$470,242"
"Sep 10, 2022",$1.54,$1.65,$1.54,$1.64,"$640,355","$640,355"
"Sep 09, 2022",$1.49,$1.55,$1.49,$1.54,"$514,065","$514,065"
"Sep 08, 2022",$1.48,$1.49,$1.45,$1.49,"$461,768","$461,768"
"Sep 07, 2022",$1.39,$1.48,$1.36,$1.48,"$517,584","$517,584"
"Sep 06, 2022",$1.24,$1.41,$1.24,$1.39,"$662,477","$662,477"
"Sep 05, 2022",$1.24,$1.26,$1.23,$1.24,"$391,364","$391,364"
"Sep 04, 2022",$1.21,$1.25,$1.20,$1.24,"$422,311","$422,311"
"Sep 03, 2022",$1.20,$1.22,$1.20,$1.21,"$293,318","$293,318"
"Sep 02, 2022",$1.22,$1.22,$1.20,$1.20,"$349,040","$349,040"
"Sep 01, 2022",$1.30,$1.30,$1.21,$1.22,"$492,982","$492,982"
"Aug 31, 2022",$1.33,$1.35,$1.29,$1.30,"$424,668","$424,668"
"Aug 30, 2022",$1.34,$1.35,$1.33,$1.33,"$533,383","$533,383"
"Aug 29, 2022",$1.35,$1.35,$1.33,$1.34,"$536,453","$536,453"
"Aug 28, 2022",$1.35,$1.35,$1.34,$1.35,"$513,488","$513,488"
"Aug 27, 2022",$1.37,$1.37,$1.34,$1.35,"$542,085","$542,085"
"Aug 26, 2022",$1.38,$1.38,$1.37,$1.37,"$585,518","$585,518"
"Aug 25, 2022",$1.39,$1.40,$1.37,$1.38,"$586,323","$586,323"
"Aug 24, 2022",$1.38,$1.39,$1.37,$1.39,"$548,592","$548,592"
"Aug 23, 2022",$1.42,$1.42,$1.37,$1.38,"$460,588","$460,588"
"Aug 22, 2022",$1.45,$1.45,$1.41,$1.42,"$308,218","$308,218"
"Aug 21, 2022",$1.44,$1.46,$1.44,$1.45,"$318,031","$318,031"
"Aug 20, 2022",$1.50,$1.50,$1.44,$1.44,"$353,376","$353,376"
"Aug 19, 2022",$1.59,$1.59,$1.50,$1.50,"$466,278","$466,278"
"Aug 18, 2022",$1.61,$1.62,$1.59,$1.59,"$593,131","$593,131"
"Aug 17, 2022",$1.61,$1.63,$1.60,$1.61,"$619,176","$619,176"
"Aug 16, 2022",$1.68,$1.68,$1.61,$1.61,"$718,818","$718,818"
"Aug 15, 2022",$1.68,$1.69,$1.66,$1.68,"$889,820","$889,820"
"Aug 14, 2022",$1.67,$1.69,$1.67,$1.68,"$862,706","$862,706"
"Aug 13, 2022",$1.66,$1.70,$1.66,$1.67,"$843,839","$843,839"
"Aug 12, 2022",$1.67,$1.67,$1.63,$1.66,"$795,203","$795,203"
"Aug 11, 2022",$1.57,$1.68,$1.56,$1.67,"$975,077","$975,077"
"Aug 10, 2022",$1.57,$1.57,$1.52,$1.57,"$768,497","$768,497"
"Aug 09, 2022",$1.54,$1.57,$1.53,$1.57,"$782,793","$782,793"
"Aug 08, 2022",$1.52,$1.55,$1.52,$1.54,"$837,065","$837,065"
"Aug 07, 2022",$1.46,$1.53,$1.44,$1.52,"$809,393","$809,393"
"Aug 06, 2022",$1.40,$1.49,$1.39,$1.46,"$762,692","$762,692"
"Aug 05, 2022",$1.33,$1.40,$1.32,$1.40,"$678,283","$678,283"
"Aug 04, 2022",$1.31,$1.33,$1.31,$1.33,"$619,566","$619,566"
"Aug 03, 2022",$1.28,$1.32,$1.28,$1.31,"$671,624","$671,624"
"Aug 02, 2022",$1.28,$1.29,$1.28,$1.28,"$611,498","$611,498"
"Aug 01, 2022",$1.27,$1.29,$1.27,$1.28,"$621,543","$621,543"
"Jul 31, 2022",$1.25,$1.28,$1.25,$1.27,"$728,169","$728,169"
"Jul 30, 2022",$1.30,$1.30,$1.25,$1.25,"$759,642","$759,642"
"Jul 29, 2022",$1.28,$1.30,$1.28,$1.30,"$774,570","$774,570"
"Jul 28, 2022",$1.25,$1.28,$1.24,$1.28,"$856,128","$856,128"
"Jul 27, 2022",$1.22,$1.25,$1.22,$1.25,"$694,331","$694,331"
"Jul 26, 2022",$1.24,$1.24,$1.20,$1.22,"$637,649","$637,649"
"Jul 25, 2022",$1.27,$1.27,$1.24,$1.24,"$650,238","$650,238"
"Jul 24, 2022",$1.30,$1.30,$1.27,$1.27,"$677,758","$677,758"
"Jul 23, 2022",$1.29,$1.30,$1.27,$1.30,"$721,367","$721,367"
"Jul 22, 2022",$1.29,$1.30,$1.29,$1.29,"$695,242","$695,242"
"Jul 21, 2022",$1.30,$1.30,$1.26,$1.29,"$633,419","$633,419"
"Jul 20, 2022",$1.30,$1.31,$1.30,$1.30,"$710,532","$710,532"
"Jul 19, 2022",$1.31,$1.31,$1.29,$1.30,"$736,923","$736,923"
"Jul 18, 2022",$1.30,$1.32,$1.29,$1.31,"$780,998","$780,998"
"Jul 17, 2022",$1.36,$1.37,$1.30,$1.30,"$660,302","$660,302"
"Jul 16, 2022",$1.35,$1.37,$1.33,$1.36,"$704,174","$704,174"
"Jul 15, 2022",$1.46,$1.46,$1.35,$1.36,"$691,174","$691,174"
"Jul 14, 2022",$1.46,$1.49,$1.42,$1.46,"$826,804","$826,804"
"Jul 13, 2022",$1.34,$1.48,$1.33,$1.46,"$780,698","$780,698"
"Jul 12, 2022",$1.35,$1.36,$1.33,$1.34,"$408,451","$408,451"
"Jul 11, 2022",$1.29,$1.41,$1.28,$1.35,"$421,781","$421,781"
"Jul 10, 2022",$1.33,$1.33,$1.29,$1.29,"$287,936","$287,936"
"Jul 09, 2022",$1.30,$1.34,$1.29,$1.33,"$311,813","$311,813"
"Jul 08, 2022",$1.32,$1.33,$1.30,$1.30,"$187,124","$187,124"
"Jul 07, 2022",$1.26,$1.34,$1.24,$1.32,"$256,079","$256,079"
"Jul 06, 2022",$1.28,$1.30,$1.21,$1.26,"$243,256","$243,256"
"Jul 05, 2022",$1.25,$1.28,$1.23,$1.28,"$202,006","$202,006"
"Jul 04, 2022",$1.23,$1.26,$1.20,$1.25,"$192,873","$192,873"
"Jul 03, 2022",$1.26,$1.26,$1.20,$1.23,"$220,978","$220,978"
"Jul 02, 2022",$1.21,$1.29,$1.17,$1.26,"$232,045","$232,045"
"Jul 01, 2022",$1.21,$1.26,$1.20,$1.21,"$204,337","$204,337"
"Jun 30, 2022",$1.22,$1.23,$1.14,$1.21,"$241,130","$241,130"
"Jun 29, 2022",$1.29,$1.30,$1.20,$1.22,"$229,605","$229,605"
"Jun 28, 2022",$1.34,$1.35,$1.29,$1.29,"$255,472","$255,472"
"Jun 27, 2022",$1.39,$1.46,$1.34,$1.34,"$248,940","$248,940"
"Jun 26, 2022",$1.56,$1.59,$1.39,$1.40,"$273,122","$273,122"
"Jun 25, 2022",$1.56,$1.56,$1.48,$1.56,"$260,406","$260,406"
"Jun 24, 2022",$1.39,$1.59,$1.39,$1.56,"$351,930","$351,930"
"Jun 23, 2022",$1.34,$1.41,$1.34,$1.39,"$310,091","$310,091"
"Jun 22, 2022",$1.31,$1.37,$1.28,$1.34,"$280,573","$280,573"
"Jun 21, 2022",$1.32,$1.37,$1.28,$1.31,"$265,258","$265,258"
"Jun 20, 2022",$1.28,$1.32,$1.22,$1.32,"$255,330","$255,330"
"Jun 19, 2022",$1.21,$1.28,$1.16,$1.28,"$270,183","$270,183"
"Jun 18, 2022",$1.35,$1.38,$1.00,$1.21,"$306,692","$306,692"
"Jun 17, 2022",$1.30,$1.39,$1.30,$1.35,"$309,888","$309,888"
"Jun 16, 2022",$1.35,$1.40,$1.29,$1.30,"$280,089","$280,089"
"Jun 15, 2022",$1.35,$1.36,$1.22,$1.35,"$308,476","$308,476"
"Jun 14, 2022",$1.25,$1.37,$1.21,$1.35,"$345,510","$345,510"
"Jun 13, 2022",$1.36,$1.36,$1.18,$1.25,"$369,821","$369,821"
"Jun 12, 2022",$1.33,$1.42,$1.27,$1.36,"$326,372","$326,372"
"Jun 11, 2022",$1.39,$1.40,$1.32,$1.33,"$249,307","$249,307"
"Jun 10, 2022",$1.46,$1.46,$1.36,$1.39,"$315,982","$315,982"
"Jun 09, 2022",$1.44,$1.48,$1.43,$1.46,"$303,665","$303,665"
"Jun 08, 2022",$1.41,$1.49,$1.38,$1.44,"$246,805","$246,805"
"Jun 07, 2022",$1.50,$1.51,$1.37,$1.41,"$341,937","$341,937"
"Jun 06, 2022",$1.41,$1.54,$1.41,$1.50,"$393,239","$393,239"
"Jun 05, 2022",$1.59,$1.62,$1.40,$1.42,"$359,460","$359,460"
"Jun 04, 2022",$1.43,$1.62,$1.40,$1.59,"$358,417","$358,417"
"Jun 03, 2022",$1.44,$1.44,$1.40,$1.43,"$435,759","$435,759"
"Jun 02, 2022",$1.36,$1.44,$1.35,$1.44,"$382,793","$382,793"
"Jun 01, 2022",$1.53,$1.55,$1.32,$1.36,"$358,398","$358,398"
"May 31, 2022",$1.60,$1.62,$1.47,$1.53,"$371,031","$371,031"
"May 30, 2022",$1.59,$1.63,$1.50,$1.60,"$397,470","$397,470"
"May 29, 2022",$1.73,$1.73,$1.58,$1.59,"$306,788","$306,788"
"May 28, 2022",$1.70,$1.74,$1.68,$1.73,"$260,270","$260,270"
"May 27, 2022",$1.72,$1.72,$1.58,$1.69,"$240,488","$240,488"
"May 26, 2022",$1.87,$1.92,$1.72,$1.72,"$259,288","$259,288"
"May 25, 2022",$1.88,$1.89,$1.86,$1.87,"$246,393","$246,393"
"May 24, 2022",$1.85,$1.89,$1.81,$1.88,"$266,901","$266,901"
"May 23, 2022",$1.90,$1.96,$1.85,$1.85,"$263,828","$263,828"
"May 22, 2022",$1.91,$1.95,$1.87,$1.90,"$280,888","$280,888"
"May 21, 2022",$1.92,$1.94,$1.88,$1.91,"$334,070","$334,070"
"May 20, 2022",$1.87,$1.93,$1.84,$1.92,"$269,569","$269,569"
"May 19, 2022",$1.80,$1.92,$1.79,$1.87,"$346,118","$346,118"
"May 18, 2022",$1.93,$1.95,$1.80,$1.80,"$220,882","$220,882"
"May 17, 2022",$1.90,$1.94,$1.90,$1.93,"$231,218","$231,218"
"May 16, 2022",$1.93,$1.94,$1.79,$1.90,"$342,344","$342,344"
"May 15, 2022",$1.76,$1.94,$1.74,$1.93,"$360,424","$360,424"
"May 14, 2022",$1.66,$1.82,$1.66,$1.76,"$362,284","$362,284"
"May 13, 2022",$1.71,$1.87,$1.66,$1.66,"$342,313","$342,313"
"May 12, 2022",$1.70,$1.75,$1.45,$1.71,"$370,060","$370,060"
"May 11, 2022",$2.12,$2.15,$1.67,$1.70,"$464,535","$464,535"
"May 10, 2022",$2.01,$2.28,$1.97,$2.12,"$402,908","$402,908"
"May 09, 2022",$2.43,$2.44,$1.92,$2.01,"$429,417","$429,417"
"May 08, 2022",$2.58,$2.58,$2.40,$2.43,"$392,386","$392,386"
"May 07, 2022",$2.60,$2.67,$2.54,$2.58,"$329,889","$329,889"
"May 06, 2022",$2.69,$2.74,$2.56,$2.60,"$381,561","$381,561"
"May 05, 2022",$2.78,$2.89,$2.66,$2.69,"$422,176","$422,176"
"May 04, 2022",$2.66,$2.81,$2.65,$2.78,"$385,776","$385,776"
"May 03, 2022",$2.67,$2.70,$2.55,$2.66,"$274,361","$274,361"
"May 02, 2022",$2.82,$2.84,$2.55,$2.66,"$377,269","$377,269"
"May 01, 2022",$2.71,$3.12,$2.60,$2.82,"$445,381","$445,381"
"Apr 30, 2022",$2.71,$2.79,$2.64,$2.71,"$235,523","$235,523"
"Apr 29, 2022",$2.84,$2.86,$2.70,$2.71,"$225,475","$225,475"
"Apr 28, 2022",$2.80,$2.86,$2.79,$2.84,"$177,808","$177,808"
"Apr 27, 2022",$2.72,$2.81,$2.71,$2.80,"$167,841","$167,841"
"Apr 26, 2022",$2.86,$2.93,$2.71,$2.72,"$435,239","$435,239"
"Apr 25, 2022",$2.89,$3.13,$2.73,$2.86,"$683,735","$683,735"
"Apr 24, 2022",$2.85,$2.99,$2.85,$2.89,"$468,139","$468,139"
"Apr 23, 2022",$3.03,$3.06,$2.84,$2.85,"$319,576","$319,576"
"Apr 22, 2022",$3.12,$3.16,$3.02,$3.03,"$277,811","$277,811"
"Apr 21, 2022",$3.41,$3.43,$3.11,$3.12,"$472,063","$472,063"
"Apr 20, 2022",$3.45,$3.53,$3.39,$3.41,"$596,920","$596,920"
"Apr 19, 2022",$3.42,$3.51,$3.39,$3.45,"$717,930","$717,930"
"Apr 18, 2022",$3.50,$3.51,$3.21,$3.42,"$682,135","$682,135"
"Apr 17, 2022",$3.59,$3.60,$3.49,$3.51,"$524,835","$524,835"
"Apr 16, 2022",$3.61,$3.63,$3.54,$3.59,"$671,525","$671,525"
"Apr 15, 2022",$3.58,$3.69,$3.58,$3.61,"$709,648","$709,648"
"Apr 14, 2022",$3.74,$3.83,$3.55,$3.58,"$735,342","$735,342"
"Apr 13, 2022",$3.80,$3.81,$3.69,$3.74,"$742,883","$742,883"
"Apr 12, 2022",$3.62,$3.86,$3.59,$3.80,"$967,047","$967,047"
"Apr 11, 2022",$4.15,$4.20,$3.61,$3.62,"$797,701","$797,701"
"Apr 10, 2022",$4.21,$4.26,$4.14,$4.15,"$647,881","$647,881"
"Apr 09, 2022",$4.31,$4.34,$4.18,$4.22,"$662,070","$662,070"
"Apr 08, 2022",$4.70,$4.70,$4.30,$4.31,"$661,427","$661,427"
"Apr 07, 2022",$4.72,$5.03,$4.56,$4.70,"$876,718","$876,718"
"Apr 06, 2022",$5.31,$5.32,$4.72,$4.72,"$685,482","$685,482"
"Apr 05, 2022",$5.18,$5.73,$5.09,$5.31,"$1,276,408","$1,276,408"
"Apr 04, 2022",$5.45,$5.63,$5.07,$5.18,"$1,211,980","$1,211,980"
"Apr 03, 2022",$5.53,$5.55,$5.43,$5.45,"$2,031,824","$2,031,824"
"Apr 02, 2022",$4.85,$5.92,$4.85,$5.53,"$2,193,797","$2,193,797"
"Apr 01, 2022",$4.53,$4.86,$4.40,$4.85,"$1,767,527","$1,767,527"
"Mar 31, 2022",$4.56,$4.66,$4.39,$4.53,"$1,097,627","$1,097,627"
"Mar 30, 2022",$4.36,$4.59,$4.25,$4.56,"$972,589","$972,589"
"Mar 29, 2022",$4.27,$4.54,$4.26,$4.36,"$952,993","$952,993"
"Mar 28, 2022",$4.32,$4.37,$4.23,$4.27,"$1,574,023","$1,574,023"
"Mar 27, 2022",$4.17,$4.33,$4.11,$4.33,"$866,444","$866,444"
"Mar 26, 2022",$4.16,$4.21,$4.02,$4.17,"$1,335,293","$1,335,293"
"Mar 25, 2022",$3.82,$4.30,$3.78,$4.16,"$1,308,724","$1,308,724"
"Mar 24, 2022",$3.73,$3.94,$3.68,$3.82,"$1,234,534","$1,234,534"
"Mar 23, 2022",$3.73,$3.74,$3.55,$3.73,"$1,348,981","$1,348,981"
"Mar 22, 2022",$3.62,$3.87,$3.61,$3.73,"$1,262,490","$1,262,490"
"Mar 21, 2022",$3.66,$3.69,$3.55,$3.62,"$1,233,075","$1,233,075"
"Mar 20, 2022",$3.56,$3.72,$3.48,$3.66,"$1,372,713","$1,372,713"
"Mar 19, 2022",$3.62,$3.72,$3.52,$3.56,"$1,558,186","$1,558,186"
"Mar 18, 2022",$3.24,$3.65,$3.22,$3.62,"$1,579,365","$1,579,365"
"Mar 17, 2022",$2.97,$3.32,$2.95,$3.24,"$777,058","$777,058"
"Mar 16, 2022",$2.83,$2.96,$2.81,$2.96,"$597,960","$597,960"
"Mar 15, 2022",$2.82,$2.86,$2.70,$2.83,"$621,636","$621,636"
"Mar 14, 2022",$2.79,$2.84,$2.77,$2.82,"$682,014","$682,014"
"Mar 13, 2022",$2.79,$2.85,$2.75,$2.79,"$584,324","$584,324"
"Mar 12, 2022",$2.77,$2.82,$2.77,$2.79,"$862,593","$862,593"
"Mar 11, 2022",$2.84,$2.84,$2.72,$2.77,"$799,405","$799,405"
