Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.2052,$0.2098,$0.2052,$0.2097,"$3,338,359","$3,338,359"
"Sep 16, 2022",$0.2063,$0.2067,$0.2029,$0.2052,"$4,001,138","$4,001,138"
"Sep 15, 2022",$0.2123,$0.2142,$0.2051,$0.2062,"$8,411,111","$8,411,111"
"Sep 14, 2022",$0.2091,$0.2133,$0.2064,$0.2122,"$4,125,701","$4,125,701"
"Sep 13, 2022",$0.2348,$0.2356,$0.208,$0.2104,"$10,505,912","$10,505,912"
"Sep 12, 2022",$0.2307,$0.2773,$0.2283,$0.2348,"$59,839,325","$59,839,325"
"Sep 11, 2022",$0.2203,$0.243,$0.2177,$0.2306,"$47,358,574","$47,358,574"
"Sep 10, 2022",$0.2212,$0.2218,$0.2155,$0.2203,"$6,077,309","$6,077,309"
"Sep 09, 2022",$0.2139,$0.2236,$0.2119,$0.2213,"$17,318,594","$17,318,594"
"Sep 08, 2022",$0.2025,$0.2276,$0.2015,$0.2139,"$47,596,607","$47,596,607"
"Sep 07, 2022",$0.1967,$0.2045,$0.1901,$0.2026,"$4,279,061","$4,279,061"
"Sep 06, 2022",$0.2091,$0.2116,$0.1967,$0.1967,"$46,406,886","$46,406,886"
"Sep 05, 2022",$0.2106,$0.2112,$0.206,$0.2092,"$2,695,483","$2,695,483"
"Sep 04, 2022",$0.2099,$0.2107,$0.2071,$0.2106,"$2,339,206","$2,339,206"
"Sep 03, 2022",$0.2091,$0.2099,$0.2075,$0.2098,"$2,583,145","$2,583,145"
"Sep 02, 2022",$0.21,$0.2164,$0.208,$0.209,"$6,632,328","$6,632,328"
"Sep 01, 2022",$0.2119,$0.2123,$0.2043,$0.21,"$3,515,205","$3,515,205"
"Aug 31, 2022",$0.2094,$0.2151,$0.2094,$0.2119,"$4,084,321","$4,084,321"
"Aug 30, 2022",$0.2104,$0.2154,$0.2043,$0.2094,"$5,139,003","$5,139,003"
"Aug 29, 2022",$0.2032,$0.2105,$0.2,$0.2104,"$4,693,777","$4,693,777"
"Aug 28, 2022",$0.2069,$0.223,$0.2031,$0.2031,"$15,268,319","$15,268,319"
"Aug 27, 2022",$0.208,$0.2084,$0.2042,$0.207,"$4,101,767","$4,101,767"
"Aug 26, 2022",$0.2289,$0.2289,$0.2072,$0.208,"$7,998,891","$7,998,891"
"Aug 25, 2022",$0.2203,$0.2289,$0.2194,$0.2289,"$7,412,490","$7,412,490"
"Aug 24, 2022",$0.2223,$0.2242,$0.2162,$0.2203,"$6,399,635","$6,399,635"
"Aug 23, 2022",$0.2175,$0.223,$0.2139,$0.2224,"$9,133,877","$9,133,877"
"Aug 22, 2022",$0.2243,$0.2243,$0.2106,$0.2175,"$7,272,392","$7,272,392"
"Aug 21, 2022",$0.2212,$0.2259,$0.2176,$0.2243,"$5,890,540","$5,890,540"
"Aug 20, 2022",$0.2215,$0.2267,$0.2169,$0.2212,"$6,732,285","$6,732,285"
"Aug 19, 2022",$0.2499,$0.2499,$0.2214,$0.2215,"$11,215,537","$11,215,537"
"Aug 18, 2022",$0.2537,$0.2546,$0.2499,$0.2499,"$5,183,734","$5,183,734"
"Aug 17, 2022",$0.2645,$0.2689,$0.2498,$0.2537,"$8,128,970","$8,128,970"
"Aug 16, 2022",$0.2723,$0.2723,$0.2634,$0.2645,"$7,019,086","$7,019,086"
"Aug 15, 2022",$0.2689,$0.2858,$0.2663,$0.2722,"$23,327,936","$23,327,936"
"Aug 14, 2022",$0.2737,$0.276,$0.2668,$0.2688,"$8,026,831","$8,026,831"
"Aug 13, 2022",$0.278,$0.278,$0.2713,$0.2737,"$7,402,648","$7,402,648"
"Aug 12, 2022",$0.2702,$0.2874,$0.2686,$0.278,"$32,007,519","$32,007,519"
"Aug 11, 2022",$0.2631,$0.2888,$0.2631,$0.2702,"$54,333,187","$54,333,187"
"Aug 10, 2022",$0.2514,$0.2634,$0.2464,$0.2631,"$14,475,733","$14,475,733"
"Aug 09, 2022",$0.2618,$0.2648,$0.2484,$0.2514,"$10,162,516","$10,162,516"
"Aug 08, 2022",$0.2593,$0.266,$0.2574,$0.2618,"$9,690,971","$9,690,971"
"Aug 07, 2022",$0.2587,$0.2624,$0.2567,$0.2593,"$6,736,379","$6,736,379"
"Aug 06, 2022",$0.2611,$0.2655,$0.2583,$0.2587,"$10,389,158","$10,389,158"
"Aug 05, 2022",$0.2482,$0.2612,$0.248,$0.2611,"$14,173,881","$14,173,881"
"Aug 04, 2022",$0.2463,$0.2507,$0.2446,$0.2483,"$9,608,287","$9,608,287"
"Aug 03, 2022",$0.2498,$0.2522,$0.242,$0.2464,"$10,997,325","$10,997,325"
"Aug 02, 2022",$0.2628,$0.2663,$0.2426,$0.2498,"$20,057,618","$20,057,618"
"Aug 01, 2022",$0.2496,$0.2669,$0.2496,$0.2628,"$39,530,777","$39,530,777"
"Jul 31, 2022",$0.2435,$0.2562,$0.2423,$0.2495,"$21,583,912","$21,583,912"
"Jul 30, 2022",$0.2443,$0.2519,$0.2423,$0.2433,"$16,976,126","$16,976,126"
"Jul 29, 2022",$0.2437,$0.2462,$0.237,$0.2444,"$12,842,970","$12,842,970"
"Jul 28, 2022",$0.2371,$0.2455,$0.2335,$0.2436,"$11,095,647","$11,095,647"
"Jul 27, 2022",$0.2247,$0.2371,$0.2215,$0.2371,"$8,452,004","$8,452,004"
"Jul 26, 2022",$0.2231,$0.2273,$0.2187,$0.2246,"$8,762,844","$8,762,844"
"Jul 25, 2022",$0.2408,$0.2409,$0.2231,$0.2231,"$10,281,966","$10,281,966"
"Jul 24, 2022",$0.2403,$0.2441,$0.2393,$0.2408,"$8,025,049","$8,025,049"
"Jul 23, 2022",$0.2399,$0.2452,$0.236,$0.2403,"$10,493,976","$10,493,976"
"Jul 22, 2022",$0.2451,$0.2482,$0.2377,$0.2401,"$10,794,154","$10,794,154"
"Jul 21, 2022",$0.2436,$0.2471,$0.2344,$0.245,"$10,818,387","$10,818,387"
"Jul 20, 2022",$0.2545,$0.2618,$0.2428,$0.2433,"$23,696,058","$23,696,058"
"Jul 19, 2022",$0.2474,$0.2557,$0.2439,$0.2544,"$21,252,800","$21,252,800"
"Jul 18, 2022",$0.2324,$0.2479,$0.2311,$0.2478,"$16,821,519","$16,821,519"
"Jul 17, 2022",$0.2385,$0.2396,$0.2324,$0.2324,"$9,850,285","$9,850,285"
"Jul 16, 2022",$0.23,$0.239,$0.2297,$0.2384,"$11,504,646","$11,504,646"
"Jul 15, 2022",$0.2288,$0.231,$0.2238,$0.23,"$9,130,502","$9,130,502"
"Jul 14, 2022",$0.2276,$0.23,$0.2158,$0.2288,"$10,851,595","$10,851,595"
"Jul 13, 2022",$0.2227,$0.2275,$0.2096,$0.2275,"$14,516,049","$14,516,049"
"Jul 12, 2022",$0.2348,$0.2353,$0.2226,$0.2228,"$19,707,294","$19,707,294"
"Jul 11, 2022",$0.2617,$0.3224,$0.2332,$0.2346,"$117,166,581","$117,166,581"
"Jul 10, 2022",$0.2458,$0.2767,$0.2385,$0.2612,"$58,550,610","$58,550,610"
"Jul 09, 2022",$0.2326,$0.2459,$0.2304,$0.2459,"$18,235,014","$18,235,014"
"Jul 08, 2022",$0.2296,$0.2348,$0.2263,$0.2326,"$18,340,425","$18,340,425"
"Jul 07, 2022",$0.2233,$0.2308,$0.221,$0.2295,"$9,181,467","$9,181,467"
"Jul 06, 2022",$0.2231,$0.2248,$0.2179,$0.2234,"$9,966,467","$9,966,467"
"Jul 05, 2022",$0.23,$0.2347,$0.2156,$0.223,"$24,795,169","$24,795,169"
"Jul 04, 2022",$0.2227,$0.2303,$0.2168,$0.2299,"$15,182,405","$15,182,405"
"Jul 03, 2022",$0.2248,$0.2248,$0.2181,$0.2228,"$8,285,598","$8,285,598"
"Jul 02, 2022",$0.2303,$0.2307,$0.22,$0.2248,"$11,934,780","$11,934,780"
"Jul 01, 2022",$0.2415,$0.2419,$0.227,$0.2303,"$33,887,365","$33,887,365"
"Jun 30, 2022",$0.2244,$0.2866,$0.2243,$0.2413,"$166,741,019","$166,741,019"
"Jun 29, 2022",$0.2324,$0.2324,$0.22,$0.2242,"$14,694,364","$14,694,364"
"Jun 28, 2022",$0.2274,$0.254,$0.2274,$0.2324,"$52,793,684","$52,793,684"
"Jun 27, 2022",$0.2196,$0.2586,$0.2192,$0.2274,"$42,077,541","$42,077,541"
"Jun 26, 2022",$0.2301,$0.2301,$0.2196,$0.2196,"$7,156,610","$7,156,610"
"Jun 25, 2022",$0.2293,$0.2315,$0.221,$0.2302,"$8,402,646","$8,402,646"
"Jun 24, 2022",$0.2236,$0.231,$0.2211,$0.2292,"$10,568,347","$10,568,347"
"Jun 23, 2022",$0.2144,$0.2247,$0.2134,$0.2237,"$11,015,140","$11,015,140"
"Jun 22, 2022",$0.2176,$0.2327,$0.2098,$0.2144,"$24,043,998","$24,043,998"
"Jun 21, 2022",$0.2112,$0.2243,$0.211,$0.2176,"$14,475,378","$14,475,378"
"Jun 20, 2022",$0.2086,$0.2117,$0.1985,$0.2112,"$10,755,031","$10,755,031"
"Jun 19, 2022",$0.1984,$0.2097,$0.1882,$0.2085,"$14,053,583","$14,053,583"
"Jun 18, 2022",$0.2129,$0.2159,$0.1845,$0.1984,"$14,426,707","$14,426,707"
"Jun 17, 2022",$0.1982,$0.2222,$0.1972,$0.2129,"$36,183,125","$36,183,125"
"Jun 16, 2022",$0.2119,$0.2245,$0.1964,$0.1982,"$32,179,253","$32,179,253"
"Jun 15, 2022",$0.1975,$0.2116,$0.1742,$0.2116,"$18,773,686","$18,773,686"
"Jun 14, 2022",$0.1938,$0.2008,$0.1734,$0.1977,"$19,705,057","$19,705,057"
"Jun 13, 2022",$0.2346,$0.2346,$0.1889,$0.1938,"$22,291,821","$22,291,821"
"Jun 12, 2022",$0.2582,$0.2689,$0.2328,$0.2346,"$22,205,395","$22,205,395"
"Jun 11, 2022",$0.2843,$0.2855,$0.2504,$0.2581,"$23,910,061","$23,910,061"
"Jun 10, 2022",$0.2825,$0.3134,$0.2767,$0.2844,"$59,740,330","$59,740,330"
"Jun 09, 2022",$0.2894,$0.2897,$0.2816,$0.2825,"$11,871,457","$11,871,457"
"Jun 08, 2022",$0.303,$0.303,$0.2859,$0.2895,"$18,063,272","$18,063,272"
