Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.328,$0.3408,$0.3271,$0.3374,"$3,069,359","$3,069,359"
"Sep 21, 2022",$0.3698,$0.3976,$0.3187,$0.3281,"$11,160,089","$11,160,089"
"Sep 20, 2022",$0.3444,$0.3704,$0.3309,$0.3696,"$3,968,539","$3,968,539"
"Sep 19, 2022",$0.3531,$0.3564,$0.3441,$0.3445,"$4,086,780","$4,086,780"
"Sep 18, 2022",$0.4402,$0.4674,$0.3508,$0.3532,"$15,289,678","$15,289,678"
"Sep 17, 2022",$0.3385,$0.4909,$0.3383,$0.4408,"$50,115,718","$50,115,718"
"Sep 16, 2022",$0.3393,$0.3424,$0.3327,$0.3385,"$1,363,544","$1,363,544"
"Sep 15, 2022",$0.353,$0.3679,$0.3387,$0.3394,"$4,602,620","$4,602,620"
"Sep 14, 2022",$0.3317,$0.3618,$0.3295,$0.3527,"$3,489,092","$3,489,092"
"Sep 13, 2022",$0.3529,$0.3617,$0.3295,$0.3305,"$2,057,777","$2,057,777"
"Sep 12, 2022",$0.3601,$0.368,$0.3508,$0.3529,"$1,997,038","$1,997,038"
"Sep 11, 2022",$0.3628,$0.3738,$0.356,$0.36,"$3,942,963","$3,942,963"
"Sep 10, 2022",$0.3526,$0.3736,$0.3512,$0.3628,"$4,307,015","$4,307,015"
"Sep 09, 2022",$0.3441,$0.357,$0.3438,$0.3526,"$2,975,451","$2,975,451"
"Sep 08, 2022",$0.3379,$0.3613,$0.3342,$0.3442,"$6,557,058","$6,557,058"
"Sep 07, 2022",$0.3374,$0.3412,$0.3264,$0.3379,"$1,830,129","$1,830,129"
"Sep 06, 2022",$0.3525,$0.3616,$0.3374,$0.3374,"$1,849,161","$1,849,161"
"Sep 05, 2022",$0.3403,$0.3593,$0.337,$0.3524,"$3,500,936","$3,500,936"
"Sep 04, 2022",$0.3367,$0.3487,$0.3321,$0.3402,"$1,494,251","$1,494,251"
"Sep 03, 2022",$0.3445,$0.3707,$0.3365,$0.3365,"$3,941,091","$3,941,091"
"Sep 02, 2022",$0.3359,$0.3678,$0.3327,$0.3447,"$10,179,357","$10,179,357"
"Sep 01, 2022",$0.3208,$0.3423,$0.315,$0.3359,"$3,974,873","$3,974,873"
"Aug 31, 2022",$0.333,$0.3383,$0.3185,$0.3207,"$1,555,627","$1,555,627"
"Aug 30, 2022",$0.3288,$0.3381,$0.3134,$0.333,"$1,863,095","$1,863,095"
"Aug 29, 2022",$0.3178,$0.3328,$0.3155,$0.3289,"$1,268,660","$1,268,660"
"Aug 28, 2022",$0.3197,$0.3329,$0.3144,$0.3178,"$1,645,734","$1,645,734"
